# lat,lng,id,name,building_type,type,url,page_type
# Milan -- Tutti
45.501416,9.237439,ov_poliambulatorio_don_orione_45.5014_9.2374,Poliambulatorio Don Orione,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/poliambulatorio_don_orione_45.5014_9.2374.json,custom
45.451832,9.184261,ov_wang_jiao_45.4518_9.1843,Wang Jiao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/wang_jiao_45.4518_9.1843.json,custom
45.461693,9.184875,ov_ristorante_ronchi_45.4617_9.1849,Ristorante Ronchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ristorante_ronchi_45.4617_9.1849.json,custom
45.442521,9.188340,ov_l_anima_del_gusto_45.4425_9.1883,L'Anima Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/lanima_del_gusto_45.4425_9.1883.json,custom
45.461660,9.186602,ov_locanda_degli_arcimboldi_45.4617_9.1866,Locanda Degli Arcimboldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/locanda_degli_arcimboldi_45.4617_9.1866.json,custom
45.464721,9.188200,ov_metro_chef_45.4647_9.1882,Metro Chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/metro_chef_45.4647_9.1882.json,custom
45.465021,9.189035,ov_da_ponti_1881_45.4650_9.1890,Da Ponti 1881,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/da_ponti_1881_45.4650_9.1890.json,custom
45.455304,9.189506,ov_mimmo_four_seasons_45.4553_9.1895,Mimmo Four Seasons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mimmo_four_seasons_45.4553_9.1895.json,custom
45.465281,9.189349,ov_breakfast___giulia_hotel_45.4653_9.1893,Breakfast @ Giulia Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/breakfast_giulia_hotel_45.4653_9.1893.json,custom
45.458888,9.191387,ov_oakberry_a_a__45.4589_9.1914,Oakberry Açaí,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/oakberry_aa_45.4589_9.1914.json,custom
45.464703,9.191356,ov_god_save_the_food_45.4647_9.1914,God Save The Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/god_save_the_food_45.4647_9.1914.json,custom
45.465047,9.191811,ov_manuelina_focacceria_45.4650_9.1918,Manuelina Focacceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/manuelina_focacceria_45.4650_9.1918.json,custom
45.450786,9.192108,ov_burger_bar_45.4508_9.1921,Burger Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/burger_bar_45.4508_9.1921.json,custom
45.465648,9.198400,ov_rossopomodoro_45.4656_9.1984,Rossopomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/rossopomodoro_45.4656_9.1984.json,custom
45.437099,9.199141,ov_lucky_seven_45.4371_9.1991,Lucky Seven,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/lucky_seven_45.4371_9.1991.json,custom
45.449021,9.199898,ov_nonna_domenica_45.4490_9.1999,Nonna Domenica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/nonna_domenica_45.4490_9.1999.json,custom
45.452686,9.201624,ov_212_rotisserie___delicious_45.4527_9.2016,212 Rotisserie & Delicious,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/212_rotisserie_delicious_45.4527_9.2016.json,custom
45.449098,9.202943,ov_la_voliera_osteria___enoteca_45.4491_9.2029,La Voliera Osteria | Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/la_voliera_osteria_enoteca_45.4491_9.2029.json,custom
45.452206,9.203326,ov_osteria_delizie_del_mare_45.4522_9.2033,Osteria Delizie del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/osteria_delizie_del_mare_45.4522_9.2033.json,custom
45.447771,9.204530,ov_ristorante_monz__bistrot_45.4478_9.2045,Ristorante Monzù Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ristorante_monz_bistrot_45.4478_9.2045.json,custom
45.458556,9.206423,ov_the_doner_club_45.4586_9.2064,The Doner Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/the_doner_club_45.4586_9.2064.json,custom
45.452548,9.210227,ov_la_taverna_dei_segreti_45.4525_9.2102,La taverna dei segreti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/la_taverna_dei_segreti_45.4525_9.2102.json,custom
45.467858,9.177717,ov_edison_cafeteria_c___45.4679_9.1777,Edison Cafeteria C'è,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/edison_cafeteria_c_45.4679_9.1777.json,custom
45.471629,9.184248,ov_il_bar_in_via_mercato_45.4716_9.1842,Il Bar In Via Mercato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/il_bar_in_via_mercato_45.4716_9.1842.json,custom
45.475569,9.184164,ov_trattoria_c_era_una_volta_45.4756_9.1842,Trattoria C'era una Volta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/trattoria_cera_una_volta_45.4756_9.1842.json,custom
45.478940,9.179935,ov_around_restaurant_45.4789_9.1799,Around Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/around_restaurant_45.4789_9.1799.json,custom
45.481020,9.185526,ov_restaurant_smokeone_lounge_bar___hookah__45.4810_9.1855,"Restaurant SmokeONE Lounge Bar + Hookah, Кальян, Shisha, Nar",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/restaurant_smokeone_lounge_bar_hookah_sh_45.4810_9.1855.json,custom
45.480846,9.183193,ov_macha_caf__45.4808_9.1832,Macha Café,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/macha_caf_45.4808_9.1832.json,custom
45.483132,9.164057,ov_oyster___samba_45.4831_9.1641,Oyster & Samba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/oyster_samba_45.4831_9.1641.json,custom
45.482859,9.171199,ov_osteria_opera_prima_45.4829_9.1712,Osteria Opera Prima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/osteria_opera_prima_45.4829_9.1712.json,custom
45.481489,9.176729,ov_pollolo_korean_chicken___hotdogs_45.4815_9.1767,Pollolo Korean Chicken & Hotdogs,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/pollolo_korean_chicken_hotdogs_45.4815_9.1767.json,custom
45.484187,9.182014,ov_essenzasushi_45.4842_9.1820,EssenzaSushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/essenzasushi_45.4842_9.1820.json,custom
45.483533,9.181488,ov_da_franco_45.4835_9.1815,Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/da_franco_45.4835_9.1815.json,custom
45.482566,9.198030,ov_sav__pizzeria_gourmet_45.4826_9.1980,Savô Pizzeria Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/sav_pizzeria_gourmet_45.4826_9.1980.json,custom
45.487167,9.201735,ov_clash_restaurant_45.4872_9.2017,Clash Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/clash_restaurant_45.4872_9.2017.json,custom
45.486992,9.203998,ov_il_bollito_e_il_lampredotto_45.4870_9.2040,il Bollito e il Lampredotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/il_bollito_e_il_lampredotto_45.4870_9.2040.json,custom
45.483853,9.205057,ov_trattoria_la_baita_45.4839_9.2051,Trattoria La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/trattoria_la_baita_45.4839_9.2051.json,custom
45.482142,9.203818,ov_bows_and_more_45.4821_9.2038,bows and more,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bows_and_more_45.4821_9.2038.json,custom
45.476227,9.204452,ov_sapori_di_casa_45.4762_9.2045,Sapori Di Casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/sapori_di_casa_45.4762_9.2045.json,custom
45.477302,9.201413,ov_willy_s_sandwich_45.4773_9.2014,Willy's Sandwich,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/willys_sandwich_45.4773_9.2014.json,custom
45.480101,9.186789,ov_prime_burger_bar_45.4801_9.1868,Prime Burger Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/prime_burger_bar_45.4801_9.1868.json,custom
45.470005,9.188943,ov_bvlgari_ristorante_45.4700_9.1889,Bvlgari Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bvlgari_ristorante_45.4700_9.1889.json,custom
45.469530,9.192211,ov_lucid_club_milano_45.4695_9.1922,Lucid Club Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/lucid_club_milano_45.4695_9.1922.json,custom
45.467825,9.190239,ov_manzoni_45.4678_9.1902,Manzoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/manzoni_45.4678_9.1902.json,custom
45.466318,9.192218,ov_pasta_b_45.4663_9.1922,Pasta B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/pasta_b_45.4663_9.1922.json,custom
45.462305,9.212899,ov_pokemania_by_nima_45.4623_9.2129,Pokemania by Nima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/pokemania_by_nima_45.4623_9.2129.json,custom
45.462746,9.230529,ov_romagna_co___piadineria_45.4627_9.2305,Romagna&Co - Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/romagnaco_-_piadineria_45.4627_9.2305.json,custom
45.466948,9.215053,ov_crispi_45.4669_9.2151,Crispi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/crispi_45.4669_9.2151.json,custom
45.467149,9.229562,ov_stella_marina_45.4671_9.2296,Stella Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/stella_marina_45.4671_9.2296.json,custom
45.476445,9.216688,ov_ristorante_aladino_45.4764_9.2167,Ristorante Aladino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/ristorante_aladino_45.4764_9.2167.json,custom
45.486494,9.223779,ov_briciole_45.4865_9.2238,Briciole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/briciole_45.4865_9.2238.json,custom
45.486188,9.225712,ov_aloha_pok__45.4862_9.2257,Aloha Pokè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/aloha_pok_45.4862_9.2257.json,custom
45.490405,9.230182,ov_osteria_del_pesce_al_pontile_45.4904_9.2302,Osteria Del Pesce Al Pontile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/osteria_del_pesce_al_pontile_45.4904_9.2302.json,custom
45.497712,9.234854,ov_il_pasto_giusto_gnoccheria_45.4977_9.2349,Il Pasto Giusto Gnoccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/il_pasto_giusto_gnoccheria_45.4977_9.2349.json,custom
45.515637,9.225805,ov_vineria_san_giovanni_45.5156_9.2258,Vineria San Giovanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/vineria_san_giovanni_45.5156_9.2258.json,custom
45.515529,9.225817,ov_mamma_lina_45.5155_9.2258,Mamma Lina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/mamma_lina_45.5155_9.2258.json,custom
44.929250,9.167450,ov_castello_di_stefanago_44.9293_9.1675,Castello di Stefanago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/castello_di_stefanago_44.9293_9.1675.json,custom
45.428030,9.002400,ov_tenuta_montenisa_45.4280_9.0024,Tenuta Montenisa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/tenuta_montenisa_45.4280_9.0024.json,custom
45.478243,9.154906,ov_east_river_american_pub_45.4782_9.1549,East River American Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/east_river_american_pub_45.4782_9.1549.json,custom
45.476902,9.124109,ov_bordocampo_45.4769_9.1241,Bordocampo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bordocampo_45.4769_9.1241.json,custom
45.461335,9.155175,ov_bar_ambrosiano_45.4613_9.1552,Bar Ambrosiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bar_ambrosiano_45.4613_9.1552.json,custom
45.456884,9.151548,ov_hot_dog_club_45.4569_9.1515,Hot Dog Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/hot_dog_club_45.4569_9.1515.json,custom
45.437169,9.168326,ov_acaf__45.4372_9.1683,Acafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/acaf_45.4372_9.1683.json,custom
45.436579,9.174083,ov_la_merenderia_45.4366_9.1741,La Merenderia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/la_merenderia_45.4366_9.1741.json,custom
45.458741,9.178262,ov_caff__della_pusterla_45.4587_9.1783,Caffè della Pusterla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/caff_della_pusterla_45.4587_9.1783.json,custom
45.454736,9.178606,ov_sixi_me_bistr__45.4547_9.1786,Sixième Bistrò,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/sixime_bistr_45.4547_9.1786.json,custom
45.453519,9.180181,ov_primus_45.4535_9.1802,Primus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/primus_45.4535_9.1802.json,custom
45.439473,9.182955,ov_bar_tabacchi_chez_yvonne_45.4395_9.1830,Bar Tabacchi Chez Yvonne,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bar_tabacchi_chez_yvonne_45.4395_9.1830.json,custom
45.445594,9.188356,ov_santeria_social_club_45.4456_9.1884,Santeria Social Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/santeria_social_club_45.4456_9.1884.json,custom
45.455718,9.187561,ov_good_morning_caffe_45.4557_9.1876,Good Morning Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/good_morning_caffe_45.4557_9.1876.json,custom
45.464345,9.187725,ov_gustavo_45.4643_9.1877,Gustavo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/gustavo_45.4643_9.1877.json,custom
45.458719,9.187956,ov_zurigo_hotel_milan_45.4587_9.1880,Zurigo Hotel Milan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/zurigo_hotel_milan_45.4587_9.1880.json,custom
45.460710,9.188698,ov_terrazza_dei_cavalieri_milano_45.4607_9.1887,Terrazza dei Cavalieri Milano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/terrazza_dei_cavalieri_milano_45.4607_9.1887.json,custom
45.464960,9.190114,ov_bistrot_duomo_45.4650_9.1901,Bistrot Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/bistrot_duomo_45.4650_9.1901.json,custom
45.463000,9.191080,ov_caff__palazzo_reale_45.4630_9.1911,Caffé Palazzo Reale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/caff_palazzo_reale_45.4630_9.1911.json,custom
45.451126,9.194475,ov_anita_dinner_lounge_45.4511_9.1945,Anita Dinner Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/anita_dinner_lounge_45.4511_9.1945.json,custom
45.468645,9.185147,ov_eccellenze_campane_45.4686_9.1851,Eccellenze Campane,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/milan/pages/eccellenze_campane_45.4686_9.1851.json,custom
