# lat,lng,id,name,building_type,type,url,page_type
# Serra Riccò -- Tutti
44.507439,8.933617,ov_ambulatorio_catania_44.5074_8.9336,Ambulatorio Catania,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/ambulatorio_catania_44.5074_8.9336.json,custom
44.509240,8.937456,ov_pizzeria_la_pecora_nera_44.5092_8.9375,Pizzeria La Pecora Nera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/pizzeria_la_pecora_nera_44.5092_8.9375.json,custom
44.507006,8.944094,ov_al_mulino_di_fondo_44.5070_8.9441,Al Mulino Di Fondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/al_mulino_di_fondo_44.5070_8.9441.json,custom
44.508125,8.938328,ov_antica_osteria_del_santi_44.5081_8.9383,Antica Osteria del Santi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/antica_osteria_del_santi_44.5081_8.9383.json,custom
44.507541,8.934442,ov_ostaia_du_paize_44.5075_8.9344,Ostaia Du Paize,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/ostaia_du_paize_44.5075_8.9344.json,custom
44.498506,8.954051,ov_italian_riviera_44.4985_8.9541,Italian Riviera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/italian_riviera_44.4985_8.9541.json,custom
44.508992,8.913499,ov_bar_prelo_44.5090_8.9135,Bar Prelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/bar_prelo_44.5090_8.9135.json,custom
44.498034,8.921518,ov_club_famigliare_castagna_44.4980_8.9215,Club Famigliare Castagna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/club_famigliare_castagna_44.4980_8.9215.json,custom
44.499056,8.923131,ov_bar_ghiglino_44.4991_8.9231,Bar Ghiglino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/bar_ghiglino_44.4991_8.9231.json,custom
44.508242,8.923261,ov_maax_beer_44.5082_8.9233,Maax Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/maax_beer_44.5082_8.9233.json,custom
44.509113,8.937428,ov_gilda_caffe_44.5091_8.9374,Gilda Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/gilda_caffe_44.5091_8.9374.json,custom
44.499870,8.923910,ov_personal_trainer_paola_anna_ricci_44.4999_8.9239,Personal Trainer Paola Anna Ricci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/personal_trainer_paola_anna_ricci_44.4999_8.9239.json,custom
44.511877,8.939866,ov_biblioteca_edoardo_firpo_44.5119_8.9399,Biblioteca Edoardo Firpo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/serra_ricc/pages/biblioteca_edoardo_firpo_44.5119_8.9399.json,custom
