# lat,lng,id,name,building_type,type,url,page_type
# Cattolica Eraclea -- Tutti
37.440523,13.395494,ov_centro_provinciale_di_recupero_fauna_sel_37.4405_13.3955,Centro Provinciale di Recupero Fauna Selvatica di Agrigento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/centro_provinciale_di_recupero_fauna_sel_37.4405_13.3955.json,custom
37.438527,13.395234,ov_al_casale_di_magazzu__giuseppina_37.4385_13.3952,Al Casale di Magazzu' Giuseppina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/al_casale_di_magazzu_giuseppina_37.4385_13.3952.json,custom
37.438488,13.395249,osm_al_casale_di_magazzu__giuseppina_37.4385_13.3952,Al Casale di Magazzu' Giuseppina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/al_casale_di_magazzu_giuseppina_37.4385_13.3952.json,custom
37.440995,13.391654,ov_bar_scalia_37.4410_13.3917,Bar Scalia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/bar_scalia_37.4410_13.3917.json,custom
37.440676,13.394305,ov_caffetteria_relax_37.4407_13.3943,Caffetteria Relax,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/caffetteria_relax_37.4407_13.3943.json,custom
37.439226,13.397088,ov_bar_tabacchi_riv_5_di_todaro_37.4392_13.3971,Bar Tabacchi Riv.5 di Todaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/bar_tabacchi_riv5_di_todaro_37.4392_13.3971.json,custom
37.439300,13.395520,ov_caffettiera_la_dolce_vita_37.4393_13.3955,Caffettiera La Dolce vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/caffettiera_la_dolce_vita_37.4393_13.3955.json,custom
37.440754,13.388892,ov_caffetteria_relax_37.4408_13.3889,Caffetteria Relax,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/caffetteria_relax_37.4408_13.3889.json,custom
37.438633,13.395600,ov_bar_moderno_37.4386_13.3956,Bar Moderno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/bar_moderno_37.4386_13.3956.json,custom
37.443513,13.388454,ov_palazzetto_dello_sport_pietro_rizzuto_37.4435_13.3885,Palazzetto dello Sport Pietro Rizzuto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/palazzetto_dello_sport_pietro_rizzuto_37.4435_13.3885.json,custom
37.440661,13.394516,ov_asd_training_and_relax_37.4407_13.3945,Asd Training and Relax,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/asd_training_and_relax_37.4407_13.3945.json,custom
37.438527,13.397029,ov_a__s__d__olympia_center_37.4385_13.3970,A. S. D. Olympia Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/cattolica_eraclea/pages/a_s_d_olympia_center_37.4385_13.3970.json,custom
