# lat,lng,id,name,building_type,type,url,page_type
# pessano_con_bornago -- Tutti
45.551241,9.384861,ov_fondazione_don_carlo_gnocchi___onlus_45.5512_9.3849,Fondazione Don Carlo Gnocchi - Onlus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/fondazione_don_carlo_gnocchi_-_onlus_45.5512_9.3849.json,custom
45.555673,9.385892,ov_fumo_e_brace_2_fratelli_45.5557_9.3859,Fumo e Brace 2 Fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/fumo_e_brace_2_fratelli_45.5557_9.3859.json,custom
45.555546,9.386323,ov_due_fratelli_pessano_45.5555_9.3863,Due Fratelli Pessano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/due_fratelli_pessano_45.5555_9.3863.json,custom
45.549629,9.404302,osm_agriturismo_cascina_bosco_45.5496_9.4043,Agriturismo Cascina Bosco,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/agriturismo_cascina_bosco_45.5496_9.4043.json,custom
45.547343,9.391531,osm_trattoria_p_p_45.5473_9.3915,Trattoria Pèp,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/trattoria_pp_45.5473_9.3915.json,custom
45.547635,9.384214,ov_bar_stella_45.5476_9.3842,Bar Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/bar_stella_45.5476_9.3842.json,custom
45.549824,9.387247,ov_birreria_eleven_45.5498_9.3872,Birreria Eleven,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/birreria_eleven_45.5498_9.3872.json,custom
45.549384,9.389099,ov_bar_la_sosta_pessano_45.5494_9.3891,Bar La Sosta Pessano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/bar_la_sosta_pessano_45.5494_9.3891.json,custom
45.549336,9.389137,ov_the_garden_45.5493_9.3891,THE GARDEN,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/the_garden_45.5493_9.3891.json,custom
45.548556,9.387358,ov_civico_3_45.5486_9.3874,Civico 3,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/civico_3_45.5486_9.3874.json,custom
45.549118,9.391383,ov_3bar_s_tabacchi_45.5491_9.3914,3Bar's Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/3bars_tabacchi_45.5491_9.3914.json,custom
45.547009,9.390537,ov_bar_segui_la_scia_45.5470_9.3905,Bar Segui La Scia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/bar_segui_la_scia_45.5470_9.3905.json,custom
45.546761,9.390746,ov_pizzacaff__san_caras_45.5468_9.3907,Pizzacaffè san caras,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/pizzacaff_san_caras_45.5468_9.3907.json,custom
45.543766,9.394162,ov_labocs_45.5438_9.3942,Labocs,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/labocs_45.5438_9.3942.json,custom
45.551791,9.381732,ov_lolo_cocktail_bar_45.5518_9.3817,Lolo cocktail bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/lolo_cocktail_bar_45.5518_9.3817.json,custom
45.551403,9.384748,ov_pirovano_1926_45.5514_9.3847,Pirovano 1926,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/pirovano_1926_45.5514_9.3847.json,custom
45.543846,9.394055,osm_birreria_labocs_45.5438_9.3941,Birreria Labocs,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/birreria_labocs_45.5438_9.3941.json,custom
45.548710,9.388120,ov_stefania_mauro_756_45.5487_9.3881,stefania.mauro.756,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/stefaniamauro756_45.5487_9.3881.json,custom
45.549251,9.392005,ov_fitactive_pessano_con_bornago_45.5493_9.3920,FitActive Pessano con Bornago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/fitactive_pessano_con_bornago_45.5493_9.3920.json,custom
45.550086,9.390871,ov_dance_academy_pessano_45.5501_9.3909,Dance Academy Pessano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/dance_academy_pessano_45.5501_9.3909.json,custom
45.548244,9.390207,ov_bowling_della_martesana_45.5482_9.3902,Bowling della Martesana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/bowling_della_martesana_45.5482_9.3902.json,custom
45.547549,9.391401,ov_wrestlers_milan_ssdrl_45.5475_9.3914,Wrestlers Milan SSDRL,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/wrestlers_milan_ssdrl_45.5475_9.3914.json,custom
45.545538,9.393434,ov_kennedy_equestrian_centre_a_s_d__45.5455_9.3934,Kennedy Equestrian Centre a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/kennedy_equestrian_centre_asd_45.5455_9.3934.json,custom
45.545520,9.391100,ov_fitactive_45.5455_9.3911,FitActive,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/fitactive_45.5455_9.3911.json,custom
45.546608,9.390929,ov_scuola_di_danza_release_45.5466_9.3909,Scuola di Danza RELEASE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/scuola_di_danza_release_45.5466_9.3909.json,custom
45.544400,9.391610,ov_bowling_della_martesana_45.5444_9.3916,Bowling Della Martesana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/bowling_della_martesana_45.5444_9.3916.json,custom
45.550476,9.376902,ov_studio_fitness_10_45.5505_9.3769,Studio Fitness 10,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/studio_fitness_10_45.5505_9.3769.json,custom
45.555462,9.385554,ov_new_energy_pessano_45.5555_9.3856,New Energy Pessano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/new_energy_pessano_45.5555_9.3856.json,custom
45.550558,9.392416,ov_ricky_mx_store_45.5506_9.3924,Ricky MX Store,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/ricky_mx_store_45.5506_9.3924.json,custom
45.547359,9.400338,ov_scuderia_ff_45.5474_9.4003,Scuderia FF,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/scuderia_ff_45.5474_9.4003.json,custom
45.549568,9.388743,osm_ufficio_postale_38024___pessano_con_born_45.5496_9.3887,Ufficio postale 38024 – Pessano Con Bornago,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/ufficio_postale_38024_pessano_con_bornag_45.5496_9.3887.json,custom
45.545480,9.389207,ov_biblioteca_comunale_f__tarchi_di_pessano_45.5455_9.3892,Biblioteca Comunale F. Tarchi di Pessano con Bornago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pessano_con_bornago/pages/biblioteca_comunale_f_tarchi_di_pessano__45.5455_9.3892.json,custom
