# lat,lng,id,name,building_type,type,url,page_type
# Bagno di Romagna -- Tutti
43.858059,11.978371,ov_ospedale_angioloni_43.8581_11.9784,Ospedale Angioloni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ospedale_angioloni_43.8581_11.9784.json,custom
43.853614,11.975965,ov_lo_gnomo_goloso_43.8536_11.9760,Lo Gnomo Goloso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/lo_gnomo_goloso_43.8536_11.9760.json,custom
43.859672,11.977542,ov_ristorante_bologna_albergo_43.8597_11.9775,Ristorante Bologna Albergo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_bologna_albergo_43.8597_11.9775.json,custom
43.859147,11.976269,ov_ristorante_del_ponte_43.8591_11.9763,Ristorante del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_del_ponte_43.8591_11.9763.json,custom
43.859124,11.976617,ov_ristorante_osteria_del_teatro_43.8591_11.9766,Ristorante Osteria del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_osteria_del_teatro_43.8591_11.9766.json,custom
43.859166,11.977144,ov_sushi_river_43.8592_11.9771,Sushi River,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/sushi_river_43.8592_11.9771.json,custom
43.858758,11.974582,ov_dagorini_43.8588_11.9746,daGorini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/dagorini_43.8588_11.9746.json,custom
43.859050,11.970600,ov_vino_e_terre_del_reno__fe__43.8591_11.9706,Vino E Terre del Reno (Fe),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/vino_e_terre_del_reno_fe_43.8591_11.9706.json,custom
43.857946,11.975733,ov_orso_bianco_43.8579_11.9757,Orso Bianco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/orso_bianco_43.8579_11.9757.json,custom
43.857791,11.976130,ov_piadineria_albakiara_43.8578_11.9761,Piadineria Albakiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/piadineria_albakiara_43.8578_11.9761.json,custom
43.858209,11.976018,ov_la_cantinetta_dei_sapori_di_comero_fungh_43.8582_11.9760,La Cantinetta dei Sapori di Comero Funghi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/la_cantinetta_dei_sapori_di_comero_fungh_43.8582_11.9760.json,custom
43.857130,11.976314,ov_ristorante_giardino_43.8571_11.9763,Ristorante Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_giardino_43.8571_11.9763.json,custom
43.864528,11.977509,ov_ristorante_alto_savio_43.8645_11.9775,Ristorante Alto Savio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_alto_savio_43.8645_11.9775.json,custom
43.929153,11.911459,ov_agriturismo_pianconvento_43.9292_11.9115,Agriturismo Pianconvento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/agriturismo_pianconvento_43.9292_11.9115.json,custom
43.882459,11.900394,ov_ca_di_veroli_43.8825_11.9004,Ca Di Veroli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ca_di_veroli_43.8825_11.9004.json,custom
43.899368,11.905571,ov_agriturismo_case_di_sotto_43.8994_11.9056,Agriturismo Case di Sotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/agriturismo_case_di_sotto_43.8994_11.9056.json,custom
43.908900,11.961411,ov_agriturismo_sant_uberto_43.9089_11.9614,Agriturismo Sant'Uberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/agriturismo_santuberto_43.9089_11.9614.json,custom
43.875602,12.040825,ov_ristorante_pizzeria_pirino_43.8756_12.0408,Ristorante Pizzeria Pirino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_pizzeria_pirino_43.8756_12.0408.json,custom
43.872321,12.003806,ov_fonte_chiara_43.8723_12.0038,Fonte Chiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/fonte_chiara_43.8723_12.0038.json,custom
43.863949,12.025235,ov_chalet_sul_lago_43.8639_12.0252,Chalet sul lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/chalet_sul_lago_43.8639_12.0252.json,custom
43.862548,12.023688,ov_ristorante_il_toscano_43.8625_12.0237,Ristorante il Toscano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_il_toscano_43.8625_12.0237.json,custom
43.865825,12.027153,ov_ristorante_del_lago_43.8658_12.0272,Ristorante Del Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_del_lago_43.8658_12.0272.json,custom
43.859236,12.014490,ov_albergo_ristorante_forcelli_43.8592_12.0145,Albergo Ristorante Forcelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/albergo_ristorante_forcelli_43.8592_12.0145.json,custom
43.862581,12.053031,ov_agriturismo_incisa_43.8626_12.0530,Agriturismo Incisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/agriturismo_incisa_43.8626_12.0530.json,custom
43.846810,12.001413,ov_il_lago_lungo_43.8468_12.0014,Il Lago Lungo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/il_lago_lungo_43.8468_12.0014.json,custom
43.843818,12.004629,ov_ristorante_lago_pontini_caminetto_la_nel_43.8438_12.0046,Ristorante Lago Pontini Caminetto la Nella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_lago_pontini_caminetto_la_nel_43.8438_12.0046.json,custom
43.843517,12.002894,ov_ristorante_dalla_fernanda_43.8435_12.0029,Ristorante dalla Fernanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/ristorante_dalla_fernanda_43.8435_12.0029.json,custom
43.836878,11.959825,osm_invito_pizzeria_ristorante_43.8369_11.9598,Invito Pizzeria Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/invito_pizzeria_ristorante_43.8369_11.9598.json,custom
43.852988,11.988388,osm_c__di_gianni_43.8530_11.9884,Cà di Gianni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/c_di_gianni_43.8530_11.9884.json,custom
43.854095,11.975938,osm_piadineria_oasi_43.8541_11.9759,Piadineria Oasi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/piadineria_oasi_43.8541_11.9759.json,custom
43.863917,12.025313,osm_lo_chalet_sul_lago_43.8639_12.0253,Lo Chalet sul lago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/lo_chalet_sul_lago_43.8639_12.0253.json,custom
43.833133,11.958459,ov_non_solo_bar_43.8331_11.9585,Non Solo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/non_solo_bar_43.8331_11.9585.json,custom
43.833400,11.959050,ov_kalisp_ra_caff__c_o_terme_s_agnese_43.8334_11.9590,Kalispèra Caffè c/o Terme S.Agnese,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/kalispra_caff_co_terme_sagnese_43.8334_11.9590.json,custom
43.833904,11.959548,ov_joy_vizio_liquido_43.8339_11.9595,JOY Vizio Liquido,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/joy_vizio_liquido_43.8339_11.9595.json,custom
43.833762,11.958985,ov_bar_roseo_43.8338_11.9590,Bar Roseo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_roseo_43.8338_11.9590.json,custom
43.834059,11.959361,ov_bar_della_piazza_43.8341_11.9594,Bar della Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_della_piazza_43.8341_11.9594.json,custom
43.835760,11.960500,ov_le_roi_bargelato_43.8358_11.9605,Le roi Bargelato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/le_roi_bargelato_43.8358_11.9605.json,custom
43.849423,11.897593,ov_chioschetto_di_poggio_43.8494_11.8976,Chioschetto di Poggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/chioschetto_di_poggio_43.8494_11.8976.json,custom
43.856553,11.976855,ov_bar_latteria_mariani_43.8566_11.9769,Bar Latteria Mariani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_latteria_mariani_43.8566_11.9769.json,custom
43.859872,11.977284,ov_anonimigolosi_43.8599_11.9773,Anonimigolosi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/anonimigolosi_43.8599_11.9773.json,custom
43.858575,11.976182,ov_bar_il_voltone_43.8586_11.9762,Bar il Voltone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_il_voltone_43.8586_11.9762.json,custom
43.858516,11.975660,ov_bar_pizzeria_1_maggio_43.8585_11.9757,Bar Pizzeria 1 Maggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_pizzeria_1_maggio_43.8585_11.9757.json,custom
43.858647,11.974600,ov_plaza_caf__43.8586_11.9746,Plaza Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/plaza_caf_43.8586_11.9746.json,custom
43.857831,11.975846,ov_languorino_43.8578_11.9758,Languorino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/languorino_43.8578_11.9758.json,custom
43.858189,11.976269,ov_dagiorgio___bar__bistrot___bottega_43.8582_11.9763,"Dagiorgio - Bar, Bistrot & Bottega",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/dagiorgio_-_bar_bistrot_bottega_43.8582_11.9763.json,custom
43.858267,11.976327,ov_gelateria_del_corso_43.8583_11.9763,Gelateria Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/gelateria_del_corso_43.8583_11.9763.json,custom
43.858324,11.977035,ov_bar_gallini_43.8583_11.9770,Bar Gallini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_gallini_43.8583_11.9770.json,custom
43.857815,11.977050,ov_agor__vlt_43.8578_11.9771,Agorà VLT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/agor_vlt_43.8578_11.9771.json,custom
43.857677,11.977145,ov_bar_cheers_di_mescolini_claudio_43.8577_11.9771,Bar Cheers di Mescolini Claudio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_cheers_di_mescolini_claudio_43.8577_11.9771.json,custom
43.922815,11.916746,ov_la_locanda_di_monteguidi_43.9228_11.9167,La Locanda di Monteguidi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/la_locanda_di_monteguidi_43.9228_11.9167.json,custom
43.886650,11.836610,ov_chiosco_la_terrazza_sul_lago_presso_la_d_43.8867_11.8366,Chiosco La terrazza sul Lago presso la diga di Ridracoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/chiosco_la_terrazza_sul_lago_presso_la_d_43.8867_11.8366.json,custom
44.236974,12.012608,ov_bar_della_repsol___forl__44.2370_12.0126,Bar della Repsol - Forlì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/bar_della_repsol_-_forl_44.2370_12.0126.json,custom
43.835071,11.959572,osm_pancaffe__43.8351_11.9596,Pancaffe',bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/pancaffe_43.8351_11.9596.json,custom
43.835874,11.960359,osm_caffe__le_roy_43.8359_11.9604,Caffe' Le Roy,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/caffe_le_roy_43.8359_11.9604.json,custom
43.830735,11.955086,osm_al_posto_giusto_43.8307_11.9551,Al Posto Giusto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/al_posto_giusto_43.8307_11.9551.json,custom
43.853349,11.988411,ov_parco_avventura_ca_di_gianni_43.8533_11.9884,Parco Avventura Ca di Gianni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/parco_avventura_ca_di_gianni_43.8533_11.9884.json,custom
43.853680,11.988500,ov_scuderia_ca__di_gianni_43.8537_11.9885,Scuderia Ca' di Gianni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/scuderia_ca_di_gianni_43.8537_11.9885.json,custom
43.872490,11.968640,ov_sincro_camp_body_art_43.8725_11.9686,Sincro Camp Body Art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/sincro_camp_body_art_43.8725_11.9686.json,custom
43.873643,11.835194,ov_outdoor_romagna_asd_43.8736_11.8352,Outdoor Romagna ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/outdoor_romagna_asd_43.8736_11.8352.json,custom
43.885920,12.010290,ov_effetto_loto_di_natascia_rossi_43.8859_12.0103,Effetto Loto di Natascia Rossi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/effetto_loto_di_natascia_rossi_43.8859_12.0103.json,custom
43.844100,12.003600,ov_arcieri_monte_comero_43.8441_12.0036,Arcieri Monte Comero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/arcieri_monte_comero_43.8441_12.0036.json,custom
44.086024,12.489561,ov_we_lab9_44.0860_12.4896,We-lab9,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/we-lab9_44.0860_12.4896.json,custom
43.803773,11.948935,ov_rifugio_nasseto_43.8038_11.9489,Rifugio Nasseto,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/rifugio_nasseto_43.8038_11.9489.json,custom
43.833297,11.958587,ov_palazzo_del_capitano_43.8333_11.9586,Palazzo del Capitano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/palazzo_del_capitano_43.8333_11.9586.json,custom
43.883846,11.834655,ov_idro_ecomuseo_delle_acque_di_ridracoli_43.8838_11.8347,Idro Ecomuseo delle Acque di Ridracoli,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/idro_ecomuseo_delle_acque_di_ridracoli_43.8838_11.8347.json,custom
43.836728,11.961858,osm_poste_italiane_43.8367_11.9619,Poste italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/poste_italiane_43.8367_11.9619.json,custom
43.833184,11.958515,ov_biblioteca_walter_toni_bagno_di_romagna_43.8332_11.9585,Biblioteca Walter Toni Bagno di Romagna,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagno_di_romagna/pages/biblioteca_walter_toni_bagno_di_romagna_43.8332_11.9585.json,custom
