# lat,lng,id,name,building_type,type,url,page_type
# Bisceglie -- Tutti
41.242282,16.497484,ov_casa_della_divina_provvidenza_41.2423_16.4975,Casa della Divina Provvidenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/casa_della_divina_provvidenza_41.2423_16.4975.json,custom
41.247731,16.486748,ov_due_e_undici_41.2477_16.4867,Due e Undici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/due_e_undici_41.2477_16.4867.json,custom
41.242249,16.497495,ov_remi_41.2422_16.4975,Remi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/remi_41.2422_16.4975.json,custom
41.242505,16.496986,ov_il_piccolo_giardino_41.2425_16.4970,Il Piccolo Giardino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_piccolo_giardino_41.2425_16.4970.json,custom
41.242478,16.496962,ov_biga___bisceglie_41.2425_16.4970,Biga - Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/biga_-_bisceglie_41.2425_16.4970.json,custom
41.242999,16.494791,ov_il_priscio_41.2430_16.4948,Il Priscio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_priscio_41.2430_16.4948.json,custom
41.243287,16.490364,ov_puntoeacapo_bisceglie_41.2433_16.4904,Puntoeacapo Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/puntoeacapo_bisceglie_41.2433_16.4904.json,custom
41.243550,16.488495,ov_corte_in_fiore_trani_41.2436_16.4885,Corte In Fiore Trani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/corte_in_fiore_trani_41.2436_16.4885.json,custom
41.243879,16.491652,ov_ay__fusion_sushi_41.2439_16.4917,Ayì Fusion Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/ay_fusion_sushi_41.2439_16.4917.json,custom
41.244160,16.488891,ov_santacrosta__brace__birra___farina_41.2442_16.4889,"Santacrosta, Brace, Birra & Farina",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/santacrosta_brace_birra_farina_41.2442_16.4889.json,custom
41.244054,16.488952,ov_tred__caf__bistrot_41.2441_16.4890,Tredì Cafè Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/tred_caf_bistrot_41.2441_16.4890.json,custom
41.244170,16.487200,ov_bellavitainpuglia_it_41.2442_16.4872,Bellavitainpuglia.it,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bellavitainpugliait_41.2442_16.4872.json,custom
41.245243,16.491461,ov_ittica_ventura___eat___drink_41.2452_16.4915,Ittica Ventura - Eat & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/ittica_ventura_-_eat_drink_41.2452_16.4915.json,custom
41.245184,16.491706,ov_il_piccantino_41.2452_16.4917,Il Piccantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_piccantino_41.2452_16.4917.json,custom
41.244596,16.489956,ov_kanagawa_sushi_all_you_can_eat_41.2446_16.4900,Kanagawa Sushi All You Can Eat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/kanagawa_sushi_all_you_can_eat_41.2446_16.4900.json,custom
41.244614,16.489989,ov_sakana_sushi_41.2446_16.4900,Sakana Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/sakana_sushi_41.2446_16.4900.json,custom
41.244480,16.490221,ov_mcdonald_s_41.2445_16.4902,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/mcdonalds_41.2445_16.4902.json,custom
41.249055,16.478071,ov_sweetlife__bar_pizzeria_41.2491_16.4781,SweetLife  Bar/Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/sweetlife_barpizzeria_41.2491_16.4781.json,custom
41.239918,16.499661,ov_osteria_u_nglesce_41.2399_16.4997,Osteria U'nglesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/osteria_unglesce_41.2399_16.4997.json,custom
41.239880,16.498750,ov_caggianelli_auto_bisceglie_41.2399_16.4988,Caggianelli Auto Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/caggianelli_auto_bisceglie_41.2399_16.4988.json,custom
41.239552,16.495000,ov_l_angolo_della_pizza_41.2396_16.4950,L'angolo della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/langolo_della_pizza_41.2396_16.4950.json,custom
41.241913,16.492314,ov_cocola_bistrot_41.2419_16.4923,Cocola Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/cocola_bistrot_41.2419_16.4923.json,custom
41.241737,16.492391,ov_la_mousse_di_antonio_cannone_41.2417_16.4924,La Mousse di Antonio Cannone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/la_mousse_di_antonio_cannone_41.2417_16.4924.json,custom
41.241222,16.494096,ov_pane_and_pomodoro_41.2412_16.4941,Pane and Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pane_and_pomodoro_41.2412_16.4941.json,custom
41.241409,16.499788,ov_billa_41.2414_16.4998,Billa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/billa_41.2414_16.4998.json,custom
41.241798,16.498854,ov_emozioni_italiane___biancheria_e_corredi_41.2418_16.4989,Emozioni Italiane - Biancheria e corredi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/emozioni_italiane_-_biancheria_e_corredi_41.2418_16.4989.json,custom
41.241901,16.496007,ov_macelleria_griglieria_di_liddo_41.2419_16.4960,Macelleria griglieria di liddo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/macelleria_griglieria_di_liddo_41.2419_16.4960.json,custom
41.242174,16.498056,ov_puglia_pizza_41.2422_16.4981,Puglia Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/puglia_pizza_41.2422_16.4981.json,custom
41.241990,16.498225,ov_salumeria_napoletano_bisceglie_41.2420_16.4982,Salumeria Napoletano Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/salumeria_napoletano_bisceglie_41.2420_16.4982.json,custom
41.237814,16.498537,ov_pizzeria_griglieria_mangiafuoco_biscegli_41.2378_16.4985,Pizzeria Griglieria Mangiafuoco Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_griglieria_mangiafuoco_biscegli_41.2378_16.4985.json,custom
41.235928,16.499261,ov_il_cantuccio_41.2359_16.4993,Il Cantuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_cantuccio_41.2359_16.4993.json,custom
41.233817,16.497882,ov_casa_ferrante_41.2338_16.4979,Casa Ferrante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/casa_ferrante_41.2338_16.4979.json,custom
41.234367,16.497368,ov_l_acquolina_in_bocca_41.2344_16.4974,L'Acquolina In Bocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/lacquolina_in_bocca_41.2344_16.4974.json,custom
41.231200,16.497387,ov_pizzeria_dolmen_41.2312_16.4974,Pizzeria Dolmen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_dolmen_41.2312_16.4974.json,custom
41.230982,16.496689,ov_ristorante_happy_days_41.2310_16.4967,Ristorante Happy Days,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/ristorante_happy_days_41.2310_16.4967.json,custom
41.230927,16.496754,ov_villa_ciardi_41.2309_16.4968,Villa Ciardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/villa_ciardi_41.2309_16.4968.json,custom
41.229606,16.489646,ov_pizzeria_royal_caf__41.2296_16.4896,Pizzeria Royal Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_royal_caf_41.2296_16.4896.json,custom
41.232658,16.497328,ov_pizzeria_magnolia_41.2327_16.4973,Pizzeria Magnolia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_magnolia_41.2327_16.4973.json,custom
41.228100,16.489743,ov_gedaj_garden_da_gerry___ristorante__pizz_41.2281_16.4897,"GEDAJ Garden da Gerry - Ristorante, Pizzeria & Take Away - B",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/gedaj_garden_da_gerry_-_ristorante_pizze_41.2281_16.4897.json,custom
41.228154,16.489737,ov_il_giardino_dei_sapori_di_lino_u_bares_41.2282_16.4897,Il giardino dei sapori di lino u bares,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_giardino_dei_sapori_di_lino_u_bares_41.2282_16.4897.json,custom
41.229270,16.489577,ov_il_ritrovo_ristopizza_41.2293_16.4896,Il Ritrovo RistoPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_ritrovo_ristopizza_41.2293_16.4896.json,custom
41.228655,16.489594,ov_pizzeria_sant_andrea_41.2287_16.4896,Pizzeria Sant Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_sant_andrea_41.2287_16.4896.json,custom
41.209046,16.448466,ov_masseria_san_felice_41.2090_16.4485,Masseria San Felice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/masseria_san_felice_41.2090_16.4485.json,custom
41.192776,16.481268,ov_dolmen_di_bisceglie_41.1928_16.4813,Dolmen di Bisceglie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/dolmen_di_bisceglie_41.1928_16.4813.json,custom
41.193374,16.481088,ov_autostrade_italiane_a14_41.1934_16.4811,Autostrade Italiane A14,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/autostrade_italiane_a14_41.1934_16.4811.json,custom
41.230958,16.496751,osm_happy_days_41.2310_16.4968,Happy Days,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/happy_days_41.2310_16.4968.json,custom
41.231186,16.497292,osm_pizzeria_al_dolmen_41.2312_16.4973,Pizzeria Al Dolmen,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/pizzeria_al_dolmen_41.2312_16.4973.json,custom
41.255071,16.477370,osm_da_sergio_e_davide_41.2551_16.4774,Da Sergio e Davide,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/da_sergio_e_davide_41.2551_16.4774.json,custom
41.255481,16.478833,ov_divinae_bay_41.2555_16.4788,Divinae Bay,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/divinae_bay_41.2555_16.4788.json,custom
41.255184,16.474819,ov_domenico_anfi_41.2552_16.4748,Domenico anfi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/domenico_anfi_41.2552_16.4748.json,custom
41.255291,16.478203,ov_a_barraca_41.2553_16.4782,A Barraca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/a_barraca_41.2553_16.4782.json,custom
41.253230,16.470770,ov_bar___guaran__41.2532_16.4708,BAR - Guaraná,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_-_guaran_41.2532_16.4708.json,custom
41.251379,16.485292,ov_soulmar_41.2514_16.4853,SoulMar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/soulmar_41.2514_16.4853.json,custom
41.250128,16.493571,ov_race_cafe_beach_41.2501_16.4936,Race cafe beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/race_cafe_beach_41.2501_16.4936.json,custom
41.249739,16.487966,ov_il_villino_cafe_41.2497_16.4880,Il Villino Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/il_villino_cafe_41.2497_16.4880.json,custom
41.249922,16.495428,ov_gonnella_caff__41.2499_16.4954,Gonnella Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/gonnella_caff_41.2499_16.4954.json,custom
41.248709,16.484555,ov_maya___vini__gin_e_stelle_41.2487_16.4846,"MAYA - Vini, Gin e Stelle",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/maya_-_vini_gin_e_stelle_41.2487_16.4846.json,custom
41.248191,16.499369,ov_chiringuito_41.2482_16.4994,Chiringuito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/chiringuito_41.2482_16.4994.json,custom
41.242209,16.497443,ov_bar_san_giuseppe_41.2422_16.4974,Bar San Giuseppe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_san_giuseppe_41.2422_16.4974.json,custom
41.242365,16.491051,ov_caffe_malu_41.2424_16.4911,Caffe Malu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/caffe_malu_41.2424_16.4911.json,custom
41.242505,16.491001,ov_bar_hemingwey_41.2425_16.4910,Bar Hemingwey,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_hemingwey_41.2425_16.4910.json,custom
41.243376,16.492974,ov_audry_caffe_41.2434_16.4930,Audry Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/audry_caffe_41.2434_16.4930.json,custom
41.243862,16.491619,ov_jimiz_coffee_41.2439_16.4916,Jimiz Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/jimiz_coffee_41.2439_16.4916.json,custom
41.238228,16.496233,ov_nick_caffe_41.2382_16.4962,Nick Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/nick_caffe_41.2382_16.4962.json,custom
41.239574,16.499919,ov_bar_oriente___gran_caff__salotto_41.2396_16.4999,Bar Oriente - Gran Caffè Salotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_oriente_-_gran_caff_salotto_41.2396_16.4999.json,custom
41.240006,16.494025,ov_bar_marl__41.2400_16.4940,Bar Marlú,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_marl_41.2400_16.4940.json,custom
41.239659,16.494877,ov_bar_edward_41.2397_16.4949,Bar Edward,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_edward_41.2397_16.4949.json,custom
41.239245,16.495505,ov_sotto_le_spine___cucina_e_cantine_41.2392_16.4955,Sotto le spine - cucina e cantine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/sotto_le_spine_-_cucina_e_cantine_41.2392_16.4955.json,custom
41.239182,16.495573,ov_2_e_11_41.2392_16.4956,2 E 11,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/2_e_11_41.2392_16.4956.json,custom
41.240177,16.493857,ov_martin_caffe_41.2402_16.4939,Martin Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/martin_caffe_41.2402_16.4939.json,custom
41.241691,16.494460,ov_bar_cavour_41.2417_16.4945,Bar Cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_cavour_41.2417_16.4945.json,custom
41.241355,16.498644,ov_mario_cafe_41.2414_16.4986,Mario Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/mario_cafe_41.2414_16.4986.json,custom
41.241568,16.497810,ov_auld_dublin_41.2416_16.4978,Auld Dublin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/auld_dublin_41.2416_16.4978.json,custom
41.241658,16.499621,ov_lino_41.2417_16.4996,Lino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/lino_41.2417_16.4996.json,custom
41.241997,16.498151,ov_caffetteria_pasticceria_vecchi_e_merlett_41.2420_16.4982,Caffetteria Pasticceria Vecchi e Merletti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/caffetteria_pasticceria_vecchi_e_merlett_41.2420_16.4982.json,custom
41.240294,16.496675,ov_abitue_cafe_41.2403_16.4967,Abitue Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/abitue_cafe_41.2403_16.4967.json,custom
41.237924,16.497057,ov_bar_gelateria_primavera_41.2379_16.4971,Bar Gelateria Primavera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_gelateria_primavera_41.2379_16.4971.json,custom
41.235962,16.499542,ov_bar_eden_41.2360_16.4995,Bar Eden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_eden_41.2360_16.4995.json,custom
41.233822,16.497702,ov_transylvania_discopub_bisceglie_41.2338_16.4977,Transylvania Discopub Bisceglie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/transylvania_discopub_bisceglie_41.2338_16.4977.json,custom
41.234499,16.497617,ov_caffe_del_corso_41.2345_16.4976,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/caffe_del_corso_41.2345_16.4976.json,custom
41.234471,16.497773,ov_dolce_caffe_41.2345_16.4978,Dolce Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/dolce_caffe_41.2345_16.4978.json,custom
41.230845,16.496561,ov_marino_cafe_41.2308_16.4966,Marino Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/marino_cafe_41.2308_16.4966.json,custom
41.229913,16.496076,ov_enoteca_divinando_41.2299_16.4961,Enoteca Divinando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/enoteca_divinando_41.2299_16.4961.json,custom
41.232220,16.495018,ov_bar_millenium_41.2322_16.4950,Bar Millenium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_millenium_41.2322_16.4950.json,custom
41.232237,16.496872,ov_vinoterapia_41.2322_16.4969,Vinoterapia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/vinoterapia_41.2322_16.4969.json,custom
41.232333,16.496970,ov_acquafredda_bar_pasticceria_gelateria_41.2323_16.4970,Acquafredda Bar Pasticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/acquafredda_bar_pasticceria_gelateria_41.2323_16.4970.json,custom
41.232697,16.498354,ov_bar_euro_di_monopoli_donato_41.2327_16.4984,BAR EURO di Monopoli Donato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_euro_di_monopoli_donato_41.2327_16.4984.json,custom
41.228390,16.488410,ov_sporting_club_bisceglie___ristorante___p_41.2284_16.4884,Sporting Club Bisceglie - Ristorante & Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/sporting_club_bisceglie_-_ristorante_piz_41.2284_16.4884.json,custom
41.229220,16.489768,ov_bar_pasticceria_marnjn_41.2292_16.4898,Bar Pasticceria Marnjn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/bar_pasticceria_marnjn_41.2292_16.4898.json,custom
41.255630,16.479219,osm_toma_la_luna_41.2556_16.4792,Toma la Luna,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/toma_la_luna_41.2556_16.4792.json,custom
41.248161,16.476995,osm_the_secret_garden_41.2482_16.4770,The Secret Garden,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bisceglie/pages/the_secret_garden_41.2482_16.4770.json,custom
