# lat,lng,id,name,building_type,type,url,page_type
# isola_della_scala -- Tutti
45.268683,11.007379,ov_ospedale_45.2687_11.0074,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/ospedale_45.2687_11.0074.json,custom
45.272732,11.007124,ov_trattoria_vecio_balilla_45.2727_11.0071,Trattoria Vecio Balilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_vecio_balilla_45.2727_11.0071.json,custom
45.273366,11.010983,ov_iris_pizza_e_cucina_45.2734_11.0110,Iris pizza e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/iris_pizza_e_cucina_45.2734_11.0110.json,custom
45.273935,11.005520,ov_trattoria_triestina_45.2739_11.0055,Trattoria Triestina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_triestina_45.2739_11.0055.json,custom
45.275406,11.007290,ov_strada_grill_doner_kebab_45.2754_11.0073,Strada Grill Doner Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/strada_grill_doner_kebab_45.2754_11.0073.json,custom
45.275331,10.994078,ov_ristorante_alla_torre_45.2753_10.9941,Ristorante alla Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/ristorante_alla_torre_45.2753_10.9941.json,custom
45.275319,10.994044,ov_riseria_ferron_45.2753_10.9940,Riseria Ferron,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/riseria_ferron_45.2753_10.9940.json,custom
45.274168,11.003157,ov_macello_pubblico_goccia_d_oro_45.2742_11.0032,Macello Pubblico goccia d'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/macello_pubblico_goccia_doro_45.2742_11.0032.json,custom
45.273423,11.000277,ov_taste_of_earth_45.2734_11.0003,Taste of Earth,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/taste_of_earth_45.2734_11.0003.json,custom
45.272834,11.003775,ov_pila_dell_abate_45.2728_11.0038,Pila dell'Abate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/pila_dellabate_45.2728_11.0038.json,custom
45.280167,10.999726,ov_birreria_borgo_burger_doltra_45.2802_10.9997,Birreria Borgo Burger Doltra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/birreria_borgo_burger_doltra_45.2802_10.9997.json,custom
45.291491,10.979570,ov_oasi_le_palme_45.2915_10.9796,Oasi Le Palme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/oasi_le_palme_45.2915_10.9796.json,custom
45.291433,10.979648,ov_agriturismo_oasi_45.2914_10.9796,Agriturismo Oasi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/agriturismo_oasi_45.2914_10.9796.json,custom
45.290291,11.018531,ov_l_artigliere_45.2903_11.0185,L'Artigliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/lartigliere_45.2903_11.0185.json,custom
45.290183,11.018501,ov_hacienda_de_leon_45.2902_11.0185,Hacienda De Leon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/hacienda_de_leon_45.2902_11.0185.json,custom
45.293629,11.021667,ov_villa_boschi_45.2936_11.0217,Villa Boschi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/villa_boschi_45.2936_11.0217.json,custom
45.306398,11.031854,ov_la_vecia_scola_45.3064_11.0319,La Vecia Scola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/la_vecia_scola_45.3064_11.0319.json,custom
45.308469,10.994261,ov_ristorante_pila_vecia_45.3085_10.9943,Ristorante Pila Vecia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/ristorante_pila_vecia_45.3085_10.9943.json,custom
45.307479,10.981293,ov_trattoria_da_romeo_al_vo_45.3075_10.9813,Trattoria Da Romeo al Vo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/trattoria_da_romeo_al_vo_45.3075_10.9813.json,custom
45.243746,11.051811,osm_al_lumicino_45.2437_11.0518,Al Lumicino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/al_lumicino_45.2437_11.0518.json,custom
45.259277,11.004095,osm_the_dorian_gray_45.2593_11.0041,The Dorian Gray,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/the_dorian_gray_45.2593_11.0041.json,custom
45.259715,10.995747,osm_agriturismo_la_palazzina_45.2597_10.9957,Agriturismo La Palazzina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/agriturismo_la_palazzina_45.2597_10.9957.json,custom
45.227440,11.025085,ov_opificio_gobbi_45.2274_11.0251,Opificio Gobbi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/opificio_gobbi_45.2274_11.0251.json,custom
45.227737,11.021040,ov_al_baretto_45.2277_11.0210,al Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/al_baretto_45.2277_11.0210.json,custom
45.226710,11.018170,ov_la_panina_45.2267_11.0182,La Panina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/la_panina_45.2267_11.0182.json,custom
45.267095,11.008324,ov_bar_caffetteria_e_s__e__di_savvina_olena_45.2671_11.0083,Bar Caffetteria e S. E. di Savvina Olena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/bar_caffetteria_e_s_e_di_savvina_olena_45.2671_11.0083.json,custom
45.272544,11.006801,ov_cafe_sportivo_45.2725_11.0068,Cafe Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/cafe_sportivo_45.2725_11.0068.json,custom
45.273309,11.007096,ov_biffi_bar_osteria_45.2733_11.0071,Biffi Bar Osteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/biffi_bar_osteria_45.2733_11.0071.json,custom
45.274695,11.007357,ov_jenfry_bar_45.2747_11.0074,Jenfry Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/jenfry_bar_45.2747_11.0074.json,custom
45.275271,11.007611,ov_kalinka_45.2753_11.0076,Kalinka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/kalinka_45.2753_11.0076.json,custom
45.278040,11.007760,ov_mammamia_ex_seven_bar_45.2780_11.0078,Mammamia ex seven bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/mammamia_ex_seven_bar_45.2780_11.0078.json,custom
45.273797,11.002454,ov_marzadro_45.2738_11.0025,Marzadro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/marzadro_45.2738_11.0025.json,custom
45.310020,11.004150,ov_royal_coffee_bar_45.3100_11.0041,ROYAL coffee bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/royal_coffee_bar_45.3100_11.0041.json,custom
45.255761,11.004060,ov_dynamics_wellness_fitness_45.2558_11.0041,Dynamics Wellness Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/dynamics_wellness_fitness_45.2558_11.0041.json,custom
45.259627,11.004567,ov_tommy_fit_45.2596_11.0046,Tommy Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/tommy_fit_45.2596_11.0046.json,custom
45.259059,11.005332,ov_firstfit_isola_della_scala_45.2591_11.0053,FirstFit Isola della Scala,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/firstfit_isola_della_scala_45.2591_11.0053.json,custom
45.259616,11.059840,ov_lettiera_cavalli___trucioli___derivati_s_45.2596_11.0598,Lettiera cavalli - Trucioli & derivati srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/lettiera_cavalli_-_trucioli_derivati_srl_45.2596_11.0598.json,custom
45.235260,11.048530,ov_agro_turistico_venatoria_isola_45.2353_11.0485,Agro Turistico Venatoria isola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/agro_turistico_venatoria_isola_45.2353_11.0485.json,custom
45.272910,11.004856,ov_noi_isola_45.2729_11.0049,Noi Isola,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/noi_isola_45.2729_11.0049.json,custom
45.292967,11.022771,ov_centro_ippico_g_b__equestrian_team_45.2930_11.0228,Centro Ippico G.B. Equestrian Team,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/centro_ippico_gb_equestrian_team_45.2930_11.0228.json,custom
45.293332,11.021015,ov_polo_club_la_fiorina_45.2933_11.0210,POLO CLUB La Fiorina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/polo_club_la_fiorina_45.2933_11.0210.json,custom
45.269356,11.007621,ov_museo_archelogico_di_isola_della_scala_45.2694_11.0076,Museo archelogico di Isola della Scala,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/isola_della_scala/pages/museo_archelogico_di_isola_della_scala_45.2694_11.0076.json,custom
