# lat,lng,id,name,building_type,type,url,page_type
# frontone -- Tutti
43.514127,12.739024,ov_ospedale_di_urbino_43.5141_12.7390,Ospedale Di Urbino,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/ospedale_di_urbino_43.5141_12.7390.json,custom
43.519314,12.748088,osm_ristorante_pizzeria_duegi_43.5193_12.7481,Ristorante Pizzeria Duegi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/ristorante_pizzeria_duegi_43.5193_12.7481.json,custom
43.513629,12.737003,osm_pizzeria_rosticceria_mangia___gusta_43.5136_12.7370,Pizzeria Rosticceria Mangia & Gusta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/pizzeria_rosticceria_mangia_gusta_43.5136_12.7370.json,custom
43.514311,12.739003,ov_bar_dello_sport_43.5143_12.7390,Bar dello sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/bar_dello_sport_43.5143_12.7390.json,custom
43.513781,12.737758,ov_bar_della_rotatoria_43.5138_12.7378,Bar Della Rotatoria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/bar_della_rotatoria_43.5138_12.7378.json,custom
43.515204,12.743441,ov_bar_the_king_village_43.5152_12.7434,Bar The King Village,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/bar_the_king_village_43.5152_12.7434.json,custom
43.516384,12.744111,ov_vip_bar_43.5164_12.7441,Vip Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/vip_bar_43.5164_12.7441.json,custom
43.513785,12.737703,osm_wine_room_s_43.5138_12.7377,Wine Room's,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/wine_rooms_43.5138_12.7377.json,custom
43.514304,12.738997,osm_bar_catria_43.5143_12.7390,Bar Catria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/bar_catria_43.5143_12.7390.json,custom
43.515196,12.743467,osm_the_king_village_43.5152_12.7435,The King Village,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/the_king_village_43.5152_12.7435.json,custom
43.517019,12.729005,osm_il_caminetto_43.5170_12.7290,Il Caminetto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/il_caminetto_43.5170_12.7290.json,custom
43.536932,12.736486,ov_fuego_latino_43.5369_12.7365,Fuego Latino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/fuego_latino_43.5369_12.7365.json,custom
43.517394,12.727511,ov_monte_catria_asd_ski_bike_43.5174_12.7275,Monte Catria ASD Ski&Bike,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/monte_catria_asd_skibike_43.5174_12.7275.json,custom
43.516792,12.728794,ov_castello_della_porta_di_frontone_43.5168_12.7288,Castello Della Porta di Frontone,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/castello_della_porta_di_frontone_43.5168_12.7288.json,custom
43.494522,12.719367,ov_svarupa_43.4945_12.7194,Svarupa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/frontone/pages/svarupa_43.4945_12.7194.json,custom
