# lat,lng,id,name,building_type,type,url,page_type
# Tagliacozzo -- Tutti
42.071588,13.255414,ov_ospedale_di_tagliacozzo_42.0716_13.2554,Ospedale Di Tagliacozzo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ospedale_di_tagliacozzo_42.0716_13.2554.json,custom
42.073573,13.245972,ov_il_capriccio_42.0736_13.2460,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/il_capriccio_42.0736_13.2460.json,custom
42.068730,13.201387,ov_il_boscaiolo_42.0687_13.2014,Il Boscaiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/il_boscaiolo_42.0687_13.2014.json,custom
42.072966,13.252312,ov_momix_bar_42.0730_13.2523,MOMIX BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/momix_bar_42.0730_13.2523.json,custom
42.070260,13.260290,ov_joe___roberta_bar_pasticceria_42.0703_13.2603,Joe & Roberta bar-pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/joe_roberta_bar-pasticceria_42.0703_13.2603.json,custom
42.070479,13.259593,ov_bar_pasticceria_piccadilly_42.0705_13.2596,Bar Pasticceria Piccadilly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/bar_pasticceria_piccadilly_42.0705_13.2596.json,custom
42.069762,13.254987,ov_planet_caf__42.0698_13.2550,Planet Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/planet_caf_42.0698_13.2550.json,custom
42.068432,13.255109,ov_victorian_public_house_42.0684_13.2551,Victorian Public House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/victorian_public_house_42.0684_13.2551.json,custom
42.068809,13.254714,ov_iqos_partner___bar_tabacchi_floriano__ta_42.0688_13.2547,"IQOS PARTNER - Bar tabacchi Floriano, Tagliacozzo",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/iqos_partner_-_bar_tabacchi_floriano_tag_42.0688_13.2547.json,custom
42.068653,13.252162,ov_caffetteria_zed_42.0687_13.2522,Caffetteria Zed,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/caffetteria_zed_42.0687_13.2522.json,custom
42.067622,13.252794,ov_bar_italia_42.0676_13.2528,Bar Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/bar_italia_42.0676_13.2528.json,custom
42.067505,13.252403,ov_enoteca_cardone_42.0675_13.2524,Enoteca Cardone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/enoteca_cardone_42.0675_13.2524.json,custom
42.067454,13.252368,ov_pub_las_vegas_42.0675_13.2524,Pub Las Vegas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/pub_las_vegas_42.0675_13.2524.json,custom
42.067403,13.251911,ov_the_londinium_42.0674_13.2519,The Londinium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/the_londinium_42.0674_13.2519.json,custom
42.067503,13.251850,ov_ada_nurzia_42.0675_13.2519,Ada Nurzia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ada_nurzia_42.0675_13.2519.json,custom
42.067529,13.251904,ov_enoteca_la_sarimmenta_42.0675_13.2519,Enoteca La Sarimmenta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/enoteca_la_sarimmenta_42.0675_13.2519.json,custom
42.067572,13.251838,ov_bar_peppino_di_congionti_marco_42.0676_13.2518,Bar Peppino di Congionti Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/bar_peppino_di_congionti_marco_42.0676_13.2518.json,custom
42.067707,13.252390,ov_whisky_bar_tagliacozzo_42.0677_13.2524,Whisky Bar_Tagliacozzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/whisky_bartagliacozzo_42.0677_13.2524.json,custom
42.067266,13.252073,ov_old_tom_42.0673_13.2521,Old Tom,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/old_tom_42.0673_13.2521.json,custom
42.067643,13.253377,ov_mini_bar_di_rubeo_simona_42.0676_13.2534,Mini bar di Rubeo Simona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/mini_bar_di_rubeo_simona_42.0676_13.2534.json,custom
42.067870,13.253986,ov_orange_gelateria_e_bar_42.0679_13.2540,Orange Gelateria e Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/orange_gelateria_e_bar_42.0679_13.2540.json,custom
42.068742,13.256537,ov_bar_di_giannantonio_42.0687_13.2565,Bar Di Giannantonio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/bar_di_giannantonio_42.0687_13.2565.json,custom
42.068849,13.257070,ov_arte_del_bere_42.0688_13.2571,Arte Del Bere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/arte_del_bere_42.0688_13.2571.json,custom
42.068815,13.273498,ov_fermento_marso___birre_artigianali_42.0688_13.2735,Fermento Marso - Birre Artigianali,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/fermento_marso_-_birre_artigianali_42.0688_13.2735.json,custom
42.070540,13.249730,ov_mordi_e_fuggi_42.0705_13.2497,Mordi e Fuggi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/mordi_e_fuggi_42.0705_13.2497.json,custom
42.105952,13.393820,ov_l_alchimista_di_cuori_42.1060_13.3938,L'Alchimista di cuori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/lalchimista_di_cuori_42.1060_13.3938.json,custom
42.094544,13.277191,ov_crosstraining_tagliacozzo_42.0945_13.2772,Crosstraining Tagliacozzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/crosstraining_tagliacozzo_42.0945_13.2772.json,custom
42.082287,13.267416,ov_ippodromo_dei_marsi_42.0823_13.2674,Ippodromo dei Marsi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/ippodromo_dei_marsi_42.0823_13.2674.json,custom
42.063779,13.238264,ov_centro_ippico_valle_verde_42.0638_13.2383,Centro Ippico Valle Verde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/centro_ippico_valle_verde_42.0638_13.2383.json,custom
42.058020,13.275841,ov_museo_orientale_42.0580_13.2758,Museo Orientale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/museo_orientale_42.0580_13.2758.json,custom
42.068537,13.252786,osm_poste_italiane_42.0685_13.2528,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/poste_italiane_42.0685_13.2528.json,custom
42.030341,13.312517,ov_biblioteca_di_villa_42.0303_13.3125,Biblioteca di Villa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/tagliacozzo/pages/biblioteca_di_villa_42.0303_13.3125.json,custom
