# lat,lng,id,name,building_type,type,url,page_type
# Teggiano -- Tutti
40.368055,15.573858,ov_ambulatorio_morgan_vet_40.3681_15.5739,Ambulatorio Morgan Vet,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/ambulatorio_morgan_vet_40.3681_15.5739.json,custom
40.379654,15.539393,osm_la_dispensa_di_casa_amaro_teggiano_40.3797_15.5394,La Dispensa di Casa Amaro Teggiano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/la_dispensa_di_casa_amaro_teggiano_40.3797_15.5394.json,custom
40.377952,15.521646,osm_ristorante_romantica_40.3780_15.5216,Ristorante Romantica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/ristorante_romantica_40.3780_15.5216.json,custom
40.395048,15.515257,osm_giardino_takeaway_40.3950_15.5153,Giardino TakeAway,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/giardino_takeaway_40.3950_15.5153.json,custom
40.379825,15.539721,ov_bar_caff__nazionale_teggiano_40.3798_15.5397,Bar Caffè Nazionale Teggiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/bar_caff_nazionale_teggiano_40.3798_15.5397.json,custom
40.380299,15.539618,ov_caff__dei_principi_40.3803_15.5396,Caffè dei Principi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/caff_dei_principi_40.3803_15.5396.json,custom
40.379762,15.533584,ov_caffe_carrano_40.3798_15.5336,Caffe Carrano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/caffe_carrano_40.3798_15.5336.json,custom
40.426221,15.508319,ov_tostini_caff____official_40.4262_15.5083,Tostini Caffè - Official,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/tostini_caff_-_official_40.4262_15.5083.json,custom
40.396014,15.524623,ov_crisalide_caffe_point_40.3960_15.5246,Crisalide Caffe Point,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/crisalide_caffe_point_40.3960_15.5246.json,custom
40.384160,15.501960,ov_wine_bar_cafe__la_regina_40.3842_15.5020,Wine bar cafe' La Regina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/wine_bar_cafe_la_regina_40.3842_15.5020.json,custom
40.386477,15.526491,ov_euphoria_ice_cream___cocktails_40.3865_15.5265,Euphoria Ice cream & Cocktails,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/euphoria_ice_cream_cocktails_40.3865_15.5265.json,custom
40.383701,15.503158,ov_bar_amici_di_san_marco_40.3837_15.5032,Bar Amici Di San Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/bar_amici_di_san_marco_40.3837_15.5032.json,custom
40.381250,15.499780,ov_red_bar_40.3813_15.4998,Red Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/red_bar_40.3813_15.4998.json,custom
40.391041,15.512901,osm_pasticceria_d_elia_di_mafredi_domenico_40.3910_15.5129,Pasticceria D'Elia di Mafredi Domenico,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/pasticceria_delia_di_mafredi_domenico_40.3910_15.5129.json,custom
40.374557,15.562449,ov_asd_your_fitness_40.3746_15.5624,ASD Your Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/asd_your_fitness_40.3746_15.5624.json,custom
40.401772,15.518951,ov_studio_wellness_40.4018_15.5190,Studio Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/studio_wellness_40.4018_15.5190.json,custom
40.394965,15.526034,ov_dianolandia___centro_sportivo_san_giovan_40.3950_15.5260,Dianolandia - Centro sportivo San Giovanni,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/dianolandia_-_centro_sportivo_san_giovan_40.3950_15.5260.json,custom
40.392031,15.526269,ov_palestra_salus_sport_40.3920_15.5263,Palestra Salus Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/palestra_salus_sport_40.3920_15.5263.json,custom
40.378775,15.541452,ov_museo_diocesano_san_pietro_40.3788_15.5415,Museo Diocesano San Pietro,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/teggiano/pages/museo_diocesano_san_pietro_40.3788_15.5415.json,custom
