# lat,lng,id,name,building_type,type,url,page_type
# Pontassieve -- Tutti
43.775545,11.417140,ov_oromed_43.7755_11.4171,Oromed,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/oromed_43.7755_11.4171.json,custom
43.770308,11.437119,ov_fico_bistro_43.7703_11.4371,Fico Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/fico_bistro_43.7703_11.4371.json,custom
43.770136,11.437291,ov_gipsy_burger_43.7701_11.4373,Gipsy Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/gipsy_burger_43.7701_11.4373.json,custom
43.829490,11.487130,ov_ristorante_la_casa_del_th__43.8295_11.4871,Ristorante La Casa Del Thé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_la_casa_del_th_43.8295_11.4871.json,custom
43.823279,11.459453,ov_edoardo_tilli_chef_43.8233_11.4595,Edoardo Tilli Chef,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/edoardo_tilli_chef_43.8233_11.4595.json,custom
43.816585,11.446241,ov_ristorante_mulino_a_vento_43.8166_11.4462,Ristorante Mulino a Vento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_mulino_a_vento_43.8166_11.4462.json,custom
43.813875,11.449021,ov_cucina_di_casabella_by_lavacchio_43.8139_11.4490,Cucina di Casabella by Lavacchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/cucina_di_casabella_by_lavacchio_43.8139_11.4490.json,custom
43.812287,11.399670,ov_ristorante_pizzeria_tenuta_dei_cavalieri_43.8123_11.3997,Ristorante Pizzeria Tenuta dei Cavalieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_pizzeria_tenuta_dei_cavalieri_43.8123_11.3997.json,custom
43.811397,11.400377,ov_ristorante_banco_a_ristoro_43.8114_11.4004,Ristorante Banco A Ristoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_banco_a_ristoro_43.8114_11.4004.json,custom
43.811267,11.382005,ov_agriturismo_casale_le_pergole_43.8113_11.3820,Agriturismo Casale Le Pergole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/agriturismo_casale_le_pergole_43.8113_11.3820.json,custom
43.818104,11.373326,ov_ristorante_da_orlando_43.8181_11.3733,Ristorante da Orlando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_da_orlando_43.8181_11.3733.json,custom
43.823940,11.426242,ov_ristorante_le_delizie_di_meo_43.8239_11.4262,Ristorante Le delizie di Meo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_le_delizie_di_meo_43.8239_11.4262.json,custom
43.826918,11.385147,ov_al_trebbio_43.8269_11.3851,Al Trebbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/al_trebbio_43.8269_11.3851.json,custom
43.826684,11.384896,ov_ristorante_tenuta_dei_cavalieri_43.8267_11.3849,Ristorante Tenuta dei Cavalieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_tenuta_dei_cavalieri_43.8267_11.3849.json,custom
43.845121,11.375964,ov_la_sorgente_di_francesca_43.8451_11.3760,La Sorgente di Francesca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/la_sorgente_di_francesca_43.8451_11.3760.json,custom
43.852203,11.354324,ov_i_casali_del_trebbiolo_43.8522_11.3543,I Casali del Trebbiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/i_casali_del_trebbiolo_43.8522_11.3543.json,custom
43.852808,11.354459,ov_the_trebbiolo_relais_43.8528_11.3545,The Trebbiolo Relais,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/the_trebbiolo_relais_43.8528_11.3545.json,custom
43.851148,11.369313,ov_torre_al_sasso_43.8511_11.3693,Torre al Sasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/torre_al_sasso_43.8511_11.3693.json,custom
43.851270,11.369130,ov_torre_de__pazzi_43.8513_11.3691,Torre de' Pazzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/torre_de_pazzi_43.8513_11.3691.json,custom
43.851965,11.397443,ov_pizzeria_nappino_43.8520_11.3974,Pizzeria Nappino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pizzeria_nappino_43.8520_11.3974.json,custom
43.837585,11.386904,ov_la_sosta_del_gusto_43.8376_11.3869,La Sosta del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/la_sosta_del_gusto_43.8376_11.3869.json,custom
43.838912,11.433147,ov_ristorante_artemide_43.8389_11.4331,Ristorante Artemide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_artemide_43.8389_11.4331.json,custom
43.852548,11.469734,ov_ristorante_pizzeria_acone_43.8525_11.4697,Ristorante Pizzeria Acone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristorante_pizzeria_acone_43.8525_11.4697.json,custom
43.862272,11.503906,ov_il_borgo_ristorante_and_more_43.8623_11.5039,Il Borgo Ristorante and more,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/il_borgo_ristorante_and_more_43.8623_11.5039.json,custom
43.858674,11.358565,ov_agriturismo_le_fonti_43.8587_11.3586,Agriturismo Le Fonti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/agriturismo_le_fonti_43.8587_11.3586.json,custom
43.861531,11.353949,ov_alchimia_vegetale_43.8615_11.3539,Alchimia Vegetale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/alchimia_vegetale_43.8615_11.3539.json,custom
43.879921,11.459803,ov_bottega_di_montegiovi_43.8799_11.4598,Bottega di Montegiovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bottega_di_montegiovi_43.8799_11.4598.json,custom
43.775877,11.440939,osm_ristoro_popolare_43.7759_11.4409,Ristoro Popolare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristoro_popolare_43.7759_11.4409.json,custom
43.819425,11.476283,osm_osteria_la_casellina_43.8194_11.4763,Osteria la Casellina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/osteria_la_casellina_43.8194_11.4763.json,custom
43.823331,11.459405,osm_podere_belvedere_43.8233_11.4594,Podere Belvedere,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/podere_belvedere_43.8233_11.4594.json,custom
43.771447,11.426271,ov_bar_la_sosta_43.7714_11.4263,Bar La Sosta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_la_sosta_43.7714_11.4263.json,custom
43.788770,11.394372,ov_pasticceria_tiziana_43.7888_11.3944,Pasticceria Tiziana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pasticceria_tiziana_43.7888_11.3944.json,custom
43.789769,11.393092,ov_circolo_mcl_il_gabbiano_43.7898_11.3931,Circolo Mcl Il Gabbiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/circolo_mcl_il_gabbiano_43.7898_11.3931.json,custom
43.790652,11.392681,ov_bar_plinio_snc_43.7907_11.3927,Bar Plinio Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_plinio_snc_43.7907_11.3927.json,custom
43.791299,11.392761,ov_bar_3_emme_43.7913_11.3928,Bar 3 Emme,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_3_emme_43.7913_11.3928.json,custom
43.772625,11.436775,ov_il_barretto_43.7726_11.4368,Il Barretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/il_barretto_43.7726_11.4368.json,custom
43.776883,11.428344,ov_bar_mezzana_43.7769_11.4283,Bar Mezzana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_mezzana_43.7769_11.4283.json,custom
43.775423,11.439723,ov_l_officina_cafe_e_bistrot_43.7754_11.4397,L'Officina Cafe e Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/lofficina_cafe_e_bistrot_43.7754_11.4397.json,custom
43.775862,11.441152,ov_bar_la_torre_di_simone_e_giacomo_43.7759_11.4412,Bar La Torre di Simone e Giacomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_la_torre_di_simone_e_giacomo_43.7759_11.4412.json,custom
43.775797,11.440909,ov_vino_re_vino_sfuso_e_delizie_43.7758_11.4409,Vino Re vino sfuso e delizie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/vino_re_vino_sfuso_e_delizie_43.7758_11.4409.json,custom
43.777763,11.443147,ov_bar_tabacchi_messini_43.7778_11.4431,Bar Tabacchi Messini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_tabacchi_messini_43.7778_11.4431.json,custom
43.774688,11.441604,ov_nura___wedding___corporate_catering___de_43.7747_11.4416,NURA - Wedding & Corporate Catering / Delivery / Quality Str,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/nura_-_wedding_corporate_catering_delive_43.7747_11.4416.json,custom
43.774627,11.440631,ov_caff__cairoli_43.7746_11.4406,Caffè Cairoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/caff_cairoli_43.7746_11.4406.json,custom
43.774654,11.438567,ov_pasticceria_sonia_43.7747_11.4386,Pasticceria Sonia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/pasticceria_sonia_43.7747_11.4386.json,custom
43.772840,11.437620,ov_bar_lady_43.7728_11.4376,Bar lady,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_lady_43.7728_11.4376.json,custom
43.772768,11.437695,ov_officina_del_vino_43.7728_11.4377,Officina del Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/officina_del_vino_43.7728_11.4377.json,custom
43.772689,11.437903,ov_caffe_shop_43.7727_11.4379,CAFFE SHOP,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/caffe_shop_43.7727_11.4379.json,custom
43.772980,11.441370,ov_bar_la_ghiacciaia_43.7730_11.4414,Bar La Ghiacciaia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_la_ghiacciaia_43.7730_11.4414.json,custom
43.781671,11.446157,ov_fantini_angela_43.7817_11.4462,Fantini Angela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/fantini_angela_43.7817_11.4462.json,custom
43.777918,11.443197,ov_vineria_enoteca_i_mommo_43.7779_11.4432,Vineria Enoteca i Mommo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/vineria_enoteca_i_mommo_43.7779_11.4432.json,custom
43.778061,11.443056,ov_luiros_caff__43.7781_11.4431,Luiros CAFFÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/luiros_caff_43.7781_11.4431.json,custom
43.772143,11.436752,ov_villini_lab_43.7721_11.4368,Villini Lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/villini_lab_43.7721_11.4368.json,custom
43.769087,11.435540,ov_ristokiosko_______il_parco__pontassieve_43.7691_11.4355,"Ristokiosko     - il Parco, Pontassieve",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ristokiosko_-_il_parco_pontassieve_43.7691_11.4355.json,custom
43.829296,11.487880,ov_bar_montebonello_43.8293_11.4879,Bar Montebonello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_montebonello_43.8293_11.4879.json,custom
43.775842,11.441181,osm_bar_la_torre_43.7758_11.4412,Bar La Torre,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_la_torre_43.7758_11.4412.json,custom
43.790668,11.392617,osm_bar_plinio_43.7907_11.3926,Bar Plinio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/bar_plinio_43.7907_11.3926.json,custom
43.775406,11.439669,osm_l_officina_caf__e_bistrot_43.7754_11.4397,L'Officina Cafè e Bistrot,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/lofficina_caf_e_bistrot_43.7754_11.4397.json,custom
43.772202,11.436748,osm_villini_lab_pub_43.7722_11.4367,Villini Lab Pub,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/villini_lab_pub_43.7722_11.4367.json,custom
43.787170,11.398510,ov_boxe_kickboxing_muay_thai_valdisieve_43.7872_11.3985,Boxe Kickboxing Muay Thai Valdisieve,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/boxe_kickboxing_muay_thai_valdisieve_43.7872_11.3985.json,custom
43.787216,11.398577,ov_jawhara_athletic_43.7872_11.3986,Jawhara Athletic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/jawhara_athletic_43.7872_11.3986.json,custom
43.787840,11.397105,ov_ferraristi_toscani_club_sieci_43.7878_11.3971,Ferraristi Toscani Club Sieci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/ferraristi_toscani_club_sieci_43.7878_11.3971.json,custom
43.775224,11.416900,ov_fun_lab_43.7752_11.4169,Fun.Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/funlab_43.7752_11.4169.json,custom
43.775453,11.418552,ov_crazy_rock_ballet_asd_43.7755_11.4186,Crazy Rock Ballet asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/crazy_rock_ballet_asd_43.7755_11.4186.json,custom
43.777121,11.422916,ov_palestra_ernesto_balducci_43.7771_11.4229,Palestra Ernesto Balducci,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/palestra_ernesto_balducci_43.7771_11.4229.json,custom
43.773608,11.425972,ov_stecche_ares_43.7736_11.4260,Stecche ARES,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/stecche_ares_43.7736_11.4260.json,custom
43.777590,11.443109,ov_movimenti_studio_asd_43.7776_11.4431,MoviMenti Studio ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/movimenti_studio_asd_43.7776_11.4431.json,custom
43.774250,11.440563,ov_gate7_dance_studio_43.7743_11.4406,Gate7 Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/gate7_dance_studio_43.7743_11.4406.json,custom
43.771050,11.440780,ov_curiel_danza_43.7711_11.4408,Curiel Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/curiel_danza_43.7711_11.4408.json,custom
43.771984,11.436699,ov_51__dance_43.7720_11.4367,51% Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/51_dance_43.7720_11.4367.json,custom
43.829227,11.482721,ov_salsa_punto_43.8292_11.4827,Salsa Punto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/salsa_punto_43.8292_11.4827.json,custom
43.826637,11.385326,ov_centro_ippico__tenuta_dei_cavalieri__43.8266_11.3853,Centro ippico “Tenuta dei Cavalieri”,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/centro_ippico_tenuta_dei_cavalieri_43.8266_11.3853.json,custom
43.848381,11.495484,ov_silver_lake_ranch_43.8484_11.4955,Silver Lake Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/silver_lake_ranch_43.8484_11.4955.json,custom
43.833103,11.411816,ov_fornello_43.8331_11.4118,Fornello,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/fornello_43.8331_11.4118.json,custom
43.775723,11.440446,ov_biblioteca_comunale_43.7757_11.4404,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/pontassieve/pages/biblioteca_comunale_43.7757_11.4404.json,custom
