# lat,lng,id,name,building_type,type,url,page_type
# caronno_pertusella -- Tutti
45.591550,9.046270,ov_cicogna_center_caronno_pertusella_45.5915_9.0463,Cicogna Center Caronno Pertusella,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/cicogna_center_caronno_pertusella_45.5915_9.0463.json,custom
45.593735,9.051809,ov_passaparola_2_45.5937_9.0518,Passaparola 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/passaparola_2_45.5937_9.0518.json,custom
45.594124,9.064653,osm_ristorante_il_gufo_45.5941_9.0647,Ristorante Il Gufo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristorante_il_gufo_45.5941_9.0647.json,custom
45.609716,9.037345,osm_donna_p__45.6097_9.0373,Donna Pè,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/donna_p_45.6097_9.0373.json,custom
45.610399,9.036333,osm_ristobar_tabacchi_45.6104_9.0363,Ristobar tabacchi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/ristobar_tabacchi_45.6104_9.0363.json,custom
45.592176,9.043801,osm_pizza_club_no_limits_45.5922_9.0438,Pizza Club No Limits,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pizza_club_no_limits_45.5922_9.0438.json,custom
45.582283,9.053123,ov_eden_green_bar_45.5823_9.0531,Eden Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/eden_green_bar_45.5823_9.0531.json,custom
45.584248,9.058028,ov_bar_euforia_45.5842_9.0580,Bar Euforia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_euforia_45.5842_9.0580.json,custom
45.584325,9.057514,ov_bar_ca__rossa_45.5843_9.0575,Bar Ca' Rossa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_ca_rossa_45.5843_9.0575.json,custom
45.600634,9.043918,ov_pertugio_cafe_45.6006_9.0439,Pertugio Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pertugio_cafe_45.6006_9.0439.json,custom
45.597891,9.056770,ov_crazy_bar_45.5979_9.0568,Crazy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/crazy_bar_45.5979_9.0568.json,custom
45.594886,9.059228,ov_bar_de_barrio_45.5949_9.0592,Bar de Barrio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_de_barrio_45.5949_9.0592.json,custom
45.594274,9.059359,ov_bar_edicola_pertusella_45.5943_9.0594,Bar Edicola Pertusella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_edicola_pertusella_45.5943_9.0594.json,custom
45.596990,9.052240,ov_street_food___bar_matteo_45.5970_9.0522,Street Food & Bar Matteo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/street_food_bar_matteo_45.5970_9.0522.json,custom
45.595997,9.046177,ov_bar_barbaresco_45.5960_9.0462,Bar Barbaresco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_barbaresco_45.5960_9.0462.json,custom
45.596469,9.048142,ov_dolci_ad_arte_caffetteria_pasticceria_45.5965_9.0481,Dolci ad Arte Caffetteria Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/dolci_ad_arte_caffetteria_pasticceria_45.5965_9.0481.json,custom
45.597941,9.043415,ov_cincu_e_deci_45.5979_9.0434,Cincu e Deci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/cincu_e_deci_45.5979_9.0434.json,custom
45.597811,9.048370,ov_tiffany_caffe___grill_45.5978_9.0484,Tiffany Caffe & Grill,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/tiffany_caffe_grill_45.5978_9.0484.json,custom
45.599325,9.044117,ov_pancaf__san_rocco_45.5993_9.0441,Pancafè San Rocco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/pancaf_san_rocco_45.5993_9.0441.json,custom
45.597589,9.041302,ov_caf_caronno_45.5976_9.0413,CAF Caronno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/caf_caronno_45.5976_9.0413.json,custom
45.597669,9.041195,ov_charlotte_cafe_45.5977_9.0412,Charlotte Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/charlotte_cafe_45.5977_9.0412.json,custom
45.594804,9.036353,ov_bar_centro_sportivo_matteotti_45.5948_9.0364,Bar centro Sportivo Matteotti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/bar_centro_sportivo_matteotti_45.5948_9.0364.json,custom
45.588841,9.053817,ov_birrificio_vetra_45.5888_9.0538,Birrificio Vetra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/birrificio_vetra_45.5888_9.0538.json,custom
45.590996,9.048660,ov_lino_s_coffee__caronno_45.5910_9.0487,Lino's Coffee_ Caronno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/linos_coffee_caronno_45.5910_9.0487.json,custom
45.592341,9.043617,ov_colazione_e_merenda_45.5923_9.0436,Colazione e Merenda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/colazione_e_merenda_45.5923_9.0436.json,custom
45.620720,9.150912,ov_new_neverland_caff__45.6207_9.1509,New Neverland Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/new_neverland_caff_45.6207_9.1509.json,custom
45.607963,9.037696,osm_tiffany_45.6080_9.0377,Tiffany,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/tiffany_45.6080_9.0377.json,custom
45.582263,9.053096,ov_diving_water_club_45.5823_9.0531,Diving Water Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/diving_water_club_45.5823_9.0531.json,custom
45.601136,9.040043,ov_gpc_power_academy_45.6011_9.0400,GPC Power Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/gpc_power_academy_45.6011_9.0400.json,custom
45.601175,9.040011,ov_tds_the_dance_school_45.6012_9.0400,TDS The Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/tds_the_dance_school_45.6012_9.0400.json,custom
45.602019,9.045558,ov_burpees_studio_45.6020_9.0456,Burpees Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/burpees_studio_45.6020_9.0456.json,custom
45.594271,9.059409,ov_scuola_di_ballo_ago_e_gabri_45.5943_9.0594,Scuola di ballo Ago e Gabri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/scuola_di_ballo_ago_e_gabri_45.5943_9.0594.json,custom
45.596855,9.054032,ov_esedra_fitness_e_danza_45.5969_9.0540,Esedra Fitness e Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/esedra_fitness_e_danza_45.5969_9.0540.json,custom
45.589396,9.054850,ov_hermelin_biliardi_45.5894_9.0548,Hermelin Biliardi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/hermelin_biliardi_45.5894_9.0548.json,custom
45.591961,9.043641,ov_crossfit_caronno_2_0_45.5920_9.0436,CrossFit Caronno 2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/crossfit_caronno_20_45.5920_9.0436.json,custom
45.591963,9.043643,ov_foryou_fitness_club_45.5920_9.0436,Foryou Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/foryou_fitness_club_45.5920_9.0436.json,custom
45.591950,9.043546,ov__sport_caronno_pertusella_45.5919_9.0435,éSport Caronno Pertusella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/sport_caronno_pertusella_45.5919_9.0435.json,custom
45.592189,9.043796,ov_foryouclub_caronno_45.5922_9.0438,ForYouClub Caronno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/foryouclub_caronno_45.5922_9.0438.json,custom
45.591119,9.059580,ov_fisioway_45.5911_9.0596,Fisioway,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/fisioway_45.5911_9.0596.json,custom
45.604756,9.040909,ov_museo_e_hub_ondarossa_45.6048_9.0409,Museo e HUB Ondarossa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/museo_e_hub_ondarossa_45.6048_9.0409.json,custom
45.596228,9.048417,ov_biblioteca_comunale_giuditta_pellegrini_45.5962_9.0484,Biblioteca Comunale Giuditta Pellegrini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/biblioteca_comunale_giuditta_pellegrini_45.5962_9.0484.json,custom
45.596228,9.048417,ov_biblioteca_di_caronno_pertusella_45.5962_9.0484,Biblioteca di Caronno Pertusella,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/biblioteca_di_caronno_pertusella_45.5962_9.0484.json,custom
45.596279,9.048510,osm_biblioteca_comunale_giuditta_pellegrini_45.5963_9.0485,Biblioteca comunale Giuditta Pellegrini,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caronno_pertusella/pages/biblioteca_comunale_giuditta_pellegrini_45.5963_9.0485.json,custom
