# lat,lng,id,name,building_type,type,url,page_type
# Villa Literno -- Tutti
41.010046,14.077929,ov_ass__centro_infermieristico_villa_litern_41.0100_14.0779,Ass. Centro Infermieristico Villa Literno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/ass_centro_infermieristico_villa_literno_41.0100_14.0779.json,custom
41.008874,14.069482,ov_sapur__2_0_41.0089_14.0695,Sapurè 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/sapur_20_41.0089_14.0695.json,custom
41.008420,14.070570,ov_pizzicotto_girarrosto_pizzeria__41.0084_14.0706,Pizzicotto Girarrosto Pizzeria.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/pizzicotto_girarrosto_pizzeria_41.0084_14.0706.json,custom
41.010028,14.074597,ov_pizzeria_i_turnsiell_41.0100_14.0746,Pizzeria I Turnsiell,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/pizzeria_i_turnsiell_41.0100_14.0746.json,custom
41.010463,14.071448,ov_quinta_essenza_pizzeria_41.0105_14.0714,Quinta Essenza Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/quinta_essenza_pizzeria_41.0105_14.0714.json,custom
41.012943,14.070739,ov_bibbolandia_41.0129_14.0707,Bibbolandia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/bibbolandia_41.0129_14.0707.json,custom
41.019628,14.072311,ov_exclusive_gourmet_privilege_41.0196_14.0723,Exclusive gourmet privilege,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/exclusive_gourmet_privilege_41.0196_14.0723.json,custom
41.019596,14.072548,ov_da_gilberto_41.0196_14.0725,Da Gilberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/da_gilberto_41.0196_14.0725.json,custom
41.013000,14.076256,ov_la_tegola_41.0130_14.0763,la tegola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/la_tegola_41.0130_14.0763.json,custom
41.011955,14.077544,ov_pizzeria_bella_napoli_dal_1989_41.0120_14.0775,Pizzeria Bella Napoli dal 1989,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/pizzeria_bella_napoli_dal_1989_41.0120_14.0775.json,custom
41.012732,14.079775,ov_betti_pollo_e_sfizi_41.0127_14.0798,Betti pollo e sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/betti_pollo_e_sfizi_41.0127_14.0798.json,custom
41.007160,14.081108,ov_l_incanto_41.0072_14.0811,L'incanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/lincanto_41.0072_14.0811.json,custom
41.006944,14.081508,ov_homer_burger_41.0069_14.0815,Homer Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/homer_burger_41.0069_14.0815.json,custom
41.010464,14.094826,ov_moby_dick_burger_club_41.0105_14.0948,Moby Dick Burger Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/moby_dick_burger_club_41.0105_14.0948.json,custom
41.014098,14.126722,ov_tipozero_officiai_41.0141_14.1267,Tipozero OfficiaI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/tipozero_officiai_41.0141_14.1267.json,custom
41.005360,14.078720,ov_bar_il_castello_41.0054_14.0787,Bar Il Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/bar_il_castello_41.0054_14.0787.json,custom
41.000000,14.066700,ov_circolo_dei_poeti_41.0000_14.0667,Circolo Dei Poeti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/circolo_dei_poeti_41.0000_14.0667.json,custom
41.004881,14.068054,ov_antica_caffetteria_paradiso_41.0049_14.0681,Antica Caffetteria Paradiso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/antica_caffetteria_paradiso_41.0049_14.0681.json,custom
41.007041,14.072530,ov_bar_il_castello_41.0070_14.0725,BAR il Castello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/bar_il_castello_41.0070_14.0725.json,custom
41.012076,14.075237,ov_caffe_borbone_41.0121_14.0752,Caffe Borbone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/caffe_borbone_41.0121_14.0752.json,custom
41.014286,14.075545,ov_reccia_caf__villa_literno_41.0143_14.0755,Reccia Cafè Villa Literno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/reccia_caf_villa_literno_41.0143_14.0755.json,custom
41.020366,14.071651,ov_joy_club_padel___fitness_41.0204_14.0717,Joy Club Padel & Fitness,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/joy_club_padel_fitness_41.0204_14.0717.json,custom
41.011190,14.089090,ov_bar_la_sosta_41.0112_14.0891,Bar La Sosta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/bar_la_sosta_41.0112_14.0891.json,custom
41.011190,14.089090,ov_salaslot_heaven_hall_41.0112_14.0891,Salaslot Heaven HALL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/salaslot_heaven_hall_41.0112_14.0891.json,custom
41.011760,14.084980,ov_birrificio_artigianale_alba_41.0118_14.0850,Birrificio Artigianale ALBA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/birrificio_artigianale_alba_41.0118_14.0850.json,custom
41.013179,14.076984,ov_dubai_cafe_slot___vlt__41.0132_14.0770,Dubai Cafe Slot & Vlt.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/dubai_cafe_slot_vlt_41.0132_14.0770.json,custom
41.012681,14.079063,ov_caffetteria_corvino_41.0127_14.0791,Caffetteria Corvino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/caffetteria_corvino_41.0127_14.0791.json,custom
41.011078,14.078276,ov_bar_pasticceria_nucci_41.0111_14.0783,Bar Pasticceria Nucci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/bar_pasticceria_nucci_41.0111_14.0783.json,custom
41.011232,14.078005,ov_l_angolo_del_biliardo_41.0112_14.0780,L'Angolo del Biliardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/langolo_del_biliardo_41.0112_14.0780.json,custom
41.012160,14.082690,ov_aury_cornetteria_caffetteria_41.0122_14.0827,Aury cornetteria caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/aury_cornetteria_caffetteria_41.0122_14.0827.json,custom
41.008945,14.079829,ov_gran_caffe_classico_41.0089_14.0798,Gran Caffe Classico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/gran_caffe_classico_41.0089_14.0798.json,custom
41.008176,14.080457,ov_enoteca_la_sete_di_bacco_41.0082_14.0805,Enoteca La Sete di Bacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/enoteca_la_sete_di_bacco_41.0082_14.0805.json,custom
41.007040,14.081420,ov_lounge_bar_pasticceria_madonna_41.0070_14.0814,Lounge bar pasticceria Madonna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/lounge_bar_pasticceria_madonna_41.0070_14.0814.json,custom
41.010302,14.083389,ov_il_vicoletto_41.0103_14.0834,Il vicoletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/il_vicoletto_41.0103_14.0834.json,custom
41.006049,14.077417,ov_sport_time_club_2_41.0060_14.0774,Sport Time Club 2,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/sport_time_club_2_41.0060_14.0774.json,custom
41.007970,14.062350,ov_non_solo_danza_41.0080_14.0624,Non Solo Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/non_solo_danza_41.0080_14.0624.json,custom
41.008792,14.063525,ov_global_gym_41.0088_14.0635,Global Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/global_gym_41.0088_14.0635.json,custom
41.011264,14.075947,ov_accademia_dancenter_giselle_41.0113_14.0759,Accademia Dancenter Giselle,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/accademia_dancenter_giselle_41.0113_14.0759.json,custom
41.014068,14.077203,ov_hyper_gym___sport___conditioning_41.0141_14.0772,Hyper Gym - Sport - Conditioning,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/hyper_gym_-_sport_-_conditioning_41.0141_14.0772.json,custom
41.011411,14.077401,ov_centro_sportivo_non_solo_danza_41.0114_14.0774,Centro Sportivo Non Solo Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/centro_sportivo_non_solo_danza_41.0114_14.0774.json,custom
41.012352,14.082215,ov_metamorfosi_fit_lab_41.0124_14.0822,Metamorfosi Fit Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/villa_literno/pages/metamorfosi_fit_lab_41.0124_14.0822.json,custom
