# lat,lng,id,name,building_type,type,url,page_type
# san_marco_in_lamis -- Tutti
41.707015,15.696317,ov_fondazione_centri_di_riabilitazione_padr_41.7070_15.6963,Fondazione Centri di Riabilitazione Padre Pio ETS,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/fondazione_centri_di_riabilitazione_padr_41.7070_15.6963.json,custom
41.713116,15.632636,ov_bar_the_bridge_41.7131_15.6326,Bar The Bridge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/bar_the_bridge_41.7131_15.6326.json,custom
41.713420,15.632350,ov_galullo_mille959_caffetteria_pasticceria_41.7134_15.6324,Galullo Mille959 Caffetteria Pasticceria Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/galullo_mille959_caffetteria_pasticceria_41.7134_15.6324.json,custom
41.711728,15.634803,ov_cafe_noir_41.7117_15.6348,Cafe Noir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/cafe_noir_41.7117_15.6348.json,custom
41.704302,15.656358,ov_lo_chalet_41.7043_15.6564,Lo Chalet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/lo_chalet_41.7043_15.6564.json,custom
41.710252,15.641400,ov_home_dance_studio_41.7103_15.6414,Home Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/home_dance_studio_41.7103_15.6414.json,custom
41.712262,15.643560,ov_body_planet_41.7123_15.6436,Body Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/body_planet_41.7123_15.6436.json,custom
41.711107,15.642615,ov_kim_sport_studio_terapia_41.7111_15.6426,Kim Sport Studio Terapia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/kim_sport_studio_terapia_41.7111_15.6426.json,custom
41.710240,15.643350,ov_arte_danza___san_marco_in_lamis_41.7102_15.6433,Arte Danza - San Marco in Lamis,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/arte_danza_-_san_marco_in_lamis_41.7102_15.6433.json,custom
41.706677,15.652182,ov_museo_paleontologico_dei_dinosauri_41.7067_15.6522,Museo Paleontologico dei Dinosauri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/museo_paleontologico_dei_dinosauri_41.7067_15.6522.json,custom
41.711835,15.632205,ov_biblioteca_comunale_41.7118_15.6322,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/biblioteca_comunale_41.7118_15.6322.json,custom
41.712830,15.660180,ov_biblioteca_francescana_provinciale__p__a_41.7128_15.6602,Biblioteca Francescana Provinciale 'P. A. Fania' Convento Sa,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/san_marco_in_lamis/pages/biblioteca_francescana_provinciale_p_a_f_41.7128_15.6602.json,custom
