# lat,lng,id,name,building_type,type,url,page_type
# darfo_boario_terme -- Tutti
45.893627,10.191690,ov_studio_medico_associato_boariomed_45.8936_10.1917,Studio Medico Associato Boariomed,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/studio_medico_associato_boariomed_45.8936_10.1917.json,custom
45.889708,10.189251,ov_barilo_45.8897_10.1893,Barilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/barilo_45.8897_10.1893.json,custom
45.889903,10.187262,ov_kebab_k2_boario_terme_45.8899_10.1873,Kebab K2 Boario Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/kebab_k2_boario_terme_45.8899_10.1873.json,custom
45.885903,10.192607,ov_montecchio_bay_45.8859_10.1926,Montecchio Bay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/montecchio_bay_45.8859_10.1926.json,custom
45.883300,10.183300,ov_peperino_abbigliamento_boario_45.8833_10.1833,Peperino Abbigliamento Boario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/peperino_abbigliamento_boario_45.8833_10.1833.json,custom
45.879798,10.182886,ov_ristorante_al_campanile_45.8798_10.1829,Ristorante Al Campanile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ristorante_al_campanile_45.8798_10.1829.json,custom
45.880144,10.182972,ov_ol__gastronomia_45.8801_10.1830,Olé Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ol_gastronomia_45.8801_10.1830.json,custom
45.878963,10.180014,ov_pronto_pizza_45.8790_10.1800,Pronto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pronto_pizza_45.8790_10.1800.json,custom
45.876228,10.180048,ov_capili_45.8762_10.1800,Capili,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/capili_45.8762_10.1800.json,custom
45.877348,10.179316,ov_pizza___altro_45.8773_10.1793,Pizza & Altro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pizza_altro_45.8773_10.1793.json,custom
45.882205,10.180152,ov_pizzeria_happy_food_45.8822_10.1802,Pizzeria Happy Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pizzeria_happy_food_45.8822_10.1802.json,custom
45.889077,10.184052,ov_central_park_pizzeria_piadineria_45.8891_10.1841,Central Park Pizzeria Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/central_park_pizzeria_piadineria_45.8891_10.1841.json,custom
45.891014,10.185677,ov_animo_ristorante_45.8910_10.1857,animo ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/animo_ristorante_45.8910_10.1857.json,custom
45.881117,10.162927,ov_bar_trattoria_melania_bertocchi_45.8811_10.1629,Bar Trattoria Melania Bertocchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_trattoria_melania_bertocchi_45.8811_10.1629.json,custom
45.867874,10.146158,ov_bella_zia_home_restaurant_45.8679_10.1462,Bella Zia Home restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bella_zia_home_restaurant_45.8679_10.1462.json,custom
45.867765,10.146192,ov_b___b_la_mela_45.8678_10.1462,B & B La Mela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/b_b_la_mela_45.8678_10.1462.json,custom
45.867935,10.150075,ov_albergo_ristorante_airone_45.8679_10.1501,Albergo Ristorante Airone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/albergo_ristorante_airone_45.8679_10.1501.json,custom
45.870930,10.154170,ov_haru_restaurant_darfo_boario_terme_45.8709_10.1542,Haru Restaurant DARFO Boario Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/haru_restaurant_darfo_boario_terme_45.8709_10.1542.json,custom
45.871488,10.154648,ov_mcdonald_s_45.8715_10.1546,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/mcdonalds_45.8715_10.1546.json,custom
45.872446,10.154780,ov_old_wild_west___darfo_boario_terme_45.8724_10.1548,Old Wild West - Darfo Boario Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/old_wild_west_-_darfo_boario_terme_45.8724_10.1548.json,custom
45.872392,10.155004,ov_la_piadineria_45.8724_10.1550,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/la_piadineria_45.8724_10.1550.json,custom
45.872450,10.155584,ov_adamello_45.8725_10.1556,ADAMELLO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/adamello_45.8725_10.1556.json,custom
45.873380,10.156342,ov_alice_pizza_45.8734_10.1563,Alice Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/alice_pizza_45.8734_10.1563.json,custom
45.870749,10.185888,ov_agriturismo_roncadizza_lumaghera_45.8707_10.1859,Agriturismo Roncadizza Lumaghera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/agriturismo_roncadizza_lumaghera_45.8707_10.1859.json,custom
45.889205,10.210328,ov_ristorante_la_storia_45.8892_10.2103,Ristorante La Storia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ristorante_la_storia_45.8892_10.2103.json,custom
45.900677,10.198127,ov_viaprade8_beerstro_45.9007_10.1981,Viaprade8 Beerstro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/viaprade8_beerstro_45.9007_10.1981.json,custom
45.908269,10.204113,ov_la_nuova_campello_45.9083_10.2041,La Nuova Campello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/la_nuova_campello_45.9083_10.2041.json,custom
45.907638,10.203364,ov_osteria_gabossi_45.9076_10.2034,Osteria Gabossi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/osteria_gabossi_45.9076_10.2034.json,custom
45.871589,10.154407,osm_mcdonald_s_45.8716_10.1544,McDonald's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/mcdonalds_45.8716_10.1544.json,custom
45.873543,10.156261,osm_haru_sushi_45.8735_10.1563,Haru Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/haru_sushi_45.8735_10.1563.json,custom
45.872023,10.154578,osm_alice_45.8720_10.1546,Alice,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/alice_45.8720_10.1546.json,custom
45.872063,10.154843,osm_i_love_poke_45.8721_10.1548,I Love Poke,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/i_love_poke_45.8721_10.1548.json,custom
45.877869,10.168112,osm_circus_mad_hops_45.8779_10.1681,Circus Mad Hops,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/circus_mad_hops_45.8779_10.1681.json,custom
45.892646,10.189928,osm_ristorante_la_svolta_45.8926_10.1899,Ristorante La svolta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ristorante_la_svolta_45.8926_10.1899.json,custom
45.868015,10.150058,osm_bar_ristorante_albergo_airone_45.8680_10.1501,Bar Ristorante Albergo Airone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_ristorante_albergo_airone_45.8680_10.1501.json,custom
45.899743,10.193525,ov_drink_bar_la_morenita_45.8997_10.1935,Drink bar La Morenita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/drink_bar_la_morenita_45.8997_10.1935.json,custom
45.898542,10.192521,ov_gallery_caffe_45.8985_10.1925,Gallery Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/gallery_caffe_45.8985_10.1925.json,custom
45.892991,10.190721,ov_caffe_autostazione_45.8930_10.1907,Caffe Autostazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/caffe_autostazione_45.8930_10.1907.json,custom
45.893278,10.190839,ov_cakaowinebar_tabaccheria_45.8933_10.1908,CakaoWinebar Tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/cakaowinebar_tabaccheria_45.8933_10.1908.json,custom
45.891669,10.187768,ov_caff__del_corso_45.8917_10.1878,Caffè del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/caff_del_corso_45.8917_10.1878.json,custom
45.888820,10.189320,ov_la_capsuleria_45.8888_10.1893,La Capsuleria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/la_capsuleria_45.8888_10.1893.json,custom
45.890291,10.187416,ov_armony_area_giochi_45.8903_10.1874,Armony Area Giochi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/armony_area_giochi_45.8903_10.1874.json,custom
45.890311,10.186952,ov_caffetteria_rusconi_45.8903_10.1870,Caffetteria Rusconi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/caffetteria_rusconi_45.8903_10.1870.json,custom
45.890000,10.188060,ov_bar_arc_en_ciel_45.8900_10.1881,Bar Arc en ciel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_arc_en_ciel_45.8900_10.1881.json,custom
45.888338,10.189121,ov_shisha_bar_bamb__45.8883_10.1891,Shisha Bar Bambù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/shisha_bar_bamb_45.8883_10.1891.json,custom
45.888628,10.189582,ov_sugar_reef_pub_45.8886_10.1896,Sugar Reef Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/sugar_reef_pub_45.8886_10.1896.json,custom
45.881044,10.185588,ov_roxybar_45.8810_10.1856,Roxybar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/roxybar_45.8810_10.1856.json,custom
45.880345,10.182390,ov_caffe_rusconi_45.8803_10.1824,Caffe Rusconi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/caffe_rusconi_45.8803_10.1824.json,custom
45.879751,10.181830,ov_capo_di_lago_bistrot_45.8798_10.1818,Capo di Lago Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/capo_di_lago_bistrot_45.8798_10.1818.json,custom
45.879426,10.181135,ov_caffe_le_due_piazze_45.8794_10.1811,Caffe Le Due Piazze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/caffe_le_due_piazze_45.8794_10.1811.json,custom
45.882508,10.180550,ov_bar_tabacchi_chewing_gum_45.8825_10.1806,Bar Tabacchi Chewing Gum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_tabacchi_chewing_gum_45.8825_10.1806.json,custom
45.883635,10.180111,ov_dolceincanto_bar_pasticceria_forneria_45.8836_10.1801,DolceIncanto Bar Pasticceria Forneria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/dolceincanto_bar_pasticceria_forneria_45.8836_10.1801.json,custom
45.883613,10.180250,ov_mercatino_bianchini_45.8836_10.1803,Mercatino Bianchini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/mercatino_bianchini_45.8836_10.1803.json,custom
45.883393,10.180384,ov_bar_nazionale_45.8834_10.1804,Bar Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_nazionale_45.8834_10.1804.json,custom
45.884344,10.180839,ov_bar_caff__italia_45.8843_10.1808,Bar Caffè Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_caff_italia_45.8843_10.1808.json,custom
45.884513,10.180723,ov_cavourlifestyle_pub_45.8845_10.1807,CavourLifeStyle Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/cavourlifestyle_pub_45.8845_10.1807.json,custom
45.883854,10.178100,ov_new_bar_tilt_45.8839_10.1781,New Bar TilT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/new_bar_tilt_45.8839_10.1781.json,custom
45.883247,10.176923,ov_bar_ideal_rock_heart_45.8832_10.1769,Bar Ideal Rock Heart,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_ideal_rock_heart_45.8832_10.1769.json,custom
45.886413,10.181388,ov_pub_conary_mor_45.8864_10.1814,Pub Conary Mor,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/pub_conary_mor_45.8864_10.1814.json,custom
45.880502,10.172542,ov_bar_la_piazzetta_45.8805_10.1725,Bar La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_la_piazzetta_45.8805_10.1725.json,custom
45.880535,10.172629,ov_bar_alina_cafe_45.8805_10.1726,Bar alina cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_alina_cafe_45.8805_10.1726.json,custom
45.875305,10.175266,ov_bar_peterpan_45.8753_10.1753,Bar Peterpan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_peterpan_45.8753_10.1753.json,custom
45.875368,10.175409,ov_peter_pan_45.8754_10.1754,Peter Pan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/peter_pan_45.8754_10.1754.json,custom
45.869950,10.148740,ov_river_ogliobikebar_45.8700_10.1487,river.ogliobikebar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/riverogliobikebar_45.8700_10.1487.json,custom
45.871823,10.154042,ov_befed_adamello_45.8718_10.1540,BEFED Adamello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/befed_adamello_45.8718_10.1540.json,custom
45.871616,10.155010,ov_chouse_caf__45.8716_10.1550,Chouse Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/chouse_caf_45.8716_10.1550.json,custom
45.873524,10.157629,ov_birrificio_agricolo_pagus_45.8735_10.1576,Birrificio Agricolo Pagus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/birrificio_agricolo_pagus_45.8735_10.1576.json,custom
45.872339,10.186025,ov_oratorio_di_pellalepre_45.8723_10.1860,Oratorio di Pellalepre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/oratorio_di_pellalepre_45.8723_10.1860.json,custom
45.872215,10.191950,ov_bar_birreria_maide_45.8722_10.1920,Bar Birreria Maide,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_birreria_maide_45.8722_10.1920.json,custom
45.900430,10.209637,ov_river_oglio_bike_bar_45.9004_10.2096,River Oglio bike bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/river_oglio_bike_bar_45.9004_10.2096.json,custom
45.906675,10.202487,ov_barlady_45.9067_10.2025,BarLady,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/barlady_45.9067_10.2025.json,custom
45.906620,10.202104,ov_bachground_45.9066_10.2021,Bachground,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bachground_45.9066_10.2021.json,custom
45.907307,10.203348,ov_bar_cavalli_45.9073_10.2033,Bar Cavalli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/bar_cavalli_45.9073_10.2033.json,custom
45.912800,10.210406,ov_factory_bar___smoke_45.9128_10.2104,Factory Bar & Smoke,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/factory_bar_smoke_45.9128_10.2104.json,custom
45.872011,10.154766,osm_befed_45.8720_10.1548,BEFeD,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/befed_45.8720_10.1548.json,custom
45.873568,10.157565,osm_area_pagus_45.8736_10.1576,AREA PAGUS,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/area_pagus_45.8736_10.1576.json,custom
45.899933,10.209223,osm_river_oglio_bike_bar_45.8999_10.2092,River Oglio Bike Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/river_oglio_bike_bar_45.8999_10.2092.json,custom
45.895836,10.190809,ov_mc_sport_lab_45.8958_10.1908,MC Sport Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/mc_sport_lab_45.8958_10.1908.json,custom
45.888620,10.190610,ov_shut_up_and_dance_45.8886_10.1906,Shut up and dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/shut_up_and_dance_45.8886_10.1906.json,custom
45.888688,10.190786,ov_focus_gym_45.8887_10.1908,Focus Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/focus_gym_45.8887_10.1908.json,custom
45.877600,10.183660,ov_purna_yoga_45.8776_10.1837,PURNA YOGA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/purna_yoga_45.8776_10.1837.json,custom
45.884234,10.179985,ov_ci_zero_darfo_45.8842_10.1800,Ci.Zero Darfo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/cizero_darfo_45.8842_10.1800.json,custom
45.880292,10.174006,ov_il_centro_45.8803_10.1740,Il Centro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/il_centro_45.8803_10.1740.json,custom
45.869992,10.170381,ov_mb_calisthenics_45.8700_10.1704,MB Calisthenics,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/mb_calisthenics_45.8700_10.1704.json,custom
45.893050,10.202500,ov_gattaro_events_45.8931_10.2025,Gattaro Events,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/gattaro_events_45.8931_10.2025.json,custom
45.900976,10.197329,ov_ginnastica_artistica_camunia_90_45.9010_10.1973,Ginnastica Artistica Camunia 90,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/ginnastica_artistica_camunia_90_45.9010_10.1973.json,custom
45.907383,10.203505,ov_dheison_fitness_project_45.9074_10.2035,Dheison Fitness Project,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/dheison_fitness_project_45.9074_10.2035.json,custom
45.903234,10.211836,ov_circolo_ippico_ruk_45.9032_10.2118,Circolo Ippico Ruk,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/circolo_ippico_ruk_45.9032_10.2118.json,custom
45.880330,10.183450,ov_museo_franca_ghitti_45.8803_10.1835,Museo Franca Ghitti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/museo_franca_ghitti_45.8803_10.1835.json,custom
45.888333,10.170833,ov_castello_di_gorzone_45.8883_10.1708,Castello di Gorzone,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/castello_di_gorzone_45.8883_10.1708.json,custom
45.870792,10.192233,ov_museo_degli_alpini_45.8708_10.1922,Museo degli Alpini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/museo_degli_alpini_45.8708_10.1922.json,custom
45.880850,10.184645,ov_asst_valcamonica_45.8809_10.1846,ASST Valcamonica,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/darfo_boario_terme/pages/asst_valcamonica_45.8809_10.1846.json,custom
