# lat,lng,id,name,building_type,type,url,page_type
# Goito -- Tutti
45.254161,10.671702,ov_asl_goito_45.2542_10.6717,ASL Goito,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/asl_goito_45.2542_10.6717.json,custom
45.254278,10.671936,ov_al_cantun_311_45.2543_10.6719,Al Cantun 311,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/al_cantun_311_45.2543_10.6719.json,custom
45.253015,10.669559,ov_f3_pastafresca_45.2530_10.6696,F3 Pastafresca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/f3_pastafresca_45.2530_10.6696.json,custom
45.256263,10.675529,ov_la_cantinetta_45.2563_10.6755,La Cantinetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/la_cantinetta_45.2563_10.6755.json,custom
45.248309,10.697079,ov_pizzeria_aquablu_45.2483_10.6971,Pizzeria Aquablu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/pizzeria_aquablu_45.2483_10.6971.json,custom
45.244561,10.691822,ov_home_restaurant_aba_45.2446_10.6918,Home Restaurant ABA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/home_restaurant_aba_45.2446_10.6918.json,custom
45.243446,10.695109,ov_bar_ristorante_cinese_eden_45.2434_10.6951,Bar Ristorante Cinese Eden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/bar_ristorante_cinese_eden_45.2434_10.6951.json,custom
45.240288,10.700084,ov_corona_sushi_45.2403_10.7001,Corona Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/corona_sushi_45.2403_10.7001.json,custom
45.243132,10.695551,ov_pizzeria_da_ester_45.2431_10.6956,Pizzeria Da Ester,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/pizzeria_da_ester_45.2431_10.6956.json,custom
45.275355,10.700569,ov_oasi_del_mincio___soc__agr__la_valle_sas_45.2754_10.7006,Oasi del Mincio - Soc. Agr. La Valle Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/oasi_del_mincio_-_soc_agr_la_valle_sas_45.2754_10.7006.json,custom
45.262550,10.658290,ov_cotto_e_mandato_45.2625_10.6583,Cotto e Mandato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/cotto_e_mandato_45.2625_10.6583.json,custom
45.262337,10.660708,ov_mcdonald_s_45.2623_10.6607,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/mcdonalds_45.2623_10.6607.json,custom
45.276151,10.610855,ov_trattoria_al_puler_45.2762_10.6109,Trattoria Al Puler,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/trattoria_al_puler_45.2762_10.6109.json,custom
45.246712,10.688535,ov_ciano_s_45.2467_10.6885,Ciano’s,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/cianos_45.2467_10.6885.json,custom
45.251816,10.666549,ov_bar_trattoria_la_passeggiata_45.2518_10.6665,Bar Trattoria La Passeggiata,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/bar_trattoria_la_passeggiata_45.2518_10.6665.json,custom
45.255710,10.676180,ov_chiosco_del_mincio_45.2557_10.6762,Chiosco del mincio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/chiosco_del_mincio_45.2557_10.6762.json,custom
45.255805,10.674533,ov_tre_assi_45.2558_10.6745,Tre Assi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/tre_assi_45.2558_10.6745.json,custom
45.255287,10.674145,ov_gramsci_bistrot_45.2553_10.6741,Gramsci Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/gramsci_bistrot_45.2553_10.6741.json,custom
45.254460,10.673676,ov_caff__sordello_45.2545_10.6737,Caffè Sordello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/caff_sordello_45.2545_10.6737.json,custom
45.256367,10.675374,ov_bar_vanda_45.2564_10.6754,Bar Vanda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/bar_vanda_45.2564_10.6754.json,custom
45.251565,10.680823,ov_204_bistrot_45.2516_10.6808,204 Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/204_bistrot_45.2516_10.6808.json,custom
45.248387,10.697074,ov_la_terrazza_45.2484_10.6971,La Terrazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/la_terrazza_45.2484_10.6971.json,custom
45.276676,10.647452,ov_bar_la_rambla_45.2767_10.6475,Bar La Rambla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/bar_la_rambla_45.2767_10.6475.json,custom
45.263869,10.660673,ov_trucker_s_cafe_45.2639_10.6607,Trucker's Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/truckers_cafe_45.2639_10.6607.json,custom
45.261730,10.658190,ov_chiosco_dei_monelli_45.2617_10.6582,Chiosco dei Monelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/chiosco_dei_monelli_45.2617_10.6582.json,custom
45.237187,10.598774,ov_dream_bar_45.2372_10.5988,Dream Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/dream_bar_45.2372_10.5988.json,custom
45.255407,10.708090,osm_bar_trattoria_croce_del_gallo_45.2554_10.7081,Bar Trattoria Croce del gallo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/bar_trattoria_croce_del_gallo_45.2554_10.7081.json,custom
45.216289,10.662712,ov_laghetto_nettuno_45.2163_10.6627,laghetto nettuno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/laghetto_nettuno_45.2163_10.6627.json,custom
45.248993,10.670343,ov_goito_campo_sportivo_45.2490_10.6703,Goito Campo Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/goito_campo_sportivo_45.2490_10.6703.json,custom
45.250540,10.678320,ov_centro_dynamica_goito_45.2505_10.6783,Centro Dynamica Goito,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/centro_dynamica_goito_45.2505_10.6783.json,custom
45.255031,10.675747,ov_circolo_ricreativo_arcobaleno_45.2550_10.6757,Circolo Ricreativo Arcobaleno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/circolo_ricreativo_arcobaleno_45.2550_10.6757.json,custom
45.248402,10.697278,ov_parco_acquatico_aquablu_45.2484_10.6973,Parco Acquatico Aquablu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/parco_acquatico_aquablu_45.2484_10.6973.json,custom
45.275707,10.658172,ov_polisportiva_new_steps_a_s_d__45.2757_10.6582,Polisportiva New Steps a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/polisportiva_new_steps_asd_45.2757_10.6582.json,custom
45.282249,10.644731,ov_centro_fitness_cerlongo_45.2822_10.6447,Centro Fitness Cerlongo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/centro_fitness_cerlongo_45.2822_10.6447.json,custom
45.260551,10.655884,ov_centro_ippico_goitese_la_fenice_45.2606_10.6559,Centro Ippico Goitese la Fenice,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/centro_ippico_goitese_la_fenice_45.2606_10.6559.json,custom
45.236910,10.659269,ov_associazione_sportiva_ca_dell__orso_45.2369_10.6593,Associazione Sportiva Ca dell' Orso,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/associazione_sportiva_ca_dell_orso_45.2369_10.6593.json,custom
45.277681,10.644191,ov_castle_of_cerlongo_45.2777_10.6442,Castle of Cerlongo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/castle_of_cerlongo_45.2777_10.6442.json,custom
45.256696,10.673435,ov_biblioteca_comunale_45.2567_10.6734,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/goito/pages/biblioteca_comunale_45.2567_10.6734.json,custom
