# lat,lng,id,name,building_type,type,url,page_type
# romano_dezzelino -- Tutti
45.774693,11.771892,ov_distretto_sanitario_villa_ferrari_45.7747_11.7719,Distretto Sanitario Villa Ferrari,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/distretto_sanitario_villa_ferrari_45.7747_11.7719.json,custom
45.767984,11.773531,ov_pizzeria_al_panaretto_45.7680_11.7735,Pizzeria Al Panaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pizzeria_al_panaretto_45.7680_11.7735.json,custom
45.773403,11.772472,ov_acqua___farina_pizzeria_45.7734_11.7725,Acqua & Farina pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/acqua_farina_pizzeria_45.7734_11.7725.json,custom
45.775299,11.771879,ov_basilico_pizza_45.7753_11.7719,Basilico Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/basilico_pizza_45.7753_11.7719.json,custom
45.780348,11.776314,ov_mardignon_pizza_e_cucina_45.7803_11.7763,Mardignon Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/mardignon_pizza_e_cucina_45.7803_11.7763.json,custom
45.787058,11.766028,ov_ristorante_c__takea_45.7871_11.7660,Ristorante Cà Takea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/ristorante_c_takea_45.7871_11.7660.json,custom
45.779396,11.767800,ov_pizzamica_45.7794_11.7678,PizzaMiCa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pizzamica_45.7794_11.7678.json,custom
45.775883,11.756578,ov_trattoria_da_angelo_fortajin_45.7759_11.7566,Trattoria Da Angelo Fortajin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/trattoria_da_angelo_fortajin_45.7759_11.7566.json,custom
45.776477,11.756127,ov_pomo_d_oro_45.7765_11.7561,Pomo d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pomo_doro_45.7765_11.7561.json,custom
45.789399,11.756880,ov_bottega_della_pizza_45.7894_11.7569,Bottega Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bottega_della_pizza_45.7894_11.7569.json,custom
45.791835,11.756248,ov_il_pomodoro_45.7918_11.7562,Il Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/il_pomodoro_45.7918_11.7562.json,custom
45.792490,11.758338,ov_pizzeria_cherilise_45.7925_11.7583,Pizzeria Cherilise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pizzeria_cherilise_45.7925_11.7583.json,custom
45.797052,11.757570,ov_antica_osteria_pedrocchi_45.7971_11.7576,Antica Osteria Pedrocchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/antica_osteria_pedrocchi_45.7971_11.7576.json,custom
45.796860,11.757350,ov_trattoria_pizzeria_da_norge_45.7969_11.7573,Trattoria Pizzeria da Norge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/trattoria_pizzeria_da_norge_45.7969_11.7573.json,custom
45.812062,11.755105,ov_kioskos_3_0_45.8121_11.7551,Kioskos 3.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/kioskos_30_45.8121_11.7551.json,custom
45.812151,11.754915,osm_dalla_mena_45.8122_11.7549,Dalla Mena,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/dalla_mena_45.8122_11.7549.json,custom
45.780378,11.776476,osm_mardignon_pizza___cucina_45.7804_11.7765,Mardignon Pizza & Cucina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/mardignon_pizza_cucina_45.7804_11.7765.json,custom
45.775917,11.756621,osm_bar_trattoria_da_angelo_45.7759_11.7566,Bar Trattoria Da Angelo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_trattoria_da_angelo_45.7759_11.7566.json,custom
45.778454,11.754579,ov_bar_europa_45.7785_11.7546,Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_europa_45.7785_11.7546.json,custom
45.782982,11.749357,ov_bacca_nera_caffe_45.7830_11.7494,Bacca Nera Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bacca_nera_caffe_45.7830_11.7494.json,custom
45.759230,11.772669,ov_eni_caf__45.7592_11.7727,Eni Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/eni_caf_45.7592_11.7727.json,custom
45.751065,11.794129,ov_fame_bar_45.7511_11.7941,Fame Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/fame_bar_45.7511_11.7941.json,custom
45.751449,11.792355,ov_bar_caff__all_alba_45.7514_11.7924,Bar Caffè all'Alba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_caff_allalba_45.7514_11.7924.json,custom
45.792901,11.776969,ov_dai_compari_45.7929_11.7770,Dai Compari,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/dai_compari_45.7929_11.7770.json,custom
45.768452,11.774203,ov_caff__centrale_45.7685_11.7742,Caffè Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/caff_centrale_45.7685_11.7742.json,custom
45.767837,11.775264,ov_tauroda_bar_45.7678_11.7753,Tauroda Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/tauroda_bar_45.7678_11.7753.json,custom
45.768790,11.774464,ov_bar_fantasy_45.7688_11.7745,Bar Fantasy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_fantasy_45.7688_11.7745.json,custom
45.774724,11.772266,ov_jason_bar_45.7747_11.7723,JASON BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/jason_bar_45.7747_11.7723.json,custom
45.776592,11.771404,ov_caff__caf__45.7766_11.7714,Caffè Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/caff_caf_45.7766_11.7714.json,custom
45.780427,11.767988,ov_bar_ca__mauri_45.7804_11.7680,Bar Ca' Mauri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_ca_mauri_45.7804_11.7680.json,custom
45.778263,11.769292,ov_bar_bosco_s_45.7783_11.7693,Bar Bosco's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_boscos_45.7783_11.7693.json,custom
45.765707,11.767074,ov_meet_cafe_45.7657_11.7671,Meet Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/meet_cafe_45.7657_11.7671.json,custom
45.792528,11.756036,ov_bar_roma_45.7925_11.7560,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/bar_roma_45.7925_11.7560.json,custom
45.796683,11.757675,ov_locanda_al_leone_45.7967_11.7577,Locanda Al Leone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/locanda_al_leone_45.7967_11.7577.json,custom
45.801500,11.758080,ov_cubamia_hotel__bar__ristorante_45.8015_11.7581,"Cubamia Hotel, Bar, Ristorante",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/cubamia_hotel_bar_ristorante_45.8015_11.7581.json,custom
45.797731,11.760759,ov_caffe_dante_45.7977_11.7608,Caffe Dante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/caffe_dante_45.7977_11.7608.json,custom
45.792198,11.761314,ov_enosphera_wine_and_food_45.7922_11.7613,Enosphera Wine and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/enosphera_wine_and_food_45.7922_11.7613.json,custom
45.785029,11.753853,ov_break_billiard_club_45.7850_11.7539,BREAK billiard club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/break_billiard_club_45.7850_11.7539.json,custom
45.785146,11.744876,ov_crossfit_amet_a_s_d__45.7851_11.7449,CrossFit Amet a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/crossfit_amet_asd_45.7851_11.7449.json,custom
45.750510,11.796398,ov_pilates_forever_45.7505_11.7964,Pilates Forever,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pilates_forever_45.7505_11.7964.json,custom
45.770425,11.785986,ov_sporting55_45.7704_11.7860,Sporting55,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/sporting55_45.7704_11.7860.json,custom
45.762851,11.778239,ov_pianeta_sport_ssd_45.7629_11.7782,Pianeta Sport SSD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/pianeta_sport_ssd_45.7629_11.7782.json,custom
45.775394,11.771967,ov_nuria_pilates_studio_45.7754_11.7720,NURIA Pilates Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/nuria_pilates_studio_45.7754_11.7720.json,custom
45.782146,11.763960,ov_campo_sportivo_s__giacomo_45.7821_11.7640,campo sportivo S. Giacomo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/campo_sportivo_s_giacomo_45.7821_11.7640.json,custom
45.779453,11.768172,ov_scuola_danza_libera_45.7795_11.7682,Scuola Danza Libera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/scuola_danza_libera_45.7795_11.7682.json,custom
45.780411,11.754847,ov_studio_postural_pilates_45.7804_11.7548,Studio Postural Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/studio_postural_pilates_45.7804_11.7548.json,custom
45.787958,11.754982,ov_sb_training_45.7880_11.7550,SB Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/sb_training_45.7880_11.7550.json,custom
45.796581,11.758714,ov_centro_formazione_danza_45.7966_11.7587,Centro Formazione Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/centro_formazione_danza_45.7966_11.7587.json,custom
45.788048,11.749237,ov_museum_of_the_automobile_bonfanti_vimar_45.7880_11.7492,Museum of the Automobile Bonfanti-VIMAR,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/museum_of_the_automobile_bonfanti-vimar_45.7880_11.7492.json,custom
45.787815,11.749894,ov_fondazione_museo_dell_automobile_luigi_b_45.7878_11.7499,Fondazione Museo dell'Automobile Luigi Bonfanti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/fondazione_museo_dellautomobile_luigi_bo_45.7878_11.7499.json,custom
45.780772,11.766814,ov_biblioteca_di_romano_d_ezzelino_45.7808_11.7668,Biblioteca Di Romano d'Ezzelino,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/biblioteca_di_romano_dezzelino_45.7808_11.7668.json,custom
45.780904,11.766775,osm_biblioteca_comunale_di_romano_45.7809_11.7668,Biblioteca Comunale di Romano,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/romano_dezzelino/pages/biblioteca_comunale_di_romano_45.7809_11.7668.json,custom
