# lat,lng,id,name,building_type,type,url,page_type
# calci -- Tutti
43.719033,10.525008,ov_ospedale_psichiatrico_di_rezzano_43.7190_10.5250,Ospedale Psichiatrico Di Rezzano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/ospedale_psichiatrico_di_rezzano_43.7190_10.5250.json,custom
43.730874,10.523371,ov_equiturismo_calcesano_43.7309_10.5234,Equiturismo Calcesano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/equiturismo_calcesano_43.7309_10.5234.json,custom
43.745850,10.518719,ov_le_vie_di_ortensia_asd_43.7459_10.5187,Le Vie di Ortensia ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/le_vie_di_ortensia_asd_43.7459_10.5187.json,custom
43.719280,10.524200,ov_la_certosa_43.7193_10.5242,La Certosa,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/la_certosa_43.7193_10.5242.json,custom
43.721766,10.523006,ov_certosa_monumentale_di_calci_43.7218_10.5230,Certosa Monumentale di Calci,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/certosa_monumentale_di_calci_43.7218_10.5230.json,custom
43.722072,10.522834,ov_museo_di_storia_naturale_dell_universita_43.7221_10.5228,Museo di Storia Naturale dell'Universita' di Pisa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/museo_di_storia_naturale_delluniversita__43.7221_10.5228.json,custom
43.721894,10.528740,ov_certosa_di_calci_museo_di_storia_natural_43.7219_10.5287,Certosa Di Calci-museo Di Storia Naturale,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/certosa_di_calci-museo_di_storia_natural_43.7219_10.5287.json,custom
43.733300,10.516700,ov_museo_scienze_naturali_pisa_43.7333_10.5167,Museo Scienze Naturali Pisa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/museo_scienze_naturali_pisa_43.7333_10.5167.json,custom
43.725429,10.513614,osm_poste_italiane_43.7254_10.5136,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/poste_italiane_43.7254_10.5136.json,custom
43.726236,10.513360,ov_biblioteca_comunale_calci__pi__43.7262_10.5134,Biblioteca comunale Calci (PI),LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/biblioteca_comunale_calci_pi_43.7262_10.5134.json,custom
43.723374,10.515545,osm_biblioteca_comunale_di_calci_43.7234_10.5155,Biblioteca Comunale di Calci,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/biblioteca_comunale_di_calci_43.7234_10.5155.json,custom
43.721335,10.523426,osm_biblioteca_e_archivio_della_certosa_di_c_43.7213_10.5234,Biblioteca e Archivio della Certosa di Calci,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/biblioteca_e_archivio_della_certosa_di_c_43.7213_10.5234.json,custom
43.721511,10.523965,osm_biblioteca_di_scienze_naturali_e_ambient_43.7215_10.5240,Biblioteca di Scienze naturali e ambientali - Sede del Museo,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/biblioteca_di_scienze_naturali_e_ambient_43.7215_10.5240.json,custom
43.721511,10.523932,osm_biblioteca_della_societ__toscana_di_scie_43.7215_10.5239,Biblioteca della Società Toscana di Scienze Naturali,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/biblioteca_della_societ_toscana_di_scien_43.7215_10.5239.json,custom
43.722439,10.498620,ov_la_gabella_43.7224_10.4986,La Gabella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/la_gabella_43.7224_10.4986.json,custom
43.723909,10.495717,ov_bar_del_carlo_43.7239_10.4957,Bar Del Carlo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/bar_del_carlo_43.7239_10.4957.json,custom
43.722530,10.499600,ov_asd_tennis_certosa_43.7225_10.4996,ASD Tennis Certosa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/calci/pages/asd_tennis_certosa_43.7225_10.4996.json,custom
