# lat,lng,id,name,building_type,type,url,page_type
# orzinuovi -- Tutti
45.402806,9.926720,ov_ospedale_orzinuovi_45.4028_9.9267,Ospedale Orzinuovi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/ospedale_orzinuovi_45.4028_9.9267.json,custom
45.400470,9.923854,osm_pizzeria_bella_napoli_45.4005_9.9239,Pizzeria Bella Napoli,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pizzeria_bella_napoli_45.4005_9.9239.json,custom
45.400739,9.898916,osm_albergo_ristorante_pizzeria_la_madonnina_45.4007_9.8989,Albergo Ristorante Pizzeria La Madonnina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/albergo_ristorante_pizzeria_la_madonnina_45.4007_9.8989.json,custom
45.404090,9.924483,osm_bas_ristorante_l_antica_rocca_45.4041_9.9245,Bas Ristorante L'Antica Rocca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bas_ristorante_lantica_rocca_45.4041_9.9245.json,custom
45.394410,9.928185,osm_al_gambero_45.3944_9.9282,Al Gambero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/al_gambero_45.3944_9.9282.json,custom
45.403757,9.925211,osm_piadineria_artigianle_45.4038_9.9252,Piadineria Artigianle,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/piadineria_artigianle_45.4038_9.9252.json,custom
45.383380,9.972500,ov_bar_oratorio_san_michele_coniolo_45.3834_9.9725,Bar Oratorio San Michele Coniolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bar_oratorio_san_michele_coniolo_45.3834_9.9725.json,custom
45.384063,9.975289,ov_bar_kendall_di_coniolo_45.3841_9.9753,BAR Kendall Di Coniolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bar_kendall_di_coniolo_45.3841_9.9753.json,custom
45.383995,9.975432,ov_al_kendal_di_bocchi_davide___c__snc_45.3840_9.9754,Al Kendal di Bocchi Davide & C. SNC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/al_kendal_di_bocchi_davide_c_snc_45.3840_9.9754.json,custom
45.388570,9.930161,ov_bar_bariti_45.3886_9.9302,Bar Bariti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bar_bariti_45.3886_9.9302.json,custom
45.388686,9.921792,ov_lago_mandarino_45.3887_9.9218,Lago Mandarino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/lago_mandarino_45.3887_9.9218.json,custom
45.397958,9.924115,ov_milano_due_45.3980_9.9241,Milano due,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/milano_due_45.3980_9.9241.json,custom
45.399631,9.924362,ov_paolay_rossini_45.3996_9.9244,Paolay Rossini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/paolay_rossini_45.3996_9.9244.json,custom
45.399975,9.923315,ov_le_antiche_mura_45.4000_9.9233,Le Antiche Mura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/le_antiche_mura_45.4000_9.9233.json,custom
45.400744,9.922950,ov_il_grillo_parlante_45.4007_9.9229,Il Grillo Parlante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/il_grillo_parlante_45.4007_9.9229.json,custom
45.401158,9.919419,ov_emod_brewery_45.4012_9.9194,Emod Brewery,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/emod_brewery_45.4012_9.9194.json,custom
45.401227,9.919528,ov_birrificio_la_fenice_45.4012_9.9195,Birrificio La Fenice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/birrificio_la_fenice_45.4012_9.9195.json,custom
45.402856,9.916667,ov_barbel_45.4029_9.9167,Barbel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/barbel_45.4029_9.9167.json,custom
45.403909,9.923502,ov_hosteria_aria_45.4039_9.9235,Hosteria Aria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/hosteria_aria_45.4039_9.9235.json,custom
45.403958,9.923873,ov_grey_lounge_bar_45.4040_9.9239,Grey lounge bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/grey_lounge_bar_45.4040_9.9239.json,custom
45.402990,9.924790,ov_vox_caf__orzinuovi_45.4030_9.9248,Vox Cafè Orzinuovi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/vox_caf_orzinuovi_45.4030_9.9248.json,custom
45.402935,9.924668,ov_m_o_d_a_mixology_bar_45.4029_9.9247,M.O.D.A Mixology BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/moda_mixology_bar_45.4029_9.9247.json,custom
45.402809,9.924633,ov_blanco_cafe_45.4028_9.9246,Blanco Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/blanco_cafe_45.4028_9.9246.json,custom
45.402285,9.924242,ov_enoteca_centrale_45.4023_9.9242,Enoteca Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/enoteca_centrale_45.4023_9.9242.json,custom
45.402051,9.924516,ov_florian_45.4021_9.9245,Florian,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/florian_45.4021_9.9245.json,custom
45.401100,9.924223,ov_nolita_cafe_45.4011_9.9242,Nolita Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/nolita_cafe_45.4011_9.9242.json,custom
45.401699,9.924318,ov_lucry_bar_45.4017_9.9243,Lucry Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/lucry_bar_45.4017_9.9243.json,custom
45.401509,9.924128,ov_le_cafe_45.4015_9.9241,Le Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/le_cafe_45.4015_9.9241.json,custom
45.400510,9.931250,ov_jigger_orzinuovi_45.4005_9.9313,Jigger Orzinuovi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/jigger_orzinuovi_45.4005_9.9313.json,custom
45.407682,9.925381,ov_44_rosso_45.4077_9.9254,44 Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/44_rosso_45.4077_9.9254.json,custom
45.404720,9.925990,ov_lavanderia_perla_di_anelli_eleonora_45.4047_9.9260,Lavanderia Perla Di Anelli Eleonora,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/lavanderia_perla_di_anelli_eleonora_45.4047_9.9260.json,custom
45.406228,9.921212,ov_deli___coffee___lunch_45.4062_9.9212,DELI - Coffee & Lunch,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/deli_-_coffee_lunch_45.4062_9.9212.json,custom
45.410344,9.926444,ov_video_bar_44_rosso_di_taddi_francesca____45.4103_9.9264,Video Bar 44 Rosso di Taddi Francesca & C. SNC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/video_bar_44_rosso_di_taddi_francesca_c__45.4103_9.9264.json,custom
45.416175,9.935187,ov_coffe_break___orzinuovi_45.4162_9.9352,COFFE BREAK - orzinuovi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/coffe_break_-_orzinuovi_45.4162_9.9352.json,custom
45.402243,9.924215,osm_bar_centrale_45.4022_9.9242,Bar Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/bar_centrale_45.4022_9.9242.json,custom
45.407469,9.929176,osm_vynil_45.4075_9.9292,Vynil,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/vynil_45.4075_9.9292.json,custom
45.401481,9.924106,osm_le_caf__45.4015_9.9241,Le Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/le_caf_45.4015_9.9241.json,custom
45.401001,9.924122,osm_nolita_caf__45.4010_9.9241,Nolita Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/nolita_caf_45.4010_9.9241.json,custom
45.406149,9.921131,osm_deli_coffee___lunch_45.4061_9.9211,DELI Coffee & Lunch,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/deli_coffee_lunch_45.4061_9.9211.json,custom
45.405451,9.924813,osm_terza_45.4055_9.9248,Terza,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/terza_45.4055_9.9248.json,custom
45.397912,9.925052,ov_minisport_45.3979_9.9251,Minisport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/minisport_45.3979_9.9251.json,custom
45.400108,9.923586,ov_palestra_activa_asd_45.4001_9.9236,Palestra Activa Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/palestra_activa_asd_45.4001_9.9236.json,custom
45.401568,9.921108,ov_pilates_home_studio_45.4016_9.9211,Pilates Home Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/pilates_home_studio_45.4016_9.9211.json,custom
45.400942,9.934997,ov_palazzetto_dello_sport_45.4009_9.9350,Palazzetto Dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/palazzetto_dello_sport_45.4009_9.9350.json,custom
45.410436,9.931145,ov_freebody_club_45.4104_9.9311,Freebody Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/freebody_club_45.4104_9.9311.json,custom
45.409204,9.928202,ov_dual_reformer___personal_trainer_45.4092_9.9282,Dual Reformer & Personal Trainer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/dual_reformer_personal_trainer_45.4092_9.9282.json,custom
45.424536,9.936709,ov_top_flight_equestrian_asd_45.4245_9.9367,Top Flight Equestrian ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/top_flight_equestrian_asd_45.4245_9.9367.json,custom
45.406270,9.921135,osm_my_personal_45.4063_9.9211,My Personal,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/my_personal_45.4063_9.9211.json,custom
45.379930,9.898819,ov_castello_di_barco_45.3799_9.8988,Castello di Barco,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/castello_di_barco_45.3799_9.8988.json,custom
45.404086,9.924552,ov_rocca_di_orzinuovi_45.4041_9.9246,Rocca di Orzinuovi,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/rocca_di_orzinuovi_45.4041_9.9246.json,custom
45.400200,9.901230,ov_biblioteca_cossali_45.4002_9.9012,Biblioteca Cossali,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/biblioteca_cossali_45.4002_9.9012.json,custom
45.403990,9.924880,ov_biblioteca_civica_di_orzinuovi_45.4040_9.9249,Biblioteca Civica di Orzinuovi,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/orzinuovi/pages/biblioteca_civica_di_orzinuovi_45.4040_9.9249.json,custom
