# lat,lng,id,name,building_type,type,url,page_type
# torrita_di_siena -- Tutti
43.166671,11.771789,ov_harmonia___studio_medico_43.1667_11.7718,Harmonia - Studio Medico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/harmonia_-_studio_medico_43.1667_11.7718.json,custom
43.168910,11.775190,ov_alla_stazione_ristorante_pizzeria_43.1689_11.7752,Alla Stazione Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/alla_stazione_ristorante_pizzeria_43.1689_11.7752.json,custom
43.169787,11.778999,ov_confesercenti_torrita_43.1698_11.7790,Confesercenti Torrita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/confesercenti_torrita_43.1698_11.7790.json,custom
43.168862,11.784438,ov_cristiano_ristorante_43.1689_11.7844,Cristiano Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/cristiano_ristorante_43.1689_11.7844.json,custom
43.168143,11.783982,ov_gio_steria_sfizi_e_capricci_toscani_43.1681_11.7840,Gio'Steria Sfizi e Capricci Toscani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/giosteria_sfizi_e_capricci_toscani_43.1681_11.7840.json,custom
43.166814,11.773045,ov_ristorante_pizzeria_piccolo_43.1668_11.7730,Ristorante Pizzeria Piccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/ristorante_pizzeria_piccolo_43.1668_11.7730.json,custom
43.171071,11.782913,ov_il_timone_43.1711_11.7829,Il Timone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/il_timone_43.1711_11.7829.json,custom
43.173961,11.785505,ov_mm_rosticceria_pizzeria_gastronomia_43.1740_11.7855,MM ROSTICCERIA PIZZERIA GASTRONOMIA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/mm_rosticceria_pizzeria_gastronomia_43.1740_11.7855.json,custom
43.174016,11.785444,ov_massimiliano_e_marilena_43.1740_11.7854,Massimiliano e Marilena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/massimiliano_e_marilena_43.1740_11.7854.json,custom
43.176909,11.763609,ov_agriturismo_valcelle_43.1769_11.7636,Agriturismo Valcelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/agriturismo_valcelle_43.1769_11.7636.json,custom
43.182463,11.769653,ov_il_brigante_gentiluomo_43.1825_11.7697,Il Brigante Gentiluomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/il_brigante_gentiluomo_43.1825_11.7697.json,custom
43.126072,11.744498,ov_area_sportiva_montefollonico_43.1261_11.7445,Area Sportiva Montefollonico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/area_sportiva_montefollonico_43.1261_11.7445.json,custom
43.126834,11.745939,ov_bar_sport_43.1268_11.7459,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/bar_sport_43.1268_11.7459.json,custom
43.155018,11.788852,ov_birrificio_saragiolino_43.1550_11.7889,Birrificio Saragiolino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/birrificio_saragiolino_43.1550_11.7889.json,custom
43.166076,11.770971,ov_bar_door_43.1661_11.7710,Bar Door,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/bar_door_43.1661_11.7710.json,custom
43.168947,11.775567,ov_bar_lo_stop_43.1689_11.7756,Bar Lo Stop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/bar_lo_stop_43.1689_11.7756.json,custom
43.170651,11.782470,ov_la_taverna_degli_artisti_43.1707_11.7825,La Taverna degli Artisti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/la_taverna_degli_artisti_43.1707_11.7825.json,custom
43.169797,11.778908,ov_sissi_43.1698_11.7789,Sissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/sissi_43.1698_11.7789.json,custom
43.183990,11.797180,ov_caff__del_900_43.1840_11.7972,Caffè del 900,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/caff_del_900_43.1840_11.7972.json,custom
43.169546,11.775539,ov_anima_dinamica_43.1695_11.7755,Anima Dinamica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/anima_dinamica_43.1695_11.7755.json,custom
43.173226,11.767782,ov_club_ippico_bellavista_43.1732_11.7678,Club Ippico Bellavista,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/club_ippico_bellavista_43.1732_11.7678.json,custom
43.177344,11.787860,ov_circolo_good_luck_43.1773_11.7879,Circolo Good Luck,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/circolo_good_luck_43.1773_11.7879.json,custom
43.173904,11.787624,ov_crossgym_capolinea_43.1739_11.7876,Crossgym Capolinea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/crossgym_capolinea_43.1739_11.7876.json,custom
43.169932,11.779291,osm_poste_italiane_43.1699_11.7793,Poste italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/poste_italiane_43.1699_11.7793.json,custom
43.166619,11.771537,ov_biblioteca_soffiasogni_43.1666_11.7715,Biblioteca Soffiasogni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/biblioteca_soffiasogni_43.1666_11.7715.json,custom
43.166616,11.771536,osm_biblioteca_comunale_43.1666_11.7715,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/torrita_di_siena/pages/biblioteca_comunale_43.1666_11.7715.json,custom
