# lat,lng,id,name,building_type,type,url,page_type
# roccasecca -- Tutti
41.532919,13.647756,ov_centro_polispecialistico_fare_41.5329_13.6478,Centro Polispecialistico FARE,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/centro_polispecialistico_fare_41.5329_13.6478.json,custom
41.532571,13.655692,ov_clandestino_ristorante_41.5326_13.6557,Clandestino Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/clandestino_ristorante_41.5326_13.6557.json,custom
41.534480,13.650880,ov_pizzeria_la_scrocchiarella_roccasecca_al_41.5345_13.6509,Pizzeria la Scrocchiarella Roccasecca alta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzeria_la_scrocchiarella_roccasecca_al_41.5345_13.6509.json,custom
41.538552,13.644751,ov_pizzeria_la_scrocchiarella_41.5386_13.6448,Pizzeria la Scrocchiarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzeria_la_scrocchiarella_41.5386_13.6448.json,custom
41.542986,13.678842,ov_il_caveau_41.5430_13.6788,Il Caveau,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/il_caveau_41.5430_13.6788.json,custom
41.704352,13.683717,ov_ristorante_capriccio_41.7044_13.6837,Ristorante Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/ristorante_capriccio_41.7044_13.6837.json,custom
41.552989,13.666260,osm_pizz_art_41.5530_13.6663,Pizz'Art,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/pizzart_41.5530_13.6663.json,custom
41.532554,13.655713,osm_ristorante_clandestino_41.5326_13.6557,Ristorante Clandestino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/ristorante_clandestino_41.5326_13.6557.json,custom
41.543987,13.633048,ov_que_pasa_41.5440_13.6330,Que Pasa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/que_pasa_41.5440_13.6330.json,custom
41.553136,13.666505,ov_bar_centrale_41.5531_13.6665,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/bar_centrale_41.5531_13.6665.json,custom
41.552679,13.667622,ov_enoteca_the_brothers_41.5527_13.6676,Enoteca The Brothers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/enoteca_the_brothers_41.5527_13.6676.json,custom
41.552629,13.667329,ov_birra__terra_di_lavoro__41.5526_13.6673,Birra 'Terra di Lavoro',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/birra_terra_di_lavoro_41.5526_13.6673.json,custom
41.542900,13.657380,ov_montellocaff__41.5429_13.6574,MontelloCaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/montellocaff_41.5429_13.6574.json,custom
41.526771,13.645864,ov_l_angolo_del_caff__41.5268_13.6459,L'Angolo Del Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/langolo_del_caff_41.5268_13.6459.json,custom
41.528930,13.647670,ov_voga_bar_41.5289_13.6477,Voga Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/voga_bar_41.5289_13.6477.json,custom
41.534795,13.648906,ov_enoteca_torre_di_luna_41.5348_13.6489,Enoteca Torre di Luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/enoteca_torre_di_luna_41.5348_13.6489.json,custom
41.535890,13.648855,ov_american_bar_41.5359_13.6489,American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/american_bar_41.5359_13.6489.json,custom
41.531853,13.649836,ov_ocabar_41.5319_13.6498,OcaBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/ocabar_41.5319_13.6498.json,custom
41.531305,13.647940,ov_chiosco_la_villetta_41.5313_13.6479,Chiosco La Villetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/chiosco_la_villetta_41.5313_13.6479.json,custom
41.533610,13.653120,ov_american_bar_roccasecca_41.5336_13.6531,American Bar Roccasecca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/american_bar_roccasecca_41.5336_13.6531.json,custom
41.534943,13.650950,ov_taxi_driver_bar_41.5349_13.6509,Taxi Driver Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/taxi_driver_bar_41.5349_13.6509.json,custom
41.539354,13.641156,ov_el_merendero_5_0_41.5394_13.6412,El Merendero 5.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/el_merendero_50_41.5394_13.6412.json,custom
41.533025,13.650754,osm_el_caribe_caf__41.5330_13.6508,El Caribe Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/el_caribe_caf_41.5330_13.6508.json,custom
41.543075,13.678802,osm_il_caveau_41.5431_13.6788,il Caveau,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/il_caveau_41.5431_13.6788.json,custom
41.550499,13.662704,ov_olimpic_body_line_41.5505_13.6627,Olimpic Body Line,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/olimpic_body_line_41.5505_13.6627.json,custom
41.534910,13.661930,ov_berardi_academy___roccasecca_41.5349_13.6619,Berardi Academy - Roccasecca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/berardi_academy_-_roccasecca_41.5349_13.6619.json,custom
41.533716,13.648471,ov_the_training_box_41.5337_13.6485,The training box,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/the_training_box_41.5337_13.6485.json,custom
41.533741,13.650360,ov_new_millennium_dance_41.5337_13.6504,New Millennium Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/new_millennium_dance_41.5337_13.6504.json,custom
41.532641,13.650124,ov_gym_tonic_41.5326_13.6501,Gym Tonic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/gym_tonic_41.5326_13.6501.json,custom
41.507878,13.621008,ov_robert_fashion_dance_41.5079_13.6210,Robert Fashion Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/robert_fashion_dance_41.5079_13.6210.json,custom
41.541458,13.636871,ov_biblioteca_di_roccasecca_libri_in_comune_41.5415_13.6369,Biblioteca di Roccasecca Libri in Comune,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/roccasecca/pages/biblioteca_di_roccasecca_libri_in_comune_41.5415_13.6369.json,custom
