# lat,lng,id,name,building_type,type,url,page_type
# finkenstein_am_faaker_see -- Tutti
46.564820,13.968400,ov_tanja_jereb_46.5648_13.9684,Tanja Jereb,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/tanja_jereb_46.5648_13.9684.json,custom
46.562460,13.912020,ov_privatstrandbad_der_agrargemeinschaft_le_46.5625_13.9120,Privatstrandbad der Agrargemeinschaft Ledenitzen am Faaker S,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/privatstrandbad_der_agrargemeinschaft_le_46.5625_13.9120.json,custom
46.564770,13.908900,ov_biker_revier_46.5648_13.9089,Biker Revier,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/biker_revier_46.5648_13.9089.json,custom
46.567890,13.904782,ov_cafe_citrus_46.5679_13.9048,Cafe Citrus,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/cafe_citrus_46.5679_13.9048.json,custom
46.568530,13.869220,ov_caf__aleksander_46.5685_13.8692,Cafè Aleksander,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/caf_aleksander_46.5685_13.8692.json,custom
46.569452,13.877863,ov_voltitsch_hof_46.5695_13.8779,Voltitsch Hof,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/voltitsch_hof_46.5695_13.8779.json,custom
46.561186,13.816495,ov_cafe_am_eck_46.5612_13.8165,Cafe Am Eck,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/cafe_am_eck_46.5612_13.8165.json,custom
46.561644,13.815670,ov_cafe_joy_46.5616_13.8157,Cafe Joy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/cafe_joy_46.5616_13.8157.json,custom
46.561579,13.815898,ov_bussy_bar_villach_46.5616_13.8159,Bussy bar Villach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/bussy_bar_villach_46.5616_13.8159.json,custom
46.400358,13.923664,ov_kovinarska_koca_46.4004_13.9237,Kovinarska Koca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/kovinarska_koca_46.4004_13.9237.json,custom
46.553490,13.983800,ov_gut_mallenitzen_46.5535_13.9838,Gut Mallenitzen,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/gut_mallenitzen_46.5535_13.9838.json,custom
46.539985,13.911068,ov_wald_momente_46.5400_13.9111,Wald Momente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/wald_momente_46.5400_13.9111.json,custom
46.567997,13.930959,ov_sportschule_pasterk_46.5680_13.9310,Sportschule Pasterk,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/sportschule_pasterk_46.5680_13.9310.json,custom
46.564020,13.914090,ov_die_sandbank_46.5640_13.9141,Die Sandbank,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/die_sandbank_46.5640_13.9141.json,custom
46.552136,13.872465,ov_klettergarten_kanzianiberg_46.5521_13.8725,Klettergarten Kanzianiberg,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/klettergarten_kanzianiberg_46.5521_13.8725.json,custom
46.561606,13.815793,ov_holistic_ems_training_46.5616_13.8158,Holistic EMS Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/holistic_ems_training_46.5616_13.8158.json,custom
46.561641,13.815822,ov_bavaria_fitness_46.5616_13.8158,Bavaria Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/bavaria_fitness_46.5616_13.8158.json,custom
46.447538,13.854817,ov_kukova_spica_46.4475_13.8548,Kukova Spica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/kukova_spica_46.4475_13.8548.json,custom
46.546598,13.903089,ov_burgruine_finkenstein_46.5466_13.9031,Burgruine Finkenstein,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/finkenstein_am_faaker_see/pages/burgruine_finkenstein_46.5466_13.9031.json,custom
