# lat,lng,id,name,building_type,type,url,page_type
# Melilli -- Tutti
37.176650,15.133820,ov_dental_art_37.1767_15.1338,Dental Art,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/dental_art_37.1767_15.1338.json,custom
37.173368,15.125743,ov_pizzeria_pizzoleria_tuttumunnuepaisi_37.1734_15.1257,Pizzeria Pizzoleria Tuttumunnuepaisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/pizzeria_pizzoleria_tuttumunnuepaisi_37.1734_15.1257.json,custom
37.181201,15.122645,ov_pizzeria_la_vecchia_falegnameria_37.1812_15.1226,Pizzeria La Vecchia Falegnameria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/pizzeria_la_vecchia_falegnameria_37.1812_15.1226.json,custom
37.180737,15.125467,ov_mcdonald_s_37.1807_15.1255,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/mcdonalds_37.1807_15.1255.json,custom
37.182122,15.125549,ov_me_boon_sushi_thai_37.1821_15.1255,Me Boon Sushi-Thai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/me_boon_sushi-thai_37.1821_15.1255.json,custom
37.181570,15.124583,ov_civico_dodici_37.1816_15.1246,Civico Dodici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/civico_dodici_37.1816_15.1246.json,custom
37.252113,15.093326,ov_bar_d_orice_37.2521_15.0933,Bar D'orice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/bar_dorice_37.2521_15.0933.json,custom
37.178219,15.128844,ov_havana_cube_pub_bar_37.1782_15.1288,Havana Cube Pub-Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/havana_cube_pub-bar_37.1782_15.1288.json,custom
37.176040,15.138823,ov_vizi_e_sfizi_37.1760_15.1388,Vizi e Sfizi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/vizi_e_sfizi_37.1760_15.1388.json,custom
37.177487,15.134400,ov_tiki_taka_sport_caf__37.1775_15.1344,Tiki Taka Sport Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/tiki_taka_sport_caf_37.1775_15.1344.json,custom
37.177533,15.129464,ov_parco_bar_37.1775_15.1295,Parco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/parco_bar_37.1775_15.1295.json,custom
37.177210,15.129450,ov_dulcis_in_fundo_caf__37.1772_15.1295,Dulcis in Fundo cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/dulcis_in_fundo_caf_37.1772_15.1295.json,custom
37.104535,15.213527,ov_bar_one_caf__37.1045_15.2135,Bar one cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/bar_one_caf_37.1045_15.2135.json,custom
37.113210,15.232980,ov_il_feudo_drink_and_food_37.1132_15.2330,Il Feudo_Drink And Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/il_feudodrink_and_food_37.1132_15.2330.json,custom
37.115143,15.227033,ov_drodum_37.1151_15.2270,Drodum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/drodum_37.1151_15.2270.json,custom
37.178849,15.123094,ov_bar_della_torre_37.1788_15.1231,Bar Della Torre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/bar_della_torre_37.1788_15.1231.json,custom
37.178230,15.126499,ov_peccati_di_gola_37.1782_15.1265,Peccati di Gola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/peccati_di_gola_37.1782_15.1265.json,custom
37.178026,15.126999,ov_sans__cafe___lifestyle_37.1780_15.1270,SanSè Cafe & Lifestyle,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/sans_cafe_lifestyle_37.1780_15.1270.json,custom
37.178435,15.126424,ov_scamporrino___dal_1880_37.1784_15.1264,Scamporrino - dal 1880,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/scamporrino_-_dal_1880_37.1784_15.1264.json,custom
37.178889,15.125586,ov_american_bar_37.1789_15.1256,American Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/american_bar_37.1789_15.1256.json,custom
37.179510,15.124800,ov_dolce_amaro_37.1795_15.1248,Dolce Amaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/dolce_amaro_37.1795_15.1248.json,custom
37.181754,15.122809,ov_blob_gadget_37.1818_15.1228,Blob Gadget,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/blob_gadget_37.1818_15.1228.json,custom
37.182429,15.123420,ov_al_mulino_bar___tabacchi_37.1824_15.1234,Al Mulino Bar - Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/al_mulino_bar_-_tabacchi_37.1824_15.1234.json,custom
37.252125,15.087758,ov_urban_dance_37.2521_15.0878,Urban dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/urban_dance_37.2521_15.0878.json,custom
37.251629,15.086961,ov_palavillasmundo_37.2516_15.0870,Palavillasmundo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/palavillasmundo_37.2516_15.0870.json,custom
37.237431,15.117457,ov_kartodromo_villasmundo_37.2374_15.1175,Kartodromo Villasmundo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/kartodromo_villasmundo_37.2374_15.1175.json,custom
37.178506,15.143157,ov_a_s_d_lino_s_gym_evolution_37.1785_15.1432,A.S.D.Lino's Gym Evolution,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/asdlinos_gym_evolution_37.1785_15.1432.json,custom
37.107536,15.229805,ov_gymnasium_37.1075_15.2298,Gymnasium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/gymnasium_37.1075_15.2298.json,custom
37.115321,15.226949,ov_bowling_manhattan_37.1153_15.2269,Bowling Manhattan,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/bowling_manhattan_37.1153_15.2269.json,custom
37.116010,15.226033,ov_club_erg_37.1160_15.2260,Club Erg,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/club_erg_37.1160_15.2260.json,custom
37.178240,15.125920,ov_crossgym_96010_37.1782_15.1259,CrossGym 96010,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/crossgym_96010_37.1782_15.1259.json,custom
37.182158,15.122499,ov_______37.1822_15.1225,𝐠𝐞𝐧𝐘𝐨,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/melilli/pages/_37.1822_15.1225.json,custom
