# lat,lng,id,name,building_type,type,url,page_type
# vigonza -- Tutti
45.426775,11.974318,ov_istituti_clinici_scientifici_maugeri_45.4268_11.9743,Istituti Clinici Scientifici Maugeri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/istituti_clinici_scientifici_maugeri_45.4268_11.9743.json,custom
45.425135,11.979339,osm_da_seba_45.4251_11.9793,da Seba,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/da_seba_45.4251_11.9793.json,custom
45.428834,11.974643,osm_mai_sazio_45.4288_11.9746,Mai Sazio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/mai_sazio_45.4288_11.9746.json,custom
45.422045,11.978940,osm_bogart_s_45.4220_11.9789,Bogart's,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bogarts_45.4220_11.9789.json,custom
45.444105,11.987559,osm_marchioro_45.4441_11.9876,Marchioro,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/marchioro_45.4441_11.9876.json,custom
45.423554,11.977295,osm_d4_caf__restaurant___winebar_45.4236_11.9773,D4 Cafè Restaurant & Winebar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/d4_caf_restaurant_winebar_45.4236_11.9773.json,custom
45.416441,11.992268,osm_dakota_45.4164_11.9923,Dakota,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/dakota_45.4164_11.9923.json,custom
45.433839,11.994155,osm_tratoria_ai_siegoi_45.4338_11.9942,Tratoria ai Siegoi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/tratoria_ai_siegoi_45.4338_11.9942.json,custom
45.444760,11.982718,osm_trattoria_bazab__45.4448_11.9827,Trattoria Bazabò,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/trattoria_bazab_45.4448_11.9827.json,custom
45.416573,11.992336,ov_dakota_pub_45.4166_11.9923,Dakota Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/dakota_pub_45.4166_11.9923.json,custom
45.416696,11.992928,ov_bar_tabaccheria_capriccio_45.4167_11.9929,Bar tabaccheria capriccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bar_tabaccheria_capriccio_45.4167_11.9929.json,custom
45.422829,11.975963,ov_birrone_brew_bar_vigonza___beer_house____45.4228_11.9760,Birrone Brew Bar Vigonza - Beer House & Comfort Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/birrone_brew_bar_vigonza_-_beer_house_co_45.4228_11.9760.json,custom
45.424474,11.970214,ov_riviera_biliardi_45.4245_11.9702,Riviera Biliardi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/riviera_biliardi_45.4245_11.9702.json,custom
45.418355,11.988055,ov_cafe_noir_45.4184_11.9881,Cafe Noir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/cafe_noir_45.4184_11.9881.json,custom
45.435386,11.958972,ov_la_vela_45.4354_11.9590,La Vela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/la_vela_45.4354_11.9590.json,custom
45.427281,11.961989,ov_zama_45.4273_11.9620,Zama,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/zama_45.4273_11.9620.json,custom
45.427270,11.961852,ov_lugio_living_cafe_45.4273_11.9619,Lugio Living Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/lugio_living_cafe_45.4273_11.9619.json,custom
45.427384,11.957677,ov_bar_tabacchi_stella_45.4274_11.9577,Bar Tabacchi Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bar_tabacchi_stella_45.4274_11.9577.json,custom
45.428172,11.957034,ov_naturalmente_vivo_pane_gastronomia_caffe_45.4282_11.9570,Naturalmente vivo pane gastronomia caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/naturalmente_vivo_pane_gastronomia_caffe_45.4282_11.9570.json,custom
45.428779,11.974994,ov_central_bar_45.4288_11.9750,Central Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/central_bar_45.4288_11.9750.json,custom
45.428896,11.961734,ov_snack_bar_taormina_45.4289_11.9617,Snack Bar Taormina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/snack_bar_taormina_45.4289_11.9617.json,custom
45.428795,11.961293,ov_tempo_divino_enoteca_cicchetteria_45.4288_11.9613,Tempo DiVino Enoteca Cicchetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/tempo_divino_enoteca_cicchetteria_45.4288_11.9613.json,custom
45.428566,11.961672,ov_busa_bar_45.4286_11.9617,Busa Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/busa_bar_45.4286_11.9617.json,custom
45.429134,11.955352,ov_pastis_45.4291_11.9554,PastiS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/pastis_45.4291_11.9554.json,custom
45.429720,11.956041,ov_al_baretto_7_0_45.4297_11.9560,Al baretto 7.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/al_baretto_70_45.4297_11.9560.json,custom
45.429284,11.974219,ov_caffe_diaz_45.4293_11.9742,Caffe Diaz,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/caffe_diaz_45.4293_11.9742.json,custom
45.433675,11.948270,ov_insonnia_caffe_45.4337_11.9483,Insonnia Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/insonnia_caffe_45.4337_11.9483.json,custom
45.436515,12.014703,ov_panificio_industriale_benetollo_45.4365_12.0147,Panificio Industriale Benetollo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/panificio_industriale_benetollo_45.4365_12.0147.json,custom
45.443790,11.989271,ov_le_rive_45.4438_11.9893,Le Rive,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/le_rive_45.4438_11.9893.json,custom
45.443724,11.989321,ov_bravi_tosi_45.4437_11.9893,Bravi Tosi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/bravi_tosi_45.4437_11.9893.json,custom
45.442947,11.981875,ov_movembik_45.4429_11.9819,Movembik,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/movembik_45.4429_11.9819.json,custom
45.443053,11.982068,ov_barrique_caffe_45.4431_11.9821,Barrique Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/barrique_caffe_45.4431_11.9821.json,custom
45.443910,11.966692,ov_cafe_peraga_45.4439_11.9667,Cafe Peraga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/cafe_peraga_45.4439_11.9667.json,custom
45.444117,11.972319,ov_barbastrejo_45.4441_11.9723,Barbastrejo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/barbastrejo_45.4441_11.9723.json,custom
45.445340,11.984160,ov_rocky_s___rose_s_45.4453_11.9842,Rocky's & Rose's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/rockys_roses_45.4453_11.9842.json,custom
45.477323,11.937651,ov_birreria_pisani_45.4773_11.9377,Birreria Pisani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/birreria_pisani_45.4773_11.9377.json,custom
45.467670,11.962670,ov_sugar_bar_da_paolo_45.4677_11.9627,Sugar bar da paolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/sugar_bar_da_paolo_45.4677_11.9627.json,custom
45.472229,11.962563,ov_agribirrificio_artigianale_eres_45.4722_11.9626,Agribirrificio Artigianale Eres,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/agribirrificio_artigianale_eres_45.4722_11.9626.json,custom
45.476156,11.945300,ov_prestige_45.4762_11.9453,Prestige,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/prestige_45.4762_11.9453.json,custom
45.428646,11.953670,osm_ore_piccole___pasticceria_cornetteria_45.4286_11.9537,Ore Piccole - Pasticceria Cornetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/ore_piccole_-_pasticceria_cornetteria_45.4286_11.9537.json,custom
45.416162,11.991629,ov_all_stars_east_indoor_paintball_45.4162_11.9916,All Stars East Indoor Paintball,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/all_stars_east_indoor_paintball_45.4162_11.9916.json,custom
45.425615,11.965291,ov_emme_cento_gym_45.4256_11.9653,Emme Cento Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/emme_cento_gym_45.4256_11.9653.json,custom
45.425946,11.993673,ov_volteggio_i_prati_45.4259_11.9937,Volteggio I Prati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/volteggio_i_prati_45.4259_11.9937.json,custom
45.419455,11.983780,ov_fantasilandia_parco_giochi_45.4195_11.9838,Fantasilandia Parco Giochi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/fantasilandia_parco_giochi_45.4195_11.9838.json,custom
45.435423,11.955460,ov_palestra_plusfit_vigonza_45.4354_11.9555,Palestra PLUSFIT Vigonza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/palestra_plusfit_vigonza_45.4354_11.9555.json,custom
45.434439,11.962655,ov_la_ruota_gymnastic_academy_a_s_d__45.4344_11.9627,La Ruota Gymnastic Academy A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/la_ruota_gymnastic_academy_asd_45.4344_11.9627.json,custom
45.431485,11.997686,ov_cm_la_nuova_dressage_asd_45.4315_11.9977,CM la nuova dressage asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/cm_la_nuova_dressage_asd_45.4315_11.9977.json,custom
45.429592,12.014171,ov_passion_horse_s_s_d_a_r_l__45.4296_12.0142,Passion Horse S.S.D A.R.L.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/passion_horse_ssd_arl_45.4296_12.0142.json,custom
45.427511,11.968737,ov_palasport_perarolo_busa_45.4275_11.9687,Palasport Perarolo-Busa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/palasport_perarolo-busa_45.4275_11.9687.json,custom
45.426985,11.969142,ov_centro_kinesi_new_life_45.4270_11.9691,Centro Kinesi New Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/centro_kinesi_new_life_45.4270_11.9691.json,custom
45.428442,11.952648,ov_palestra_linea_club_asd_45.4284_11.9526,Palestra LINEA CLUB asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/palestra_linea_club_asd_45.4284_11.9526.json,custom
45.437151,11.947950,ov_rox_gym_full_power_1994_45.4372_11.9480,Rox Gym Full Power 1994,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/rox_gym_full_power_1994_45.4372_11.9480.json,custom
45.437240,11.948000,ov_scuderia_roxgym_45.4372_11.9480,Scuderia RoxGym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/vigonza/pages/scuderia_roxgym_45.4372_11.9480.json,custom
