# lat,lng,id,name,building_type,type,url,page_type
# Vetralla -- Tutti
42.322070,12.055150,ov_giuliani_ortopedia_vetralla___centro_cur_42.3221_12.0551,Giuliani Ortopedia Vetralla - Centro Cura del Piede e Postur,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/giuliani_ortopedia_vetralla_-_centro_cur_42.3221_12.0551.json,custom
42.318956,12.062365,ov_trattoria_pizzeria_lo_scolapasta_42.3190_12.0624,Trattoria Pizzeria Lo Scolapasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/trattoria_pizzeria_lo_scolapasta_42.3190_12.0624.json,custom
42.317247,12.061323,ov_il_babba_42.3172_12.0613,Il Babba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/il_babba_42.3172_12.0613.json,custom
42.316599,12.062003,ov_ristorante_pizzeria_il_pigno_42.3166_12.0620,Ristorante Pizzeria Il Pigno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_pizzeria_il_pigno_42.3166_12.0620.json,custom
42.316042,12.061849,ov_la_macina_42.3160_12.0618,La Macina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/la_macina_42.3160_12.0618.json,custom
42.314125,12.064262,ov_ristorante_cinese___giapponese_akiko_42.3141_12.0643,Ristorante Cinese - Giapponese Akiko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_cinese_-_giapponese_akiko_42.3141_12.0643.json,custom
42.309371,12.080824,ov_tusci__by_imperiale_42.3094_12.0808,Tusciè by Imperiale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/tusci_by_imperiale_42.3094_12.0808.json,custom
42.309110,12.076720,ov_la_contesa_42.3091_12.0767,La ConteSa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/la_contesa_42.3091_12.0767.json,custom
42.309695,12.075840,ov_cancellieri_caf__42.3097_12.0758,Cancellieri Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/cancellieri_caf_42.3097_12.0758.json,custom
42.309228,12.075700,ov_reina_bar_42.3092_12.0757,Reina bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/reina_bar_42.3092_12.0757.json,custom
42.317212,12.060952,ov_pizzeria_rosticceria_stella_42.3172_12.0610,Pizzeria Rosticceria Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_rosticceria_stella_42.3172_12.0610.json,custom
42.317494,12.060420,ov_eden_pizzeria_42.3175_12.0604,Eden Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/eden_pizzeria_42.3175_12.0604.json,custom
42.316700,12.050000,ov_l_accordo_42.3167_12.0500,L'Accordo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/laccordo_42.3167_12.0500.json,custom
42.307987,12.078698,ov_pizzeria_la_storia_42.3080_12.0787,Pizzeria La Storia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_la_storia_42.3080_12.0787.json,custom
42.308464,12.078704,ov_senci_istanbul_kebab_42.3085_12.0787,Senci Istanbul Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/senci_istanbul_kebab_42.3085_12.0787.json,custom
42.308445,12.078536,ov_doppio_zero_42.3084_12.0785,Doppio zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/doppio_zero_42.3084_12.0785.json,custom
42.307699,12.080280,ov_agriturismo_i_due_casali_42.3077_12.0803,Agriturismo i due casali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/agriturismo_i_due_casali_42.3077_12.0803.json,custom
42.307541,12.080763,ov_edone_42.3075_12.0808,Edone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/edone_42.3075_12.0808.json,custom
42.307576,12.081313,ov_pizzeria_magna_pizza_42.3076_12.0813,Pizzeria MAGNA PIZZA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_magna_pizza_42.3076_12.0813.json,custom
42.307360,12.081230,ov_la_selva_d_oro___vetralla_42.3074_12.0812,La Selva d'Oro - Vetralla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/la_selva_doro_-_vetralla_42.3074_12.0812.json,custom
42.304633,12.071796,ov_ristorante_antiche_macine_42.3046_12.0718,Ristorante Antiche Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_antiche_macine_42.3046_12.0718.json,custom
42.292057,12.110827,ov_ristorante_pizzeria_km62_42.2921_12.1108,Ristorante Pizzeria Km62,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_pizzeria_km62_42.2921_12.1108.json,custom
42.292154,12.106520,ov_vetralla_ristorante_imperiale_42.2922_12.1065,Vetralla Ristorante Imperiale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/vetralla_ristorante_imperiale_42.2922_12.1065.json,custom
42.300851,12.093088,ov_sfizio_pizzeria_42.3009_12.0931,Sfizio Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/sfizio_pizzeria_42.3009_12.0931.json,custom
42.300994,12.092645,ov_il_pomo_ghiotto_pizzeria_e_gastronomia_42.3010_12.0926,Il pomo ghiotto pizzeria e gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/il_pomo_ghiotto_pizzeria_e_gastronomia_42.3010_12.0926.json,custom
42.300923,12.092666,ov_antica_trattoria_da_patente_42.3009_12.0927,Antica Trattoria Da Patente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/antica_trattoria_da_patente_42.3009_12.0927.json,custom
42.301161,12.091937,ov_pizz_art_di_tamara_giulianelli_42.3012_12.0919,Pizz’Art di Tamara Giulianelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzart_di_tamara_giulianelli_42.3012_12.0919.json,custom
42.305853,12.083939,ov_bistrot_42.3059_12.0839,Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bistrot_42.3059_12.0839.json,custom
42.305896,12.083446,ov_ristorante_akiko_42.3059_12.0834,Ristorante Akiko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_akiko_42.3059_12.0834.json,custom
42.305291,12.084415,ov_il_pastaio_42.3053_12.0844,Il Pastaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/il_pastaio_42.3053_12.0844.json,custom
42.307219,12.081673,ov_pizzeria_cima_42.3072_12.0817,Pizzeria Cima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/pizzeria_cima_42.3072_12.0817.json,custom
42.307809,12.081530,ov_i_fritti_di_piripiri_42.3078_12.0815,I fritti di PiriPiri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/i_fritti_di_piripiri_42.3078_12.0815.json,custom
42.327332,12.089268,ov_la_valle_del_burano_42.3273_12.0893,La Valle Del Burano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/la_valle_del_burano_42.3273_12.0893.json,custom
42.325522,12.085711,ov_trattoria_pizzeria_zi_catofio_42.3255_12.0857,Trattoria Pizzeria Zi Catofio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/trattoria_pizzeria_zi_catofio_42.3255_12.0857.json,custom
42.325610,12.085727,ov_ristorante_pizzeria_da_emma_42.3256_12.0857,Ristorante Pizzeria Da Emma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/ristorante_pizzeria_da_emma_42.3256_12.0857.json,custom
42.330296,12.062895,osm_antica_locanda_della_via_francigena_42.3303_12.0629,Antica Locanda della via Francigena,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/antica_locanda_della_via_francigena_42.3303_12.0629.json,custom
42.304849,12.071468,osm_antiche_macine_42.3048_12.0715,Antiche Macine,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/antiche_macine_42.3048_12.0715.json,custom
42.333790,12.055890,ov_sunkeys_42.3338_12.0559,Sunkeys,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/sunkeys_42.3338_12.0559.json,custom
42.322751,12.049443,ov_l_ultima_follia_42.3228_12.0494,L'Ultima Follia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/lultima_follia_42.3228_12.0494.json,custom
42.322560,12.048430,ov_il_gabbiano___vetralla_42.3226_12.0484,Il Gabbiano - Vetralla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/il_gabbiano_-_vetralla_42.3226_12.0484.json,custom
42.322313,12.054083,ov_jolly_blu_bar_42.3223_12.0541,Jolly Blu Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/jolly_blu_bar_42.3223_12.0541.json,custom
42.323291,12.050861,ov_big_mama_s_cafe_42.3233_12.0509,Big Mama's Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/big_mamas_cafe_42.3233_12.0509.json,custom
42.322001,12.055991,ov_sorriso_caff__by_juppiter_42.3220_12.0560,Sorriso Caffè by Juppiter,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/sorriso_caff_by_juppiter_42.3220_12.0560.json,custom
42.320211,12.059961,ov_bar_fuorimano_gelateria_tabaccheria_serv_42.3202_12.0600,Bar Fuorimano gelateria tabaccheria servizi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_fuorimano_gelateria_tabaccheria_serv_42.3202_12.0600.json,custom
42.320210,12.059965,ov_bar_fuori_mano_42.3202_12.0600,Bar Fuori Mano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_fuori_mano_42.3202_12.0600.json,custom
42.320914,12.053667,ov_bar_caffe_e_cafe_di_cecchi_42.3209_12.0537,Bar Caffe e Cafe di Cecchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_caffe_e_cafe_di_cecchi_42.3209_12.0537.json,custom
42.317848,12.062678,ov_green_bar_42.3178_12.0627,Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/green_bar_42.3178_12.0627.json,custom
42.320152,12.062211,ov_bar_la_villa_42.3202_12.0622,Bar la Villa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_la_villa_42.3202_12.0622.json,custom
42.316978,12.061367,ov_villa_cafe_42.3170_12.0614,VilLa CaFE,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/villa_cafe_42.3170_12.0614.json,custom
42.308104,12.078732,ov_bar_77_42.3081_12.0787,Bar 77,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_77_42.3081_12.0787.json,custom
42.308710,12.077820,ov_green_bar_42.3087_12.0778,Green Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/green_bar_42.3087_12.0778.json,custom
42.308540,12.078290,ov_lo_sfizio_42.3085_12.0783,Lo Sfizio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/lo_sfizio_42.3085_12.0783.json,custom
42.308111,12.079659,ov_zuccheromania_di_ester_42.3081_12.0797,Zuccheromania di ester,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/zuccheromania_di_ester_42.3081_12.0797.json,custom
42.307510,12.080800,ov_bamboo_caf__lounge_42.3075_12.0808,Bamboo Cafè Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bamboo_caf_lounge_42.3075_12.0808.json,custom
42.291910,12.111552,ov_cuv_e_caf__42.2919_12.1116,Cuvèe Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/cuve_caf_42.2919_12.1116.json,custom
42.292164,12.106829,ov_bar_fratelli_porta_42.2922_12.1068,Bar Fratelli Porta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/bar_fratelli_porta_42.2922_12.1068.json,custom
42.302978,12.087838,ov_imperialereturn_vetralla_42.3030_12.0878,Imperialereturn Vetralla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/imperialereturn_vetralla_42.3030_12.0878.json,custom
42.301423,12.090158,ov_coffee_time_42.3014_12.0902,Coffee Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/coffee_time_42.3014_12.0902.json,custom
42.343109,12.060156,ov_m_c__mud_and_passion_offroad_asd_42.3431_12.0602,M.C. Mud and Passion Offroad ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/mc_mud_and_passion_offroad_asd_42.3431_12.0602.json,custom
42.323066,12.048635,ov_palestra_atomic_gym_42.3231_12.0486,Palestra Atomic GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/palestra_atomic_gym_42.3231_12.0486.json,custom
42.322528,12.048505,ov_tiro_a_volo_vetralla_42.3225_12.0485,Tiro a Volo Vetralla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/tiro_a_volo_vetralla_42.3225_12.0485.json,custom
42.305103,12.071207,ov_palestra_k2o_42.3051_12.0712,Palestra k2o,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/palestra_k2o_42.3051_12.0712.json,custom
42.306491,12.081153,ov_q_tech_allenamento_tecnologico_42.3065_12.0812,Q-Tech Allenamento Tecnologico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/q-tech_allenamento_tecnologico_42.3065_12.0812.json,custom
42.292195,12.111780,ov_active_space_42.2922_12.1118,Active Space,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/active_space_42.2922_12.1118.json,custom
42.284654,12.090608,ov_centro_di_equitazione_le_valli_42.2847_12.0906,Centro di equitazione Le Valli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/centro_di_equitazione_le_valli_42.2847_12.0906.json,custom
43.068888,13.359375,ov_palestra_invictus_gym_43.0689_13.3594,Palestra Invictus GYM,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/palestra_invictus_gym_43.0689_13.3594.json,custom
42.322654,12.050654,ov_museo_della_citta_e_del_territorio_42.3227_12.0507,Museo della Citta e del Territorio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/museo_della_citta_e_del_territorio_42.3227_12.0507.json,custom
42.322035,12.050820,ov_labor_a___museo_diffuso_42.3220_12.0508,Labor.A - Museo Diffuso,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/labora_-_museo_diffuso_42.3220_12.0508.json,custom
42.318189,12.060019,osm_poste_italiane_42.3182_12.0600,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/poste_italiane_42.3182_12.0600.json,custom
42.318589,12.058795,ov_biblioteca_comunale_42.3186_12.0588,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/biblioteca_comunale_42.3186_12.0588.json,custom
42.318466,12.058687,osm_biblioteca_comunale_alessandro_pistella_42.3185_12.0587,Biblioteca comunale Alessandro Pistella,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/vetralla/pages/biblioteca_comunale_alessandro_pistella_42.3185_12.0587.json,custom
