# lat,lng,id,name,building_type,type,url,page_type
# Maratea -- Tutti
39.997722,15.719003,ov_ospedale_maratea_39.9977_15.7190,Ospedale Maratea,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ospedale_maratea_39.9977_15.7190.json,custom
39.991983,15.721091,ov_ristorante_il_sacello_39.9920_15.7211,Ristorante Il Sacello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ristorante_il_sacello_39.9920_15.7211.json,custom
39.970710,15.723544,ov_nera_maratea_39.9707_15.7235,Nera Maratea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/nera_maratea_39.9707_15.7235.json,custom
39.958510,15.738610,ov_white_horse_39.9585_15.7386,White Horse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/white_horse_39.9585_15.7386.json,custom
39.981460,15.749660,ov_il_giardino_di_epicuro___ristoranti_mara_39.9815_15.7497,Il giardino di Epicuro - Ristoranti Maratea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_giardino_di_epicuro_-_ristoranti_mara_39.9815_15.7497.json,custom
39.986303,15.740866,ov_casale_de_filippo_39.9863_15.7409,Casale De Filippo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/casale_de_filippo_39.9863_15.7409.json,custom
39.986226,15.731714,ov_il_piccolo_ranch_39.9862_15.7317,Il Piccolo Ranch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_piccolo_ranch_39.9862_15.7317.json,custom
39.929066,15.753931,ov_area_di_sosta_riva_riva_39.9291_15.7539,Area di sosta Riva Riva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/area_di_sosta_riva_riva_39.9291_15.7539.json,custom
39.937032,15.757178,ov_il_mirto_solarium_bar_39.9370_15.7572,Il Mirto Solarium Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_mirto_solarium_bar_39.9370_15.7572.json,custom
39.934625,15.743956,ov_mirto_solarium_bar_39.9346_15.7440,Mirto Solarium Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/mirto_solarium_bar_39.9346_15.7440.json,custom
39.994989,15.703216,ov_bar_gelateria_pasticceria_da_riccardo_39.9950_15.7032,Bar Gelateria Pasticceria Da Riccardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/bar_gelateria_pasticceria_da_riccardo_39.9950_15.7032.json,custom
39.989524,15.708977,ov_bar_del_porto_39.9895_15.7090,Bar Del Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/bar_del_porto_39.9895_15.7090.json,custom
39.989413,15.708864,ov_il_clubbino_porto_39.9894_15.7089,Il Clubbino Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_clubbino_porto_39.9894_15.7089.json,custom
39.989386,15.708276,ov_il_moro_cafe_39.9894_15.7083,Il Moro Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_moro_cafe_39.9894_15.7083.json,custom
39.989680,15.705740,ov_il_bar_del_porto_39.9897_15.7057,Il bar del Porto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/il_bar_del_porto_39.9897_15.7057.json,custom
39.995558,15.722691,ov_marathia_39.9956_15.7227,Marathia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/marathia_39.9956_15.7227.json,custom
39.995747,15.722170,ov_ricevitoria_intralot___bar_caff__europa_39.9957_15.7222,Ricevitoria Intralot - Bar Caffè Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/ricevitoria_intralot_-_bar_caff_europa_39.9957_15.7222.json,custom
39.997640,15.726060,ov_santojanni__maratea_39.9976_15.7261,Santojanni  Maratea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/santojanni_maratea_39.9976_15.7261.json,custom
39.992610,15.722359,ov_caffe_e_dolcezze_di_laprea_39.9926_15.7224,Caffe e Dolcezze di Laprea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/caffe_e_dolcezze_di_laprea_39.9926_15.7224.json,custom
39.992691,15.722151,ov_bar_avignano_39.9927_15.7222,Bar Avignano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/bar_avignano_39.9927_15.7222.json,custom
39.992647,15.721923,ov_la_caffetteria_39.9926_15.7219,La Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/la_caffetteria_39.9926_15.7219.json,custom
39.992665,15.721416,ov_rossofermo_risto_pub_39.9927_15.7214,Rossofermo Risto pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/rossofermo_risto_pub_39.9927_15.7214.json,custom
39.937121,15.765443,ov_gusti_agricoli_calabro_lucani_39.9371_15.7654,Gusti Agricoli Calabro Lucani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/gusti_agricoli_calabro_lucani_39.9371_15.7654.json,custom
39.992696,15.723283,ov_maratea___vie_ferrate_e_d_arrampicata_39.9927_15.7233,Maratea - Vie ferrate e d'arrampicata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/maratea_-_vie_ferrate_e_darrampicata_39.9927_15.7233.json,custom
39.936566,15.749584,ov_castello_di_castrocucco_39.9366_15.7496,Castello di Castrocucco,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/castello_di_castrocucco_39.9366_15.7496.json,custom
39.943424,15.735460,ov_torre_caja_39.9434_15.7355,Torre Caja,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/torre_caja_39.9434_15.7355.json,custom
39.985050,15.711419,ov_torre_filocaio_39.9850_15.7114,Torre Filocaio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/torre_filocaio_39.9850_15.7114.json,custom
39.992866,15.720546,ov_palazzo_de_lieto_39.9929_15.7205,Palazzo De Lieto,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/palazzo_de_lieto_39.9929_15.7205.json,custom
39.987777,15.720926,ov_cristo_redentore_di_maratea_39.9878_15.7209,Cristo Redentore di Maratea,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/cristo_redentore_di_maratea_39.9878_15.7209.json,custom
39.995583,15.721683,osm_biblioteca_del_centro_culturale_jos__mar_39.9956_15.7217,Biblioteca del Centro culturale Josè Mario Cernicchiaro,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/biblioteca_del_centro_culturale_jos_mari_39.9956_15.7217.json,custom
39.994590,15.726382,osm_biblioteca_delle_soprintendenze_per_i_be_39.9946_15.7264,Biblioteca delle Soprintendenze per i beni architettonici e ,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maratea/pages/biblioteca_delle_soprintendenze_per_i_be_39.9946_15.7264.json,custom
