# lat,lng,id,name,building_type,type,url,page_type
# Valtournenche -- Tutti
45.935949,7.629002,ov_c_t_o__centro_traumatologico_45.9359_7.6290,C.T.O. Centro Traumatologico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/cto_centro_traumatologico_45.9359_7.6290.json,custom
45.935238,7.629929,ov_al_solito_posto_45.9352_7.6299,Al Solito Posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/al_solito_posto_45.9352_7.6299.json,custom
45.934154,7.629293,ov_pizzeria_sottozero_cervinia_45.9342_7.6293,Pizzeria Sottozero Cervinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/pizzeria_sottozero_cervinia_45.9342_7.6293.json,custom
45.933445,7.629596,ov_wood_45.9334_7.6296,Wood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/wood_45.9334_7.6296.json,custom
45.936992,7.628310,ov_metzelet_45.9370_7.6283,Metzelet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/metzelet_45.9370_7.6283.json,custom
45.935959,7.628788,ov_casa_dello_sport_45.9360_7.6288,Casa dello Sport,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/casa_dello_sport_45.9360_7.6288.json,custom
45.937352,7.628964,ov_la_parete_nord_45.9374_7.6290,La Parete Nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_parete_nord_45.9374_7.6290.json,custom
45.937119,7.629649,ov_mon_amour_45.9371_7.6296,Mon Amour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/mon_amour_45.9371_7.6296.json,custom
45.936882,7.629697,ov_ristorante_grivola_45.9369_7.6297,Ristorante Grivola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_grivola_45.9369_7.6297.json,custom
45.936719,7.629762,ov_lo_copapan_45.9367_7.6298,Lo CopaPan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/lo_copapan_45.9367_7.6298.json,custom
45.936357,7.629969,ov_jour_et_nuit_45.9364_7.6300,Jour Et Nuit,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/jour_et_nuit_45.9364_7.6300.json,custom
45.936320,7.630030,ov_aaasssq_br_45.9363_7.6300,Aaasssq BR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/aaasssq_br_45.9363_7.6300.json,custom
45.935718,7.629957,ov_ristorante_le_blason_45.9357_7.6300,Ristorante Le Blason,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_le_blason_45.9357_7.6300.json,custom
45.935421,7.630079,ov_lo_barbaboque_ristro_45.9354_7.6301,Lo Barbaboque Ristro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/lo_barbaboque_ristro_45.9354_7.6301.json,custom
45.935932,7.630391,ov_ristorante_bar_capanna_alpina_45.9359_7.6304,Ristorante Bar Capanna Alpina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_bar_capanna_alpina_45.9359_7.6304.json,custom
45.937097,7.629960,ov_bistrot_convivial_45.9371_7.6300,Bistrot Convivial,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bistrot_convivial_45.9371_7.6300.json,custom
45.943858,7.631515,ov_royaume_du_cervin_45.9439_7.6315,Royaume du Cervin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/royaume_du_cervin_45.9439_7.6315.json,custom
45.937313,7.630658,ov_icebar_paninoteca_breuil_cervinia_45.9373_7.6307,Icebar Paninoteca Breuil Cervinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/icebar_paninoteca_breuil_cervinia_45.9373_7.6307.json,custom
45.937496,7.630626,ov_ristorante_pizzeria_la_grotta_45.9375_7.6306,Ristorante Pizzeria La Grotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_pizzeria_la_grotta_45.9375_7.6306.json,custom
45.936552,7.631045,ov_orienthai_taste_45.9366_7.6310,OrienThai Taste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/orienthai_taste_45.9366_7.6310.json,custom
45.935915,7.633820,ov_nives_restaurant_45.9359_7.6338,Nives Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/nives_restaurant_45.9359_7.6338.json,custom
45.939148,7.634941,ov_ristorante_bar_bricole_45.9391_7.6349,Ristorante Bar Bricole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_bar_bricole_45.9391_7.6349.json,custom
45.945582,7.666317,ov_chalet_etoile_45.9456_7.6663,Chalet Etoile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/chalet_etoile_45.9456_7.6663.json,custom
45.941739,7.656164,ov_rocce_nere_45.9417_7.6562,Rocce Nere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/rocce_nere_45.9417_7.6562.json,custom
45.941420,7.656485,ov_tuktu_45.9414_7.6565,Tuktu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/tuktu_45.9414_7.6565.json,custom
45.945003,7.649434,ov_love_cervinia_45.9450_7.6494,Love Cervinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/love_cervinia_45.9450_7.6494.json,custom
45.938258,7.652664,ov_rocce_nere_45.9383_7.6527,Rocce Nere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/rocce_nere_45.9383_7.6527.json,custom
45.929044,7.652026,ov_igloo_45.9290_7.6520,Igloo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/igloo_45.9290_7.6520.json,custom
45.929021,7.651961,ov_the_sky_club___valtur_cervinia_45.9290_7.6520,The Sky Club - Valtur Cervinia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/the_sky_club_-_valtur_cervinia_45.9290_7.6520.json,custom
45.894199,7.649317,ov_la_roisette_45.8942_7.6493,La Roisette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_roisette_45.8942_7.6493.json,custom
45.904205,7.654891,ov_la_motta_chez_gabriel_45.9042_7.6549,La Motta Chez Gabriel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_motta_chez_gabriel_45.9042_7.6549.json,custom
45.894873,7.661474,ov_lo_baracon_dou_tene_45.8949_7.6615,Lo Baracon Dou Tene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/lo_baracon_dou_tene_45.8949_7.6615.json,custom
45.923369,7.674164,ov_ristorante_pousset_45.9234_7.6742,Ristorante Pousset,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_pousset_45.9234_7.6742.json,custom
45.925705,7.682609,ov_bar_ristorante_gran_sometta_45.9257_7.6826,Bar Ristorante Gran Sometta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_ristorante_gran_sometta_45.9257_7.6826.json,custom
45.948045,7.694243,ov_ristorante_bontadini_45.9480_7.6942,Ristorante Bontadini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ristorante_bontadini_45.9480_7.6942.json,custom
45.944004,7.708451,ov_rifugio_teodulo_3317m_45.9440_7.7085,Rifugio Teodulo 3317m,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/rifugio_teodulo_3317m_45.9440_7.7085.json,custom
45.875639,7.623244,osm_pizzeria_ristorante_chez_luisella_45.8756_7.6232,Pizzeria Ristorante Chez Luisella,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/pizzeria_ristorante_chez_luisella_45.8756_7.6232.json,custom
45.863166,7.610158,ov_bar_la_goille_45.8632_7.6102,Bar la Goille,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_la_goille_45.8632_7.6102.json,custom
45.864267,7.643333,ov_panorama_al_bich_45.8643_7.6433,Panorama al Bich,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/panorama_al_bich_45.8643_7.6433.json,custom
45.879439,7.636187,ov_lo_baraquien_champl_ve_45.8794_7.6362,Lo Baraquien Champlève,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/lo_baraquien_champlve_45.8794_7.6362.json,custom
45.877658,7.623122,ov_bar_berthod_45.8777_7.6231,Bar Berthod,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_berthod_45.8777_7.6231.json,custom
45.877161,7.622764,ov_bar_cafe_des_guides_45.8772_7.6228,Bar Cafe Des Guides,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_cafe_des_guides_45.8772_7.6228.json,custom
45.908442,7.616000,ov_flamini_patisserie___bistrot_45.9084_7.6160,Flamini Patisserie & Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/flamini_patisserie_bistrot_45.9084_7.6160.json,custom
45.933301,7.633330,ov_bar_del_golf_breuil_cervinia_45.9333_7.6333,Bar del Golf Breuil Cervinia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_del_golf_breuil_cervinia_45.9333_7.6333.json,custom
45.937076,7.629624,ov_ymeletrob_45.9371_7.6296,Ymeletrob,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/ymeletrob_45.9371_7.6296.json,custom
45.936067,7.630160,ov_tasty_cervinia_45.9361_7.6302,Tasty cervinia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/tasty_cervinia_45.9361_7.6302.json,custom
45.935932,7.630391,ov_barlagranbecca_45.9359_7.6304,barlagranbecca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/barlagranbecca_45.9359_7.6304.json,custom
45.936403,7.630543,ov_yeti_bar_45.9364_7.6305,Yeti Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/yeti_bar_45.9364_7.6305.json,custom
45.937320,7.629788,ov_bar_au_planet_45.9373_7.6298,Bar Au Planet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bar_au_planet_45.9373_7.6298.json,custom
45.935838,7.630647,ov_la_gran_becca_cafe_gourmet_lounge_45.9358_7.6306,La Gran Becca Cafe Gourmet Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/la_gran_becca_cafe_gourmet_lounge_45.9358_7.6306.json,custom
45.935843,7.631154,ov_lino_s_bar_45.9358_7.6312,Lino's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/linos_bar_45.9358_7.6312.json,custom
45.935860,7.630979,ov_umbrella_bar_45.9359_7.6310,Umbrella Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/umbrella_bar_45.9359_7.6310.json,custom
45.938423,7.635867,ov_the_bar_apr_s_ski_45.9384_7.6359,The BAR Après ski,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/the_bar_aprs_ski_45.9384_7.6359.json,custom
45.938531,7.635874,ov_principe_delle_nevi_45.9385_7.6359,Principe delle Nevi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/principe_delle_nevi_45.9385_7.6359.json,custom
45.893564,7.646841,ov_willy_bar_45.8936_7.6468,Willy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/willy_bar_45.8936_7.6468.json,custom
45.891102,7.683713,ov_baracon_45.8911_7.6837,Baracon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/baracon_45.8911_7.6837.json,custom
45.876561,7.623902,ov_scuola_di_sci_di_valtournenche_45.8766_7.6239,Scuola Di Sci Di Valtournenche,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/scuola_di_sci_di_valtournenche_45.8766_7.6239.json,custom
45.933602,7.633438,ov_bike_park_cervinia_valtournenche_45.9336_7.6334,BIKE PARK Cervinia Valtournenche,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/bike_park_cervinia_valtournenche_45.9336_7.6334.json,custom
45.930069,7.632745,ov_cervinia_master_ski_45.9301_7.6327,Cervinia Master Ski,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/cervinia_master_ski_45.9301_7.6327.json,custom
45.935134,7.631032,ov_we_snowboard_cervinia_45.9351_7.6310,WE Snowboard Cervinia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/we_snowboard_cervinia_45.9351_7.6310.json,custom
45.936882,7.629153,ov_4478_snc_di_massimiliano_gorret_e_patric_45.9369_7.6292,4478 SNC di Massimiliano Gorret e Patrick Poletto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/4478_snc_di_massimiliano_gorret_e_patric_45.9369_7.6292.json,custom
45.935549,7.630202,ov_ride_em_ski_school_45.9355_7.6302,Ride'Em Ski School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/rideem_ski_school_45.9355_7.6302.json,custom
45.937332,7.630639,ov_scuola_di_sci_del_breuil_45.9373_7.6306,Scuola Di Sci Del Breuil,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/scuola_di_sci_del_breuil_45.9373_7.6306.json,custom
45.877221,7.622907,ov_maison_de_l_alpage_45.8772_7.6229,Maison de l'Alpage,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/maison_de_lalpage_45.8772_7.6229.json,custom
45.874519,7.624981,osm_poste_italiane_45.8745_7.6250,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/poste_italiane_45.8745_7.6250.json,custom
45.873800,7.623220,ov_biblioteca_di_valtournenche_45.8738_7.6232,Biblioteca di Valtournenche,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/biblioteca_di_valtournenche_45.8738_7.6232.json,custom
45.879041,7.623078,ov_agenzia_immobiliare_valtournenche_45.8790_7.6231,Agenzia Immobiliare Valtournenche,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/valtournenche/pages/agenzia_immobiliare_valtournenche_45.8790_7.6231.json,custom
