# lat,lng,id,name,building_type,type,url,page_type
# nembro -- Tutti
45.739955,9.752025,ov_associazione_amici_della_pediatria_ets_o_45.7400_9.7520,Associazione Amici della Pediatria ETS ODV,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/associazione_amici_della_pediatria_ets_o_45.7400_9.7520.json,custom
45.748416,9.752841,osm_osteria_del_piajo_45.7484_9.7528,Osteria del Piajo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/osteria_del_piajo_45.7484_9.7528.json,custom
45.744755,9.757589,osm_pizzeria_tre_corone_45.7448_9.7576,Pizzeria tre Corone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/pizzeria_tre_corone_45.7448_9.7576.json,custom
45.749436,9.753030,osm_tenuta_colle_piajo_45.7494_9.7530,Tenuta Colle Piajo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/tenuta_colle_piajo_45.7494_9.7530.json,custom
45.757614,9.734036,ov_ar_brewing_45.7576_9.7340,AR Brewing,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/ar_brewing_45.7576_9.7340.json,custom
45.757590,9.734097,ov_il_canto_delle_cicale_beer_45.7576_9.7341,Il Canto delle Cicale Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/il_canto_delle_cicale_beer_45.7576_9.7341.json,custom
45.707583,9.726206,ov_caff_delborgo_nembro_45.7076_9.7262,Caffèdelborgo nembro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/caffdelborgo_nembro_45.7076_9.7262.json,custom
45.732100,9.758690,ov_leon_bar_45.7321_9.7587,Leon Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/leon_bar_45.7321_9.7587.json,custom
45.740201,9.760916,ov_jam_live_muzik_45.7402_9.7609,Jam Live Muzik,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/jam_live_muzik_45.7402_9.7609.json,custom
45.736500,9.749630,ov_paganoni_caff__45.7365_9.7496,Paganoni caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/paganoni_caff_45.7365_9.7496.json,custom
45.744517,9.757838,ov_enoteca_italvini_di_giorgio_pellicioli_45.7445_9.7578,Enoteca Italvini Di Giorgio Pellicioli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/enoteca_italvini_di_giorgio_pellicioli_45.7445_9.7578.json,custom
45.747941,9.767838,ov_la_cantina_di_nadia_45.7479_9.7678,La Cantina di Nadia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/la_cantina_di_nadia_45.7479_9.7678.json,custom
45.745474,9.761884,ov_nembro_centro_45.7455_9.7619,Nembro Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/nembro_centro_45.7455_9.7619.json,custom
45.745314,9.761575,ov_bar_il_borgo_45.7453_9.7616,Bar Il Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/bar_il_borgo_45.7453_9.7616.json,custom
45.744904,9.760640,ov_azimut_caf__45.7449_9.7606,Azimut Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/azimut_caf_45.7449_9.7606.json,custom
45.744639,9.760156,ov_bar_tortuga_45.7446_9.7602,Bar Tortuga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/bar_tortuga_45.7446_9.7602.json,custom
45.744203,9.760552,ov_verdea_caffe_45.7442_9.7606,Verdea Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/verdea_caffe_45.7442_9.7606.json,custom
45.744150,9.759230,ov_gherim_gusto_solidale__bottega_e_caff__45.7441_9.7592,Gherim Gusto Solidale: Bottega e Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/gherim_gusto_solidale_bottega_e_caff_45.7441_9.7592.json,custom
45.743211,9.758739,ov_acaffe_nembro_45.7432_9.7587,ACaffe Nembro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/acaffe_nembro_45.7432_9.7587.json,custom
45.746749,9.766741,ov_dolci_sogni_liberi_45.7467_9.7667,Dolci Sogni Liberi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/dolci_sogni_liberi_45.7467_9.7667.json,custom
45.752277,9.781647,ov_nembeer_pub_45.7523_9.7816,NemBeer Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/nembeer_pub_45.7523_9.7816.json,custom
45.740200,9.753156,osm_smart_24_45.7402_9.7532,Smart 24,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/smart_24_45.7402_9.7532.json,custom
45.752159,9.781653,osm_nembeer_45.7522_9.7817,Nembeer,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/nembeer_45.7522_9.7817.json,custom
45.735394,9.747420,osm_atlantic_45.7354_9.7474,Atlantic,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/atlantic_45.7354_9.7474.json,custom
45.732640,9.758380,ov_terredellagavarnia_45.7326_9.7584,Terredellagavarnia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/terredellagavarnia_45.7326_9.7584.json,custom
45.741209,9.751981,ov_combo_dance_school_45.7412_9.7520,Combo Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/combo_dance_school_45.7412_9.7520.json,custom
45.750300,9.764230,ov_world_of_fitness_nembro_45.7503_9.7642,WORLD of fitness Nembro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/world_of_fitness_nembro_45.7503_9.7642.json,custom
45.743775,9.759845,ov_palazzetto_comunale_di_nembro_45.7438_9.7598,Palazzetto Comunale di Nembro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/palazzetto_comunale_di_nembro_45.7438_9.7598.json,custom
45.743964,9.762555,ov_a_s_d__satiro_danzante_45.7440_9.7626,A.S.D. Satiro Danzante,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/asd_satiro_danzante_45.7440_9.7626.json,custom
45.744738,9.769001,ov_centro_sportivo_saletti_45.7447_9.7690,Centro Sportivo Saletti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/centro_sportivo_saletti_45.7447_9.7690.json,custom
45.750950,9.779840,ov_srb_off_road_45.7510_9.7798,SRB off road,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/srb_off_road_45.7510_9.7798.json,custom
45.752011,9.780964,ov_bodytonic_45.7520_9.7810,Bodytonic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/bodytonic_45.7520_9.7810.json,custom
45.744105,9.768495,osm_centro_sportivo_saletti_45.7441_9.7685,Centro sportivo Saletti,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/centro_sportivo_saletti_45.7441_9.7685.json,custom
45.742004,9.761079,ov_parco_rotondo_45.7420_9.7611,Parco Rotondo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/parco_rotondo_45.7420_9.7611.json,custom
45.741242,9.752110,ov_museo_delle_pietre_coti_45.7412_9.7521,Museo delle Pietre Coti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/museo_delle_pietre_coti_45.7412_9.7521.json,custom
45.744251,9.761677,ov_biblioteca_centro_cultura_tullio_carrara_45.7443_9.7617,Biblioteca Centro Cultura Tullio Carrara,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/nembro/pages/biblioteca_centro_cultura_tullio_carrara_45.7443_9.7617.json,custom
