# lat,lng,id,name,building_type,type,url,page_type
# cislago -- Tutti
45.658570,8.971820,ov_laboratori_oikos_srl_medicina_del_lavoro_45.6586_8.9718,Laboratori Oikos srl Medicina del Lavoro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/laboratori_oikos_srl_medicina_del_lavoro_45.6586_8.9718.json,custom
45.660427,8.973337,ov_bodeguero_cantina_con_cucina_45.6604_8.9733,Bodeguero Cantina con Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/bodeguero_cantina_con_cucina_45.6604_8.9733.json,custom
45.661514,8.972599,osm_bar_trattoria_la_milanesa_45.6615_8.9726,Bar Trattoria La Milanesa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/bar_trattoria_la_milanesa_45.6615_8.9726.json,custom
45.663830,8.966266,ov_academy_caf__45.6638_8.9663,Academy Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/academy_caf_45.6638_8.9663.json,custom
45.663890,8.966300,ov_gazza_bar_45.6639_8.9663,Gazza Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/gazza_bar_45.6639_8.9663.json,custom
45.660169,8.970445,ov_caf__elite_45.6602_8.9704,Café Elite,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/caf_elite_45.6602_8.9704.json,custom
45.659970,8.972964,ov_la_cantina_di_alice_45.6600_8.9730,La Cantina di Alice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/la_cantina_di_alice_45.6600_8.9730.json,custom
45.659367,8.969585,ov_peps_cafe_45.6594_8.9696,Peps Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/peps_cafe_45.6594_8.9696.json,custom
45.657420,8.963480,ov_colori_e_colori_45.6574_8.9635,Colori e Colori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/colori_e_colori_45.6574_8.9635.json,custom
45.658339,8.971948,ov_ohana_cafe_45.6583_8.9719,Ohana Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/ohana_cafe_45.6583_8.9719.json,custom
45.657040,8.971446,ov_circolo_acli_cislago_aps_45.6570_8.9714,Circolo ACLI Cislago aps,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/circolo_acli_cislago_aps_45.6570_8.9714.json,custom
45.660279,8.973301,ov_caff__emilio_45.6603_8.9733,Caffè Emilio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/caff_emilio_45.6603_8.9733.json,custom
45.661032,8.977556,ov_bar_stazione_45.6610_8.9776,Bar Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/bar_stazione_45.6610_8.9776.json,custom
45.664450,8.978920,ov_e_i_s_service_45.6645_8.9789,E.I.S Service,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/eis_service_45.6645_8.9789.json,custom
45.527486,10.246530,ov_bar_belle_epoque_45.5275_10.2465,Bar Belle Epoque,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/bar_belle_epoque_45.5275_10.2465.json,custom
45.658281,8.972039,osm_ohana_caf__45.6583_8.9720,OHANA Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/ohana_caf_45.6583_8.9720.json,custom
45.659352,8.969655,osm_peps_caf__45.6594_8.9697,Peps Café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/peps_caf_45.6594_8.9697.json,custom
45.660133,8.970555,osm_caf__elite_45.6601_8.9706,Cafè Elite,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/caf_elite_45.6601_8.9706.json,custom
45.639308,8.967737,ov_garden_horses_asd_45.6393_8.9677,Garden horses asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/garden_horses_asd_45.6393_8.9677.json,custom
45.640113,8.968374,ov_centro_ippico_le_puledre_45.6401_8.9684,Centro Ippico Le Puledre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/centro_ippico_le_puledre_45.6401_8.9684.json,custom
45.656600,8.971460,ov_gruppo_anziani_cislaghesi_45.6566_8.9715,Gruppo Anziani Cislaghesi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/gruppo_anziani_cislaghesi_45.6566_8.9715.json,custom
45.656680,8.980606,ov_fit_active_45.6567_8.9806,Fit Active,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/fit_active_45.6567_8.9806.json,custom
45.661122,8.976246,ov_cistellum_basket_cislago_45.6611_8.9762,Cistellum basket Cislago,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/cistellum_basket_cislago_45.6611_8.9762.json,custom
45.663171,8.974827,ov_danzarte_asd_45.6632_8.9748,Danzarte asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/danzarte_asd_45.6632_8.9748.json,custom
45.660225,8.972941,osm_poste_italiane_45.6602_8.9729,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/poste_italiane_45.6602_8.9729.json,custom
45.650956,8.968259,ov_municipio_di_cislago_biblioteca_comunale_45.6510_8.9683,Municipio di Cislago Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/municipio_di_cislago_biblioteca_comunale_45.6510_8.9683.json,custom
45.656768,8.971646,ov_biblioteca_di_cislago_45.6568_8.9716,Biblioteca di Cislago,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/biblioteca_di_cislago_45.6568_8.9716.json,custom
45.656768,8.971646,osm_biblioteca_comunale_di_cislago_45.6568_8.9716,Biblioteca comunale di Cislago,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/biblioteca_comunale_di_cislago_45.6568_8.9716.json,custom
45.656934,8.979679,ov_la_piadineria_45.6569_8.9797,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cislago/pages/la_piadineria_45.6569_8.9797.json,custom
