# lat,lng,id,name,building_type,type,url,page_type
# villafranca_in_lunigiana -- Tutti
44.298819,9.949037,ov_ospedale_sant_antonio_abate_pontremoli_44.2988_9.9490,Ospedale Sant'antonio Abate Pontremoli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/ospedale_santantonio_abate_pontremoli_44.2988_9.9490.json,custom
44.293205,9.950822,ov_roxy_bar_44.2932_9.9508,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/roxy_bar_44.2932_9.9508.json,custom
44.301988,9.956582,ov_bar_madonna_44.3020_9.9566,Bar Madonna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_madonna_44.3020_9.9566.json,custom
44.303712,9.946986,ov_bar_caffetteria_rodi_44.3037_9.9470,Bar Caffetteria Rodi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_caffetteria_rodi_44.3037_9.9470.json,custom
44.294373,9.948575,ov_caffetteria_la_stazione_44.2944_9.9486,Caffetteria La Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/caffetteria_la_stazione_44.2944_9.9486.json,custom
44.294764,9.949496,ov_bar_caff__carpe_diem_44.2948_9.9495,Bar Caffè Carpe diem,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_caff_carpe_diem_44.2948_9.9495.json,custom
44.298397,9.951147,ov_bar_delle_piscine__lunibaby_cafe__44.2984_9.9511,Bar delle piscine -Lunibaby Cafe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bar_delle_piscine_-lunibaby_cafe_44.2984_9.9511.json,custom
44.297842,9.956020,ov_cocktail_bar_anka_44.2978_9.9560,Cocktail bar Anka,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/cocktail_bar_anka_44.2978_9.9560.json,custom
44.298465,9.964538,ov_pi__de_la_prada_44.2985_9.9645,Piè De La Prada,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/pi_de_la_prada_44.2985_9.9645.json,custom
44.301295,9.950916,ov_campo_sportivo_a__bottero_villafranca_44.3013_9.9509,Campo Sportivo A. Bottero VILLAFRANCA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/campo_sportivo_a_bottero_villafranca_44.3013_9.9509.json,custom
44.303585,9.946990,ov_lunidanza_44.3036_9.9470,Lunidanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/lunidanza_44.3036_9.9470.json,custom
44.294843,9.949395,ov_pugilistica_villafranchese_44.2948_9.9494,Pugilistica Villafranchese,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/pugilistica_villafranchese_44.2948_9.9494.json,custom
44.294100,9.953900,ov_bodymind_personal_functional_training_44.2941_9.9539,BodyMind Personal Functional Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/bodymind_personal_functional_training_44.2941_9.9539.json,custom
44.296503,9.948562,ov_palestra_pugilato_44.2965_9.9486,Palestra Pugilato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/palestra_pugilato_44.2965_9.9486.json,custom
44.298854,9.952939,ov_dharma_yoga_44.2989_9.9529,Dharma yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/dharma_yoga_44.2989_9.9529.json,custom
44.291187,9.951051,ov_museo_etnografico_della_lunigiana_44.2912_9.9511,Museo Etnografico della Lunigiana,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/museo_etnografico_della_lunigiana_44.2912_9.9511.json,custom
44.298347,9.973576,ov_castello_di_virgoletta_44.2983_9.9736,Castello di Virgoletta,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/castello_di_virgoletta_44.2983_9.9736.json,custom
44.314044,9.970993,ov_malgrate_castle_44.3140_9.9710,Malgrate Castle,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/malgrate_castle_44.3140_9.9710.json,custom
44.290865,9.951391,osm_biblioteca_del_museo_etnografico_della_l_44.2909_9.9514,Biblioteca del Museo etnografico della Lunigiana,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/biblioteca_del_museo_etnografico_della_l_44.2909_9.9514.json,custom
44.290801,9.950837,osm_biblioteca_civica_a__olivetti_44.2908_9.9508,Biblioteca civica A. Olivetti,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/villafranca_in_lunigiana/pages/biblioteca_civica_a_olivetti_44.2908_9.9508.json,custom
