# lat,lng,id,name,building_type,type,url,page_type
# Gravedona ed Uniti -- Tutti
46.142500,9.299825,ov_hospital_moriggia_pelascini_46.1425_9.2998,Hospital Moriggia Pelascini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/hospital_moriggia_pelascini_46.1425_9.2998.json,custom
46.142607,9.295258,ov_euro_bar_46.1426_9.2953,Euro Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/euro_bar_46.1426_9.2953.json,custom
46.142533,9.295627,ov_underground_caffe_46.1425_9.2956,Underground caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/underground_caffe_46.1425_9.2956.json,custom
46.137128,9.295022,ov_orizzonte_22015___gravedona_46.1371_9.2950,Orizzonte 22015 - Gravedona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/orizzonte_22015_-_gravedona_46.1371_9.2950.json,custom
46.147011,9.305605,ov_bar_sport_46.1470_9.3056,Bar sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/bar_sport_46.1470_9.3056.json,custom
46.147455,9.305969,ov_da_gennarino_enoteca___gintoneria_46.1475_9.3060,Da Gennarino Enoteca & Gintoneria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/da_gennarino_enoteca_gintoneria_46.1475_9.3060.json,custom
46.147259,9.306017,ov_wine_fashion_cafe_46.1473_9.3060,Wine Fashion Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/wine_fashion_cafe_46.1473_9.3060.json,custom
46.145393,9.305023,ov_bar_centrale__affitta_camere_46.1454_9.3050,"Bar Centrale, affitta camere",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/bar_centrale_affitta_camere_46.1454_9.3050.json,custom
46.143333,9.301019,ov_petit_bar_46.1433_9.3010,Petit Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/petit_bar_46.1433_9.3010.json,custom
46.143199,9.302512,osm_bar_sacchetto_46.1432_9.3025,Bar Sacchetto,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/bar_sacchetto_46.1432_9.3025.json,custom
46.147100,9.285010,ov_lake_como_alpaka_mountain_walks_46.1471_9.2850,Lake Como Alpaka Mountain Walks,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/lake_como_alpaka_mountain_walks_46.1471_9.2850.json,custom
46.141731,9.294785,ov_palestra_ai_platani_46.1417_9.2948,Palestra Ai Platani,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/palestra_ai_platani_46.1417_9.2948.json,custom
46.147940,9.303530,ov_ag_media_sport_46.1479_9.3035,AG Media Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/ag_media_sport_46.1479_9.3035.json,custom
46.148379,9.309323,ov_biblioteca_di_gravedona_46.1484_9.3093,Biblioteca di Gravedona,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/gravedona_ed_uniti/pages/biblioteca_di_gravedona_46.1484_9.3093.json,custom
