# lat,lng,id,name,building_type,type,url,page_type
# Castellaneta -- Tutti
40.634349,16.934185,ov_ospedale_san_pio_40.6343_16.9342,Ospedale San Pio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ospedale_san_pio_40.6343_16.9342.json,custom
40.631546,16.934458,ov_birreria_56_40.6315_16.9345,Birreria 56,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/birreria_56_40.6315_16.9345.json,custom
40.631542,16.934465,ov_pizzeria_infarina_40.6315_16.9345,Pizzeria Infarina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pizzeria_infarina_40.6315_16.9345.json,custom
40.627914,16.925641,ov_almami_40.6279_16.9256,Almami,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/almami_40.6279_16.9256.json,custom
40.627079,16.925310,ov_coffeeshop_aragonese_point_castellaneta_40.6271_16.9253,Coffeeshop Aragonese Point Castellaneta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/coffeeshop_aragonese_point_castellaneta_40.6271_16.9253.json,custom
40.626364,16.924811,ov_pausa_caff__40.6264_16.9248,Pausa Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/pausa_caff_40.6264_16.9248.json,custom
40.625064,16.938203,ov_almat_infissi_40.6251_16.9382,Almat Infissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/almat_infissi_40.6251_16.9382.json,custom
40.537316,16.926058,ov_ip_stazione_di_servizio_essepitredici_40.5373_16.9261,IP Stazione di Servizio Essepitredici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ip_stazione_di_servizio_essepitredici_40.5373_16.9261.json,custom
40.481913,16.933795,ov_garden_caf__40.4819_16.9338,Garden Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/garden_caf_40.4819_16.9338.json,custom
40.492276,16.927528,ov_statale_106_40.4923_16.9275,Statale 106,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/statale_106_40.4923_16.9275.json,custom
40.473690,16.934340,ov_barcotto_40.4737_16.9343,Barcotto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/barcotto_40.4737_16.9343.json,custom
40.468073,16.937881,ov_dolci_pensieri_40.4681_16.9379,Dolci Pensieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/dolci_pensieri_40.4681_16.9379.json,custom
40.468461,16.946558,ov_bar_dell_anfiteatro_40.4685_16.9466,Bar dell'Anfiteatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/bar_dellanfiteatro_40.4685_16.9466.json,custom
40.468554,16.946442,ov_shaila_fusion_beach_bar_40.4686_16.9464,Shaila Fusion Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/shaila_fusion_beach_bar_40.4686_16.9464.json,custom
40.462705,16.937721,ov_lido_paradiso_bar_tabacchi_40.4627_16.9377,Lido Paradiso Bar Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/lido_paradiso_bar_tabacchi_40.4627_16.9377.json,custom
40.462169,16.936637,ov_terrazza_margherita_beach_40.4622_16.9366,Terrazza Margherita Beach,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/terrazza_margherita_beach_40.4622_16.9366.json,custom
40.460704,16.934521,ov_lido_la_barchetta__castellaneta_marina__40.4607_16.9345,Lido La Barchetta -Castellaneta Marina-,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/lido_la_barchetta_-castellaneta_marina-_40.4607_16.9345.json,custom
40.456593,16.927904,ov_lido_la_marea_40.4566_16.9279,Lido La Marea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/lido_la_marea_40.4566_16.9279.json,custom
40.633942,16.933499,osm_nomine_rosae_40.6339_16.9335,Nomine Rosae,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/nomine_rosae_40.6339_16.9335.json,custom
40.631702,16.925630,ov_muscle_factory_40.6317_16.9256,Muscle factory,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/muscle_factory_40.6317_16.9256.json,custom
40.632598,16.930322,ov_asd_la_palestra_ilgrande_40.6326_16.9303,Asd La Palestra Ilgrande,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/asd_la_palestra_ilgrande_40.6326_16.9303.json,custom
40.633024,16.930921,ov_sport___fitness_40.6330_16.9309,Sport & Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/sport_fitness_40.6330_16.9309.json,custom
40.625571,16.934250,ov_obsession_dance_academy_40.6256_16.9343,Obsession Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/obsession_dance_academy_40.6256_16.9343.json,custom
40.626082,16.934964,ov_palestra_asd_metamorphosy_mariano_40.6261_16.9350,Palestra ASD Metamorphosy Mariano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/palestra_asd_metamorphosy_mariano_40.6261_16.9350.json,custom
40.626236,16.934262,ov_boom_fitness_club_40.6262_16.9343,Boom fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/boom_fitness_club_40.6262_16.9343.json,custom
40.628988,16.935149,ov_palestra_reishiki_40.6290_16.9351,Palestra Reishiki,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/palestra_reishiki_40.6290_16.9351.json,custom
40.628851,16.940986,ov_samatva_yoga_castellaneta_40.6289_16.9410,Samatva Yoga Castellaneta,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/samatva_yoga_castellaneta_40.6289_16.9410.json,custom
40.630039,16.937543,ov_ganesha_studio_40.6300_16.9375,Ganesha Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/ganesha_studio_40.6300_16.9375.json,custom
40.625637,16.925961,ov_palatifo_40.6256_16.9260,Palatifo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/palatifo_40.6256_16.9260.json,custom
40.621097,16.940556,ov_il_rumb_n_castellaneta_associazione_spor_40.6211_16.9406,Il Rumbón Castellaneta Associazione Sportiva Dilettantistica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/il_rumbn_castellaneta_associazione_sport_40.6211_16.9406.json,custom
40.623240,16.940950,ov_asd_kastanea_40.6232_16.9410,Asd Kastanea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/asd_kastanea_40.6232_16.9410.json,custom
40.628915,16.937634,ov_rodolfo_valentino_il_mito_di_castellanet_40.6289_16.9376,Rodolfo Valentino Il Mito Di Castellaneta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/rodolfo_valentino_il_mito_di_castellanet_40.6289_16.9376.json,custom
40.629759,16.939377,ov_museo_rodolfo_valentino_40.6298_16.9394,Museo Rodolfo Valentino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/museo_rodolfo_valentino_40.6298_16.9394.json,custom
40.466835,16.937609,osm_poste_italiane_40.4668_16.9376,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/castellaneta/pages/poste_italiane_40.4668_16.9376.json,custom
