# lat,lng,id,name,building_type,type,url,page_type
# Torregrotta -- Tutti
38.213975,15.344504,ov_laboratorio_di_kinesiologia_rizzo_jos__38.2140_15.3445,Laboratorio di Kinesiologia Rizzo Josè,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/laboratorio_di_kinesiologia_rizzo_jos_38.2140_15.3445.json,custom
38.215335,15.345649,ov_impal__marco_pasquale_38.2153_15.3456,ImpalÀ Marco Pasquale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/impal_marco_pasquale_38.2153_15.3456.json,custom
38.213989,15.346513,ov_bar_alfredo_38.2140_15.3465,Bar Alfredo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/bar_alfredo_38.2140_15.3465.json,custom
38.211076,15.347447,ov_bar_pasticceria_tornesi_grasso_38.2111_15.3474,Bar Pasticceria Tornesi Grasso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/bar_pasticceria_tornesi_grasso_38.2111_15.3474.json,custom
38.191955,15.354494,ov_bar_pasticceria_dolci_delizie_38.1920_15.3545,Bar pasticceria Dolci Delizie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/bar_pasticceria_dolci_delizie_38.1920_15.3545.json,custom
38.194512,15.353221,ov_mas__38.1945_15.3532,Masè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/mas_38.1945_15.3532.json,custom
38.198277,15.352003,ov_allantic_city_2_0_38.1983_15.3520,Allantic City 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/allantic_city_20_38.1983_15.3520.json,custom
38.196811,15.357267,ov_tequila_pub_38.1968_15.3573,Tequila Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/tequila_pub_38.1968_15.3573.json,custom
38.210594,15.345819,ov_health_nutrition_38.2106_15.3458,Health Nutrition,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/health_nutrition_38.2106_15.3458.json,custom
38.209851,15.348952,ov_palestra_meeting_sporting_club_38.2099_15.3490,Palestra Meeting Sporting Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/palestra_meeting_sporting_club_38.2099_15.3490.json,custom
38.209192,15.342702,ov_antudo_strength_and_conditioning_38.2092_15.3427,Antudo Strength and Conditioning,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/antudo_strength_and_conditioning_38.2092_15.3427.json,custom
38.192415,15.360418,ov_evopt_training_camp_38.1924_15.3604,Evopt Training Camp,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/evopt_training_camp_38.1924_15.3604.json,custom
38.205840,15.354122,ov_evopt_training_camp_38.2058_15.3541,Evopt Training Camp,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/evopt_training_camp_38.2058_15.3541.json,custom
38.204960,15.352766,ov_a_s_d__energy_fitness_38.2050_15.3528,A.S.D. Energy Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/asd_energy_fitness_38.2050_15.3528.json,custom
38.216403,15.351739,ov_mesan_padel_center_38.2164_15.3517,Mesan Padel Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/torregrotta/pages/mesan_padel_center_38.2164_15.3517.json,custom
