# lat,lng,id,name,building_type,type,url,page_type
# Bernalda -- Tutti
40.410834,16.689621,ov_bar_pasticceria_del_corso_la_scorzetta_d_40.4108_16.6896,Bar pasticceria Del Corso La Scorzetta di Vincenzo Spinelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/bar_pasticceria_del_corso_la_scorzetta_d_40.4108_16.6896.json,custom
40.410956,16.689338,ov_momart_40.4110_16.6893,Momart,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/momart_40.4110_16.6893.json,custom
40.410866,16.689434,ov_kilgore_pub_40.4109_16.6894,Kilgore Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/kilgore_pub_40.4109_16.6894.json,custom
40.411644,16.690310,ov_new_duemila___subway_40.4116_16.6903,New Duemila - Subway,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/new_duemila_-_subway_40.4116_16.6903.json,custom
40.411851,16.690404,ov_crema___cioccolato_bernalda_40.4119_16.6904,Crema & cioccolato Bernalda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/crema_cioccolato_bernalda_40.4119_16.6904.json,custom
40.411921,16.691501,ov_pasticceria___cocktail_bar_sissi_40.4119_16.6915,Pasticceria & Cocktail Bar SISSI,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/pasticceria_cocktail_bar_sissi_40.4119_16.6915.json,custom
40.412534,16.690997,ov_iqos_premium_partner_bernalda_40.4125_16.6910,IQOS PREMIUM PARTNER BERNALDA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/iqos_premium_partner_bernalda_40.4125_16.6910.json,custom
40.415320,16.693060,ov_eden_park_40.4153_16.6931,Eden Park,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/eden_park_40.4153_16.6931.json,custom
40.414524,16.692441,ov_goldbet_40.4145_16.6924,Goldbet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/goldbet_40.4145_16.6924.json,custom
40.413562,16.691432,ov_l_orchidea_caffetteria_pasticceria_40.4136_16.6914,L'orchidea Caffetteria Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/bernalda/pages/lorchidea_caffetteria_pasticceria_40.4136_16.6914.json,custom
