# lat,lng,id,name,building_type,type,url,page_type
# Isola del Liri -- Tutti
41.679446,13.571987,ov_petit_vini_e_cucina_41.6794_13.5720,Petit Vini e Cucina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/petit_vini_e_cucina_41.6794_13.5720.json,custom
41.679752,13.571083,ov_bar_cinemateatro_41.6798_13.5711,Bar Cinemateatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_cinemateatro_41.6798_13.5711.json,custom
41.680062,13.569698,ov_caffetteria_de_flaviis_41.6801_13.5697,Caffetteria De Flaviis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/caffetteria_de_flaviis_41.6801_13.5697.json,custom
41.678604,13.569800,ov_bar_dei_giardinetti_41.6786_13.5698,Bar dei Giardinetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_dei_giardinetti_41.6786_13.5698.json,custom
41.678363,13.569731,ov_i_giardini_di_via_p__sas_41.6784_13.5697,I Giardini di Via Pò SAS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/i_giardini_di_via_p_sas_41.6784_13.5697.json,custom
41.677041,13.570430,ov_bar_po_41.6770_13.5704,Bar po,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_po_41.6770_13.5704.json,custom
41.676696,13.571267,ov_barrique_bar_enoteca_41.6767_13.5713,Barrique Bar Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/barrique_bar_enoteca_41.6767_13.5713.json,custom
41.676564,13.569387,ov_bar_stella_41.6766_13.5694,Bar Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/bar_stella_41.6766_13.5694.json,custom
41.680740,13.567040,ov_sala_beautiful_vlt_41.6807_13.5670,SALA Beautiful VLT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/sala_beautiful_vlt_41.6807_13.5670.json,custom
41.678348,13.573991,osm_pasticceria_gelateria_facchini_41.6783_13.5740,Pasticceria Gelateria Facchini,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/pasticceria_gelateria_facchini_41.6783_13.5740.json,custom
41.679165,13.526191,ov_palestra_centro_fitness_2000_41.6792_13.5262,Palestra Centro Fitness 2000,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/palestra_centro_fitness_2000_41.6792_13.5262.json,custom
41.683562,13.562397,ov_cascatalonga_41.6836_13.5624,Cascatalonga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/cascatalonga_41.6836_13.5624.json,custom
41.683682,13.562220,ov_giardino_dello_sport_41.6837_13.5622,Giardino dello Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/giardino_dello_sport_41.6837_13.5622.json,custom
41.679070,13.563490,ov_goldbet_isola_liri_41.6791_13.5635,Goldbet isola liri,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/goldbet_isola_liri_41.6791_13.5635.json,custom
41.677997,13.563891,ov_square_fitness_studio_41.6780_13.5639,Square Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/square_fitness_studio_41.6780_13.5639.json,custom
41.685854,13.580198,ov_alwaysfit_41.6859_13.5802,AlwaysFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/alwaysfit_41.6859_13.5802.json,custom
41.677541,13.575295,ov_savage_lifters_41.6775_13.5753,Savage Lifters,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/savage_lifters_41.6775_13.5753.json,custom
41.679930,13.573611,ov_la_ciclostorica_delle_cascate_41.6799_13.5736,La Ciclostorica delle cascate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/la_ciclostorica_delle_cascate_41.6799_13.5736.json,custom
41.682480,13.566800,ov_scuola_di_danza_dreaming_41.6825_13.5668,scuola_di_danza_dreaming,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/isola_del_liri/pages/scuoladidanzadreaming_41.6825_13.5668.json,custom
