# lat,lng,id,name,building_type,type,url,page_type
# Ispra -- Tutti
45.814075,8.621456,ov_centro_medico_le_mimose_45.8141_8.6215,Centro Medico Le Mimose,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/centro_medico_le_mimose_45.8141_8.6215.json,custom
45.815121,8.622636,ov_le_bistrot_du_gourmet_45.8151_8.6226,Le Bistrot Du Gourmet,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/le_bistrot_du_gourmet_45.8151_8.6226.json,custom
45.820020,8.626720,ov_bar_dal_barone_45.8200_8.6267,Bar Dal Barone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/bar_dal_barone_45.8200_8.6267.json,custom
45.826565,8.627230,ov_dk_bar_restaurant_45.8266_8.6272,DK bar restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/dk_bar_restaurant_45.8266_8.6272.json,custom
45.814138,8.621489,ov_bar_il_cielo_45.8141_8.6215,Bar Il Cielo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/bar_il_cielo_45.8141_8.6215.json,custom
45.813441,8.615094,ov_barlume_45.8134_8.6151,BarLume,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/barlume_45.8134_8.6151.json,custom
45.813371,8.611473,ov_castelbarco_caffe_45.8134_8.6115,Castelbarco Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/castelbarco_caffe_45.8134_8.6115.json,custom
45.815087,8.610601,ov_enoteca_forni_di_forni_marco_45.8151_8.6106,Enoteca Forni di Forni Marco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/enoteca_forni_di_forni_marco_45.8151_8.6106.json,custom
45.798318,8.610431,ov_golf_cafe_barza_45.7983_8.6104,Golf Cafe Barza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/golf_cafe_barza_45.7983_8.6104.json,custom
45.815524,8.609960,ov_caf__san_martino_45.8155_8.6100,Cafè San Martino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/caf_san_martino_45.8155_8.6100.json,custom
45.814781,8.610843,osm_pasticceria_san_gabriele_45.8148_8.6108,Pasticceria San Gabriele,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/pasticceria_san_gabriele_45.8148_8.6108.json,custom
45.815578,8.609945,osm_san_martino_45.8156_8.6099,San Martino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/san_martino_45.8156_8.6099.json,custom
45.816313,8.611785,osm_tutti_i_frutti_45.8163_8.6118,Tutti I Frutti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/tutti_i_frutti_45.8163_8.6118.json,custom
45.813373,8.611550,osm_castelbarco_45.8134_8.6116,CastelBARco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/castelbarco_45.8134_8.6116.json,custom
45.814438,8.610568,osm_dolce_e_salato_45.8144_8.6106,Dolce e salato,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/dolce_e_salato_45.8144_8.6106.json,custom
45.821571,8.632112,osm_bar_le_cascine__pausa_pranzo__caffetteri_45.8216_8.6321,Bar le cascine, pausa pranzo, caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/bar_le_cascine_pausa_pranzo_caffetteria_45.8216_8.6321.json,custom
45.804088,8.623480,ov_asd_jrc_dance_club___club_di_danza_del_c_45.8041_8.6235,ASD JRC Dance Club - Club di Danza del CCR,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/asd_jrc_dance_club_-_club_di_danza_del_c_45.8041_8.6235.json,custom
45.823183,8.624425,ov_twinbody_45.8232_8.6244,Twinbody,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/twinbody_45.8232_8.6244.json,custom
45.814171,8.631843,ov_centro_ippico_la_betulla_45.8142_8.6318,Centro Ippico La Betulla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/centro_ippico_la_betulla_45.8142_8.6318.json,custom
45.815377,8.621894,ov_t3k_dive_asd_45.8154_8.6219,T3k Dive Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/t3k_dive_asd_45.8154_8.6219.json,custom
45.814050,8.621490,ov_io_mi_alleno_asd_45.8141_8.6215,Io mi alleno asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/io_mi_alleno_asd_45.8141_8.6215.json,custom
45.814911,8.610602,ov_centro_yoga_ispra_45.8149_8.6106,Centro Yoga Ispra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/centro_yoga_ispra_45.8149_8.6106.json,custom
45.798213,8.610580,ov_golfino_del_monzeglio_45.7982_8.6106,Golfino del Monzeglio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/golfino_del_monzeglio_45.7982_8.6106.json,custom
45.803151,8.609632,ov_pilateslab_45.8032_8.6096,Pilateslab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/pilateslab_45.8032_8.6096.json,custom
45.814683,8.610914,osm_ispra_45.8147_8.6109,Ispra,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ispra/pages/ispra_45.8147_8.6109.json,custom
