# lat,lng,id,name,building_type,type,url,page_type
# castelli_calepio -- Tutti
45.610310,9.893420,ov_ambulatorio_odontoiatrico_dr__deleon_45.6103_9.8934,Ambulatorio Odontoiatrico Dr. Deleon,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/ambulatorio_odontoiatrico_dr_deleon_45.6103_9.8934.json,custom
45.610147,9.893225,ov_popsy_45.6101_9.8932,Popsy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/popsy_45.6101_9.8932.json,custom
45.652721,9.915938,ov_76oldpub_45.6527_9.9159,76oldpub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/76oldpub_45.6527_9.9159.json,custom
45.647370,9.909810,ov_la_sosta_bar___pancaff__45.6474_9.9098,La SOSTA BAR - PanCaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/la_sosta_bar_-_pancaff_45.6474_9.9098.json,custom
45.635581,9.903547,ov_nonsolo_caff__45.6356_9.9035,Nonsolo CaffÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/nonsolo_caff_45.6356_9.9035.json,custom
45.635537,9.903853,ov_garden_caffe_45.6355_9.9039,Garden Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/garden_caffe_45.6355_9.9039.json,custom
45.637101,9.902799,ov_bar_dei_mille_45.6371_9.9028,Bar dei mille,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/bar_dei_mille_45.6371_9.9028.json,custom
45.638184,9.887495,ov_officina_caffe_45.6382_9.8875,Officina Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/officina_caffe_45.6382_9.8875.json,custom
45.640975,9.904818,ov_bar_via_dei_mille_45.6410_9.9048,Bar Via Dei Mille,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/bar_via_dei_mille_45.6410_9.9048.json,custom
45.613748,9.884176,ov_circolo_arci_quintano_45.6137_9.8842,Circolo Arci Quintano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/circolo_arci_quintano_45.6137_9.8842.json,custom
45.615186,9.890046,ov_bar_dello_sportivo_45.6152_9.8900,Bar dello Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/bar_dello_sportivo_45.6152_9.8900.json,custom
45.649899,9.912764,ov_centro_aurora_a_s_d__via_sagrato_san_lor_45.6499_9.9128,Centro Aurora A.S.D. Via Sagrato San Lorenzo Martire 1 Caste,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/centro_aurora_asd_via_sagrato_san_lorenz_45.6499_9.9128.json,custom
45.638145,9.895124,ov_dance_academy_asd_45.6381_9.8951,Dance Academy Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/dance_academy_asd_45.6381_9.8951.json,custom
45.641097,9.899456,ov_md_training___rehab_45.6411_9.8995,MD Training & Rehab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/md_training_rehab_45.6411_9.8995.json,custom
45.627098,9.895902,ov_castelgym_45.6271_9.8959,Castelgym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/castelgym_45.6271_9.8959.json,custom
45.613975,9.896198,ov_tecnosystem_tappezzeria_snc_di_rossi_per_45.6140_9.8962,Tecnosystem Tappezzeria SNC di Rossi-Perletti-Belotti e C.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/tecnosystem_tappezzeria_snc_di_rossi-per_45.6140_9.8962.json,custom
45.649219,9.913949,ov_castello_conti_calepio_45.6492_9.9139,Castello Conti Calepio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castelli_calepio/pages/castello_conti_calepio_45.6492_9.9139.json,custom
