# lat,lng,id,name,building_type,type,url,page_type
# Castano Primo -- Tutti
45.551250,8.778400,ov_casa_di_riposo_san_giuseppe_45.5513_8.7784,Casa di Riposo San Giuseppe,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/casa_di_riposo_san_giuseppe_45.5513_8.7784.json,custom
45.550759,8.780609,ov_la_ruota__pizzeria_ristorante_45.5508_8.7806,La Ruota* Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/la_ruota_pizzeria_ristorante_45.5508_8.7806.json,custom
45.550516,8.785262,ov_mizu_sushi_fusion_restaurant_45.5505_8.7853,MIZU-Sushi&Fusion Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/mizu-sushifusion_restaurant_45.5505_8.7853.json,custom
45.549726,8.774162,ov_l_arte_della_pizza_45.5497_8.7742,L’arte della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/larte_della_pizza_45.5497_8.7742.json,custom
45.548001,8.774573,ov_da_marzia_45.5480_8.7746,Da Marzia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/da_marzia_45.5480_8.7746.json,custom
45.547822,8.773427,ov_pizzeria_da_tony_45.5478_8.7734,Pizzeria da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pizzeria_da_tony_45.5478_8.7734.json,custom
45.543746,8.763149,ov_mcdonald_s_45.5437_8.7631,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/mcdonalds_45.5437_8.7631.json,custom
45.565212,8.782829,ov_meg_cafe_45.5652_8.7828,Meg Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/meg_cafe_45.5652_8.7828.json,custom
45.559333,8.779987,ov_lacanevaenoteca_45.5593_8.7800,Lacanevaenoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/lacanevaenoteca_45.5593_8.7800.json,custom
45.558556,8.783029,ov_crimy_caf__45.5586_8.7830,Crimy Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/crimy_caf_45.5586_8.7830.json,custom
45.556072,8.770104,ov_kiosk_sciaredo_45.5561_8.7701,Kiosk Sciaredo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/kiosk_sciaredo_45.5561_8.7701.json,custom
45.555734,8.772800,ov_bar_trattoria_della_stazione_45.5557_8.7728,Bar trattoria della stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_trattoria_della_stazione_45.5557_8.7728.json,custom
45.553860,8.774270,ov_bar_trattoria_dal_re_45.5539_8.7743,Bar Trattoria Dal Re,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_trattoria_dal_re_45.5539_8.7743.json,custom
45.552470,8.777958,ov_elisir_caf__45.5525_8.7780,Elisir café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/elisir_caf_45.5525_8.7780.json,custom
45.551932,8.778723,ov_caffetteria_prestige_45.5519_8.7787,Caffetteria Prestige,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/caffetteria_prestige_45.5519_8.7787.json,custom
45.551527,8.777074,ov_al_nostro_bar_45.5515_8.7771,Al Nostro Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/al_nostro_bar_45.5515_8.7771.json,custom
45.551523,8.777973,ov_pub_la_taverna_45.5515_8.7780,PUB la Taverna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pub_la_taverna_45.5515_8.7780.json,custom
45.551674,8.778414,ov_pasticceria_pariani_45.5517_8.7784,Pasticceria Pariani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/pasticceria_pariani_45.5517_8.7784.json,custom
45.551344,8.778911,ov_gil_pub_45.5513_8.7789,Gil Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/gil_pub_45.5513_8.7789.json,custom
45.551402,8.773657,ov_bar_gelateria_xenia_45.5514_8.7737,Bar Gelateria Xenia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_gelateria_xenia_45.5514_8.7737.json,custom
45.551338,8.777266,ov_bar_rosso_di_sera_45.5513_8.7773,Bar Rosso di sera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_rosso_di_sera_45.5513_8.7773.json,custom
45.551270,8.776229,ov_bar_mira_45.5513_8.7762,Bar Mira,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_mira_45.5513_8.7762.json,custom
45.551166,8.774425,ov_amplifon_corso_san_rocco__castano_primo_45.5512_8.7744,"Amplifon Corso San Rocco, Castano Primo",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/amplifon_corso_san_rocco_castano_primo_45.5512_8.7744.json,custom
45.548869,8.777893,ov_bar_favole_e_caffe_45.5489_8.7779,Bar Favole e Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/bar_favole_e_caffe_45.5489_8.7779.json,custom
45.543321,8.782139,ov_the_flower_bar_45.5433_8.7821,The Flower Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/the_flower_bar_45.5433_8.7821.json,custom
45.552357,8.780827,osm_19_bar_45.5524_8.7808,19 bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/19_bar_45.5524_8.7808.json,custom
45.560928,8.777921,ov_palestra_comunale_45.5609_8.7779,Palestra comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/palestra_comunale_45.5609_8.7779.json,custom
45.552989,8.782651,ov_endurance_academy_45.5530_8.7827,Endurance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/endurance_academy_45.5530_8.7827.json,custom
45.552557,8.765923,ov_urban_connections_company_45.5526_8.7659,Urban Connections Company,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/urban_connections_company_45.5526_8.7659.json,custom
45.552766,8.778632,ov_palestra_futura_45.5528_8.7786,Palestra Futura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/palestra_futura_45.5528_8.7786.json,custom
45.551727,8.765991,ov_tensostruttura_castano_primo_45.5517_8.7660,Tensostruttura Castano Primo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/tensostruttura_castano_primo_45.5517_8.7660.json,custom
45.551801,8.777749,ov_civico_80_pilates___postural_studio_45.5518_8.7777,Civico 80 Pilates & Postural Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/civico_80_pilates_postural_studio_45.5518_8.7777.json,custom
45.551148,8.779264,ov_master_club_45.5511_8.7793,Master Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/master_club_45.5511_8.7793.json,custom
45.550682,8.780649,ov_asd_boxe_castano_45.5507_8.7806,ASD Boxe Castano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/asd_boxe_castano_45.5507_8.7806.json,custom
45.544348,8.741780,ov_luna_blu_45.5443_8.7418,Luna Blu,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/luna_blu_45.5443_8.7418.json,custom
45.552595,8.776709,ov_museo_civico_45.5526_8.7767,Museo Civico,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/museo_civico_45.5526_8.7767.json,custom
45.552674,8.776867,ov_biblioteca_comunale_di_castano_primo_45.5527_8.7769,Biblioteca Comunale di Castano Primo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/castano_primo/pages/biblioteca_comunale_di_castano_primo_45.5527_8.7769.json,custom
