# lat,lng,id,name,building_type,type,url,page_type
# Pratola Peligna -- Tutti
42.096612,13.874401,ov_boulevard_caf__42.0966_13.8744,Boulevard café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/boulevard_caf_42.0966_13.8744.json,custom
42.096482,13.874407,ov_roxy_bar_42.0965_13.8744,Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/roxy_bar_42.0965_13.8744.json,custom
42.096850,13.874248,ov_caffe_palazzo_42.0968_13.8742,Caffe Palazzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/caffe_palazzo_42.0968_13.8742.json,custom
42.097393,13.874144,ov_be_good_caf__42.0974_13.8741,Be Good Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/be_good_caf_42.0974_13.8741.json,custom
42.098759,13.874319,ov_caffe_900_42.0988_13.8743,Caffe 900,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/caffe_900_42.0988_13.8743.json,custom
42.097804,13.874273,ov_caffe_del_corso_42.0978_13.8743,Caffe del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/caffe_del_corso_42.0978_13.8743.json,custom
42.099580,13.874859,ov_bar_sugar_42.0996_13.8749,Bar Sugar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/bar_sugar_42.0996_13.8749.json,custom
42.097194,13.872828,ov_le_meraviglie_di_naty_42.0972_13.8728,Le meraviglie di Naty,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/le_meraviglie_di_naty_42.0972_13.8728.json,custom
42.095052,13.871736,ov_bar_la_villetta_42.0951_13.8717,Bar La Villetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/bar_la_villetta_42.0951_13.8717.json,custom
42.092061,13.875458,ov_manhattan_bar_42.0921_13.8755,Manhattan BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/manhattan_bar_42.0921_13.8755.json,custom
42.091930,13.875503,ov_enoteca_tarantelli_42.0919_13.8755,Enoteca Tarantelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/enoteca_tarantelli_42.0919_13.8755.json,custom
42.091548,13.875857,ov_zanzibar_42.0915_13.8759,Zanzibar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/zanzibar_42.0915_13.8759.json,custom
42.101070,13.877160,ov__contradaorsailmorrone__42.1011_13.8772,_contradaorsailmorrone_,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/contradaorsailmorrone_42.1011_13.8772.json,custom
42.100686,13.872521,ov_palestra_athletic_center_42.1007_13.8725,Palestra Athletic Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/palestra_athletic_center_42.1007_13.8725.json,custom
42.101400,13.872590,ov_la_magia_dell_essere__centro_arti_orient_42.1014_13.8726,"La Magia dell'Essere, Centro Arti Orientali e Discipline Oli",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/la_magia_dellessere_centro_arti_oriental_42.1014_13.8726.json,custom
42.105331,13.872757,ov_palestra_gymnika_42.1053_13.8728,Palestra Gymnika,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/palestra_gymnika_42.1053_13.8728.json,custom
42.101044,13.858333,ov_palestra_comunale_pratola_peligna_42.1010_13.8583,Palestra Comunale Pratola Peligna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pratola_peligna/pages/palestra_comunale_pratola_peligna_42.1010_13.8583.json,custom
