# lat,lng,id,name,building_type,type,url,page_type
# leysin -- Tutti
46.341707,7.008345,osm_ems_miremont_46.3417_7.0083,EMS Miremont,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/ems_miremont_46.3417_7.0083.json,custom
46.372670,7.030735,ov_chalet_restaurant_les_fers_46.3727_7.0307,Chalet restaurant les Fers,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/chalet_restaurant_les_fers_46.3727_7.0307.json,custom
46.359684,7.001968,osm_restaurant_tournant_panoramique_le_kuklo_46.3597_7.0020,Restaurant Tournant Panoramique Le Kuklos,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/restaurant_tournant_panoramique_le_kuklo_46.3597_7.0020.json,custom
46.372739,7.030810,osm_chalet_restaurant_des_fers_46.3727_7.0308,Chalet-Restaurant des Fers,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/chalet-restaurant_des_fers_46.3727_7.0308.json,custom
46.343325,7.007145,ov_pop_up_art_caf__leysin_46.3433_7.0071,Pop-Up Art Café Leysin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/pop-up_art_caf_leysin_46.3433_7.0071.json,custom
46.341528,7.012763,ov_le_leysin_swiss_wine_bar_46.3415_7.0128,Le Leysin Swiss Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/le_leysin_swiss_wine_bar_46.3415_7.0128.json,custom
46.345139,7.010262,ov_maxx_club___lounge_46.3451_7.0103,Maxx Club & Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/maxx_club_lounge_46.3451_7.0103.json,custom
46.342883,7.013208,ov_l_embuscade_46.3429_7.0132,L'Embuscade,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/lembuscade_46.3429_7.0132.json,custom
46.347447,7.017540,ov_cable_bar_46.3474_7.0175,Cable Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/cable_bar_46.3474_7.0175.json,custom
46.346285,7.017106,ov_horizonte_cafe_46.3463_7.0171,Horizonte Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/horizonte_cafe_46.3463_7.0171.json,custom
46.344244,7.017666,ov_brasserie_des_vagabonds_46.3442_7.0177,Brasserie des Vagabonds,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/brasserie_des_vagabonds_46.3442_7.0177.json,custom
46.365790,7.010230,ov_le_2048_46.3658_7.0102,Le 2048,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/le_2048_46.3658_7.0102.json,custom
46.364422,7.002118,ov_freestyle_bar_46.3644_7.0021,Freestyle bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/freestyle_bar_46.3644_7.0021.json,custom
46.366491,7.014205,osm_buvette_de_mayen_46.3665_7.0142,Buvette de Mayen,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/buvette_de_mayen_46.3665_7.0142.json,custom
46.345822,7.012890,ov_leysin_sport_46.3458_7.0129,Leysin Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/leysin_sport_46.3458_7.0129.json,custom
46.343549,7.013945,ov_man_ge_de_leysin_46.3435_7.0139,Manège De Leysin,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/mange_de_leysin_46.3435_7.0139.json,custom
46.345898,7.016154,ov_leysin_tennis_46.3459_7.0162,Leysin Tennis,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/leysin_tennis_46.3459_7.0162.json,custom
46.346045,7.016341,ov_centre_sportif_de_la_piscine_46.3460_7.0163,Centre Sportif de la Piscine,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/centre_sportif_de_la_piscine_46.3460_7.0163.json,custom
46.347373,7.017397,ov_leysin_les_mosses_la_l_cherette_46.3474_7.0174,Leysin Les Mosses La Lécherette,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/leysin_les_mosses_la_lcherette_46.3474_7.0174.json,custom
46.342264,7.019686,ov_maison_du_sport_vaudois_46.3423_7.0197,Maison du Sport Vaudois,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/maison_du_sport_vaudois_46.3423_7.0197.json,custom
46.343549,7.013386,osm_filiale_leysin_46.3435_7.0134,Filiale Leysin,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/filiale_leysin_46.3435_7.0134.json,custom
46.344944,7.009613,ov_lrc_library_shms_leysin_46.3449_7.0096,LRC-Library SHMS Leysin,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/lrc-library_shms_leysin_46.3449_7.0096.json,custom
46.343560,7.013080,ov_swiss_management_univ_46.3436_7.0131,Swiss Management Univ,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/swiss_management_univ_46.3436_7.0131.json,custom
46.352280,7.008892,ov_leysin_american_school_libraries_46.3523_7.0089,Leysin American School Libraries,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/leysin_american_school_libraries_46.3523_7.0089.json,custom
46.340343,7.017066,osm_biblioth_que_scolaire_et_publique_les_or_46.3403_7.0171,Bibliothèque scolaire et publique Les Ormonts-Leysin,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/leysin/pages/bibliothque_scolaire_et_publique_les_orm_46.3403_7.0171.json,custom
