# lat,lng,id,name,building_type,type,url,page_type
# Cairo Montenotte -- Tutti
44.399970,8.274510,ov__________________________________________44.4000_8.2745,سيتي كريب فرع جسر السويس الجديدة -بالنهضه,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/_-_44.4000_8.2745.json,custom
44.400334,8.276790,ov_officina_del_gusto_44.4003_8.2768,Officina del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/officina_del_gusto_44.4003_8.2768.json,custom
44.400601,8.273297,ov_ravioli_del_nord_44.4006_8.2733,Ravioli del nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ravioli_del_nord_44.4006_8.2733.json,custom
44.413851,8.275714,ov_il_ristoro_di_paolone_44.4139_8.2757,Il Ristoro di Paolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/il_ristoro_di_paolone_44.4139_8.2757.json,custom
44.402561,8.277888,ov_da_michele_44.4026_8.2779,da Michele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/da_michele_44.4026_8.2779.json,custom
44.398289,8.277511,ov_ciro_pizza_44.3983_8.2775,Ciro Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/ciro_pizza_44.3983_8.2775.json,custom
44.397617,8.277297,ov_la_torre_44.3976_8.2773,La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/la_torre_44.3976_8.2773.json,custom
44.396230,8.278274,ov_intermezzo_bistrot_44.3962_8.2783,Intermezzo bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/intermezzo_bistrot_44.3962_8.2783.json,custom
44.367732,8.290190,osm_pizzeria_ristorante_maruzziello_44.3677_8.2902,Pizzeria Ristorante Maruzziello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pizzeria_ristorante_maruzziello_44.3677_8.2902.json,custom
44.366545,8.289603,ov_bar_haiti_44.3665_8.2896,Bar Haiti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_haiti_44.3665_8.2896.json,custom
44.364990,8.325579,ov_laura_bar_44.3650_8.3256,Laura Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/laura_bar_44.3650_8.3256.json,custom
44.368166,8.290037,ov_pasticceria_gelateria_caffetteria_susy___44.3682_8.2900,Pasticceria Gelateria Caffetteria Susy 🍦☕🍩,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/pasticceria_gelateria_caffetteria_susy__44.3682_8.2900.json,custom
44.370122,8.288208,ov_buffet_stazione_44.3701_8.2882,Buffet Stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/buffet_stazione_44.3701_8.2882.json,custom
44.375503,8.299876,ov_bar_tango_44.3755_8.2999,Bar Tango,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_tango_44.3755_8.2999.json,custom
44.388514,8.279489,ov_bar_on_the_road_44.3885_8.2795,Bar on the road,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_on_the_road_44.3885_8.2795.json,custom
44.432869,8.300779,ov_drink___tilt_44.4329_8.3008,Drink & Tilt,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/drink_tilt_44.4329_8.3008.json,custom
44.427519,8.299486,ov_rocchetta_bar_44.4275_8.2995,Rocchetta Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/rocchetta_bar_44.4275_8.2995.json,custom
44.397782,8.274462,ov_bad_company_44.3978_8.2745,Bad Company,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bad_company_44.3978_8.2745.json,custom
44.397691,8.276681,ov_bar_sport_44.3977_8.2767,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/bar_sport_44.3977_8.2767.json,custom
44.398074,8.274602,ov_be_pub_dal_1979_44.3981_8.2746,Be Pub dal 1979,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/be_pub_dal_1979_44.3981_8.2746.json,custom
44.398160,8.275140,ov_caf__61_44.3982_8.2751,Cafè 61,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/caf_61_44.3982_8.2751.json,custom
44.398574,8.275368,ov_l_angolo_del_caffe_44.3986_8.2754,L'Angolo del Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/langolo_del_caffe_44.3986_8.2754.json,custom
44.398523,8.276217,ov_blacksky_44.3985_8.2762,Blacksky,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/cairo_montenotte/pages/blacksky_44.3985_8.2762.json,custom
