# lat,lng,id,name,building_type,type,url,page_type
# Spresiano -- Tutti
45.746900,12.270734,ov_ospedale_ca__foncello_di_treviso_45.7469_12.2707,Ospedale Ca' Foncello Di Treviso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ospedale_ca_foncello_di_treviso_45.7469_12.2707.json,custom
45.777700,12.248200,ov_pizzalonga_away_45.7777_12.2482,Pizzalonga Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pizzalonga_away_45.7777_12.2482.json,custom
45.782673,12.242070,ov_jacoristobarspresiano_45.7827_12.2421,Jacoristobarspresiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/jacoristobarspresiano_45.7827_12.2421.json,custom
45.788081,12.263717,ov_rame_ristorante_cucina_senza_tempo_45.7881_12.2637,Rame ristorante-cucina senza tempo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/rame_ristorante-cucina_senza_tempo_45.7881_12.2637.json,custom
45.780866,12.259182,ov_osteria_beltrame_45.7809_12.2592,Osteria Beltrame,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/osteria_beltrame_45.7809_12.2592.json,custom
45.781429,12.260358,ov_malto_e_farina_45.7814_12.2604,Malto e Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/malto_e_farina_45.7814_12.2604.json,custom
45.781487,12.260397,ov_dafrutta_a_a__45.7815_12.2604,Dafrutta Açaí,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/dafrutta_aa_45.7815_12.2604.json,custom
45.777113,12.266644,ov_bar_trattoria_pizzeria_alla_stazione_45.7771_12.2666,Bar Trattoria Pizzeria alla Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/bar_trattoria_pizzeria_alla_stazione_45.7771_12.2666.json,custom
45.779836,12.259397,ov_real_pizza_45.7798_12.2594,Real Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/real_pizza_45.7798_12.2594.json,custom
45.779760,12.259619,ov_istanbul_city_kebap_spresiano_45.7798_12.2596,Istanbul city kebap spresiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/istanbul_city_kebap_spresiano_45.7798_12.2596.json,custom
45.780128,12.256757,ov_pizzeria_miss_stella_45.7801_12.2568,Pizzeria Miss Stella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pizzeria_miss_stella_45.7801_12.2568.json,custom
45.779470,12.255740,ov_follie_divinae_45.7795_12.2557,Follie Divinae,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/follie_divinae_45.7795_12.2557.json,custom
45.779470,12.255740,ov_toffoli_s__bar_ristorante_45.7795_12.2557,Toffoli’s  bar/ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/toffolis_barristorante_45.7795_12.2557.json,custom
45.777821,12.256997,ov_pizzalonga_away_spresiano_45.7778_12.2570,Pizzalonga Away Spresiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pizzalonga_away_spresiano_45.7778_12.2570.json,custom
45.778342,12.259417,ov_inferno___pizza___takeaway_45.7783_12.2594,Inferno - Pizza & Takeaway,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/inferno_-_pizza_takeaway_45.7783_12.2594.json,custom
45.777452,12.260718,ov_ah_lounge_45.7775_12.2607,AH Lounge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ah_lounge_45.7775_12.2607.json,custom
45.776090,12.258419,ov_pizzeria_napoletana_esseti_45.7761_12.2584,Pizzeria Napoletana Esseti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pizzeria_napoletana_esseti_45.7761_12.2584.json,custom
45.773861,12.265043,ov_birreria_ludwigs_krone_original_kapuzine_45.7739_12.2650,Birreria Ludwigs Krone Original Kapuziner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/birreria_ludwigs_krone_original_kapuzine_45.7739_12.2650.json,custom
45.774025,12.264673,ov_croce_rossa_italiana_45.7740_12.2647,Croce Rossa Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/croce_rossa_italiana_45.7740_12.2647.json,custom
45.782342,12.291317,ov_ristorante_da_domenico_45.7823_12.2913,Ristorante Da Domenico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ristorante_da_domenico_45.7823_12.2913.json,custom
45.782554,12.291317,ov_da_domenico_alle_grave_45.7826_12.2913,Da Domenico Alle Grave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/da_domenico_alle_grave_45.7826_12.2913.json,custom
45.769361,12.278978,ov_perch__no_45.7694_12.2790,Perchè no,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/perch_no_45.7694_12.2790.json,custom
45.765960,12.275434,ov_bar_la_plaza_45.7660_12.2754,bar La Plaza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/bar_la_plaza_45.7660_12.2754.json,custom
45.752005,12.284651,ov_le_papere_al_lago_45.7520_12.2847,Le papere al lago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/le_papere_al_lago_45.7520_12.2847.json,custom
45.757951,12.250818,ov_jam_cafe_di_gagno_sonia_45.7580_12.2508,Jam Cafe di Gagno Sonia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/jam_cafe_di_gagno_sonia_45.7580_12.2508.json,custom
45.759520,12.251076,ov_deacaff__45.7595_12.2511,DeaCaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/deacaff_45.7595_12.2511.json,custom
45.769388,12.253094,ov_millionaire_empire_45.7694_12.2531,Millionaire Empire,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/millionaire_empire_45.7694_12.2531.json,custom
45.770763,12.252295,ov_flor_45.7708_12.2523,Flor,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/flor_45.7708_12.2523.json,custom
45.781242,12.260907,ov_birroteca_tarvisium_45.7812_12.2609,Birroteca Tarvisium,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/birroteca_tarvisium_45.7812_12.2609.json,custom
45.780199,12.258242,ov_john_martin_s_45.7802_12.2582,John Martin's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/john_martins_45.7802_12.2582.json,custom
45.780021,12.259392,ov_never_forget_memorial_45.7800_12.2594,Never Forget Memorial,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/never_forget_memorial_45.7800_12.2594.json,custom
45.780711,12.257501,ov_ami_caff__45.7807_12.2575,AMI CAFFÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ami_caff_45.7807_12.2575.json,custom
45.778435,12.257990,ov_bar_tiffany_45.7784_12.2580,Bar Tiffany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/bar_tiffany_45.7784_12.2580.json,custom
45.772302,12.253779,ov_bellagio_trilioner_45.7723_12.2538,Bellagio Trilioner,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/bellagio_trilioner_45.7723_12.2538.json,custom
45.771220,12.254323,ov_flow_dynamic_art_45.7712_12.2543,Flow Dynamic Art,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/flow_dynamic_art_45.7712_12.2543.json,custom
45.761955,12.255004,ov_arep_atlantic_sport_45.7620_12.2550,Arep Atlantic Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/arep_atlantic_sport_45.7620_12.2550.json,custom
45.755908,12.282162,ov_bluelife_apnea_45.7559_12.2822,Bluelife Apnea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/bluelife_apnea_45.7559_12.2822.json,custom
45.755438,12.282389,ov_centro_sportivo_le_bandie_45.7554_12.2824,Centro Sportivo Le Bandie,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/centro_sportivo_le_bandie_45.7554_12.2824.json,custom
45.752506,12.259168,ov_ocr_treviso_el_pirata_45.7525_12.2592,ocr treviso el pirata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/ocr_treviso_el_pirata_45.7525_12.2592.json,custom
45.769626,12.252276,ov_fitup_spresiano_45.7696_12.2523,FitUP Spresiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/fitup_spresiano_45.7696_12.2523.json,custom
45.784261,12.281279,ov_circolo_equestre_di_spresiano_45.7843_12.2813,Circolo Equestre di Spresiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/circolo_equestre_di_spresiano_45.7843_12.2813.json,custom
45.781515,12.260550,ov_pink_up___moitofit_45.7815_12.2606,Pink Up - MoitoFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/pink_up_-_moitofit_45.7815_12.2606.json,custom
45.780041,12.263729,ov_studio_2000_danza_energieinmovimento_45.7800_12.2637,Studio 2000 Danza-Energieinmovimento,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/spresiano/pages/studio_2000_danza-energieinmovimento_45.7800_12.2637.json,custom
