# lat,lng,id,name,building_type,type,url,page_type
# Arcore -- Tutti
45.625800,9.321750,ov_roberta_musso_medicina_estetica_45.6258_9.3217,Roberta Musso Medicina Estetica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/roberta_musso_medicina_estetica_45.6258_9.3217.json,custom
45.633705,9.330048,ov_sharm_el_sheikh_45.6337_9.3300,Sharm El Sheikh,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/sharm_el_sheikh_45.6337_9.3300.json,custom
45.634518,9.336356,ov_yugo_arcore_45.6345_9.3364,Yugo Arcore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/yugo_arcore_45.6345_9.3364.json,custom
45.634318,9.336017,ov_le_palme_pizzeria_45.6343_9.3360,Le Palme Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/le_palme_pizzeria_45.6343_9.3360.json,custom
45.639216,9.333761,ov_carne_club_45.6392_9.3338,Carne Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/carne_club_45.6392_9.3338.json,custom
45.639209,9.333749,ov_antica_trattoria_san_giacomo_45.6392_9.3337,Antica Trattoria San Giacomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/antica_trattoria_san_giacomo_45.6392_9.3337.json,custom
45.637129,9.339830,ov_mcdonald_s_45.6371_9.3398,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/mcdonalds_45.6371_9.3398.json,custom
45.636643,9.339293,ov_mcdonald_s_45.6366_9.3393,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/mcdonalds_45.6366_9.3393.json,custom
45.614118,9.322012,ov_beat_restaurant_45.6141_9.3220,Beat Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/beat_restaurant_45.6141_9.3220.json,custom
45.609136,9.314486,ov_la_bergamina_45.6091_9.3145,La Bergamina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/la_bergamina_45.6091_9.3145.json,custom
45.618915,9.315360,ov_arco_del_re_45.6189_9.3154,Arco del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/arco_del_re_45.6189_9.3154.json,custom
45.617599,9.314575,ov_ristorante_cinese_lychess_di_arcore_45.6176_9.3146,Ristorante cinese Lychess di Arcore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/ristorante_cinese_lychess_di_arcore_45.6176_9.3146.json,custom
45.616700,9.316670,ov_bobadilla_45.6167_9.3167,Bobadilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bobadilla_45.6167_9.3167.json,custom
45.620496,9.315620,ov_the_pacific_45.6205_9.3156,The Pacific,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/the_pacific_45.6205_9.3156.json,custom
45.623213,9.318191,ov_ristorante_pane_e_mare_45.6232_9.3182,Ristorante Pane e Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/ristorante_pane_e_mare_45.6232_9.3182.json,custom
45.623077,9.318060,ov_pizzeria_four_seasons_45.6231_9.3181,Pizzeria Four Seasons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/pizzeria_four_seasons_45.6231_9.3181.json,custom
45.622264,9.310158,ov_the_woods_arcore_45.6223_9.3102,The Woods Arcore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/the_woods_arcore_45.6223_9.3102.json,custom
45.617745,9.314765,osm_lychees_45.6177_9.3148,Lychees,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/lychees_45.6177_9.3148.json,custom
45.624476,9.321516,osm_regina_margherita_45.6245_9.3215,Regina Margherita,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/regina_margherita_45.6245_9.3215.json,custom
45.624721,9.322347,osm_istanbul_kebab_45.6247_9.3223,Istanbul Kebab,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/istanbul_kebab_45.6247_9.3223.json,custom
45.625379,9.323258,osm_life_45.6254_9.3233,Life,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/life_45.6254_9.3233.json,custom
45.625130,9.323345,osm_hinode_sushi_3_45.6251_9.3233,Hinode Sushi 3,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/hinode_sushi_3_45.6251_9.3233.json,custom
45.630383,9.330777,osm_decimo_pizza_bistrot_45.6304_9.3308,Decimo Pizza Bistrot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/decimo_pizza_bistrot_45.6304_9.3308.json,custom
45.609184,9.329660,osm_la_bergamina_45.6092_9.3297,La Bergamina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/la_bergamina_45.6092_9.3297.json,custom
45.613853,9.321736,osm_beat_45.6139_9.3217,Beat,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/beat_45.6139_9.3217.json,custom
45.629493,9.308605,ov_roby_s_caf__45.6295_9.3086,Roby's Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/robys_caf_45.6295_9.3086.json,custom
45.631301,9.308590,ov_dolceamaro_45.6313_9.3086,Dolceamaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/dolceamaro_45.6313_9.3086.json,custom
45.627100,9.322722,ov_un_amore_di_caffe_45.6271_9.3227,Un Amore Di Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/un_amore_di_caffe_45.6271_9.3227.json,custom
45.625232,9.316125,ov_2_pezzi_caff__45.6252_9.3161,2 pezzi caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/2_pezzi_caff_45.6252_9.3161.json,custom
45.626302,9.320678,ov_nuovo_elit__caf__45.6263_9.3207,Nuovo Elitè Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/nuovo_elit_caf_45.6263_9.3207.json,custom
45.626081,9.321677,ov_suraja_cafe_vegan_45.6261_9.3217,Suraja Cafe Vegan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/suraja_cafe_vegan_45.6261_9.3217.json,custom
45.624565,9.322612,ov_geysis_caf__45.6246_9.3226,Geysis Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/geysis_caf_45.6246_9.3226.json,custom
45.626011,9.325040,ov_arci_blob_45.6260_9.3250,Arci Blob,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/arci_blob_45.6260_9.3250.json,custom
45.625710,9.324020,ov_kyra_caf__lounge_restaurant_45.6257_9.3240,Kyra Cafè Lounge Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/kyra_caf_lounge_restaurant_45.6257_9.3240.json,custom
45.628349,9.326124,ov_che_comunque_cafe_45.6283_9.3261,Che Comunque Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/che_comunque_cafe_45.6283_9.3261.json,custom
45.629163,9.329426,ov_bar_ambaradan_45.6292_9.3294,Bar Ambaradan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_ambaradan_45.6292_9.3294.json,custom
45.629849,9.326607,ov_new_white_cafe_45.6298_9.3266,New White Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/new_white_cafe_45.6298_9.3266.json,custom
45.635046,9.337287,ov_opis_calici_e_bottiglie_45.6350_9.3373,OPIS Calici e Bottiglie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/opis_calici_e_bottiglie_45.6350_9.3373.json,custom
45.634703,9.337961,ov_barcelo_cafe_45.6347_9.3380,Barcelo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/barcelo_cafe_45.6347_9.3380.json,custom
45.612594,9.323428,ov_peper_45.6126_9.3234,Peper,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/peper_45.6126_9.3234.json,custom
45.623875,9.322886,ov_stazione_ferroviaria_45.6239_9.3229,Stazione ferroviaria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/stazione_ferroviaria_45.6239_9.3229.json,custom
45.624006,9.319643,ov_il_caffettino_45.6240_9.3196,Il Caffettino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/il_caffettino_45.6240_9.3196.json,custom
45.622260,9.310250,ov_jolly_bar___jb_45.6223_9.3102,Jolly Bar - JB,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/jolly_bar_-_jb_45.6223_9.3102.json,custom
45.626295,9.320563,osm_l_elite_caff__45.6263_9.3206,L'Elite Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/lelite_caff_45.6263_9.3206.json,custom
45.625960,9.325034,osm_circolo_arci_blob_45.6260_9.3250,Circolo Arci Blob,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/circolo_arci_blob_45.6260_9.3250.json,custom
45.628366,9.326089,osm_caffe_gil__45.6284_9.3261,Caffe Gilò,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/caffe_gil_45.6284_9.3261.json,custom
45.624344,9.322600,osm_bistrot_182_45.6243_9.3226,Bistrot 182,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bistrot_182_45.6243_9.3226.json,custom
45.624611,9.321243,osm_bar_pasticceria_corti_45.6246_9.3212,Bar Pasticceria Corti,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_pasticceria_corti_45.6246_9.3212.json,custom
45.625196,9.322168,osm_new_green_caf__45.6252_9.3222,New Green Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/new_green_caf_45.6252_9.3222.json,custom
45.627045,9.322707,osm_un_amore_di_caff__45.6270_9.3227,Un amore di caffé,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/un_amore_di_caff_45.6270_9.3227.json,custom
45.626625,9.323841,osm_la_nuova_due_pi__45.6266_9.3238,La Nuova Due Più,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/la_nuova_due_pi_45.6266_9.3238.json,custom
45.625757,9.324114,osm_bar_seven_45.6258_9.3241,Bar Seven,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_seven_45.6258_9.3241.json,custom
45.625399,9.315985,osm_bar_bolla_45.6254_9.3160,Bar Bolla,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_bolla_45.6254_9.3160.json,custom
45.631832,9.314994,osm_bar_ristoro_farmacia_alpina_45.6318_9.3150,Bar ristoro Farmacia alpina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/bar_ristoro_farmacia_alpina_45.6318_9.3150.json,custom
45.631368,9.308518,osm_dolce_amaro_45.6314_9.3085,Dolce Amaro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/dolce_amaro_45.6314_9.3085.json,custom
45.628276,9.328348,osm_angolo_trentuno_45.6283_9.3283,Angolo Trentuno,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/angolo_trentuno_45.6283_9.3283.json,custom
45.628685,9.296339,ov_curva_di_lesmo_45.6287_9.2963,Curva Di Lesmo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/curva_di_lesmo_45.6287_9.2963.json,custom
45.624333,9.313435,ov_scuola_media_stoppani_45.6243_9.3134,Scuola Media Stoppani,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/scuola_media_stoppani_45.6243_9.3134.json,custom
45.625032,9.314617,ov_insub_45.6250_9.3146,INsub,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/insub_45.6250_9.3146.json,custom
45.625130,9.314510,ov_a_d__prosport_arcore_45.6251_9.3145,A.D. Prosport Arcore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/ad_prosport_arcore_45.6251_9.3145.json,custom
45.625523,9.315735,ov_in_sport_arcore_45.6255_9.3157,In Sport Arcore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/in_sport_arcore_45.6255_9.3157.json,custom
45.625232,9.316125,ov_centro_sportivo_san_martino_45.6252_9.3161,Centro Sportivo San Martino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/centro_sportivo_san_martino_45.6252_9.3161.json,custom
45.624117,9.319564,ov_namaste_studio_45.6241_9.3196,Namaste Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/namaste_studio_45.6241_9.3196.json,custom
45.625083,9.326363,ov_incontrodanza_45.6251_9.3264,Incontrodanza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/incontrodanza_45.6251_9.3264.json,custom
45.630087,9.331499,ov_dance_gallery_45.6301_9.3315,Dance Gallery,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/dance_gallery_45.6301_9.3315.json,custom
45.631153,9.329875,ov_palaunimec_45.6312_9.3299,Palaunimec,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/palaunimec_45.6312_9.3299.json,custom
45.631307,9.330101,ov_volley_us_a_casati_arcore_45.6313_9.3301,Volley US A Casati Arcore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/volley_us_a_casati_arcore_45.6313_9.3301.json,custom
45.629816,9.325068,ov_unione_sportiva_alfonso_casati_45.6298_9.3251,Unione Sportiva Alfonso Casati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/unione_sportiva_alfonso_casati_45.6298_9.3251.json,custom
45.646482,9.322664,ov_club_ippico_misurato_45.6465_9.3227,Club Ippico Misurato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/club_ippico_misurato_45.6465_9.3227.json,custom
45.632137,9.341006,ov_nstudio_exclusive_fitness_prive_45.6321_9.3410,Nstudio Exclusive Fitness Prive,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/nstudio_exclusive_fitness_prive_45.6321_9.3410.json,custom
45.620316,9.309993,ov_fit_express_arcore_45.6203_9.3100,Fit Express Arcore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/fit_express_arcore_45.6203_9.3100.json,custom
45.621463,9.308095,ov_crossfit_arcore_45.6215_9.3081,Crossfit Arcore,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/crossfit_arcore_45.6215_9.3081.json,custom
45.611719,9.326567,ov_antica_chiesetta_del_bruno_45.6117_9.3266,Antica Chiesetta Del Bruno,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/antica_chiesetta_del_bruno_45.6117_9.3266.json,custom
45.626190,9.324262,osm_mail_boxes_etc_45.6262_9.3243,Mail Boxes Etc,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/mail_boxes_etc_45.6262_9.3243.json,custom
45.625544,9.322867,ov_biblioteca_arcore_45.6255_9.3229,Biblioteca Arcore,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/biblioteca_arcore_45.6255_9.3229.json,custom
45.625675,9.322786,osm_biblioteca_civica_nanni_valentini_45.6257_9.3228,Biblioteca civica Nanni Valentini,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/arcore/pages/biblioteca_civica_nanni_valentini_45.6257_9.3228.json,custom
