# lat,lng,id,name,building_type,type,url,page_type
# Carini -- Tutti
38.133300,13.183300,ov_ospedale_santo_spirito_carini_38.1333_13.1833,Ospedale Santo Spirito Carini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/ospedale_santo_spirito_carini_38.1333_13.1833.json,custom
38.158983,13.200591,ov_yuki_sushi_carini_38.1590_13.2006,Yuki Sushi Carini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/yuki_sushi_carini_38.1590_13.2006.json,custom
38.159621,13.202875,ov_frutta_chef_zingale_38.1596_13.2029,Frutta chef Zingale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/frutta_chef_zingale_38.1596_13.2029.json,custom
38.160374,13.204946,ov_la_nuova_foresta_38.1604_13.2049,La Nuova Foresta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_nuova_foresta_38.1604_13.2049.json,custom
38.157224,13.224145,ov_club_calipso_38.1572_13.2241,Club Calipso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/club_calipso_38.1572_13.2241.json,custom
38.161148,13.228161,ov_baglio_ciachea_restaurant_38.1611_13.2282,Baglio Ciachea Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/baglio_ciachea_restaurant_38.1611_13.2282.json,custom
38.163753,13.212874,ov_osaki_carini_38.1638_13.2129,Osaki Carini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/osaki_carini_38.1638_13.2129.json,custom
38.165386,13.218098,ov_madre_terra___sicilia_38.1654_13.2181,Madre Terra - Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/madre_terra_-_sicilia_38.1654_13.2181.json,custom
38.165312,13.195523,ov_dedd__pizza_38.1653_13.1955,Deddè Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/dedd_pizza_38.1653_13.1955.json,custom
38.163335,13.174069,ov_i_cumpari_38.1633_13.1741,I Cumpari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/i_cumpari_38.1633_13.1741.json,custom
38.161537,13.164731,ov_madre_terra_38.1615_13.1647,Madre Terra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/madre_terra_38.1615_13.1647.json,custom
38.159298,13.170206,ov_frank_s_pizza_2_villagrazia_di_carini_38.1593_13.1702,Frank's Pizza 2 Villagrazia di Carini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/franks_pizza_2_villagrazia_di_carini_38.1593_13.1702.json,custom
38.159514,13.170174,ov_bistecche_e_contorni_38.1595_13.1702,Bistecche e Contorni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bistecche_e_contorni_38.1595_13.1702.json,custom
38.159513,13.170231,ov_pescheria_da_mario_38.1595_13.1702,Pescheria da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pescheria_da_mario_38.1595_13.1702.json,custom
38.158430,13.185311,ov_la_torre_ristorante_pizzeria_38.1584_13.1853,La Torre Ristorante pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_torre_ristorante_pizzeria_38.1584_13.1853.json,custom
38.158194,13.180504,ov_fiamme_di_sicilia_38.1582_13.1805,Fiamme di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/fiamme_di_sicilia_38.1582_13.1805.json,custom
38.158190,13.180093,ov_panineria_da_ciccio_38.1582_13.1801,Panineria da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/panineria_da_ciccio_38.1582_13.1801.json,custom
38.158052,13.180654,ov_mozzar__38.1581_13.1807,Mozzarì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mozzar_38.1581_13.1807.json,custom
38.157883,13.179714,ov_pizzeria_da_salvo_38.1579_13.1797,Pizzeria da Salvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pizzeria_da_salvo_38.1579_13.1797.json,custom
38.158076,13.175831,ov_antica_polleria_del_corso_38.1581_13.1758,Antica Polleria Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/antica_polleria_del_corso_38.1581_13.1758.json,custom
38.167490,13.150590,ov_da_salvo_38.1675_13.1506,Da Salvo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/da_salvo_38.1675_13.1506.json,custom
38.166252,13.156310,ov_trattoria_american_style_38.1663_13.1563,Trattoria American Style,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/trattoria_american_style_38.1663_13.1563.json,custom
38.168605,13.169382,ov_gionata_beach_38.1686_13.1694,Gionata Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/gionata_beach_38.1686_13.1694.json,custom
38.174338,13.138969,ov_pizzeria_impastato_38.1743_13.1390,Pizzeria Impastato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pizzeria_impastato_38.1743_13.1390.json,custom
38.180542,13.150044,ov_la_cantina___ros_vent_38.1805_13.1500,La Cantina - Ros&vent,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_cantina_-_rosvent_38.1805_13.1500.json,custom
38.182230,13.146410,ov_le_casette_del_sole_sushine_apartments_c_38.1822_13.1464,Le Casette del Sole Sushine Apartments Case vacanze Carini -,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/le_casette_del_sole_sushine_apartments_c_38.1822_13.1464.json,custom
38.177085,13.160486,ov_molo_33___seafood___ristorante_pizzeria_38.1771_13.1605,Molo 33 - Seafood - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/molo_33_-_seafood_-_ristorante_pizzeria_38.1771_13.1605.json,custom
38.177034,13.160619,ov_drink_music_pub_38.1770_13.1606,Drink Music Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/drink_music_pub_38.1770_13.1606.json,custom
38.177050,13.160282,ov_vitale_pizza_and_restaurant_38.1771_13.1603,Vitale pizza and restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/vitale_pizza_and_restaurant_38.1771_13.1603.json,custom
38.176982,13.160447,ov_al_baglio_38.1770_13.1604,Al Baglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/al_baglio_38.1770_13.1604.json,custom
38.175949,13.147307,ov___________38.1759_13.1473,مطعم عرفة,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/__38.1759_13.1473.json,custom
38.175528,13.161343,ov_marina_del_re_summer_club_38.1755_13.1613,Marina Del Re Summer Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/marina_del_re_summer_club_38.1755_13.1613.json,custom
38.174542,13.218511,ov_sapore_di_sicilia_38.1745_13.2185,Sapore di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/sapore_di_sicilia_38.1745_13.2185.json,custom
38.174125,13.218611,ov_la_piadineria_38.1741_13.2186,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_piadineria_38.1741_13.2186.json,custom
38.173863,13.217359,ov_spazio_sapore_38.1739_13.2174,Spazio Sapore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/spazio_sapore_38.1739_13.2174.json,custom
38.172080,13.215867,ov_mcdonald_s_38.1721_13.2159,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mcdonalds_38.1721_13.2159.json,custom
38.167837,13.226695,ov_villaggio_gastronomico_38.1678_13.2267,Villaggio gastronomico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/villaggio_gastronomico_38.1678_13.2267.json,custom
38.166885,13.220075,ov_edelweiss_ristorante_pizzeria_sala_tratt_38.1669_13.2201,Edelweiss Ristorante Pizzeria Sala Trattenimenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/edelweiss_ristorante_pizzeria_sala_tratt_38.1669_13.2201.json,custom
38.143892,13.191561,ov_rugantino_pizzeria_compleanni_per_bambin_38.1439_13.1916,Rugantino pizzeria compleanni per bambini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/rugantino_pizzeria_compleanni_per_bambin_38.1439_13.1916.json,custom
38.141951,13.178031,ov_new_rugantino_pizzeria_38.1420_13.1780,New Rugantino Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/new_rugantino_pizzeria_38.1420_13.1780.json,custom
38.142029,13.187275,ov_pizzeria_da_vito_38.1420_13.1873,Pizzeria da Vito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pizzeria_da_vito_38.1420_13.1873.json,custom
38.140250,13.186960,ov_schillauto_carini_38.1402_13.1870,Schillauto Carini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/schillauto_carini_38.1402_13.1870.json,custom
38.138937,13.186529,ov_al_casale_di_balsamo_vincenzo_pizzeria_38.1389_13.1865,Al Casale Di Balsamo Vincenzo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/al_casale_di_balsamo_vincenzo_pizzeria_38.1389_13.1865.json,custom
38.137337,13.189516,ov_7fontane___l_arte_della_cucina_siciliana_38.1373_13.1895,7Fontane - L'arte della cucina siciliana dal 1986,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/7fontane_-_larte_della_cucina_siciliana__38.1373_13.1895.json,custom
38.137405,13.186491,ov_artemisia_caff__letterario_38.1374_13.1865,Artemisia Caffè Letterario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/artemisia_caff_letterario_38.1374_13.1865.json,custom
38.138363,13.184925,ov_fratelli_candela___braceria_38.1384_13.1849,Fratelli Candela - Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/fratelli_candela_-_braceria_38.1384_13.1849.json,custom
38.136611,13.182097,ov_pizza_break_38.1366_13.1821,Pizza Break,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pizza_break_38.1366_13.1821.json,custom
38.137037,13.185052,ov_royal_food_and_pizza_38.1370_13.1851,Royal Food and Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/royal_food_and_pizza_38.1370_13.1851.json,custom
38.136968,13.188526,ov_mcdonald_s_38.1370_13.1885,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mcdonalds_38.1370_13.1885.json,custom
38.135896,13.185853,ov_bravo_s_pizza_38.1359_13.1859,Bravo's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bravos_pizza_38.1359_13.1859.json,custom
38.134515,13.187359,ov_frank_s_pizza_38.1345_13.1874,Frank's Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/franks_pizza_38.1345_13.1874.json,custom
38.134608,13.186110,ov_vito_s_pizza___panini_38.1346_13.1861,Vito's Pizza & Panini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/vitos_pizza_panini_38.1346_13.1861.json,custom
38.133205,13.182905,ov_miramare_restaurant_bar_pizzeria_38.1332_13.1829,Miramare Restaurant Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/miramare_restaurant_bar_pizzeria_38.1332_13.1829.json,custom
38.133733,13.182912,ov_le_terrazzw_di_giuf__38.1337_13.1829,Le terrazzw di giufà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/le_terrazzw_di_giuf_38.1337_13.1829.json,custom
38.133646,13.182130,ov_le_terrazze_dei_calabanni_38.1336_13.1821,Le Terrazze dei Calabanni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/le_terrazze_dei_calabanni_38.1336_13.1821.json,custom
38.133681,13.186107,ov_al_pizzettone_38.1337_13.1861,Al Pizzettone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/al_pizzettone_38.1337_13.1861.json,custom
38.131960,13.181410,ov_cardinale_restaurant_38.1320_13.1814,Cardinale Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/cardinale_restaurant_38.1320_13.1814.json,custom
38.131828,13.180939,ov_7fontane_38.1318_13.1809,7Fontane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/7fontane_38.1318_13.1809.json,custom
38.131751,13.179873,ov_il_cortile_del_melograno_38.1318_13.1799,Il Cortile del Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/il_cortile_del_melograno_38.1318_13.1799.json,custom
38.131592,13.184969,ov_original_pizza_carini_38.1316_13.1850,Original Pizza Carini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/original_pizza_carini_38.1316_13.1850.json,custom
38.131406,13.181835,ov_wise_guys_pizza_and_fast_food_38.1314_13.1818,Wise Guys Pizza and Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/wise_guys_pizza_and_fast_food_38.1314_13.1818.json,custom
38.131514,13.180231,ov_cill__cucina___delizie_38.1315_13.1802,Cillù Cucina & Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/cill_cucina_delizie_38.1315_13.1802.json,custom
38.136738,13.206311,ov_la_manostalla_38.1367_13.2063,La Manostalla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/la_manostalla_38.1367_13.2063.json,custom
38.062973,13.537602,ov_barone_di_munchausen_38.0630_13.5376,Barone di Munchausen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/barone_di_munchausen_38.0630_13.5376.json,custom
38.150362,13.188866,ov_birra_kinisia_38.1504_13.1889,Birra Kinisia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/birra_kinisia_38.1504_13.1889.json,custom
38.147524,13.187217,ov_vizio_drinks_and_more_38.1475_13.1872,Vizio Drinks and More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/vizio_drinks_and_more_38.1475_13.1872.json,custom
38.147911,13.188165,ov_mood___spazio_almoad_38.1479_13.1882,MOOD | Spazio Almoad,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mood_spazio_almoad_38.1479_13.1882.json,custom
38.160956,13.206426,ov_mokito_bar_38.1610_13.2064,Mokito Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mokito_bar_38.1610_13.2064.json,custom
38.163196,13.213425,ov_christian_naccari_chef_38.1632_13.2134,Christian Naccari Chef,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/christian_naccari_chef_38.1632_13.2134.json,custom
38.163539,13.213071,ov_portobello_cafe_38.1635_13.2131,Portobello Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/portobello_cafe_38.1635_13.2131.json,custom
38.163315,13.174138,ov_pizzeria_ristorante_piano_monaco_38.1633_13.1741,Pizzeria Ristorante Piano Monaco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/pizzeria_ristorante_piano_monaco_38.1633_13.1741.json,custom
38.165217,13.171822,ov_da_carlotta_38.1652_13.1718,Da Carlotta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/da_carlotta_38.1652_13.1718.json,custom
38.161612,13.162707,ov_bar_pizzeria_kennedy_di_giambanco_v__38.1616_13.1627,Bar/Pizzeria Kennedy di Giambanco V.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/barpizzeria_kennedy_di_giambanco_v_38.1616_13.1627.json,custom
38.158541,13.181901,ov_mezzo_brillo_38.1585_13.1819,Mezzo brillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/mezzo_brillo_38.1585_13.1819.json,custom
38.158451,13.181907,ov_bar_soleado_38.1585_13.1819,Bar Soleado,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_soleado_38.1585_13.1819.json,custom
38.158469,13.181397,ov_metal_38.1585_13.1814,METAL,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/metal_38.1585_13.1814.json,custom
38.158055,13.179331,ov_bar_villagrazia_38.1581_13.1793,Bar Villagrazia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_villagrazia_38.1581_13.1793.json,custom
38.158077,13.174780,ov_caffe_della_baronessa_38.1581_13.1748,Caffe della Baronessa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/caffe_della_baronessa_38.1581_13.1748.json,custom
38.158030,13.175477,ov_bar_al_ritrovo_38.1580_13.1755,Bar Al Ritrovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_al_ritrovo_38.1580_13.1755.json,custom
38.173888,13.141369,ov_stop___go_38.1739_13.1414,Stop & Go,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/stop_go_38.1739_13.1414.json,custom
38.174890,13.219890,ov_caff__del_professore_poseidon_38.1749_13.2199,Caffè del Professore Poseidon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/caff_del_professore_poseidon_38.1749_13.2199.json,custom
38.174341,13.219854,ov_social_cafe_38.1743_13.2199,Social Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/social_cafe_38.1743_13.2199.json,custom
38.171991,13.215586,ov_rotonda_cafe_38.1720_13.2156,Rotonda Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/rotonda_cafe_38.1720_13.2156.json,custom
38.171709,13.216204,ov_bar_ciachea_38.1717_13.2162,Bar Ciachea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_ciachea_38.1717_13.2162.json,custom
38.147176,13.188440,ov_stazione_cafe_38.1472_13.1884,Stazione Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/stazione_cafe_38.1472_13.1884.json,custom
38.143803,13.187384,ov_bar_coffee_shop_di_billi_salvatore_38.1438_13.1874,Bar Coffee Shop Di Billi Salvatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_coffee_shop_di_billi_salvatore_38.1438_13.1874.json,custom
38.141056,13.187261,ov_lacy_cosmetics_38.1411_13.1873,Lacy Cosmetics,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/lacy_cosmetics_38.1411_13.1873.json,custom
38.139982,13.186873,ov_al_bacio_by_miramare_38.1400_13.1869,al Bacio by Miramare,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/al_bacio_by_miramare_38.1400_13.1869.json,custom
38.138480,13.186378,ov__tabaccheria_siino_famiglia_mirabile___38.1385_13.1864,☀Tabaccheria Siino-Famiglia Mirabile ☀,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/tabaccheria_siino-famiglia_mirabile__38.1385_13.1864.json,custom
38.137635,13.182162,ov_gremur_38.1376_13.1822,GreMur,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/gremur_38.1376_13.1822.json,custom
38.136868,13.186140,ov_caffe_altadonna_38.1369_13.1861,Caffe Altadonna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/caffe_altadonna_38.1369_13.1861.json,custom
38.135640,13.184028,ov_lavignevini_38.1356_13.1840,Lavignevini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/lavignevini_38.1356_13.1840.json,custom
38.135799,13.185843,ov_bar_la_trinacria_38.1358_13.1858,Bar La Trinacria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/bar_la_trinacria_38.1358_13.1858.json,custom
38.134070,13.185879,ov_deny_bar_38.1341_13.1859,Deny Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/deny_bar_38.1341_13.1859.json,custom
38.133850,13.185220,ov_look_out_pub___ex_panoramica_38.1339_13.1852,Look out Pub - ex Panoramica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/carini/pages/look_out_pub_-_ex_panoramica_38.1339_13.1852.json,custom
