# lat,lng,id,name,building_type,type,url,page_type
# matelica -- Tutti
43.245120,13.014102,ov_tre_m_43.2451_13.0141,TRE.M,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/trem_43.2451_13.0141.json,custom
43.256370,13.009140,ov_la_petriola_43.2564_13.0091,La Petriola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/la_petriola_43.2564_13.0091.json,custom
43.257064,13.008845,ov_piccolo_bar_43.2571_13.0088,Piccolo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/piccolo_bar_43.2571_13.0088.json,custom
43.254773,13.008102,ov_enoteca_del_corso_43.2548_13.0081,Enoteca Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/enoteca_del_corso_43.2548_13.0081.json,custom
43.254831,13.008376,ov_cherie_caffe_43.2548_13.0084,Cherie Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/cherie_caffe_43.2548_13.0084.json,custom
43.254353,13.008100,ov_miobar_al_corso_43.2544_13.0081,Miobar al corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/miobar_al_corso_43.2544_13.0081.json,custom
43.253848,13.010415,ov_bar_roma_43.2538_13.0104,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/bar_roma_43.2538_13.0104.json,custom
43.253776,13.013442,ov_g_cos_caff__43.2538_13.0134,G&Cos Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/gcos_caff_43.2538_13.0134.json,custom
43.250931,13.008071,ov_buena_vista_social_club_pub_43.2509_13.0081,Buena Vista Social Club pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/buena_vista_social_club_pub_43.2509_13.0081.json,custom
43.251261,13.008744,ov_moa_project_43.2513_13.0087,MoA project,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/moa_project_43.2513_13.0087.json,custom
43.247551,13.007981,ov_new_bar_europa_43.2476_13.0080,New Bar Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/new_bar_europa_43.2476_13.0080.json,custom
43.245548,13.013997,ov_caff__mingo_43.2455_13.0140,Caffè Mingo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/caff_mingo_43.2455_13.0140.json,custom
43.245483,13.013864,ov_bar_giorgio_43.2455_13.0139,Bar Giorgio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/bar_giorgio_43.2455_13.0139.json,custom
43.245365,13.013815,ov_living_caffe_43.2454_13.0138,Living Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/living_caffe_43.2454_13.0138.json,custom
43.267560,13.006908,ov_miobar_di_tozzi_graziella_43.2676_13.0069,Miobar Di Tozzi Graziella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/miobar_di_tozzi_graziella_43.2676_13.0069.json,custom
43.251205,13.008766,osm_caff__mingo_43.2512_13.0088,Caffè Mingo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/caff_mingo_43.2512_13.0088.json,custom
43.252425,13.013958,ov_italia_matelica_43.2524_13.0140,Italia Matelica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/italia_matelica_43.2524_13.0140.json,custom
43.250980,13.007240,ov_ritmica_farfalla_matelica_43.2510_13.0072,Ritmica Farfalla Matelica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/ritmica_farfalla_matelica_43.2510_13.0072.json,custom
43.247956,13.010108,ov_change_factory_matelica_43.2480_13.0101,Change Factory Matelica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/change_factory_matelica_43.2480_13.0101.json,custom
43.247557,13.009940,ov_a_s_d_scarpette_rosa_ballet_43.2476_13.0099,A.S.D Scarpette Rosa Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/asd_scarpette_rosa_ballet_43.2476_13.0099.json,custom
43.245430,13.014160,ov_scuola_yoga_camerino__matelica__43.2454_13.0142,Scuola Yoga Camerino (Matelica),GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/scuola_yoga_camerino_matelica_43.2454_13.0142.json,custom
43.247777,13.003166,ov_palestra_alterego_43.2478_13.0032,Palestra Alterego,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/palestra_alterego_43.2478_13.0032.json,custom
43.266138,13.014011,ov_benessere_biopsicofisico____centro_alchi_43.2661_13.0140,Benessere Biopsicofisico -  Centro Alchimia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/benessere_biopsicofisico_-_centro_alchim_43.2661_13.0140.json,custom
43.265708,13.010110,ov_palestra_new_golden_body_asd_43.2657_13.0101,Palestra New Golden Body ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/palestra_new_golden_body_asd_43.2657_13.0101.json,custom
43.267921,13.008147,ov_elle_fit_43.2679_13.0081,elle FIT,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/elle_fit_43.2679_13.0081.json,custom
43.267476,13.045646,ov_museo_della_resistenza_e_del_territorio__43.2675_13.0456,Museo della Resistenza e del Territorio Don Enrico Pocognoni,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/museo_della_resistenza_e_del_territorio__43.2675_13.0456.json,custom
43.256079,13.008354,ov_museo_enrico_mattei_43.2561_13.0084,Museo Enrico Mattei,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/museo_enrico_mattei_43.2561_13.0084.json,custom
43.255861,13.008059,ov_museo_piersanti_43.2559_13.0081,Museo Piersanti,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/museo_piersanti_43.2559_13.0081.json,custom
43.257284,13.010585,ov_musei_civici_matelica_43.2573_13.0106,Musei Civici Matelica,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/musei_civici_matelica_43.2573_13.0106.json,custom
43.256811,13.009430,ov_biblioteca_l__bigiaretti_matelica_43.2568_13.0094,Biblioteca L. Bigiaretti Matelica,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/biblioteca_l_bigiaretti_matelica_43.2568_13.0094.json,custom
43.248353,13.004351,ov_biblioteca_polo_di_medicina_veterinaria__43.2484_13.0044,Biblioteca Polo di Medicina Veterinaria Unicam,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/biblioteca_polo_di_medicina_veterinaria__43.2484_13.0044.json,custom
43.258022,13.009068,osm_biblioteca_comunale_libero_bigiaretti_43.2580_13.0091,Biblioteca Comunale Libero Bigiaretti,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/matelica/pages/biblioteca_comunale_libero_bigiaretti_43.2580_13.0091.json,custom
