# lat,lng,id,name,building_type,type,url,page_type
# Santa Sofia -- Tutti
43.942432,11.901455,ov_ospedale_nefetti_43.9424_11.9015,Ospedale Nefetti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/ospedale_nefetti_43.9424_11.9015.json,custom
43.946735,11.909565,ov_la_taverna_del_bronco_43.9467_11.9096,La Taverna Del Bronco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/la_taverna_del_bronco_43.9467_11.9096.json,custom
43.946561,11.909817,ov_butterfly_di_arniani_roberta_43.9466_11.9098,Butterfly Di Arniani Roberta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/butterfly_di_arniani_roberta_43.9466_11.9098.json,custom
43.946685,11.910332,ov_osteria_in_salita_43.9467_11.9103,Osteria In Salita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/osteria_in_salita_43.9467_11.9103.json,custom
43.945660,11.910519,ov_spizzicher_e_pizza__piadina_e_prodotti_t_43.9457_11.9105,"Spizzicherîe pizza, piadina e prodotti tipici",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/spizzichere_pizza_piadina_e_prodotti_tip_43.9457_11.9105.json,custom
43.945659,11.910463,ov_pizzeria_da_asporto_anna_43.9457_11.9105,Pizzeria da Asporto Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/pizzeria_da_asporto_anna_43.9457_11.9105.json,custom
43.946388,11.909013,ov_il_mattarello_43.9464_11.9090,Il Mattarello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/il_mattarello_43.9464_11.9090.json,custom
43.947424,11.908796,ov_trattoria_rama_43.9474_11.9088,Trattoria Rama,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/trattoria_rama_43.9474_11.9088.json,custom
43.947946,11.907110,ov_la_contessa_43.9479_11.9071,La Contessa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/la_contessa_43.9479_11.9071.json,custom
43.952060,11.911390,ov_agriturismo_il_molino_43.9521_11.9114,Agriturismo il Molino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/agriturismo_il_molino_43.9521_11.9114.json,custom
43.947257,11.889067,ov_farm_stay_agriturismo_la_luna_43.9473_11.8891,Farm Stay Agriturismo La Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/farm_stay_agriturismo_la_luna_43.9473_11.8891.json,custom
43.928458,11.820855,ov_badia_di_sasso_43.9285_11.8209,Badia di Sasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/badia_di_sasso_43.9285_11.8209.json,custom
43.906794,11.794452,ov_locanda_ristorante_pizzeria_da_gigino_43.9068_11.7945,Locanda Ristorante Pizzeria Da Gigino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/locanda_ristorante_pizzeria_da_gigino_43.9068_11.7945.json,custom
43.906627,11.793627,ov_bel_posto_43.9066_11.7936,Bel posto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/bel_posto_43.9066_11.7936.json,custom
43.880355,11.716652,ov_rifugio_capanna_43.8804_11.7167,Rifugio Capanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/rifugio_capanna_43.8804_11.7167.json,custom
43.887130,11.753030,ov_agriturismo_poderone_43.8871_11.7530,Agriturismo Poderone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/agriturismo_poderone_43.8871_11.7530.json,custom
43.895383,11.844521,ov_il_mulino_43.8954_11.8445,Il Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/il_mulino_43.8954_11.8445.json,custom
43.901733,11.845299,ov_ristorante_la_vera_romagna_43.9017_11.8453,Ristorante La Vera Romagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/ristorante_la_vera_romagna_43.9017_11.8453.json,custom
43.946584,11.909166,osm_il_mattarello_43.9466_11.9092,Il Mattarello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/il_mattarello_43.9466_11.9092.json,custom
43.906834,11.793395,osm_locanda_michelacci_43.9068_11.7934,Locanda Michelacci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/locanda_michelacci_43.9068_11.7934.json,custom
43.945716,11.910552,osm_pizzeria_anna_43.9457_11.9106,Pizzeria Anna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/pizzeria_anna_43.9457_11.9106.json,custom
43.865826,11.734665,osm_chalet_burraia_43.8658_11.7347,Chalet Burraia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/chalet_burraia_43.8658_11.7347.json,custom
43.872133,11.743023,ov_alpen_bar_43.8721_11.7430,Alpen Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/alpen_bar_43.8721_11.7430.json,custom
43.872960,11.748370,ov_alpen_bar_campigna_passo_della_calla_di__43.8730_11.7484,Alpen Bar Campigna-Passo della Calla di Casamenti Cristian e,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/alpen_bar_campigna-passo_della_calla_di__43.8730_11.7484.json,custom
43.925604,11.874846,ov_bar_la_fontana_43.9256_11.8748,Bar La Fontana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/bar_la_fontana_43.9256_11.8748.json,custom
43.946013,11.907131,ov_cocker___beer___cocktail_bar_43.9460_11.9071,Cocker - Beer & Cocktail Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/cocker_-_beer_cocktail_bar_43.9460_11.9071.json,custom
43.946733,11.907582,ov_bar_moderno_snc_43.9467_11.9076,Bar Moderno Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/bar_moderno_snc_43.9467_11.9076.json,custom
43.947113,11.908169,ov_haller_s_bar_43.9471_11.9082,Haller's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/hallers_bar_43.9471_11.9082.json,custom
43.947489,11.908042,ov_bar_la_loggia_43.9475_11.9080,Bar la Loggia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/bar_la_loggia_43.9475_11.9080.json,custom
43.952140,11.910330,ov_bar_bresciani_43.9521_11.9103,Bar Bresciani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/bar_bresciani_43.9521_11.9103.json,custom
43.953661,11.910583,ov_hangar_cafe_43.9537_11.9106,Hangar Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/hangar_cafe_43.9537_11.9106.json,custom
43.924021,11.977120,ov_sportilia_43.9240_11.9771,Sportilia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/sportilia_43.9240_11.9771.json,custom
43.952167,11.912237,ov_centro_sportivo_rigenera_43.9522_11.9122,Centro sportivo Rigenera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/centro_sportivo_rigenera_43.9522_11.9122.json,custom
43.952274,11.912388,ov_trifit_santa_sofia_43.9523_11.9124,Trifit SANTA SOFIA,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/trifit_santa_sofia_43.9523_11.9124.json,custom
43.907696,11.794069,osm_poste_italiane_43.9077_11.7941,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/poste_italiane_43.9077_11.7941.json,custom
43.942400,11.909410,ov_biblioteca_comunale_santa_sofia_luciano__43.9424_11.9094,Biblioteca Comunale Santa Sofia Luciano Foglietta,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_sofia/pages/biblioteca_comunale_santa_sofia_luciano__43.9424_11.9094.json,custom
