# lat,lng,id,name,building_type,type,url,page_type
# Guspini -- Tutti
39.538560,8.626580,ov_ortopedia_sanitari_di_forte_cristiana_39.5386_8.6266,Ortopedia Sanitari di Forte Cristiana,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/ortopedia_sanitari_di_forte_cristiana_39.5386_8.6266.json,custom
39.540229,8.629349,ov_pizzeria_capriccio_di_mirko_caligola_39.5402_8.6293,Pizzeria Capriccio di Mirko Caligola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/pizzeria_capriccio_di_mirko_caligola_39.5402_8.6293.json,custom
39.538813,8.630999,ov_fast_food_il_punto_giusto_39.5388_8.6310,Fast Food IL Punto Giusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/fast_food_il_punto_giusto_39.5388_8.6310.json,custom
39.539657,8.631579,ov_pizzeria_da_giorgio_guspini_39.5397_8.6316,Pizzeria Da Giorgio Guspini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/pizzeria_da_giorgio_guspini_39.5397_8.6316.json,custom
39.539507,8.631466,ov_carlito_s_snack_bar_osteria_pizzeria_39.5395_8.6315,Carlito'S Snack Bar Osteria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/carlitos_snack_bar_osteria_pizzeria_39.5395_8.6315.json,custom
39.535707,8.631350,ov_treff_pizzeria_fast_food_39.5357_8.6313,Treff Pizzeria Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/treff_pizzeria_fast_food_39.5357_8.6313.json,custom
39.533954,8.631204,ov_pizzeria_da_mariano_39.5340_8.6312,Pizzeria Da Mariano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/pizzeria_da_mariano_39.5340_8.6312.json,custom
39.555760,8.571762,ov_enogastronomia_gennas_39.5558_8.5718,Enogastronomia Gennas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/enogastronomia_gennas_39.5558_8.5718.json,custom
39.566979,8.659883,ov_is_sennoreddas_39.5670_8.6599,Is Sennoreddas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/is_sennoreddas_39.5670_8.6599.json,custom
39.639481,8.660281,osm_agriturismo_su_dominariu_39.6395_8.6603,Agriturismo Su Dominariu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/agriturismo_su_dominariu_39.6395_8.6603.json,custom
39.525607,8.641026,ov_the_club_39.5256_8.6410,The Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/the_club_39.5256_8.6410.json,custom
39.537259,8.635616,ov_alexander_caffe_39.5373_8.6356,Alexander Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/alexander_caffe_39.5373_8.6356.json,custom
39.537846,8.633844,ov_caf__della_musica_39.5378_8.6338,Café della Musica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/caf_della_musica_39.5378_8.6338.json,custom
39.541391,8.633952,ov_bar_pinanoteca_michela_39.5414_8.6340,Bar Pinanoteca Michela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_pinanoteca_michela_39.5414_8.6340.json,custom
39.540311,8.632606,ov_bar_caffeteria_lo_smile_39.5403_8.6326,Bar Caffeteria Lo Smile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_caffeteria_lo_smile_39.5403_8.6326.json,custom
39.542150,8.636287,ov_fermento_enoteca_39.5421_8.6363,Fermento Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/fermento_enoteca_39.5421_8.6363.json,custom
39.542059,8.635923,ov_ladies_caffe_39.5421_8.6359,Ladies Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/ladies_caffe_39.5421_8.6359.json,custom
39.542080,8.636510,ov_circolo_il_sole_39.5421_8.6365,Circolo il Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/circolo_il_sole_39.5421_8.6365.json,custom
39.543907,8.638222,ov_jt_bar_snc_39.5439_8.6382,Jt Bar Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/jt_bar_snc_39.5439_8.6382.json,custom
39.544027,8.638562,ov_caffe_black_white_39.5440_8.6386,Caffe Black White,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/caffe_black_white_39.5440_8.6386.json,custom
39.544012,8.638720,ov_non_solo_caff__39.5440_8.6387,Non Solo CaffÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/non_solo_caff_39.5440_8.6387.json,custom
39.543570,8.637710,ov_bar_sala_giochi_il_portico_39.5436_8.6377,Bar Sala Giochi Il Portico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_sala_giochi_il_portico_39.5436_8.6377.json,custom
39.541738,8.639966,ov_sa_prenza_39.5417_8.6400,Sa Prenza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/sa_prenza_39.5417_8.6400.json,custom
39.543898,8.643942,ov_l_incastro_39.5439_8.6439,L'Incastro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/lincastro_39.5439_8.6439.json,custom
39.546192,8.634708,ov_barsara_39.5462_8.6347,BarSara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/barsara_39.5462_8.6347.json,custom
39.538187,8.626864,ov_armeria_manca_39.5382_8.6269,Armeria Manca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/armeria_manca_39.5382_8.6269.json,custom
39.538053,8.626919,ov_bar_gelateria_manca_di_marta_manca_39.5381_8.6269,Bar Gelateria Manca di Marta Manca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_gelateria_manca_di_marta_manca_39.5381_8.6269.json,custom
39.537881,8.626909,ov_bar_tony_39.5379_8.6269,Bar Tony,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_tony_39.5379_8.6269.json,custom
39.537937,8.626777,ov_la_genuina_pasticceria_39.5379_8.6268,La Genuina Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/la_genuina_pasticceria_39.5379_8.6268.json,custom
39.538442,8.628539,ov_enoteca_il_vigneto_39.5384_8.6285,Enoteca il Vigneto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/enoteca_il_vigneto_39.5384_8.6285.json,custom
39.539035,8.626996,ov_900_cafe_eris_s_r_l_s_39.5390_8.6270,900.cafe Eris S.r.l.s,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/900cafe_eris_srls_39.5390_8.6270.json,custom
39.542733,8.631543,ov_birrificio_4mori_39.5427_8.6315,Birrificio 4Mori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/birrificio_4mori_39.5427_8.6315.json,custom
39.540069,8.628739,ov_new_roxy_bar_39.5401_8.6287,New Roxy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/new_roxy_bar_39.5401_8.6287.json,custom
39.537460,8.631700,ov_eden_bar_39.5375_8.6317,Eden Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/eden_bar_39.5375_8.6317.json,custom
39.537133,8.630494,ov_bar_podda_39.5371_8.6305,Bar Podda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/bar_podda_39.5371_8.6305.json,custom
39.537196,8.634696,ov_roberto_riggio_personal_trainer_39.5372_8.6347,Roberto Riggio Personal Trainer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/roberto_riggio_personal_trainer_39.5372_8.6347.json,custom
39.533664,8.633148,ov_palestra_for_fit_39.5337_8.6331,Palestra For Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/palestra_for_fit_39.5337_8.6331.json,custom
39.535186,8.632617,ov_new_dancing_stars_39.5352_8.6326,New Dancing Stars,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/new_dancing_stars_39.5352_8.6326.json,custom
39.541645,8.631413,ov_tanit_studio_pilates_39.5416_8.6314,Tanit Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/tanit_studio_pilates_39.5416_8.6314.json,custom
39.539597,8.627275,ov_piazza_xx_settembre_39.5396_8.6273,Piazza XX Settembre,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/piazza_xx_settembre_39.5396_8.6273.json,custom
39.535847,8.628733,ov_museo_mulino_garau_39.5358_8.6287,Museo Mulino Garau,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/museo_mulino_garau_39.5358_8.6287.json,custom
39.536284,8.628616,ov_case_a_corte_39.5363_8.6286,Case a Corte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/case_a_corte_39.5363_8.6286.json,custom
39.556806,8.570395,ov_miniera_di_montevecchio_39.5568_8.5704,Miniera di Montevecchio,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/miniera_di_montevecchio_39.5568_8.5704.json,custom
39.539945,8.626940,ov_biblioteca_comunale_sergio_atzeni_39.5399_8.6269,Biblioteca Comunale Sergio Atzeni,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/guspini/pages/biblioteca_comunale_sergio_atzeni_39.5399_8.6269.json,custom
