# lat,lng,id,name,building_type,type,url,page_type
# Andora -- Tutti
43.950926,8.148910,ov_il_bastione_43.9509_8.1489,Il Bastione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/il_bastione_43.9509_8.1489.json,custom
43.950944,8.148150,ov_pigia_e_porta_a_ca_43.9509_8.1482,Pigia e Porta a Ca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/pigia_e_porta_a_ca_43.9509_8.1482.json,custom
43.949794,8.144676,ov_botafogo_43.9498_8.1447,Botafogo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/botafogo_43.9498_8.1447.json,custom
43.949706,8.144098,ov_la_mocanel_43.9497_8.1441,La Mocanel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/la_mocanel_43.9497_8.1441.json,custom
43.947274,8.139235,ov_il_pesce_rosso_43.9473_8.1392,Il Pesce Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/il_pesce_rosso_43.9473_8.1392.json,custom
43.948073,8.139654,ov_ristorante_pizzeria_taxi_43.9481_8.1397,Ristorante Pizzeria Taxi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/ristorante_pizzeria_taxi_43.9481_8.1397.json,custom
43.946910,8.140174,ov_tweener_43.9469_8.1402,Tweener,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/tweener_43.9469_8.1402.json,custom
43.948860,8.142299,ov_brothers_gj_43.9489_8.1423,Brothers Gj,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/brothers_gj_43.9489_8.1423.json,custom
43.944548,8.138011,ov_delos_andora_43.9445_8.1380,Delos Andora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/delos_andora_43.9445_8.1380.json,custom
43.972952,8.137390,osm_osteria_peccati_di_gola_43.9730_8.1374,Osteria peccati di gola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/osteria_peccati_di_gola_43.9730_8.1374.json,custom
43.951825,8.152579,osm_salsa_43.9518_8.1526,Salsa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/andora/pages/salsa_43.9518_8.1526.json,custom
