# lat,lng,id,name,building_type,type,url,page_type
# favara -- Tutti
37.306260,13.652460,ov_consultorio_george_sand_favara_37.3063_13.6525,Consultorio George Sand Favara,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/consultorio_george_sand_favara_37.3063_13.6525.json,custom
37.321741,13.663938,ov_pizza_mania_37.3217_13.6639,Pizza Mania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizza_mania_37.3217_13.6639.json,custom
37.321671,13.663826,ov_cuffaro_giuseppe_37.3217_13.6638,Cuffaro Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/cuffaro_giuseppe_37.3217_13.6638.json,custom
37.320811,13.664003,ov_la_rotonda_37.3208_13.6640,La Rotonda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/la_rotonda_37.3208_13.6640.json,custom
37.321342,13.664101,ov_pizzeria_striscia_la_pizza_37.3213_13.6641,Pizzeria Striscia La Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_striscia_la_pizza_37.3213_13.6641.json,custom
37.321467,13.666810,ov_cocciu_d_amuri_pizzeria_37.3215_13.6668,Cocciu d'Amuri Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/cocciu_damuri_pizzeria_37.3215_13.6668.json,custom
37.321450,13.666815,ov_80_voglia_di_pizza_37.3215_13.6668,80 Voglia Di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/80_voglia_di_pizza_37.3215_13.6668.json,custom
37.320908,13.665543,ov_mamma_mia_che_pizza_37.3209_13.6655,Mamma Mia Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/mamma_mia_che_pizza_37.3209_13.6655.json,custom
37.321478,13.669418,ov_pizza_il_dollaro_37.3215_13.6694,Pizza Il Dollaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizza_il_dollaro_37.3215_13.6694.json,custom
37.321690,13.671282,ov_ristorante_pizzeria_villa_rosa_37.3217_13.6713,Ristorante Pizzeria Villa Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_pizzeria_villa_rosa_37.3217_13.6713.json,custom
37.322573,13.671111,ov_arrusti_e_mangia_37.3226_13.6711,Arrusti e Mangia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/arrusti_e_mangia_37.3226_13.6711.json,custom
37.323225,13.671375,ov_pizzeria_smile_37.3232_13.6714,Pizzeria Smile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_smile_37.3232_13.6714.json,custom
37.315479,13.662465,ov_pistritto_pizzeria_e_bistrot_37.3155_13.6625,PISTRITTO Pizzeria e bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pistritto_pizzeria_e_bistrot_37.3155_13.6625.json,custom
37.313924,13.661994,ov_pizzeria_focacceria_melamangio_da_paolo_37.3139_13.6620,Pizzeria Focacceria Melamangio da Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_focacceria_melamangio_da_paolo_37.3139_13.6620.json,custom
37.314000,13.659976,ov_le_traveggole_37.3140_13.6600,Le Traveggole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/le_traveggole_37.3140_13.6600.json,custom
37.313280,13.658850,ov_re_chiaramonte_37.3133_13.6588,RE Chiaramonte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/re_chiaramonte_37.3133_13.6588.json,custom
37.313424,13.658132,ov_pizzeria_bellam__37.3134_13.6581,Pizzeria Bellamè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_bellam_37.3134_13.6581.json,custom
37.313451,13.658381,ov_sciabica_suite_37.3135_13.6584,Sciabica Suite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/sciabica_suite_37.3135_13.6584.json,custom
37.313502,13.658319,ov_cortile_zero_37.3135_13.6583,Cortile Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/cortile_zero_37.3135_13.6583.json,custom
37.313486,13.658390,ov_ciauru_di_sicilia_37.3135_13.6584,Ciauru di Sicilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ciauru_di_sicilia_37.3135_13.6584.json,custom
37.314284,13.659818,ov_caffe_italia_37.3143_13.6598,Caffe Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/caffe_italia_37.3143_13.6598.json,custom
37.314591,13.659368,ov_u_maccicuni_cavallaro_37.3146_13.6594,U Maccicuni Cavallaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/u_maccicuni_cavallaro_37.3146_13.6594.json,custom
37.310928,13.657580,ov_boutique_della_carne_da_elia_37.3109_13.6576,Boutique della carne da Elia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/boutique_della_carne_da_elia_37.3109_13.6576.json,custom
37.312941,13.665184,ov_garde_manger_37.3129_13.6652,Garde Manger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/garde_manger_37.3129_13.6652.json,custom
37.311509,13.662799,ov_punto_caldo_cicchiddru_37.3115_13.6628,Punto Caldo Cicchiddru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/punto_caldo_cicchiddru_37.3115_13.6628.json,custom
37.309422,13.664271,ov_ristorante_pizzeria_dado_matto_37.3094_13.6643,Ristorante Pizzeria Dado Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_pizzeria_dado_matto_37.3094_13.6643.json,custom
37.308757,13.664956,ov_c___pizza_per_te_37.3088_13.6650,C'è Pizza Per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/c_pizza_per_te_37.3088_13.6650.json,custom
37.308975,13.660013,ov_bal_nton_jonny_37.3090_13.6600,Bal'nton Jonny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/balnton_jonny_37.3090_13.6600.json,custom
37.309845,13.660119,ov_pizzeria_da_reginald_37.3098_13.6601,Pizzeria da Reginald,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_da_reginald_37.3098_13.6601.json,custom
37.310514,13.656983,ov_pizzeria_tr_s_chic_37.3105_13.6570,Pizzeria Très Chic,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_trs_chic_37.3105_13.6570.json,custom
37.309580,13.646720,ov_sen_sushi_favara_37.3096_13.6467,Sen Sushi Favara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/sen_sushi_favara_37.3096_13.6467.json,custom
37.309573,13.646729,ov_cocoa_lounge_burger_37.3096_13.6467,Cocoa Lounge Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/cocoa_lounge_burger_37.3096_13.6467.json,custom
37.307193,13.653297,ov_la_buona_tavola_37.3072_13.6533,La Buona Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/la_buona_tavola_37.3072_13.6533.json,custom
37.306829,13.646214,ov_pizzettiamo_37.3068_13.6462,Pizzettiamo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzettiamo_37.3068_13.6462.json,custom
37.305819,13.649159,ov_king_ristorante_pizzeria_37.3058_13.6492,King Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/king_ristorante_pizzeria_37.3058_13.6492.json,custom
37.306117,13.649538,ov_saint_honor__di_arnone_rosalba_sas_caffe_37.3061_13.6495,Saint Honorè di Arnone Rosalba SAS Caffetteria Gelateria Pas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/saint_honor_di_arnone_rosalba_sas_caffet_37.3061_13.6495.json,custom
37.305830,13.651255,ov_sciauru_37.3058_13.6513,Sciauru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/sciauru_37.3058_13.6513.json,custom
37.306031,13.657800,ov_rosticceria_sapore_di_mare_37.3060_13.6578,Rosticceria Sapore di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/rosticceria_sapore_di_mare_37.3060_13.6578.json,custom
37.307120,13.655518,ov_pizza_express_37.3071_13.6555,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizza_express_37.3071_13.6555.json,custom
37.307096,13.656599,ov_antonio_urso_pizzeria_contemporanea_37.3071_13.6566,Antonio Urso Pizzeria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/antonio_urso_pizzeria_contemporanea_37.3071_13.6566.json,custom
37.307657,13.657156,ov_pizzeria_strapizzami_da_francesco_37.3077_13.6572,Pizzeria Strapizzami da Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pizzeria_strapizzami_da_francesco_37.3077_13.6572.json,custom
37.307647,13.656077,ov_ostrea_aperitif_fish_37.3076_13.6561,Ostrea Aperitif Fish,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ostrea_aperitif_fish_37.3076_13.6561.json,custom
37.248974,13.682901,ov_ristorante_skene_37.2490_13.6829,Ristorante Skene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/ristorante_skene_37.2490_13.6829.json,custom
37.608192,14.918499,ov_delizie_dell_etna_37.6082_14.9185,Delizie dell'Etna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/delizie_delletna_37.6082_14.9185.json,custom
37.315468,13.662433,osm_pistritto_pizzeria___bistrot_37.3155_13.6624,Pistritto Pizzeria & Bistrot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/pistritto_pizzeria_bistrot_37.3155_13.6624.json,custom
37.320311,13.663895,ov_bar_itria_37.3203_13.6639,Bar Itria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_itria_37.3203_13.6639.json,custom
37.320309,13.659110,ov_bar_vetro_37.3203_13.6591,Bar Vetro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_vetro_37.3203_13.6591.json,custom
37.320016,13.660725,ov_extra_bar_di_sciacca_gaetano_37.3200_13.6607,Extra Bar Di Sciacca Gaetano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/extra_bar_di_sciacca_gaetano_37.3200_13.6607.json,custom
37.319192,13.660515,ov_bar_i_like_the_coffee_37.3192_13.6605,Bar I Like The Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_i_like_the_coffee_37.3192_13.6605.json,custom
37.323706,13.663261,ov_il_pasticcino_37.3237_13.6633,Il Pasticcino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/il_pasticcino_37.3237_13.6633.json,custom
37.321203,13.663984,ov_fratelli_arnone_37.3212_13.6640,Fratelli Arnone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/fratelli_arnone_37.3212_13.6640.json,custom
37.320835,13.665313,ov_milk_cafe_37.3208_13.6653,Milk Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/milk_cafe_37.3208_13.6653.json,custom
37.322861,13.670828,ov_la_caffetteria_37.3229_13.6708,La Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/la_caffetteria_37.3229_13.6708.json,custom
37.315302,13.663220,ov_caff__dello_sport_37.3153_13.6632,Caffè dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/caff_dello_sport_37.3153_13.6632.json,custom
37.314477,13.659422,ov_bar_caffe_cavour_37.3145_13.6594,Bar Caffe Cavour,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_caffe_cavour_37.3145_13.6594.json,custom
37.314438,13.660414,ov_bar_umberto_37.3144_13.6604,Bar Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_umberto_37.3144_13.6604.json,custom
37.314760,13.659871,ov_one_day_cafe_37.3148_13.6599,One Day Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/one_day_cafe_37.3148_13.6599.json,custom
37.310705,13.655947,ov_chiosco_la_piazzetta_37.3107_13.6559,Chiosco la piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/chiosco_la_piazzetta_37.3107_13.6559.json,custom
37.308951,13.655476,ov_bar_harmony_37.3090_13.6555,Bar Harmony,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_harmony_37.3090_13.6555.json,custom
37.309516,13.656572,ov_cafe_noir_lounge_bar_37.3095_13.6566,Cafe Noir Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/cafe_noir_lounge_bar_37.3095_13.6566.json,custom
37.310411,13.656942,ov_caffe_olimpya_37.3104_13.6569,Caffe Olimpya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/caffe_olimpya_37.3104_13.6569.json,custom
37.310025,13.655430,ov_hit_man_37.3100_13.6554,Hit Man,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/hit_man_37.3100_13.6554.json,custom
37.309671,13.646848,ov_civico_233__bar_ristorante__pizzeria_37.3097_13.6468,Civico 233 -Bar-Ristorante -Pizzeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/civico_233_-bar-ristorante_-pizzeria_37.3097_13.6468.json,custom
37.308709,13.644989,ov_parigi_bistrot_restaurant_wine_bar_caf__37.3087_13.6450,Parigi Bistrot restaurant wine bar cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/parigi_bistrot_restaurant_wine_bar_caf_37.3087_13.6450.json,custom
37.306179,13.648853,ov_studio_bar_37.3062_13.6489,Studio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/studio_bar_37.3062_13.6489.json,custom
37.305927,13.651548,ov_meet_caf__favara_37.3059_13.6515,Meet Cafè Favara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/meet_caf_favara_37.3059_13.6515.json,custom
37.305744,13.650846,ov_g_gusto_dolce_e_salato_37.3057_13.6508,G Gusto Dolce e Salato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/g_gusto_dolce_e_salato_37.3057_13.6508.json,custom
37.306577,13.658177,ov_bar_olanda_37.3066_13.6582,Bar Olanda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_olanda_37.3066_13.6582.json,custom
37.307079,13.656114,ov_bar_baronerosso_favara_37.3071_13.6561,Bar Baronerosso Favara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bar_baronerosso_favara_37.3071_13.6561.json,custom
37.307561,13.655610,ov_la_bodeguita_di_giuseppe_salvaggio_37.3076_13.6556,La Bodeguita di Giuseppe Salvaggio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/la_bodeguita_di_giuseppe_salvaggio_37.3076_13.6556.json,custom
37.307851,13.656335,ov_stoner_pub_37.3079_13.6563,Stoner Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/stoner_pub_37.3079_13.6563.json,custom
37.327469,13.661275,ov_caff__mizzica_37.3275_13.6613,Caffè Mizzica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/caff_mizzica_37.3275_13.6613.json,custom
37.357233,13.629638,ov_bowling_dell_efebo_37.3572_13.6296,Bowling dell'Efebo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/bowling_dellefebo_37.3572_13.6296.json,custom
37.355011,13.678718,ov_equitazione_pioppo_37.3550_13.6787,Equitazione Pioppo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/equitazione_pioppo_37.3550_13.6787.json,custom
37.356927,13.711877,ov_equitazione_agrigentina_giarrizzo_37.3569_13.7119,Equitazione Agrigentina Giarrizzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/equitazione_agrigentina_giarrizzo_37.3569_13.7119.json,custom
37.303930,13.670414,ov_perfecta_gym_37.3039_13.6704,Perfecta Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/perfecta_gym_37.3039_13.6704.json,custom
37.303737,13.670016,ov_centro_fitness_new_sport_system_37.3037_13.6700,Centro fitness New Sport System,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/centro_fitness_new_sport_system_37.3037_13.6700.json,custom
37.317658,13.663078,ov_a_s_d_crazy_dance_studio_37.3177_13.6631,A.S.D Crazy Dance studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/asd_crazy_dance_studio_37.3177_13.6631.json,custom
37.319139,13.653701,ov_hamsa_studio_yoga_37.3191_13.6537,Hamsa Studio Yoga,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/hamsa_studio_yoga_37.3191_13.6537.json,custom
37.314568,13.666632,ov_centro_dimensione_danza_37.3146_13.6666,Centro Dimensione Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/centro_dimensione_danza_37.3146_13.6666.json,custom
37.314066,13.664368,ov_physical_form_37.3141_13.6644,Physical Form,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/physical_form_37.3141_13.6644.json,custom
37.311719,13.657131,ov_palestra_arcobaleno_37.3117_13.6571,Palestra Arcobaleno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/palestra_arcobaleno_37.3117_13.6571.json,custom
37.309591,13.664218,ov_sala_giochi_vlt_favara_eurogames_37.3096_13.6642,Sala Giochi Vlt Favara Eurogames,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/sala_giochi_vlt_favara_eurogames_37.3096_13.6642.json,custom
37.309630,13.655626,ov_arena_belli_37.3096_13.6556,Arena Belli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/arena_belli_37.3096_13.6556.json,custom
37.308830,13.645505,ov_palestra_antofitness_37.3088_13.6455,Palestra Antofitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/palestra_antofitness_37.3088_13.6455.json,custom
37.306290,13.649530,ov_a_s_d_performance_37.3063_13.6495,A.S.D Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/asd_performance_37.3063_13.6495.json,custom
37.305670,13.653020,ov_asd_blue_fitness_37.3057_13.6530,Asd Blue Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/asd_blue_fitness_37.3057_13.6530.json,custom
37.307959,13.654405,ov_aproform_37.3080_13.6544,Aproform,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/aproform_37.3080_13.6544.json,custom
37.325700,13.658797,ov_wellnesskey_a_s_d_fitness_club_37.3257_13.6588,Wellnesskey A.S.D Fitness club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/wellnesskey_asd_fitness_club_37.3257_13.6588.json,custom
37.314900,13.660315,ov_castello_chiaramonte_37.3149_13.6603,Castello Chiaramonte,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/castello_chiaramonte_37.3149_13.6603.json,custom
37.314617,13.660811,ov_biblioteca_barone_mendola_37.3146_13.6608,Biblioteca Barone Mendola,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/favara/pages/biblioteca_barone_mendola_37.3146_13.6608.json,custom
