# lat,lng,id,name,building_type,type,url,page_type
# Mondovì -- Tutti
44.390822,7.802377,ov_ospedale_regina_montis_regalis_44.3908_7.8024,Ospedale Regina Montis Regalis,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ospedale_regina_montis_regalis_44.3908_7.8024.json,custom
44.383683,7.818516,ov_officine_amis_44.3837_7.8185,Officine Amis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/officine_amis_44.3837_7.8185.json,custom
44.383602,7.814538,ov_kinso_mondovi_44.3836_7.8145,Kinso Mondovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/kinso_mondovi_44.3836_7.8145.json,custom
44.384330,7.767071,ov_agriturismo_la_dimora_del_contadino_44.3843_7.7671,Agriturismo La Dimora del Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/agriturismo_la_dimora_del_contadino_44.3843_7.7671.json,custom
44.395101,7.817676,ov_ristorante_il_faro_rodello_44.3951_7.8177,Ristorante Il Faro Rodello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_il_faro_rodello_44.3951_7.8177.json,custom
44.395353,7.815882,ov_pizza_yard_44.3954_7.8159,Pizza Yard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizza_yard_44.3954_7.8159.json,custom
44.394267,7.818876,ov_kasbah_da_rachid_44.3943_7.8189,Kasbah Da Rachid,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/kasbah_da_rachid_44.3943_7.8189.json,custom
44.395363,7.819672,ov_pizza_si_44.3954_7.8197,Pizza Si,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizza_si_44.3954_7.8197.json,custom
44.396688,7.830941,ov_7si_pizzeria_44.3967_7.8309,7Si Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/7si_pizzeria_44.3967_7.8309.json,custom
44.398489,7.811441,ov_matto_ristocaf__44.3985_7.8114,Matto Ristocafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/matto_ristocaf_44.3985_7.8114.json,custom
44.401071,7.815109,ov_la_gerla_mondovi_44.4011_7.8151,La Gerla Mondovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/la_gerla_mondovi_44.4011_7.8151.json,custom
44.400815,7.814951,ov_il_borgo_nuovo_ristorante_pizzeria_44.4008_7.8150,Il Borgo Nuovo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/il_borgo_nuovo_ristorante_pizzeria_44.4008_7.8150.json,custom
44.406198,7.792757,ov_trattoria_bar_croce_d_oro_44.4062_7.7928,Trattoria Bar Croce D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/trattoria_bar_croce_doro_44.4062_7.7928.json,custom
44.406489,7.792143,ov_ristorante_pizzeria_il_caminetto_44.4065_7.7921,Ristorante pizzeria il caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_pizzeria_il_caminetto_44.4065_7.7921.json,custom
44.405310,7.818408,ov_ristorante_self_44.4053_7.8184,Ristorante Self,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_self_44.4053_7.8184.json,custom
44.406003,7.834597,ov_ristorante_la_borsarella_44.4060_7.8346,Ristorante La Borsarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_la_borsarella_44.4060_7.8346.json,custom
44.408897,7.837833,ov_pizzeria_k2_44.4089_7.8378,Pizzeria K2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizzeria_k2_44.4089_7.8378.json,custom
44.425340,7.897070,ov_amici_del_pasc_44.4253_7.8971,Amici del Pasc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/amici_del_pasc_44.4253_7.8971.json,custom
44.418752,7.852970,ov_burger_king_44.4188_7.8530,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/burger_king_44.4188_7.8530.json,custom
44.419094,7.852305,ov_degusto_coop_44.4191_7.8523,DeGusto Coop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/degusto_coop_44.4191_7.8523.json,custom
44.419609,7.851133,ov_eataly_mondovicino_44.4196_7.8511,Eataly Mondovicino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/eataly_mondovicino_44.4196_7.8511.json,custom
44.419523,7.848835,ov_pizzeria_area_6_44.4195_7.8488,Pizzeria Area 6,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizzeria_area_6_44.4195_7.8488.json,custom
44.419683,7.848936,ov_joy_sushi_44.4197_7.8489,Joy Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/joy_sushi_44.4197_7.8489.json,custom
44.419758,7.848861,ov_mishi_mishi_13_44.4198_7.8489,Mishi Mishi 13,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mishi_mishi_13_44.4198_7.8489.json,custom
44.419930,7.849220,ov_mcdonald_s_44.4199_7.8492,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mcdonalds_44.4199_7.8492.json,custom
44.420896,7.855040,ov_love_it_pizza_44.4209_7.8550,Love It Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/love_it_pizza_44.4209_7.8550.json,custom
44.423776,7.855021,ov_autogrill_di_mondovi__44.4238_7.8550,Autogrill di Mondovi',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/autogrill_di_mondovi_44.4238_7.8550.json,custom
44.422341,7.854272,ov_i_partenopei___mondovicino_outlet_villag_44.4223_7.8543,I partenopei - Mondovicino Outlet Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/i_partenopei_-_mondovicino_outlet_villag_44.4223_7.8543.json,custom
44.422306,7.854355,ov_pizza_in_langa_44.4223_7.8544,Pizza in Langa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizza_in_langa_44.4223_7.8544.json,custom
44.421625,7.854832,ov_la_scuderia___caff__bistrot_44.4216_7.8548,La Scuderia - Caffè Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/la_scuderia_-_caff_bistrot_44.4216_7.8548.json,custom
44.421908,7.854293,ov_osteria_san_quintino_44.4219_7.8543,Osteria San Quintino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_san_quintino_44.4219_7.8543.json,custom
44.428897,7.791732,ov_trattoria_breolungi_44.4289_7.7917,Trattoria Breolungi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/trattoria_breolungi_44.4289_7.7917.json,custom
44.428170,7.820716,ov_trattoria_aimo_44.4282_7.8207,Trattoria Aimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/trattoria_aimo_44.4282_7.8207.json,custom
44.668508,8.199332,ov_ristorante_la_lanterna_44.6685_8.1993,Ristorante La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_la_lanterna_44.6685_8.1993.json,custom
44.385241,7.819112,osm_quanta_passion_44.3852_7.8191,Quanta passion,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/quanta_passion_44.3852_7.8191.json,custom
44.388718,7.829994,osm_cantina_bonaparte_44.3887_7.8300,Cantina Bonaparte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/cantina_bonaparte_44.3887_7.8300.json,custom
44.388778,7.821587,osm_pinoy_44.3888_7.8216,Pinoy,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pinoy_44.3888_7.8216.json,custom
44.388498,7.830157,osm_osteria_bertaina__44.3885_7.8302,Osteria Bertaina.,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_bertaina_44.3885_7.8302.json,custom
44.390162,7.822554,osm_quattro_stagioni_44.3902_7.8226,Quattro stagioni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/quattro_stagioni_44.3902_7.8226.json,custom
44.419702,7.850982,osm_mondofood_44.4197_7.8510,Mondofood,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mondofood_44.4197_7.8510.json,custom
44.399130,7.747920,ov_boscaf__44.3991_7.7479,BosCafé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/boscaf_44.3991_7.7479.json,custom
44.396440,7.746870,ov_music_texas_pub_44.3964_7.7469,Music Texas Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/music_texas_pub_44.3964_7.7469.json,custom
44.368628,7.803954,ov_beila_44.3686_7.8040,Beila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/beila_44.3686_7.8040.json,custom
44.372591,7.806519,ov_bar_tavola_calda_di_met_via_44.3726_7.8065,Bar/tavola calda di metàvia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bartavola_calda_di_metvia_44.3726_7.8065.json,custom
44.392241,7.821697,ov_caffe_borgheletto_44.3922_7.8217,Caffe Borgheletto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caffe_borgheletto_44.3922_7.8217.json,custom
44.394060,7.816683,ov_bar_alfieri_44.3941_7.8167,Bar Alfieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_alfieri_44.3941_7.8167.json,custom
44.391355,7.816261,ov_the_baretto_elizabeth_giacosa_44.3914_7.8163,THE BARETTO Elizabeth Giacosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/the_baretto_elizabeth_giacosa_44.3914_7.8163.json,custom
44.390501,7.816507,ov_bar_bentivoglio_44.3905_7.8165,Bar Bentivoglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_bentivoglio_44.3905_7.8165.json,custom
44.389452,7.816651,ov_drip_coffee_snc_44.3895_7.8167,Drip Coffee snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/drip_coffee_snc_44.3895_7.8167.json,custom
44.389645,7.822073,ov_moro_cafe_44.3896_7.8221,Moro Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/moro_cafe_44.3896_7.8221.json,custom
44.389435,7.820467,ov_gran_caffe_aragno_44.3894_7.8205,Gran Caffe Aragno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/gran_caffe_aragno_44.3894_7.8205.json,custom
44.389993,7.821550,ov_caffe_centrale_44.3900_7.8216,Caffe Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caffe_centrale_44.3900_7.8216.json,custom
44.390562,7.821945,ov_caffe_del_sole_44.3906_7.8219,Caffe del Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caffe_del_sole_44.3906_7.8219.json,custom
44.390707,7.820761,ov_mole_44.3907_7.8208,Mole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mole_44.3907_7.8208.json,custom
44.391015,7.820968,ov_caffe_savoia_44.3910_7.8210,Caffe Savoia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caffe_savoia_44.3910_7.8210.json,custom
44.388280,7.829510,ov_nove_b_44.3883_7.8295,NOVE/B,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/noveb_44.3883_7.8295.json,custom
44.388308,7.830089,ov_agor__kafe_44.3883_7.8301,Agorà Kafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/agor_kafe_44.3883_7.8301.json,custom
44.388275,7.819923,ov_statuto_caffe__44.3883_7.8199,Statuto Caffe',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/statuto_caffe_44.3883_7.8199.json,custom
44.387147,7.820343,ov_caf__noir_44.3871_7.8203,Café Noir,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caf_noir_44.3871_7.8203.json,custom
44.386651,7.820186,ov_grigolon_44.3867_7.8202,Grigolon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/grigolon_44.3867_7.8202.json,custom
44.386691,7.821285,ov_enobar_il_ciottolo_44.3867_7.8213,Enobar Il Ciottolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/enobar_il_ciottolo_44.3867_7.8213.json,custom
44.384567,7.815627,ov_bar_da_wilma_44.3846_7.8156,Bar da Wilma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_da_wilma_44.3846_7.8156.json,custom
44.384289,7.815350,ov_lory_bar_mojito_44.3843_7.8153,Lory Bar Mojito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/lory_bar_mojito_44.3843_7.8153.json,custom
44.387309,7.809941,ov_mauroaluffi_com_44.3873_7.8099,mauroaluffi.com,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mauroalufficom_44.3873_7.8099.json,custom
44.396686,7.816930,ov_maui_cafe_44.3967_7.8169,Maui Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/maui_cafe_44.3967_7.8169.json,custom
44.395537,7.818583,ov_bar_latteria_44.3955_7.8186,Bar Latteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_latteria_44.3955_7.8186.json,custom
44.394327,7.817102,ov_bar_italia___il_quartier_generale_44.3943_7.8171,BAR Italia - Il Quartier Generale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_italia_-_il_quartier_generale_44.3943_7.8171.json,custom
44.398420,7.811541,ov_bar_cuneo_44.3984_7.8115,BAR CUNEO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_cuneo_44.3984_7.8115.json,custom
44.398115,7.815601,ov_caff__sociale_44.3981_7.8156,Caffè Sociale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caff_sociale_44.3981_7.8156.json,custom
44.401716,7.814996,ov_bar_da_linda_44.4017_7.8150,Bar Da Linda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_da_linda_44.4017_7.8150.json,custom
44.404896,7.818482,ov_bistrot_industriale_44.4049_7.8185,Bistrot Industriale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bistrot_industriale_44.4049_7.8185.json,custom
