# lat,lng,id,name,building_type,type,url,page_type
# Potenza Picena -- Tutti
43.359103,13.697023,ov_niche_poliambulatorio_43.3591_13.6970,Niche Poliambulatorio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/niche_poliambulatorio_43.3591_13.6970.json,custom
43.366964,13.695437,ov_tarifa_chalet_43.3670_13.6954,Tarifa Chalet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/tarifa_chalet_43.3670_13.6954.json,custom
43.381794,13.679977,ov_conosco_un_posticino_43.3818_13.6800,Conosco un posticino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/conosco_un_posticino_43.3818_13.6800.json,custom
43.367797,13.664091,ov_osteria_delle_casette_43.3678_13.6641,Osteria Delle Casette,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/osteria_delle_casette_43.3678_13.6641.json,custom
43.374067,13.658087,ov_l_orto_del_marinaio_43.3741_13.6581,L'orto del Marinaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/lorto_del_marinaio_43.3741_13.6581.json,custom
43.374849,13.665945,ov_ristorante_pizzeria_benvenuti_al_sud_di__43.3748_13.6659,Ristorante Pizzeria Benvenuti Al Sud di B and B,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_pizzeria_benvenuti_al_sud_di__43.3748_13.6659.json,custom
43.386527,13.659252,ov_ristorante_maramao_43.3865_13.6593,Ristorante Maramao,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_maramao_43.3865_13.6593.json,custom
43.385330,13.665700,ov_ristorante_la_cipolla_d_oro_43.3853_13.6657,Ristorante La Cipolla D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_la_cipolla_doro_43.3853_13.6657.json,custom
43.399292,13.675033,ov_locanda_del_tavolo_matto_43.3993_13.6750,Locanda del Tavolo Matto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/locanda_del_tavolo_matto_43.3993_13.6750.json,custom
43.404140,13.678210,ov_comos_43.4041_13.6782,Comos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/comos_43.4041_13.6782.json,custom
43.375036,13.596420,ov_osteria_del_moro_43.3750_13.5964,Osteria del Moro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/osteria_del_moro_43.3750_13.5964.json,custom
43.364668,13.620570,ov_pizzeria_diego_43.3647_13.6206,Pizzeria Diego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_diego_43.3647_13.6206.json,custom
43.367533,13.623170,ov_menta_e_rosmarino_bar_rosticceria_43.3675_13.6232,Menta e Rosmarino Bar Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/menta_e_rosmarino_bar_rosticceria_43.3675_13.6232.json,custom
43.366150,13.621296,ov_punto_pizza_43.3661_13.6213,Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/punto_pizza_43.3661_13.6213.json,custom
43.366426,13.621059,ov_pizzeria_dell_angolo_43.3664_13.6211,Pizzeria Dell'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_dellangolo_43.3664_13.6211.json,custom
43.366638,13.619900,ov_osteria_del_vicolo_43.3666_13.6199,Osteria del Vicolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/osteria_del_vicolo_43.3666_13.6199.json,custom
43.367429,13.620521,ov_ristorante_le_scalette_potenza_picena_43.3674_13.6205,Ristorante Le Scalette Potenza Picena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_le_scalette_potenza_picena_43.3674_13.6205.json,custom
43.369952,13.618783,ov_ristorante_f_lli_mazziero_43.3700_13.6188,Ristorante F.lli Mazziero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_flli_mazziero_43.3700_13.6188.json,custom
43.380927,13.607894,ov_il_contadino_di_paccaloni_fausto_43.3809_13.6079,Il Contadino Di Paccaloni Fausto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/il_contadino_di_paccaloni_fausto_43.3809_13.6079.json,custom
43.393319,13.639223,ov_frutti_di_mare_43.3933_13.6392,Frutti di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/frutti_di_mare_43.3933_13.6392.json,custom
43.386381,13.650705,ov_ristorante_maramao___pizza___restaurant_43.3864_13.6507,Ristorante Maramao - Pizza & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_maramao_-_pizza_restaurant_43.3864_13.6507.json,custom
43.382497,13.645768,ov_hosteria_miseria_e_nobilt__43.3825_13.6458,Hosteria Miseria e Nobiltà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/hosteria_miseria_e_nobilt_43.3825_13.6458.json,custom
43.359000,13.682270,ov_piccolo_paradiso_43.3590_13.6823,Piccolo Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/piccolo_paradiso_43.3590_13.6823.json,custom
43.359220,13.697560,ov_crave_corner___pizza___chips_and_snacks_43.3592_13.6976,"Crave Corner - Pizza , Chips and Snacks",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/crave_corner_-_pizza_chips_and_snacks_43.3592_13.6976.json,custom
43.358657,13.698521,ov_ristorante_il_pontino_43.3587_13.6985,Ristorante Il Pontino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_il_pontino_43.3587_13.6985.json,custom
43.359115,13.699086,ov_ristorante_giamirma_43.3591_13.6991,Ristorante Giamirma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_giamirma_43.3591_13.6991.json,custom
43.357334,13.699677,ov_chalet_mosquito_43.3573_13.6997,Chalet Mosquito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/chalet_mosquito_43.3573_13.6997.json,custom
43.353312,13.701377,ov_balneare_bar_ristorante_l_approdo_43.3533_13.7014,Balneare Bar Ristorante L'Approdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/balneare_bar_ristorante_lapprodo_43.3533_13.7014.json,custom
43.350002,13.700000,ov_bee_bar_pizzeria_friggitoria_43.3500_13.7000,Bee Bar Pizzeria Friggitoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bee_bar_pizzeria_friggitoria_43.3500_13.7000.json,custom
43.348579,13.702066,ov_l_angolo_dello_sfizio_43.3486_13.7021,L'angolo DELLO sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/langolo_dello_sfizio_43.3486_13.7021.json,custom
43.348892,13.703363,ov_nami___beach___restaurant_43.3489_13.7034,Nami - Beach & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/nami_-_beach_restaurant_43.3489_13.7034.json,custom
43.373505,13.589711,osm_agriturismo_il_transumante_43.3735_13.5897,Agriturismo Il Transumante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/agriturismo_il_transumante_43.3735_13.5897.json,custom
43.366432,13.620986,osm_pizzeria_43.3664_13.6210,Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_43.3664_13.6210.json,custom
43.367403,13.620529,osm_ristorante_le_scalette_43.3674_13.6205,Ristorante Le Scalette,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/ristorante_le_scalette_43.3674_13.6205.json,custom
43.386316,13.659305,osm_maramao_43.3863_13.6593,Maramao,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/maramao_43.3863_13.6593.json,custom
43.393334,13.639249,osm_fruit_de_mer_43.3933_13.6392,Fruit De Mer,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/fruit_de_mer_43.3933_13.6392.json,custom
43.360757,13.696245,ov_bully_pub_43.3608_13.6962,Bully pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bully_pub_43.3608_13.6962.json,custom
43.359785,13.695738,ov_maritozzo_cafe_43.3598_13.6957,Maritozzo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/maritozzo_cafe_43.3598_13.6957.json,custom
43.366715,13.694073,ov_bon_d__43.3667_13.6941,Bon'dì,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bond_43.3667_13.6941.json,custom
43.367436,13.695087,ov_chalet_lo_scoglio_43.3674_13.6951,Chalet Lo Scoglio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/chalet_lo_scoglio_43.3674_13.6951.json,custom
43.363588,13.618830,ov_popeye_pub_43.3636_13.6188,Popeye Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/popeye_pub_43.3636_13.6188.json,custom
43.366807,13.628697,ov_bocciofila_montesanto_43.3668_13.6287,Bocciofila Montesanto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bocciofila_montesanto_43.3668_13.6287.json,custom
43.367584,13.628722,ov_o_connell_irish_pub_43.3676_13.6287,O'Connell Irish Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/oconnell_irish_pub_43.3676_13.6287.json,custom
43.368765,13.623714,ov_bar_camelia_43.3688_13.6237,Bar Camelia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_camelia_43.3688_13.6237.json,custom
43.366202,13.620381,ov_caffe_del_teatro_43.3662_13.6204,Caffe del Teatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/caffe_del_teatro_43.3662_13.6204.json,custom
43.367526,13.620149,ov_groove_beer_bar_43.3675_13.6201,Groove Beer Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/groove_beer_bar_43.3675_13.6201.json,custom
43.366946,13.619857,ov_caff__dello_sport_43.3669_13.6199,Caffè dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/caff_dello_sport_43.3669_13.6199.json,custom
43.395510,13.645044,ov_bar_espresso_italiano_43.3955_13.6450,Bar Espresso Italiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_espresso_italiano_43.3955_13.6450.json,custom
43.396981,13.645339,ov_resina_43.3970_13.6453,Resina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/resina_43.3970_13.6453.json,custom
43.397330,13.652530,ov_bar_break_point_43.3973_13.6525,Bar BREAK POINT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_break_point_43.3973_13.6525.json,custom
43.371850,13.642700,ov_bar_il_varco_43.3719_13.6427,Bar IL VARCO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_il_varco_43.3719_13.6427.json,custom
43.356368,13.697173,ov_sottovoce_pub_43.3564_13.6972,Sottovoce Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/sottovoce_pub_43.3564_13.6972.json,custom
43.359304,13.697490,ov_caffe_marghe_43.3593_13.6975,Caffe Marghe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/caffe_marghe_43.3593_13.6975.json,custom
43.356628,13.698738,ov_italian_emotions_43.3566_13.6987,Italian Emotions,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/italian_emotions_43.3566_13.6987.json,custom
43.356570,13.698630,ov_idromele_le_torri_az__agr__43.3566_13.6986,Idromele Le Torri Az. Agr.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/idromele_le_torri_az_agr_43.3566_13.6986.json,custom
43.351854,13.700200,ov_osteria_nr__1_43.3519_13.7002,Osteria nr. 1,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/osteria_nr_1_43.3519_13.7002.json,custom
43.352178,13.700225,ov_bar_hermana_43.3522_13.7002,Bar Hermana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_hermana_43.3522_13.7002.json,custom
43.349916,13.702444,ov_bar_lido_bello_43.3499_13.7024,Bar Lido Bello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_lido_bello_43.3499_13.7024.json,custom
43.364649,13.620544,osm_pizzeria_marisa_le_mura_43.3646_13.6205,Pizzeria Marisa Le Mura,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pizzeria_marisa_le_mura_43.3646_13.6205.json,custom
43.366248,13.620418,osm_bar_del_teatro_43.3662_13.6204,Bar del Teatro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_del_teatro_43.3662_13.6204.json,custom
43.374703,13.649193,osm_bar_il_varco_43.3747_13.6492,Bar il Varco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_il_varco_43.3747_13.6492.json,custom
43.368798,13.623509,osm_bar_43.3688_13.6235,Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bar_43.3688_13.6235.json,custom
43.383972,13.685847,ov_itahca_fitness___wellness_43.3840_13.6858,Itahca fitness & Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/itahca_fitness_wellness_43.3840_13.6858.json,custom
43.384862,13.686201,ov_robur_crossfit_43.3849_13.6862,Robur CrossFit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/robur_crossfit_43.3849_13.6862.json,custom
43.371414,13.691088,ov_bocciofila_43.3714_13.6911,Bocciofila,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/bocciofila_43.3714_13.6911.json,custom
43.361810,13.696290,ov_potentia_wellness_academy_43.3618_13.6963,Potentia Wellness Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/potentia_wellness_academy_43.3618_13.6963.json,custom
43.361140,13.696570,ov_area_sport_service_srl_43.3611_13.6966,Area Sport Service Srl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/area_sport_service_srl_43.3611_13.6966.json,custom
43.360560,13.694516,ov_oratorio_don_bosco_43.3606_13.6945,Oratorio Don Bosco,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/oratorio_don_bosco_43.3606_13.6945.json,custom
43.364209,13.691389,ov_feel_good_43.3642_13.6914,Feel Good,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/feel_good_43.3642_13.6914.json,custom
43.366209,13.690829,ov_atletica_potenza_picena_43.3662_13.6908,Atletica Potenza Picena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/atletica_potenza_picena_43.3662_13.6908.json,custom
43.369874,13.691926,ov_sport_angel_43.3699_13.6919,Sport Angel,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/sport_angel_43.3699_13.6919.json,custom
43.371324,13.690414,ov_campo_sportivo_comunale_porto_potenza_43.3713_13.6904,Campo Sportivo Comunale Porto Potenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/campo_sportivo_comunale_porto_potenza_43.3713_13.6904.json,custom
43.362437,13.622253,ov_alasport_43.3624_13.6223,ALAsport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/alasport_43.3624_13.6223.json,custom
43.367958,13.626766,ov_campo_sportivo_comunale_ferruccio_orsell_43.3680_13.6268,Campo Sportivo Comunale Ferruccio Orselli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/campo_sportivo_comunale_ferruccio_orsell_43.3680_13.6268.json,custom
43.367549,13.620387,ov_asd_jigoro_kano_43.3675_13.6204,Asd Jigoro Kano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/asd_jigoro_kano_43.3675_13.6204.json,custom
43.380873,13.609829,ov_empire_fit_43.3809_13.6098,Empire Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/empire_fit_43.3809_13.6098.json,custom
43.385774,13.620668,ov_savoretti_armando___c__snc_43.3858_13.6207,Savoretti Armando & C. SNC,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/savoretti_armando_c_snc_43.3858_13.6207.json,custom
43.391342,13.636987,ov_pista_motocross_regina_43.3913_13.6370,Pista Motocross Regina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/pista_motocross_regina_43.3913_13.6370.json,custom
43.370962,13.630751,ov_trifit_potenza_picena_43.3710_13.6308,TRIFIT Potenza Picena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/trifit_potenza_picena_43.3710_13.6308.json,custom
43.353670,13.699860,ov_power_fitness_personal_sport_lab_43.3537_13.6999,Power Fitness Personal Sport Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/power_fitness_personal_sport_lab_43.3537_13.6999.json,custom
43.352270,13.699759,ov_gym_tonic_43.3523_13.6998,Gym Tonic,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/gym_tonic_43.3523_13.6998.json,custom
43.380930,13.609751,osm_power_fitness_43.3809_13.6098,Power Fitness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/power_fitness_43.3809_13.6098.json,custom
43.370909,13.630710,osm_smile_club_43.3709_13.6307,Smile Club,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/smile_club_43.3709_13.6307.json,custom
43.360818,13.696686,ov_orologeria_paolucci_43.3608_13.6967,Orologeria Paolucci,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/orologeria_paolucci_43.3608_13.6967.json,custom
43.367394,13.620465,osm_biblioteca_comunale_43.3674_13.6205,Biblioteca Comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/potenza_picena/pages/biblioteca_comunale_43.3674_13.6205.json,custom
