# lat,lng,id,name,building_type,type,url,page_type
# orta_di_atella -- Tutti
40.966163,14.273766,ov_studio_otorinolaringoiatra_dott_giuseppe_40.9662_14.2738,Studio Otorinolaringoiatra Dott.Giuseppe Covetti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/studio_otorinolaringoiatra_dottgiuseppe__40.9662_14.2738.json,custom
40.963861,14.273417,ov_pizzeria_la_teglia_40.9639_14.2734,Pizzeria La Teglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_la_teglia_40.9639_14.2734.json,custom
40.963195,14.272304,ov_da_lionello_40.9632_14.2723,Da Lionello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/da_lionello_40.9632_14.2723.json,custom
40.963200,14.271984,ov_pizzeria_la_villa_40.9632_14.2720,Pizzeria La Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_la_villa_40.9632_14.2720.json,custom
40.960949,14.272402,ov_la_saporita_40.9609_14.2724,La Saporita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/la_saporita_40.9609_14.2724.json,custom
40.960992,14.270952,ov_stefano_caiazza_pizzaiolo_40.9610_14.2710,Stefano Caiazza Pizzaiolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/stefano_caiazza_pizzaiolo_40.9610_14.2710.json,custom
40.977651,14.262192,ov_fare_experience_40.9777_14.2622,Fare Experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/fare_experience_40.9777_14.2622.json,custom
40.978653,14.270976,ov_roby_n_food_40.9787_14.2710,Roby'n'Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/robynfood_40.9787_14.2710.json,custom
40.974706,14.271365,ov_cibicaldi_records_40.9747_14.2714,Cibicaldi Records,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/cibicaldi_records_40.9747_14.2714.json,custom
40.976326,14.268050,ov_ristopizza_la_smorfia_40.9763_14.2681,Ristopizza La Smorfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/ristopizza_la_smorfia_40.9763_14.2681.json,custom
40.975170,14.266230,ov_arizona_ristorante_pizzeria_40.9752_14.2662,Arizona Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/arizona_ristorante_pizzeria_40.9752_14.2662.json,custom
40.969703,14.273194,ov_hostaria_atellana_40.9697_14.2732,Hostaria Atellana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/hostaria_atellana_40.9697_14.2732.json,custom
40.974482,14.267370,osm_castello_di_casapozzano_40.9745_14.2674,Castello di Casapozzano,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/castello_di_casapozzano_40.9745_14.2674.json,custom
40.960537,14.277215,ov_lounge_bar_3_0_40.9605_14.2772,Lounge Bar 3.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/lounge_bar_30_40.9605_14.2772.json,custom
40.965869,14.278029,ov_caldarelli_dolce_e_salato_40.9659_14.2780,Caldarelli Dolce e Salato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/caldarelli_dolce_e_salato_40.9659_14.2780.json,custom
40.967020,14.263710,ov_drink_service_srl_dei_f_lli_de_micco_40.9670_14.2637,Drink Service srl Dei F.LLI De Micco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/drink_service_srl_dei_flli_de_micco_40.9670_14.2637.json,custom
40.965464,14.264838,ov_caffetteria_splendore_40.9655_14.2648,Caffetteria Splendore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/caffetteria_splendore_40.9655_14.2648.json,custom
40.964971,14.268085,ov_gran_caffe_pagano_40.9650_14.2681,Gran Caffe Pagano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/gran_caffe_pagano_40.9650_14.2681.json,custom
40.963481,14.272576,ov_open_bar_40.9635_14.2726,Open bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/open_bar_40.9635_14.2726.json,custom
40.976799,14.266859,ov_caffetteria_vitale_40.9768_14.2669,Caffetteria Vitale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/caffetteria_vitale_40.9768_14.2669.json,custom
40.973480,14.264850,ov_caffetteria_mozzillo_1956_40.9735_14.2648,Caffetteria Mozzillo 1956,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/caffetteria_mozzillo_1956_40.9735_14.2648.json,custom
40.970902,14.274118,ov_dreamy_cafe_40.9709_14.2741,Dreamy Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/dreamy_cafe_40.9709_14.2741.json,custom
40.963249,14.280537,ov_palestra_l_isola_del_benessere_40.9632_14.2805,Palestra L'Isola del Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/palestra_lisola_del_benessere_40.9632_14.2805.json,custom
40.965869,14.278001,ov_imperial_palestre_40.9659_14.2780,Imperial Palestre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/imperial_palestre_40.9659_14.2780.json,custom
40.965659,14.278250,ov_orta_di_atella___zeta_club___specializza_40.9657_14.2783,ORTA DI ATELLA - Zeta Club - Specializzati in risultati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/orta_di_atella_-_zeta_club_-_specializza_40.9657_14.2783.json,custom
40.963464,14.265640,ov_palestra_anima_e_corpo_40.9635_14.2656,Palestra Anima e Corpo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/palestra_anima_e_corpo_40.9635_14.2656.json,custom
40.961623,14.263804,ov_danzarte_40.9616_14.2638,Danzarte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/danzarte_40.9616_14.2638.json,custom
40.977920,14.266430,ov_asd_max_landi_s_40.9779_14.2664,Asd Max Landi’s,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/asd_max_landis_40.9779_14.2664.json,custom
40.972980,14.266150,ov_schiano_officials_40.9730_14.2661,Schiano Officials,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/schiano_officials_40.9730_14.2661.json,custom
40.970388,14.263586,ov_world_fitness_asd_40.9704_14.2636,World Fitness asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/world_fitness_asd_40.9704_14.2636.json,custom
40.974488,14.267385,ov_castello_di_casapozzano_40.9745_14.2674,Castello di Casapozzano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/castello_di_casapozzano_40.9745_14.2674.json,custom
