# lat,lng,id,name,building_type,type,url,page_type
# santolcese -- Tutti
44.476810,8.918960,ov_casa_della_salute_44.4768_8.9190,Casa della Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/casa_della_salute_44.4768_8.9190.json,custom
44.477752,8.922255,osm_anna_e_silvio_di_lucio_vario_44.4778_8.9223,Anna e Silvio di Lucio Vario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/anna_e_silvio_di_lucio_vario_44.4778_8.9223.json,custom
44.477570,8.938386,osm_la_fattoria_di_marta_44.4776_8.9384,La Fattoria di Marta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/la_fattoria_di_marta_44.4776_8.9384.json,custom
44.469317,8.951101,osm_ristorante_pesca_alla_trota_44.4693_8.9511,Ristorante Pesca alla Trota,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/ristorante_pesca_alla_trota_44.4693_8.9511.json,custom
44.489141,8.960120,osm_la_morona_44.4891_8.9601,La Morona,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/la_morona_44.4891_8.9601.json,custom
44.497792,8.987944,osm_pizzeria_senza_tante_musse_44.4978_8.9879,Pizzeria Senza tante musse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/pizzeria_senza_tante_musse_44.4978_8.9879.json,custom
44.478260,8.919220,ov_il_baretto_44.4783_8.9192,Il Baretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/il_baretto_44.4783_8.9192.json,custom
44.477800,8.918720,ov_voglia_di_caff__2_44.4778_8.9187,Voglia DI CAFFÈ 2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/voglia_di_caff_2_44.4778_8.9187.json,custom
44.476663,8.918333,ov_bar_cervetto_44.4767_8.9183,Bar Cervetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/bar_cervetto_44.4767_8.9183.json,custom
44.476678,8.928888,ov_bar_suzy_44.4767_8.9289,Bar Suzy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/bar_suzy_44.4767_8.9289.json,custom
44.464459,8.955522,ov_bar_bnario_44.4645_8.9555,Bar Bnario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/bar_bnario_44.4645_8.9555.json,custom
44.482488,8.925071,ov_comago_44.4825_8.9251,Comago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/comago_44.4825_8.9251.json,custom
44.483046,8.972550,osm_circolo_47_club_44.4830_8.9726,Circolo 47 Club,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/circolo_47_club_44.4830_8.9726.json,custom
44.477259,8.919832,osm_societ__di_mutuo_soccorso_44.4773_8.9198,Società di Mutuo Soccorso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/societ_di_mutuo_soccorso_44.4773_8.9198.json,custom
44.484771,8.978176,osm_circolo_arci_vicomorasso_44.4848_8.9782,Circolo Arci Vicomorasso,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/circolo_arci_vicomorasso_44.4848_8.9782.json,custom
44.459771,8.953739,osm_circolo_arci_trensasco_44.4598_8.9537,Circolo Arci Trensasco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/circolo_arci_trensasco_44.4598_8.9537.json,custom
44.483380,8.931687,osm_societ__operaia_cattolica_sacro_cuore_di_44.4834_8.9317,Società operaia cattolica sacro cuore di Gesù',bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/societ_operaia_cattolica_sacro_cuore_di__44.4834_8.9317.json,custom
44.479980,8.930796,osm_societ__operaia_cattolica_sacra_famiglia_44.4800_8.9308,Società operaia cattolica Sacra Famiglia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/societ_operaia_cattolica_sacra_famiglia_44.4800_8.9308.json,custom
44.476640,8.918360,ov_neom_1_44.4766_8.9184,NEOM 1,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/neom_1_44.4766_8.9184.json,custom
44.476313,8.930405,ov_worlddanceliguria_a_s_d__44.4763_8.9304,Worlddanceliguria A.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/worlddanceliguria_asd_44.4763_8.9304.json,custom
44.481535,8.921595,ov_la_serra_del_fitness_44.4815_8.9216,La Serra del Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/santolcese/pages/la_serra_del_fitness_44.4815_8.9216.json,custom
