# lat,lng,id,name,building_type,type,url,page_type
# rignano_flaminio -- Tutti
42.168931,12.483245,ov_casa_di_riposo_domus_bach_42.1689_12.4832,Casa di riposo DOMUS BACH,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/casa_di_riposo_domus_bach_42.1689_12.4832.json,custom
42.208776,12.482115,ov_pizzeria_100_42.2088_12.4821,Pizzeria 100,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/pizzeria_100_42.2088_12.4821.json,custom
42.208377,12.482646,ov_pizzeria_le_antiche_tradizioni_42.2084_12.4826,Pizzeria Le Antiche Tradizioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/pizzeria_le_antiche_tradizioni_42.2084_12.4826.json,custom
42.212362,12.482935,ov_pizzeria_tavern_apicio_42.2124_12.4829,Pizzeria Tavern APICIO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/pizzeria_tavern_apicio_42.2124_12.4829.json,custom
42.207980,12.484306,ov_ristorante_la_bombarda_42.2080_12.4843,Ristorante La Bombarda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/ristorante_la_bombarda_42.2080_12.4843.json,custom
42.202528,12.480158,ov_full80_paninoteca_42.2025_12.4802,Full80 Paninoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/full80_paninoteca_42.2025_12.4802.json,custom
42.207758,12.484527,ov_all_ombra_della_rocca_42.2078_12.4845,All'Ombra della Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/allombra_della_rocca_42.2078_12.4845.json,custom
42.183474,12.521203,ov_chanel___zohan_alimentari_42.1835_12.5212,Chanel & Zohan Alimentari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/chanel_zohan_alimentari_42.1835_12.5212.json,custom
42.207959,12.478289,ov_bid_one_42.2080_12.4783,Bid-one,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bid-one_42.2080_12.4783.json,custom
42.210682,12.479223,ov_bar_stazione_42.2107_12.4792,Bar stazione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_stazione_42.2107_12.4792.json,custom
42.208799,12.479331,ov_bar_deja_vu_42.2088_12.4793,Bar Deja Vu,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_deja_vu_42.2088_12.4793.json,custom
42.209054,12.479664,ov_la_dolce_vita_42.2091_12.4797,La Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/la_dolce_vita_42.2091_12.4797.json,custom
42.209960,12.480723,ov_bar_chiosco_42.2100_12.4807,Bar Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_chiosco_42.2100_12.4807.json,custom
42.211010,12.480720,ov_bar_vecchia_america_ii_42.2110_12.4807,Bar Vecchia America II,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_vecchia_america_ii_42.2110_12.4807.json,custom
42.212870,12.480370,ov_civico_88_42.2129_12.4804,Civico 88,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/civico_88_42.2129_12.4804.json,custom
42.216074,12.481892,ov_bar_scaccomatto_42.2161_12.4819,Bar Scaccomatto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_scaccomatto_42.2161_12.4819.json,custom
42.209587,12.481189,ov_bar_dello_sport_42.2096_12.4812,Bar Dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_dello_sport_42.2096_12.4812.json,custom
42.209274,12.481662,ov_caffe_del_corso_42.2093_12.4817,Caffe Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/caffe_del_corso_42.2093_12.4817.json,custom
42.208411,12.482384,ov_bar__valentina__rignano_flaminio_42.2084_12.4824,BAR  Valentina  Rignano Flaminio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_valentina_rignano_flaminio_42.2084_12.4824.json,custom
42.208410,12.483010,ov_g_luca_42.2084_12.4830,G.luca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/gluca_42.2084_12.4830.json,custom
42.208447,12.483099,ov_de_benedetti_bruno_42.2084_12.4831,De Benedetti Bruno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/de_benedetti_bruno_42.2084_12.4831.json,custom
42.208665,12.482751,ov_colorado_caff__by_paja_42.2087_12.4828,Colorado caffè by Paja,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/colorado_caff_by_paja_42.2087_12.4828.json,custom
42.207759,12.484131,ov_bar_da_franco_42.2078_12.4841,Bar da franco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_da_franco_42.2078_12.4841.json,custom
42.202843,12.479966,ov_bar_gianga_42.2028_12.4800,Bar GianGa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bar_gianga_42.2028_12.4800.json,custom
42.207400,12.478359,osm_bean_machine_coffee_42.2074_12.4784,Bean Machine Coffee,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/bean_machine_coffee_42.2074_12.4784.json,custom
42.181310,12.468946,ov_associazione_cleopatra_42.1813_12.4689,Associazione Cleopatra,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/associazione_cleopatra_42.1813_12.4689.json,custom
42.207078,12.480749,ov_ifit_sport_center_a_s_d__42.2071_12.4807,IFit sport center a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/ifit_sport_center_asd_42.2071_12.4807.json,custom
42.209470,12.479810,ov_asd_groove_dance_studio_42.2095_12.4798,ASD Groove Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/asd_groove_dance_studio_42.2095_12.4798.json,custom
42.219856,12.483539,ov_eden_wellness_42.2199_12.4835,Eden Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/eden_wellness_42.2199_12.4835.json,custom
42.203567,12.479578,ov_millennium_42.2036_12.4796,Millennium,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/millennium_42.2036_12.4796.json,custom
42.183991,12.511629,ov_crossodromo_rignano_flaminio_42.1840_12.5116,Crossodromo Rignano Flaminio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/crossodromo_rignano_flaminio_42.1840_12.5116.json,custom
42.208168,12.484507,ov_biblioteca_comunale_milca_zucchi_rizzott_42.2082_12.4845,Biblioteca Comunale Milca Zucchi Rizzotti,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rignano_flaminio/pages/biblioteca_comunale_milca_zucchi_rizzott_42.2082_12.4845.json,custom
