# lat,lng,id,name,building_type,type,url,page_type
# Monte Porzio Catone -- Tutti
41.817539,12.715024,osm_biologo_nutrizionista_41.8175_12.7150,Biologo Nutrizionista,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/biologo_nutrizionista_41.8175_12.7150.json,custom
41.816761,12.713389,ov_wine_bar_la_vinaccia_41.8168_12.7134,Wine bar La Vinaccia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/wine_bar_la_vinaccia_41.8168_12.7134.json,custom
41.816152,12.715122,ov_robertos_bar_sala_da_the_41.8162_12.7151,Robertos Bar Sala Da The,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/robertos_bar_sala_da_the_41.8162_12.7151.json,custom
41.816356,12.715457,ov_caffetteria_wine_bar_da_nando_41.8164_12.7155,Caffetteria Wine Bar Da Nando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/caffetteria_wine_bar_da_nando_41.8164_12.7155.json,custom
41.816667,12.717127,ov_bar_due_pini_41.8167_12.7171,Bar Due Pini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/bar_due_pini_41.8167_12.7171.json,custom
41.896902,12.558170,ov_la_vinaccia_wine_bar___bar_pub_41.8969_12.5582,La vinaccia Wine bar / bar pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_vinaccia_wine_bar_bar_pub_41.8969_12.5582.json,custom
41.803890,12.713946,ov_a_s_d__primate_patterns_41.8039_12.7139,A.S.D. Primate Patterns,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/asd_primate_patterns_41.8039_12.7139.json,custom
41.815072,12.729827,ov_valentini_sporting_club_scuola_di_danza__41.8151_12.7298,Valentini Sporting Club Scuola di Danza e Sala da Ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/valentini_sporting_club_scuola_di_danza__41.8151_12.7298.json,custom
41.812405,12.724469,ov_nina_dance_group_41.8124_12.7245,Nina Dance Group,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/nina_dance_group_41.8124_12.7245.json,custom
41.813490,12.723340,ov_body_perfect_41.8135_12.7233,Body Perfect,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/body_perfect_41.8135_12.7233.json,custom
41.813536,12.723399,ov_metodo_pilates_41.8135_12.7234,Metodo Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/metodo_pilates_41.8135_12.7234.json,custom
41.813701,12.723219,ov_body_action_41.8137_12.7232,Body Action,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/body_action_41.8137_12.7232.json,custom
41.815229,12.721168,ov_monkey_zone_41.8152_12.7212,Monkey Zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/monkey_zone_41.8152_12.7212.json,custom
41.816058,12.719808,ov_piscina_coperta_greggi_sport_41.8161_12.7198,Piscina Coperta Greggi Sport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/piscina_coperta_greggi_sport_41.8161_12.7198.json,custom
41.815619,12.720840,ov_il_circolo_di_artemide___scuola_di_natur_41.8156_12.7208,Il circolo di Artemide - Scuola di Naturopatia l'Asclepeion ,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/il_circolo_di_artemide_-_scuola_di_natur_41.8156_12.7208.json,custom
41.829175,12.708429,ov_la_terrazza_su_roma_41.8292_12.7084,La Terrazza Su Roma,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/la_terrazza_su_roma_41.8292_12.7084.json,custom
41.813521,12.716523,ov_museo_del_vino_di_monteporzio_catone_41.8135_12.7165,Museo del vino di Monteporzio Catone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/museo_del_vino_di_monteporzio_catone_41.8135_12.7165.json,custom
41.812650,12.718840,ov_polo_museale_di_monte_porzio_catone_41.8126_12.7188,Polo Museale di Monte Porzio Catone,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/polo_museale_di_monte_porzio_catone_41.8126_12.7188.json,custom
41.812054,12.715505,osm_ufficio_postale_55138_41.8121_12.7155,Ufficio postale 55138,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/ufficio_postale_55138_41.8121_12.7155.json,custom
41.813595,12.716610,ov_biblioteca_di_monte_porzio_catone_41.8136_12.7166,Biblioteca di Monte Porzio Catone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/monte_porzio_catone/pages/biblioteca_di_monte_porzio_catone_41.8136_12.7166.json,custom
