# lat,lng,id,name,building_type,type,url,page_type
# vitulazio -- Tutti
41.119259,14.200644,ov_clinica_villa_fiorita_capua_41.1193_14.2006,Clinica Villa Fiorita Capua,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/clinica_villa_fiorita_capua_41.1193_14.2006.json,custom
41.164144,14.218311,ov_giam__da_lucio_41.1641_14.2183,Giamà da Lucio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/giam_da_lucio_41.1641_14.2183.json,custom
41.164335,14.218231,ov_gibel__41.1643_14.2182,Gibelè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/gibel_41.1643_14.2182.json,custom
41.158788,14.218666,ov_peccati_di_gola_41.1588_14.2187,Peccati di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/peccati_di_gola_41.1588_14.2187.json,custom
41.159730,14.218029,ov_olio___basilico_vitulazio___giacomo_gara_41.1597_14.2180,Olio & Basilico Vitulazio | Giacomo Garau,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/olio_basilico_vitulazio_giacomo_garau_41.1597_14.2180.json,custom
41.159703,14.217645,ov_locanda_luciani_41.1597_14.2176,Locanda Luciani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/locanda_luciani_41.1597_14.2176.json,custom
41.163650,14.217730,ov_al_vecchio_porticato__braceria_hamburger_41.1636_14.2177,Al Vecchio Porticato. Braceria Hamburgeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/al_vecchio_porticato_braceria_hamburgeri_41.1636_14.2177.json,custom
41.163741,14.202185,ov_villa_iannaco_restaurant_and_events_41.1637_14.2022,Villa Iannaco Restaurant and Events,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/villa_iannaco_restaurant_and_events_41.1637_14.2022.json,custom
41.168089,14.202186,ov_i_nipoti_di_zio_peppe_41.1681_14.2022,I Nipoti di Zio Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/i_nipoti_di_zio_peppe_41.1681_14.2022.json,custom
41.163498,14.224568,ov_il_pomo_d_oro_41.1635_14.2246,Il Pomo d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/il_pomo_doro_41.1635_14.2246.json,custom
41.151924,14.178874,osm_cuciniello_ristocaf__41.1519_14.1789,Cuciniello Ristocafè,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/cuciniello_ristocaf_41.1519_14.1789.json,custom
41.150064,14.181274,osm_surprise_41.1501_14.1813,Surprise,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/surprise_41.1501_14.1813.json,custom
41.154610,14.178330,ov_bar_alimentari_appia_41.1546_14.1783,Bar Alimentari Appia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/bar_alimentari_appia_41.1546_14.1783.json,custom
41.154610,14.178330,ov_dama_caf__41.1546_14.1783,DAMA Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/dama_caf_41.1546_14.1783.json,custom
41.154610,14.178330,ov_kmzero_ristobar_41.1546_14.1783,KmZero RistoBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/kmzero_ristobar_41.1546_14.1783.json,custom
41.163780,14.215550,ov_street_view_bar_41.1638_14.2156,Street View Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/street_view_bar_41.1638_14.2156.json,custom
41.163511,14.215676,ov_mr__rolly_s_41.1635_14.2157,Mr. Rolly's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/mr_rollys_41.1635_14.2157.json,custom
41.164021,14.215732,ov_gusto_e_caffe_41.1640_14.2157,Gusto e Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/gusto_e_caffe_41.1640_14.2157.json,custom
41.160217,14.216528,ov_relax_cafe_41.1602_14.2165,Relax Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/relax_cafe_41.1602_14.2165.json,custom
41.161990,14.216850,ov_rewind_bar_iole_41.1620_14.2169,Rewind BAR Iole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/rewind_bar_iole_41.1620_14.2169.json,custom
41.161992,14.216730,ov_caff__verdi_41.1620_14.2167,Caffè Verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/caff_verdi_41.1620_14.2167.json,custom
41.163951,14.216630,ov_new_generation_41.1640_14.2166,New Generation,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/new_generation_41.1640_14.2166.json,custom
41.163824,14.217221,ov_bar_sport_41.1638_14.2172,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/bar_sport_41.1638_14.2172.json,custom
41.164179,14.218421,ov_cafe_chinaski_41.1642_14.2184,Cafe-Chinaski,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/cafe-chinaski_41.1642_14.2184.json,custom
41.166210,14.206150,ov_beerwines_cammuso_41.1662_14.2061,Beerwines Cammuso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/beerwines_cammuso_41.1662_14.2061.json,custom
41.161517,14.221689,ov_bucowineedrinks_41.1615_14.2217,bucowineedrinks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/bucowineedrinks_41.1615_14.2217.json,custom
41.164516,14.212147,ov_body_building_center_41.1645_14.2121,Body Building Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/body_building_center_41.1645_14.2121.json,custom
41.163510,14.212252,ov_kinema_41.1635_14.2123,Kinema,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/kinema_41.1635_14.2123.json,custom
41.160272,14.219061,ov_accademia_sylvia_ballet_41.1603_14.2191,Accademia Sylvia Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/accademia_sylvia_ballet_41.1603_14.2191.json,custom
41.162425,14.217804,ov_alma_studio_pilates_41.1624_14.2178,Alma Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/alma_studio_pilates_41.1624_14.2178.json,custom
41.164561,14.223544,ov_campo_sportivo_di_vitulazio_41.1646_14.2235,Campo Sportivo di Vitulazio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/campo_sportivo_di_vitulazio_41.1646_14.2235.json,custom
41.162863,14.220791,ov_asd_white_tiger_vitulazio_41.1629_14.2208,ASD WHITE TIGER Vitulazio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/asd_white_tiger_vitulazio_41.1629_14.2208.json,custom
41.161790,14.226093,ov_piramide_bellona_41.1618_14.2261,Piramide Bellona,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/vitulazio/pages/piramide_bellona_41.1618_14.2261.json,custom
