# lat,lng,id,name,building_type,type,url,page_type
# Farra di Soligo -- Tutti
45.909638,12.152354,ov_bar_4_ciacole_45.9096_12.1524,Bar 4 Ciacole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_4_ciacole_45.9096_12.1524.json,custom
45.905335,12.126835,ov_bar_alla_posta_45.9053_12.1268,Bar alla Posta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_alla_posta_45.9053_12.1268.json,custom
45.896704,12.089320,ov_bar_tabacchi_due_di_fiori_45.8967_12.0893,Bar tabacchi Due di Fiori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_tabacchi_due_di_fiori_45.8967_12.0893.json,custom
45.896834,12.088512,ov_bar_ai_colli_45.8968_12.0885,Bar Ai Colli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_ai_colli_45.8968_12.0885.json,custom
45.900461,12.111068,ov_dolce_vita_bar_45.9005_12.1111,Dolce Vita Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/dolce_vita_bar_45.9005_12.1111.json,custom
45.903871,12.117409,ov_bar_k2_45.9039_12.1174,Bar K2,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_k2_45.9039_12.1174.json,custom
45.905407,12.126745,osm_osteriva_45.9054_12.1267,OsteRiva,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/osteriva_45.9054_12.1267.json,custom
45.905524,12.126997,osm_bar_alla_posta_45.9055_12.1270,Bar alla Posta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_alla_posta_45.9055_12.1270.json,custom
45.913185,12.155561,osm_senso_unico_45.9132_12.1556,Senso Unico,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/senso_unico_45.9132_12.1556.json,custom
45.895122,12.152980,ov_centro_equestre_tarvisium_n_stella_45.8951_12.1530,Centro Equestre Tarvisium N.Stella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/centro_equestre_tarvisium_nstella_45.8951_12.1530.json,custom
45.895440,12.119170,ov_ranch_marcon_45.8954_12.1192,Ranch marcon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/ranch_marcon_45.8954_12.1192.json,custom
45.908183,12.105372,ov_torri_di_credazzo_45.9082_12.1054,Torri di Credazzo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/torri_di_credazzo_45.9082_12.1054.json,custom
45.912729,12.154884,osm_poste_italiane_45.9127_12.1549,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/poste_italiane_45.9127_12.1549.json,custom
