# lat,lng,id,name,building_type,type,url,page_type
# zevio -- Tutti
45.376068,11.132565,ov_ospedale_chiarenzi_45.3761_11.1326,Ospedale Chiarenzi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/ospedale_chiarenzi_45.3761_11.1326.json,custom
45.370969,11.131319,ov_pizza_e_cucina_da_nando_45.3710_11.1313,Pizza E Cucina Da Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/pizza_e_cucina_da_nando_45.3710_11.1313.json,custom
45.372041,11.133543,ov_nuova_pizzeria_marconi_45.3720_11.1335,Nuova Pizzeria Marconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/nuova_pizzeria_marconi_45.3720_11.1335.json,custom
45.373126,11.129726,ov_pizzeria_fantasia_45.3731_11.1297,Pizzeria Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/pizzeria_fantasia_45.3731_11.1297.json,custom
45.374040,11.136290,ov_tenuta_molino_dei_sassi_45.3740_11.1363,Tenuta Molino dei Sassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/tenuta_molino_dei_sassi_45.3740_11.1363.json,custom
45.369435,11.164757,ov_ristorantepizzeriabridi_45.3694_11.1648,Ristorantepizzeriabridi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/ristorantepizzeriabridi_45.3694_11.1648.json,custom
45.357886,11.166592,ov_tre_chitarre_45.3579_11.1666,Tre Chitarre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/tre_chitarre_45.3579_11.1666.json,custom
45.347477,11.090107,ov_ristorante_sacchetto_45.3475_11.0901,Ristorante Sacchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/ristorante_sacchetto_45.3475_11.0901.json,custom
45.372041,11.133543,osm_pizzeria_trattoria_marconi_45.3720_11.1335,Pizzeria Trattoria Marconi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/pizzeria_trattoria_marconi_45.3720_11.1335.json,custom
45.362053,11.046292,osm_free_food_45.3621_11.0463,Free Food,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/free_food_45.3621_11.0463.json,custom
45.373790,11.059128,ov_bar_punta_45.3738_11.0591,Bar Punta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_punta_45.3738_11.0591.json,custom
45.364659,11.060429,ov_bar_shop_45.3647_11.0604,Bar Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_shop_45.3647_11.0604.json,custom
45.369622,11.048939,ov_enicaf__ss_434_km_7_500_45.3696_11.0489,Enicafè SS 434 Km 7+500,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/enicaf_ss_434_km_7500_45.3696_11.0489.json,custom
45.364815,11.131325,ov_bar_luca_45.3648_11.1313,Bar Luca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_luca_45.3648_11.1313.json,custom
45.369069,11.109424,ov_caffetteria_prana_45.3691_11.1094,Caffetteria Prana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/caffetteria_prana_45.3691_11.1094.json,custom
45.369590,11.107640,ov_bar_gelateria_whitees_45.3696_11.1076,Bar Gelateria Whitees,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_gelateria_whitees_45.3696_11.1076.json,custom
45.371232,11.091953,ov_bar_trattoria_da_wendy_45.3712_11.0920,Bar Trattoria Da Wendy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_trattoria_da_wendy_45.3712_11.0920.json,custom
45.370328,11.105197,ov_kaf__valentina_45.3703_11.1052,Kafè Valentina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/kaf_valentina_45.3703_11.1052.json,custom
45.370059,11.105587,ov_la_vineria_45.3701_11.1056,La Vineria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/la_vineria_45.3701_11.1056.json,custom
45.375259,11.137320,ov_centrale_drink_e_food_45.3753_11.1373,Centrale Drink e Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/centrale_drink_e_food_45.3753_11.1373.json,custom
45.376731,11.134901,ov_la_gare_central_45.3767_11.1349,La Gare Central,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/la_gare_central_45.3767_11.1349.json,custom
45.376330,11.132752,ov_bar_santa_toscana_45.3763_11.1328,bar santa toscana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_santa_toscana_45.3763_11.1328.json,custom
45.371942,11.119707,ov_pizzeria_ai_borboni_45.3719_11.1197,Pizzeria AI Borboni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/pizzeria_ai_borboni_45.3719_11.1197.json,custom
45.373380,11.131049,ov_beifiori_maria_45.3734_11.1310,Beifiori Maria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/beifiori_maria_45.3734_11.1310.json,custom
45.373364,11.130776,ov_caff__brutti_45.3734_11.1308,Caffè Brutti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/caff_brutti_45.3734_11.1308.json,custom
45.373270,11.135617,ov_bar_angolo_cafe_45.3733_11.1356,Bar Angolo Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/bar_angolo_cafe_45.3733_11.1356.json,custom
45.373166,11.135433,ov_caffe_da_milly_45.3732_11.1354,Caffe Da Milly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/caffe_da_milly_45.3732_11.1354.json,custom
45.364353,11.189572,ov_sole_e_luna_45.3644_11.1896,Sole e Luna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/sole_e_luna_45.3644_11.1896.json,custom
45.369585,11.107665,osm_white_es_45.3696_11.1077,White Es,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/white_es_45.3696_11.1077.json,custom
45.373860,11.059240,ov_max_strazzer___metodo_strazzer_45.3739_11.0592,Max Strazzer - Metodo Strazzer,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/max_strazzer_-_metodo_strazzer_45.3739_11.0592.json,custom
45.368995,11.110842,ov_power_fit_club___studio_personal_trainin_45.3690_11.1108,Power Fit Club - Studio Personal Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/power_fit_club_-_studio_personal_trainin_45.3690_11.1108.json,custom
45.375533,11.137579,ov_studio_danza_artescena_45.3755_11.1376,Studio Danza Artescena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/studio_danza_artescena_45.3755_11.1376.json,custom
45.373911,11.132868,ov_gruppo_arcieri_freccia_iridata_45.3739_11.1329,Gruppo Arcieri Freccia Iridata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/gruppo_arcieri_freccia_iridata_45.3739_11.1329.json,custom
45.373062,11.135468,ov_palestra_just_ya_45.3731_11.1355,Palestra Just Ya,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/palestra_just_ya_45.3731_11.1355.json,custom
45.369516,11.164777,ov_viking_training_zevio_45.3695_11.1648,Viking Training Zevio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/viking_training_zevio_45.3695_11.1648.json,custom
45.369379,11.164404,ov_poligono_tiro_a_volo_45.3694_11.1644,Poligono Tiro A Volo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/poligono_tiro_a_volo_45.3694_11.1644.json,custom
45.375507,11.137670,ov_biblioteca_comunale_di_zevio_45.3755_11.1377,Biblioteca Comunale di Zevio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/biblioteca_comunale_di_zevio_45.3755_11.1377.json,custom
45.380214,11.208655,ov_biblioteca_comunale_45.3802_11.2087,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/zevio/pages/biblioteca_comunale_45.3802_11.2087.json,custom
