# lat,lng,id,name,building_type,type,url,page_type
# Codigoro -- Tutti
44.826040,12.110605,ov_veterinario_rossi_l__codigoro__fe__44.8260_12.1106,Veterinario ROSSI L. Codigoro (FE),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/veterinario_rossi_l_codigoro_fe_44.8260_12.1106.json,custom
44.808000,12.237266,ov_ristorante_cannevie_44.8080_12.2373,Ristorante Cannevie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_cannevie_44.8080_12.2373.json,custom
44.808190,12.252923,ov_ristorante_la_zanzara_44.8082_12.2529,Ristorante La Zanzara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_la_zanzara_44.8082_12.2529.json,custom
44.806414,12.255781,ov_ristorante_la_baracca_sas_44.8064_12.2558,Ristorante La Baracca Sas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/ristorante_la_baracca_sas_44.8064_12.2558.json,custom
44.806444,12.255938,ov_la_baracca_lido_di_volano_44.8064_12.2559,La Baracca Lido di Volano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_baracca_lido_di_volano_44.8064_12.2559.json,custom
44.834362,12.233126,osm_barone_rosso_44.8344_12.2331,Barone Rosso,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/barone_rosso_44.8344_12.2331.json,custom
44.806380,12.255900,osm_la_baracca___oratorio_della_peschiera_44.8064_12.2559,La Baracca - Oratorio della Peschiera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_baracca_-_oratorio_della_peschiera_44.8064_12.2559.json,custom
44.834451,12.106826,ov_bar_the_one_44.8345_12.1068,Bar The One,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_the_one_44.8345_12.1068.json,custom
44.830367,12.107316,ov_circus_pub_44.8304_12.1073,Circus Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/circus_pub_44.8304_12.1073.json,custom
44.830981,12.106107,ov_bar_santos_44.8310_12.1061,Bar Santos,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_santos_44.8310_12.1061.json,custom
44.831495,12.105560,ov_bar_dolce_vita_44.8315_12.1056,Bar Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_dolce_vita_44.8315_12.1056.json,custom
44.831202,12.105180,ov_vo_d_or_bistrot_44.8312_12.1052,Vo D'or Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/vo_dor_bistrot_44.8312_12.1052.json,custom
44.831405,12.104528,ov_da_zango_44.8314_12.1045,Da Zango,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/da_zango_44.8314_12.1045.json,custom
44.831765,12.105009,ov_bar_del_teatro_44.8318_12.1050,Bar del Teatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_del_teatro_44.8318_12.1050.json,custom
44.832861,12.104256,ov_bar_900_44.8329_12.1043,Bar 900,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_900_44.8329_12.1043.json,custom
44.835696,12.102507,ov_portobello_bar_gelateria_44.8357_12.1025,Portobello Bar Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/portobello_bar_gelateria_44.8357_12.1025.json,custom
44.834274,12.103311,ov_gelocafe_44.8343_12.1033,Gelocafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/gelocafe_44.8343_12.1033.json,custom
44.824715,12.111202,ov_caffe_pigna_irish_bar_44.8247_12.1112,Caffe Pigna Irish Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/caffe_pigna_irish_bar_44.8247_12.1112.json,custom
44.820978,12.195416,ov_birrificio_fm_s_a_s__44.8210_12.1954,Birrificio FM s.a.s.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/birrificio_fm_sas_44.8210_12.1954.json,custom
44.835405,12.151911,ov_la_capannina_bar_gelateria_44.8354_12.1519,La Capannina Bar Gelateria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_capannina_bar_gelateria_44.8354_12.1519.json,custom
44.828405,12.112828,ov_le_fate_e_gli_gnomi_irish_pub_and_restau_44.8284_12.1128,Le Fate e Gli Gnomi Irish Pub and Restaurant,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/le_fate_e_gli_gnomi_irish_pub_and_restau_44.8284_12.1128.json,custom
44.828544,12.114677,ov_budapest_caf__44.8285_12.1147,Budapest Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/budapest_caf_44.8285_12.1147.json,custom
44.828624,12.114671,ov_bar_h_44.8286_12.1147,Bar H,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_h_44.8286_12.1147.json,custom
44.833692,12.120610,ov_coffee_house_44.8337_12.1206,Coffee House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/coffee_house_44.8337_12.1206.json,custom
44.861140,12.148780,ov_echo_food_drink___sound_44.8611_12.1488,ECHO Food/Drink & Sound,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/echo_fooddrink_sound_44.8611_12.1488.json,custom
44.858845,12.165651,ov_bagno_kelly_44.8588_12.1657,Bagno Kelly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bagno_kelly_44.8588_12.1657.json,custom
44.859218,12.165830,ov_bar_trattoria_da_valieri_44.8592_12.1658,Bar Trattoria Da Valieri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_trattoria_da_valieri_44.8592_12.1658.json,custom
44.859251,12.165658,ov_al_borgo___osteria_e_bottega_44.8593_12.1657,Al Borgo - Osteria e Bottega,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/al_borgo_-_osteria_e_bottega_44.8593_12.1657.json,custom
44.859500,12.166308,ov_la_numero_9_44.8595_12.1663,La numero 9,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_numero_9_44.8595_12.1663.json,custom
44.858590,12.167170,ov_bar_la_cueva_44.8586_12.1672,Bar La Cueva,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_la_cueva_44.8586_12.1672.json,custom
44.902109,12.098773,ov_bar_greenstone_44.9021_12.0988,Bar Greenstone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_greenstone_44.9021_12.0988.json,custom
44.901451,12.098867,ov_la_piazza_44.9015_12.0989,La Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/la_piazza_44.9015_12.0989.json,custom
44.909880,12.096700,ov_il_cigno_nero_44.9099_12.0967,Il Cigno Nero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/il_cigno_nero_44.9099_12.0967.json,custom
44.898970,12.103147,ov_delta_bar_44.8990_12.1031,Delta Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/delta_bar_44.8990_12.1031.json,custom
44.832144,12.103335,osm_bar_sport_44.8321_12.1033,Bar Sport,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/bar_sport_44.8321_12.1033.json,custom
44.835353,12.151945,osm_butterfly_s_caf__44.8354_12.1519,Butterfly's Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/butterflys_caf_44.8354_12.1519.json,custom
44.831798,12.105614,ov_a_s_d_flamingo_dance_44.8318_12.1056,A.s.d Flamingo Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/asd_flamingo_dance_44.8318_12.1056.json,custom
44.835090,12.103115,ov_palestra_atletic_studio_44.8351_12.1031,Palestra Atletic Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/palestra_atletic_studio_44.8351_12.1031.json,custom
44.830480,12.097290,ov_new_dance_scuola_di_ballo_maestri_daniel_44.8305_12.0973,NEW.DANCE SCUOLA DI BALLO MAESTRI DANIELE e Carla azzi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/newdance_scuola_di_ballo_maestri_daniele_44.8305_12.0973.json,custom
44.848086,12.177250,ov_personal_power_gym_44.8481_12.1772,Personal Power Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/personal_power_gym_44.8481_12.1772.json,custom
44.836661,12.153457,ov_area_51_fitness_and_body_44.8367_12.1535,Area 51 Fitness and Body,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/area_51_fitness_and_body_44.8367_12.1535.json,custom
44.818316,12.116991,ov_polisportiva_il_capitello_44.8183_12.1170,Polisportiva Il capitello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/polisportiva_il_capitello_44.8183_12.1170.json,custom
44.826810,12.113740,ov_easy_dance_team___codigoro_44.8268_12.1137,Easy dance team - Codigoro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/easy_dance_team_-_codigoro_44.8268_12.1137.json,custom
44.827272,12.200084,ov_a_s_d__oklahoma_ranch_44.8273_12.2001,A.s.d. Oklahoma Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/asd_oklahoma_ranch_44.8273_12.2001.json,custom
44.858300,12.166790,ov_abbazia_di_pomposa_44.8583_12.1668,Abbazia di Pomposa,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/abbazia_di_pomposa_44.8583_12.1668.json,custom
44.838082,12.155219,osm_poste_italiane_44.8381_12.1552,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/poste_italiane_44.8381_12.1552.json,custom
44.829220,12.108590,ov_biblioteca_comunale_giorgio_bassani_di_c_44.8292_12.1086,Biblioteca comunale Giorgio Bassani di Codigoro,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/biblioteca_comunale_giorgio_bassani_di_c_44.8292_12.1086.json,custom
44.829203,12.108605,osm_biblioteca_comunale_giorgio_bassani_44.8292_12.1086,Biblioteca comunale Giorgio Bassani,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/codigoro/pages/biblioteca_comunale_giorgio_bassani_44.8292_12.1086.json,custom
