# lat,lng,id,name,building_type,type,url,page_type
# Capodrise -- Tutti
41.040932,14.307217,ov_marcianise__ce__41.0409_14.3072,Marcianise (CE),HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/marcianise_ce_41.0409_14.3072.json,custom
41.038221,14.316535,ov_pizz_cor_e_passion_di_mario_milone_41.0382_14.3165,Pizz Cor e Passion di Mario Milone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/pizz_cor_e_passion_di_mario_milone_41.0382_14.3165.json,custom
41.043258,14.319045,ov_mcdonald_s_41.0433_14.3190,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/mcdonalds_41.0433_14.3190.json,custom
41.041996,14.323925,ov_n_cafe_41.0420_14.3239,N Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/n_cafe_41.0420_14.3239.json,custom
41.043165,14.312468,ov_ristorante_marconi_41.0432_14.3125,Ristorante Marconi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/ristorante_marconi_41.0432_14.3125.json,custom
41.043735,14.310092,ov_pharina_41.0437_14.3101,Pharina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/pharina_41.0437_14.3101.json,custom
41.043636,14.308761,ov_o__boss_re_taglier_41.0436_14.3088,O' Boss Re Taglier,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/o_boss_re_taglier_41.0436_14.3088.json,custom
41.043626,14.308562,ov_buongustaio_golino_41.0436_14.3086,Buongustaio Golino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/buongustaio_golino_41.0436_14.3086.json,custom
41.043710,14.307072,ov_paninoteca_da_maurizio_41.0437_14.3071,Paninoteca da Maurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/paninoteca_da_maurizio_41.0437_14.3071.json,custom
41.043799,14.305726,ov_vac_e_press_41.0438_14.3057,Vac e Press,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/vac_e_press_41.0438_14.3057.json,custom
41.041983,14.305856,ov_times_pizza___food_41.0420_14.3059,Times Pizza & Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/times_pizza_food_41.0420_14.3059.json,custom
41.043485,14.301866,ov_corte_dei_massi_41.0435_14.3019,Corte dei Massi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/corte_dei_massi_41.0435_14.3019.json,custom
41.044972,14.301509,ov_dante_41.0450_14.3015,Dante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/dante_41.0450_14.3015.json,custom
41.037264,14.310130,osm_il_trancio_41.0373_14.3101,Il Trancio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/il_trancio_41.0373_14.3101.json,custom
41.047633,14.300010,ov_hafa_cafe_chiosco_41.0476_14.3000,Hafa Cafe Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/hafa_cafe_chiosco_41.0476_14.3000.json,custom
41.047724,14.300091,ov_enjoy_cafe_41.0477_14.3001,Enjoy cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/enjoy_cafe_41.0477_14.3001.json,custom
41.045593,14.299526,ov_bar_primo_caffe_41.0456_14.2995,Bar Primo Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/bar_primo_caffe_41.0456_14.2995.json,custom
41.039731,14.299698,ov_caffe_delli_paoli_41.0397_14.2997,Caffe delli Paoli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/caffe_delli_paoli_41.0397_14.2997.json,custom
41.037341,14.313556,ov_mood_cafe_and_bar_41.0373_14.3136,Mood Cafe and Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/mood_cafe_and_bar_41.0373_14.3136.json,custom
41.037268,14.312136,ov_maudit_cafe_bar_41.0373_14.3121,Maudit Cafe Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/maudit_cafe_bar_41.0373_14.3121.json,custom
41.044179,14.312232,ov_cornetteria_times_of_croissants_capodris_41.0442_14.3122,Cornetteria Times Of Croissants Capodrise,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/cornetteria_times_of_croissants_capodris_41.0442_14.3122.json,custom
41.043700,14.309907,ov_cafe_torre_41.0437_14.3099,Cafe Torre,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/cafe_torre_41.0437_14.3099.json,custom
41.043650,14.308610,ov_ohana_41.0436_14.3086,Ohana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/ohana_41.0436_14.3086.json,custom
41.043500,14.304880,ov_bar_botanica_41.0435_14.3049,Bar Botanica,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/bar_botanica_41.0435_14.3049.json,custom
41.040280,14.301090,ov_gold_s_gym__fitness___body_building_41.0403_14.3011,Gold's Gym: Fitness & Body Building,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/golds_gym_fitness_body_building_41.0403_14.3011.json,custom
41.037372,14.318031,ov_newdynamicclub_asd_41.0374_14.3180,Newdynamicclub asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/newdynamicclub_asd_41.0374_14.3180.json,custom
41.042674,14.305885,ov_beat_dance_studio_41.0427_14.3059,Beat Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/beat_dance_studio_41.0427_14.3059.json,custom
41.042658,14.299516,ov_palazzo_delle_arti___campania_contempora_41.0427_14.2995,Palazzo delle Arti - Campania Contemporanea,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/palazzo_delle_arti_-_campania_contempora_41.0427_14.2995.json,custom
41.044421,14.298999,osm_ufficio_postale_poste_italiane_41.0444_14.2990,Ufficio Postale Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/capodrise/pages/ufficio_postale_poste_italiane_41.0444_14.2990.json,custom
