# lat,lng,id,name,building_type,type,url,page_type
# Mozzate -- Tutti
45.674000,8.955922,osm_pinko_caf__45.6740_8.9559,Pinko Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/pinko_caf_45.6740_8.9559.json,custom
45.666837,8.962266,osm_vii_secolo_45.6668_8.9623,VII Secolo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/vii_secolo_45.6668_8.9623.json,custom
45.677045,8.955274,osm_fashion_caf__45.6770_8.9553,Fashion Cafè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/fashion_caf_45.6770_8.9553.json,custom
45.676607,8.948791,osm_bar_la_varesina_45.6766_8.9488,Bar La varesina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/bar_la_varesina_45.6766_8.9488.json,custom
45.680872,8.946785,osm_atikum_bar_sport_45.6809_8.9468,Atikum Bar Sport,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/atikum_bar_sport_45.6809_8.9468.json,custom
45.679180,8.947453,ov_lezard_arrampicata_45.6792_8.9475,Lezard arrampicata,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/lezard_arrampicata_45.6792_8.9475.json,custom
45.676944,8.949310,ov_blackgym_45.6769_8.9493,Blackgym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/blackgym_45.6769_8.9493.json,custom
45.666961,8.962167,ov_new_fisicomania_45.6670_8.9622,New Fisicomania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/new_fisicomania_45.6670_8.9622.json,custom
45.670914,8.951786,ov_lf_studio_pilates_45.6709_8.9518,LF Studio Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/lf_studio_pilates_45.6709_8.9518.json,custom
45.670990,8.951840,ov_studio_danza_a_s_d__45.6710_8.9518,Studio Danza A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/studio_danza_asd_45.6710_8.9518.json,custom
45.676812,8.949255,ov_swan_dance_school_45.6768_8.9493,Swan Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/swan_dance_school_45.6768_8.9493.json,custom
45.682574,8.951120,osm_moveit_45.6826_8.9511,MoveIt,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/moveit_45.6826_8.9511.json,custom
45.676707,8.949560,osm_blackgym_a_s_d__45.6767_8.9496,Blackgym A.s.d.,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/blackgym_asd_45.6767_8.9496.json,custom
45.679665,8.945446,ov_castello_del_seprio_45.6797_8.9454,Castello del Seprio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/castello_del_seprio_45.6797_8.9454.json,custom
45.675524,8.955730,osm_poste_italiane_45.6755_8.9557,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/poste_italiane_45.6755_8.9557.json,custom
45.677960,8.966896,osm_dhl_service_point_45.6780_8.9669,DHL Service Point,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/dhl_service_point_45.6780_8.9669.json,custom
45.673690,8.956629,ov_biblioteca_di_mozzate_45.6737_8.9566,Biblioteca di Mozzate,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzate/pages/biblioteca_di_mozzate_45.6737_8.9566.json,custom
