# lat,lng,id,name,building_type,type,url,page_type
# Valverde -- Tutti
37.581062,15.124780,ov_studio_polispecialistico_omnia_della_dot_37.5811_15.1248,Studio polispecialistico OMNIA della Dott.ssa Coltellaro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/studio_polispecialistico_omnia_della_dot_37.5811_15.1248.json,custom
37.579362,15.125407,ov_trattoria_miro_37.5794_15.1254,Trattoria Miro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/trattoria_miro_37.5794_15.1254.json,custom
37.579802,15.121437,ov_la_bistecca_37.5798_15.1214,La Bistecca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/la_bistecca_37.5798_15.1214.json,custom
37.581331,15.124697,ov_senza_spine_37.5813_15.1247,Senza spine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/senza_spine_37.5813_15.1247.json,custom
37.581283,15.124281,ov_pizzeria_chiara_di_ruvolo_claudio_valver_37.5813_15.1243,Pizzeria Chiara di Ruvolo Claudio Valverde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/pizzeria_chiara_di_ruvolo_claudio_valver_37.5813_15.1243.json,custom
37.581836,15.125149,ov_l_arte_del_gusto_37.5818_15.1251,l'arte del gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/larte_del_gusto_37.5818_15.1251.json,custom
37.580437,15.122613,ov_extra_extra_37.5804_15.1226,Extra Extra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/extra_extra_37.5804_15.1226.json,custom
37.584781,15.125746,ov_delizie_di_mare_37.5848_15.1257,Delizie Di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/delizie_di_mare_37.5848_15.1257.json,custom
37.589439,15.125773,ov_grani_puri_2_0_37.5894_15.1258,Grani Puri 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/grani_puri_20_37.5894_15.1258.json,custom
37.591732,15.125344,ov_del_re_37.5917_15.1253,Del Re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/del_re_37.5917_15.1253.json,custom
37.577080,15.119010,ov_l__aperitivo_itinerante_37.5771_15.1190,L' Aperitivo itinerante,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/l_aperitivo_itinerante_37.5771_15.1190.json,custom
37.577092,15.119002,ov_bar_caruso_37.5771_15.1190,Bar Caruso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/bar_caruso_37.5771_15.1190.json,custom
37.578575,15.125115,ov_bar_del_santuario_37.5786_15.1251,Bar del Santuario,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/bar_del_santuario_37.5786_15.1251.json,custom
37.578390,15.122250,ov_santuario_1040_vino_spumate_brut_millesi_37.5784_15.1222,Santuario 1040 vino spumate brut millesimato,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/santuario_1040_vino_spumate_brut_millesi_37.5784_15.1222.json,custom
37.578343,15.118720,ov_chiosco_sciacca_valverde_37.5783_15.1187,Chiosco Sciacca Valverde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/chiosco_sciacca_valverde_37.5783_15.1187.json,custom
37.579018,15.124147,ov_bar_il_mattiniero_37.5790_15.1241,Bar Il Mattiniero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/bar_il_mattiniero_37.5790_15.1241.json,custom
37.584023,15.117296,ov_chiosco_bar_jonny_37.5840_15.1173,Chiosco Bar Jonny,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/chiosco_bar_jonny_37.5840_15.1173.json,custom
37.575579,15.123593,ov_cross_fight_russo_37.5756_15.1236,Cross Fight Russo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/cross_fight_russo_37.5756_15.1236.json,custom
37.581060,15.124780,ov_vitality_fit_lab___giacomo_37.5811_15.1248,Vitality Fit Lab - Giacomo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/vitality_fit_lab_-_giacomo_37.5811_15.1248.json,custom
37.592793,15.116401,ov_riding_club_valverde_37.5928_15.1164,Riding Club Valverde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/riding_club_valverde_37.5928_15.1164.json,custom
37.579585,15.126036,ov_pro_loco_valverde_37.5796_15.1260,Pro Loco Valverde,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/valverde/pages/pro_loco_valverde_37.5796_15.1260.json,custom
