# lat,lng,id,name,building_type,type,url,page_type
# Santa Croce sull'Arno -- Tutti
43.774951,10.714770,ov_distretto_santa_croce_43.7750_10.7148,Distretto Santa Croce,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/distretto_santa_croce_43.7750_10.7148.json,custom
43.711937,10.776988,ov_alex_pizza_43.7119_10.7770,Alex Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/alex_pizza_43.7119_10.7770.json,custom
43.710213,10.780308,ov_osteria_cece_43.7102_10.7803,Osteria Cece,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/osteria_cece_43.7102_10.7803.json,custom
43.709958,10.779427,ov_coriandoli_la_bottega_43.7100_10.7794,Coriandoli la bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/coriandoli_la_bottega_43.7100_10.7794.json,custom
43.710173,10.782201,ov_il_laboratorio_degli_impasti_43.7102_10.7822,Il Laboratorio degli impasti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/il_laboratorio_degli_impasti_43.7102_10.7822.json,custom
43.710126,10.784921,ov_partenope___anema_e_pizza_43.7101_10.7849,PARTENOPE - Anema e pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/partenope_-_anema_e_pizza_43.7101_10.7849.json,custom
43.709989,10.785294,ov_la_vecchia_fornace_43.7100_10.7853,La Vecchia Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/la_vecchia_fornace_43.7100_10.7853.json,custom
43.710663,10.783845,ov_alinorm_43.7107_10.7838,Alinorm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/alinorm_43.7107_10.7838.json,custom
43.711279,10.783308,ov_pizzeria_caffe_del_corso_43.7113_10.7833,Pizzeria Caffe Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/pizzeria_caffe_del_corso_43.7113_10.7833.json,custom
43.752940,10.701518,ov_blu_see_bar_43.7529_10.7015,Blu See Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/blu_see_bar_43.7529_10.7015.json,custom
43.754200,10.702124,ov_bar_savino_s_43.7542_10.7021,Bar Savino's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_savinos_43.7542_10.7021.json,custom
43.735825,10.757969,ov_punto_zero_43.7358_10.7580,Punto zero,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/punto_zero_43.7358_10.7580.json,custom
43.722678,10.770055,ov_ploom_reseller___bar_colombo_di_uguzzoni_43.7227_10.7701,Ploom Reseller - Bar Colombo Di Uguzzoni Laura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/ploom_reseller_-_bar_colombo_di_uguzzoni_43.7227_10.7701.json,custom
43.720457,10.774164,ov_bar_caf__new_age_43.7205_10.7742,Bar Cafè New Age,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_caf_new_age_43.7205_10.7742.json,custom
43.717232,10.775157,ov_bar_meropini_43.7172_10.7752,Bar Meropini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_meropini_43.7172_10.7752.json,custom
43.712110,10.764600,ov_ta_go_43.7121_10.7646,TA.GO,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/tago_43.7121_10.7646.json,custom
43.711681,10.764283,ov_caff__griphone_43.7117_10.7643,Caffè Griphone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/caff_griphone_43.7117_10.7643.json,custom
43.711650,10.764230,ov_white_bar_43.7116_10.7642,White bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/white_bar_43.7116_10.7642.json,custom
43.711206,10.779307,ov_bar_young_43.7112_10.7793,Bar Young,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_young_43.7112_10.7793.json,custom
43.710254,10.780287,ov_pasticceria_caffetteria_giannini_43.7103_10.7803,Pasticceria Caffetteria Giannini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/pasticceria_caffetteria_giannini_43.7103_10.7803.json,custom
43.713280,10.783682,ov_bar_dei_mille_43.7133_10.7837,Bar Dei Mille,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_dei_mille_43.7133_10.7837.json,custom
43.713672,10.787807,ov_pasticceria_cavallini_da_mimmo_43.7137_10.7878,Pasticceria Cavallini Da Mimmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/pasticceria_cavallini_da_mimmo_43.7137_10.7878.json,custom
43.735838,10.757908,osm_bar_cerri_s_43.7358_10.7579,Bar Cerri's,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/bar_cerris_43.7358_10.7579.json,custom
43.707032,10.771919,ov_artedanza_ssdrl_43.7070_10.7719,Artedanza ssdrl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/artedanza_ssdrl_43.7070_10.7719.json,custom
43.757570,10.709991,ov_lischeto_ranch_43.7576_10.7100,Lischeto Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/lischeto_ranch_43.7576_10.7100.json,custom
43.756482,10.704494,ov_centro_ippico_la_fenice_43.7565_10.7045,centro ippico la fenice,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/centro_ippico_la_fenice_43.7565_10.7045.json,custom
43.757759,10.709762,ov_circolo_ippico_oasi_del_castello_43.7578_10.7098,Circolo Ippico Oasi del Castello,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/circolo_ippico_oasi_del_castello_43.7578_10.7098.json,custom
43.758960,10.705910,ov_mh_club_43.7590_10.7059,MH Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/mh_club_43.7590_10.7059.json,custom
43.722808,10.769772,ov_club_you_fit_43.7228_10.7698,Club You Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/club_you_fit_43.7228_10.7698.json,custom
43.709237,10.779441,ov_dream___dance_studio_43.7092_10.7794,Dream & Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/dream_dance_studio_43.7092_10.7794.json,custom
43.712314,10.783821,ov_lift_fitness___performance_43.7123_10.7838,LIFT Fitness & Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/lift_fitness_performance_43.7123_10.7838.json,custom
43.711857,10.783297,ov_factory_lab_personal_training_43.7119_10.7833,Factory Lab Personal Training,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/factory_lab_personal_training_43.7119_10.7833.json,custom
43.713376,10.784718,ov_palestra_banti_43.7134_10.7847,Palestra Banti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/palestra_banti_43.7134_10.7847.json,custom
43.710067,10.779628,ov_biblioteca_comunale_adrio_puccini_43.7101_10.7796,Biblioteca Comunale Adrio Puccini,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/biblioteca_comunale_adrio_puccini_43.7101_10.7796.json,custom
43.709293,10.780214,osm_biblioteca_arturo_nord_sud___ans_43.7093_10.7802,Biblioteca Arturo Nord/Sud - ANS,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santa_croce_sullarno/pages/biblioteca_arturo_nordsud_-_ans_43.7093_10.7802.json,custom
