# lat,lng,id,name,building_type,type,url,page_type
# druento -- Tutti
45.101790,7.521820,ov_medicina25_45.1018_7.5218,Medicina25,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/medicina25_45.1018_7.5218.json,custom
45.126631,7.584434,osm_piola_atipica_45.1266_7.5844,Piola aTipica,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/piola_atipica_45.1266_7.5844.json,custom
45.146142,7.601621,ov_caff__reale_45.1461_7.6016,Caffè Reale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/caff_reale_45.1461_7.6016.json,custom
45.135757,7.576398,ov_roxy_bar_da_alfredo_45.1358_7.5764,Roxy Bar da Alfredo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/roxy_bar_da_alfredo_45.1358_7.5764.json,custom
45.135408,7.576597,ov_one_coffee_bar_da_fabio_45.1354_7.5766,One coffee bar da fabio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/one_coffee_bar_da_fabio_45.1354_7.5766.json,custom
45.133981,7.576460,ov_family_45.1340_7.5765,Family,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/family_45.1340_7.5765.json,custom
45.133352,7.576327,ov_sisters_coffee_45.1334_7.5763,Sisters Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/sisters_coffee_45.1334_7.5763.json,custom
45.128658,7.582491,ov_re_bianco_45.1287_7.5825,Re Bianco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/re_bianco_45.1287_7.5825.json,custom
45.127134,7.591324,ov_vertigo_druento_45.1271_7.5913,Vertigo Druento,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/vertigo_druento_45.1271_7.5913.json,custom
45.148990,7.567700,ov_la_vittoria_45.1490_7.5677,La Vittoria,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/la_vittoria_45.1490_7.5677.json,custom
45.154554,7.542404,ov_wild_horses_country_45.1546_7.5424,Wild horses country,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/wild_horses_country_45.1546_7.5424.json,custom
45.140390,7.566923,ov_happypole__happyfamily_45.1404_7.5669,happypole__happyfamily,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/happypolehappyfamily_45.1404_7.5669.json,custom
45.134452,7.579540,ov_country_horse_45.1345_7.5795,Country Horse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/country_horse_45.1345_7.5795.json,custom
45.136204,7.575065,ov_special_angels___disability_dance_school_45.1362_7.5751,Special Angels - Disability Dance School,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/special_angels_-_disability_dance_school_45.1362_7.5751.json,custom
45.136957,7.580054,ov_la_mandria_golf_a_s_d__45.1370_7.5801,La Mandria Golf A.S.D.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/la_mandria_golf_asd_45.1370_7.5801.json,custom
45.129947,7.580398,ov_accademia_di_danza_e_spettacolo_45.1299_7.5804,Accademia di Danza e Spettacolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/accademia_di_danza_e_spettacolo_45.1299_7.5804.json,custom
45.132049,7.574971,ov_biblioteca_civica_ipazia_d_alessandria_d_45.1320_7.5750,Biblioteca Civica Ipazia d'Alessandria di Druento,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/druento/pages/biblioteca_civica_ipazia_dalessandria_di_45.1320_7.5750.json,custom
